Mouse miRNAs	Ct Values of Dicer-KO-1	Ct Values of Dicer-KO-2	Ct Values of Dicer-KO-3	Ct Values of GV-Oocyte-1	Ct Values of GV-Oocyte-2	Ct Values of GV-Oocyte-3	Ct Values of Oocyte-1	Ct Values of Oocyte-2	Ct Values of Oocyte-3	Ct Values of Ago2-KO-1	Ct Values of Ago2-KO-2
hsa-miR-127	40	3.65E+01	36.27	31.22	32.15	30.83	29.19	27.73	28.4	40	40
hsa-miR-128a	40	4.00E+01	40	40	40	40	40	40	40	40	40
hsa-miR-128b	40	4.00E+01	40	40	40	40	40	40	40	40	40
hsa-miR-129-3p	40	4.00E+01	40	33.09	30.96	31.39	30.33	29.86	29.29	37.58	40
hsa-miR-129-5p	34.84	3.13E+01	31.94	28.37	28.9	28.98	31.71	40	40	40	40
hsa-miR-130a	40	4.00E+01	40	35.69	37.01	40	33.23	36.17	32.7	40	40
hsa-miR-130b	40	4.00E+01	40	34.29	33.03	35.24	30.2	30.55	29.25	40	40
hsa-miR-132	40	4.00E+01	3.22E+01	40	34.2	40	29.88	40	40	40	40
hsa-miR-133a	39.99	4.00E+01	40	40	40	40	40	40	40	40	40
hsa-miR-133b	40	4.00E+01	39.81	40	40	40	40	40	40	40	40
hsa-miR-134	40	3.59E+01	32.51	32.75	30.17	32.1	36.83	28.76	28.82	40	34.34
hsa-miR-135a	40	4.00E+01	40	34.56	34.46	40	30.02	31.38	31.48	40	40
hsa-miR-135b	40	4.00E+01	40	40	40	35.54	31.71	36.38	32.61	40	40
hsa-miR-136	40	4.00E+01	40	40	40	40	40	33.49	40	40	40
hsa-miR-137	40	4.00E+01	4.00E+01	40	40	40	40	40	40	40	31.475
hsa-miR-138	40	4.00E+01	40	40	40	40	40	40	39.94	40	40
hsa-miR-139	40	4.00E+01	40	38.91	40	33	30.96	28.39	27.33	40	40
hsa-miR-140	33.1	3.36E+01	34.14	27.34	27.11	27.48	26.16	26.16	25.6	40	32.19
hsa-miR-140	33.02	2.99E+01	30.46	26.98	27.16	27.29	24.6	26.97	26.44	36.665	33.565
hsa-miR-141	30.53	29.22	40	26.46	26.82	27.44	24.94	25.01	24.3	31.58	40
hsa-miR-142-3p	4.00E+01	40	4.00E+01	40	40	40	40	40	40	40	40
hsa-miR-142-5p	40	40	40	40	40	40	40	40	40	40	40
hsa-miR-143	40	40	40	40	35.08	40	33.77	37.79	31.48	40	40
hsa-miR-144	40	40	40	40	40	40	40	40	40	40	40
hsa-miR-145	40	40	40	40	33.86	40	40	40	31.3	40	40
hsa-miR-146	40	40	40	32.06	33.07	36.14	28.52	30.1	29.41	40	40
hsa-miR-148a	40	40	40	38.19	33.67	40	40	40	40	40	40
hsa-miR-148b	40	40	40	40	38.38	40	40	40	40	40	40
hsa-miR-149	32.13	40	40	30.42	30.43	30.26	29.96	27.35	28.01	40	40
hsa-miR-150	36.64	38.21	36.07	33.4	39.76	39.63	30.96	29.75	30.09	40	40
hsa-miR-151	40	40	39.04	32.99	33.14	38.31	34.3	32.28	31.41	40	36.9
hsa-miR-152	40	40	33.69	40	34.83	40	40	40	40	40	40
hsa-miR-153	40	40	40	40	40	40	40	40	40	40	40
hsa-miR-154	40	40	40	36.21	40	40	40	40	40	40	40
hsa-miR-155	40	40	40	32.27	32.51	33.5	26.58	26.34	26.11	40	34.88
hsa-miR-15a	40	37.11	34.12	31.57	32.66	34.62	29.41	29.34	28.99	36.395	40
hsa-miR-15b	32.02	30.55	30.05	25.29	25.24	25.83	25.39	25.11	24.89	35.595	40
hsa-miR-16	30.53	30.17	31.73	27.55	27.25	27.93	25.04	24.71	24.81	34.18	33.94
hsa-miR-17-3p	40	40	40	40	35.63	40	40	37.41	40	40	40
hsa-miR-17-5p	27.54	26.99	26.11	23.31	23.14	23.81	21.94	21.83	21.36	31.845	31.635
hsa-miR-18	31.07	30.18	30.62	25.78	25.92	26.24	23.52	24.09	23.47	33.605	31.075
hsa-miR-181a	40	40	30.79	31.16	29.51	31.72	28.45	28.25	27.27	40	28.495
hsa-miR-181b	40	40	33.93	40	32.17	40	40	35.72	29.13	40	34.865
hsa-miR-181c	40	40	30.75	31.19	29.49	32.29	28.69	28.28	27.61	40	30.595
hsa-miR-182	31.18	30.22	40	27.87	28.9	28.51	25.21	25.44	25.56	39.27	40
hsa-miR-183	30.41	30.08	34.7	27.43	27.78	28.04	25.84	26.01	26.02	37.72	40
hsa-miR-184	31.43	33.43	33.29	30.14	31.43	40	27.73	29.55	28.82	36.865	32.355
hsa-miR-185	40	40	40	40	40	40	30.85	40	30.39	40	32.74
hsa-miR-186	40	40	40	40	40	40	30.28	30.24	29.08	40	31.29
hsa-miR-187	40	40	40	40	40	40	39.12	40	40	40	38.375
hsa-miR-188	40	40	40	40	40	40	32.26	30.54	32.23	40	40
hsa-miR-189	40	40	40	40	35.79	40	40	40	40	40	40
hsa-miR-190	40	40	40	38.45	40	40	40	40	34.02	40	40
hsa-miR-191	29.13	28.72	30.06	26.21	26.06	26.06	24.79	24.47	24.2	32.54	28.64
hsa-miR-192	40	40	40	40	40	40	40	40	40	40	39.61
hsa-miR-193	40	40	40	32.48	35.29	40	31.21	32.34	31.31	40	40
hsa-miR-194	32.92	34	40	40	40	35.2	33.58	33.12	34.31	40	40
hsa-miR-195	31.32	31.81	33.18	28.84	29.08	30.42	26.54	26.05	25.9	34.555	31.73
hsa-miR-196a	40	40	36	40	40	40	32.21	32.49	40	36.23	40
hsa-miR-196b	40	40	34.77	40	40	40	32.81	32.71	40	36.815	40
hsa-miR-199a	40	40	32.11	32.92	34.48	33.17	40	40	40	40	40
hsa-miR-199a	40	40	36.62	31.26	31.02	34.28	31.58	32.91	31.15	40	33.025
hsa-miR-199b	40	40	31.28	33.35	33.33	32.77	38.12	40	40	40	39.14
hsa-miR-19a	25.55	24.45	26.07	20.89	20.3	21.38	20.52	21.11	20.57	29.4	26.1
hsa-miR-19b	26.08	25.29	26.63	21.86	21.32	22.18	21.4	21.08	20.46	29.16	25.67
hsa-miR-20	26.23	25.45	25.26	21.89	21.78	22.58	20.62	20.71	20.29	28.71	26.03
hsa-miR-200a	30.78	29.88	40	26.67	26.9	26.53	26.07	25.53	25.11	32.12	30.29
hsa-miR-200b	32.42	31.43	40	27.88	28.47	28.32	26.41	26.83	26.19	35.755	40
hsa-miR-200c	29.03	27.75	40	25.11	25.38	25.33	23.73	23.61	23.24	30.365	26.78
hsa-miR-201	40	40	40	40	40	40	40	40	40	40	40
hsa-miR-202	33.27	40	29.56	28.04	26.67	28.93	30.36	27	26.44	37.72	31.12
hsa-miR-203	40	40	40	40	40	40	30.03	30.26	32.35	40	40
hsa-miR-204	40	40	40	30.67	29.52	31.21	28.44	28.6	27.57	40	40
hsa-miR-205	40	40	40	40	35.28	32.71	32.28	31.27	34.58	40	40
hsa-miR-206	40	40	40	31.35	31.78	31.17	29.19	29.44	28.9	40	40
hsa-miR-207	40	38.23	40	40	40	40	29.94	29.96	28.54	40	40
hsa-miR-208	40	40	40	40	40	40	40	40	39.26	40	40
hsa-miR-21	33.05	32.49	30.23	29.96	30.23	30.46	26.35	26.33	26.37	36.025	32.08
hsa-miR-210	40	40	28.28	30.19	29.59	32.73	29.99	25.7	28.23	36.46	34.64
hsa-miR-211	40	40	40	34.42	40	40	32.61	31.59	31.34	40	40
hsa-miR-212	40	40	32.05	40	35.93	40	40	40	40	40	39.58
hsa-miR-213	40	40	40	34.84	34.58	40	40	40	40	40	40
hsa-miR-214	40	40	32.74	40	32.31	36.87	32.18	33.62	28.24	40	34.665
hsa-miR-215	40	40	40	40	40	40	40	40	38.02	40	40
hsa-miR-216	40	40	40	40	40	40	40	40	40	40	40
hsa-miR-217	40	40	40	40	40	40	40	40	40	40	40
hsa-miR-218	40	40	40	37	40	36.22	34.37	29.91	30.8	40	40
hsa-miR-219	40	40	40	40	40	40	40	40	40	40	40
hsa-miR-22	34.83	40	32.06	30.93	30.4	30.03	31.75	28.79	28.42	40	37.21
hsa-miR-221	40	40	33.17	26.99	26.51	26.39	25.29	25.23	27.03	40	40
hsa-miR-222	40	30.18	40	24.52	24.36	24.27	23.73	23.99	25.14	40	35.59
hsa-miR-223	40	40	40	40	40	33.61	30.92	40	30.71	40	40
hsa-miR-224	40	40	40	40	34.34	37.55	40	40	40	40	33.045
hsa-miR-23a	31.24	31.2	30.76	28.58	28.15	29.16	27.41	27.15	27.3	36.605	37.045
hsa-miR-23b	31.63	30.65	30.66	27.82	27.8	28.19	26.81	26.38	26.46	35.765	33.7
hsa-miR-24	28.04	27.1	24.85	23.99	24.14	25.05	23.95	23.55	23.01	29.745	29.07
hsa-miR-25	26.95	26.31	26.09	23.81	23.42	24.21	21.4	21.29	20.8	31.035	28.715
hsa-miR-26a	32.61	34.96	40	30.3	30.05	30.02	24.99	24.95	24.58	39.66	30.855
hsa-miR-26b	39.36	40	40	34.02	32.48	32.04	27.01	26.15	26.2	40	35.19
hsa-miR-27a	40	33.61	33.08	30.51	31.15	31.69	29.32	28.28	28.32	40	40
hsa-miR-27b	40	34.02	33.36	30.2	29.87	31.01	28.97	28.16	28.28	40	40
hsa-miR-28	40	40	40	31.76	31.42	33.1	40	40	40	40	40
hsa-miR-290	40	40	40	31.16	32.19	33	31.63	29.96	30.88	40	40
hsa-miR-291-3p	40	40	40	30.68	31.05	30.79	27.22	27.73	27.74	40	40
hsa-miR-291-5p	40	40	40	27.47	28.24	27.68	26.13	26.21	26.16	40	31.61
hsa-miR-292-3p	40	40	40	23.84	24.4	23.63	23.1	23.45	23.12	35.79	30.545
hsa-miR-292-5p	40	40	40	29.5	29.82	29.36	27.02	27.93	26.94	40	40
hsa-miR-293	40	40	40	28.22	28.5	27.96	26.72	26.68	25.9	40	35.19
hsa-miR-294	40	40	40	27.56	28.12	27.48	25.24	25.43	25.43	38.75	32.055
hsa-miR-295	40	40	40	30.5	31.36	30.1	27.16	27.75	27.44	40	36
hsa-miR-296	27.21	27.1	27.66	26.2	25.47	26.09	23.96	23.44	23	37.1	40
hsa-miR-298	40	40	40	40	40	40	37.76	40	36.5	40	40
hsa-miR-299	40	36.48	31.6	31.33	31.12	33.33	30.73	28.91	29.23	40	40
hsa-miR-29a	33.38	32.69	32	29.83	30.56	30.71	28.09	27.92	27.62	35.68	32.025
hsa-miR-29b	32.76	32.6	35.76	30.93	30.68	30.46	28.05	27.49	27.71	35.875	31.385
hsa-miR-29c	33.98	34.55	35.07	30.53	29.37	30.03	28.2	27.9	27.77	38.83	35.265
hsa-miR-300	40	40	40	40	40	40	40	40	40	40	40
hsa-miR-301	40	40	40	34.29	34.95	40	32.03	32.63	31.75	40	40
hsa-miR-302	40	34.15	27.85	30.72	29.6	36.06	31.29	38.54	35.88	40	40
hsa-miR-30a-3p	29.61	29.26	29.62	26.57	27.18	27.17	25.57	26.19	25.85	40	28.95
hsa-miR-30a-5p	30.43	30.21	32.51	27.21	27.36	28.63	24.24	24.06	24.53	35.21	37.67
hsa-miR-30b	29.11	28.08	29.73	25.94	25.43	26	22.9	22.84	22.68	33.27	29.365
hsa-miR-30c	27.43	26.41	29.07	22.5	22.78	23.02	20.5	21.26	21.13	35.645	37.055
hsa-miR-30d	29.15	29.43	32.13	26.62	26.4	27.06	23.6	24.24	24.54	36.32	40
hsa-miR-30e	32.13	32.3	37.68	33.09	36.06	36	31.42	27.54	28.12	40	40
hsa-miR-30e	28.98	28.03	28.81	26.42	26.6	27.1	25.51	25.86	25.16	33.69	33.115
hsa-miR-31	40	32.57	40	30.35	29.34	30.04	28.6	28.32	27.84	40	39.07
hsa-miR-32	40	40	40	35.05	40	40	31.28	27.54	27.77	40	34.39
hsa-miR-320	27.27	27.75	27.01	26.78	26.95	26.67	24.22	24.44	23.69	37.21	40
hsa-miR-322-3p	40	40	28.22	27.4	27.31	28.4	28.5	27.2	25.7	40	33.4
hsa-miR-322-5p	40	40	31.96	30.8	29.16	30.29	30.44	29.05	28.95	40	40
hsa-miR-323	32.7	40	31.4	38.61	40	40	31.98	31.75	30.71	40	40
hsa-miR-324-3p	40	40	40	37.26	40	40	35.99	31.78	31.41	40	40
hsa-miR-324-5p	40	40	33.13	32.09	31.83	31.35	28.67	28.73	28.69	40	40
hsa-miR-325	40	40	40	40	40	40	40	40	40	40	40
hsa-miR-326	40	40	40	40	40	40	40	40	40	40	40
hsa-miR-328	40	37.36	39.14	35.28	36.27	36.16	40	39.04	35.01	40	40
hsa-miR-329	40	40	40	40	33.11	40	40	31.35	40	40	40
hsa-miR-33	40	40	40	40	40	37.94	40	40	34.31	40	40
hsa-miR-330	40	40	40	40	40	40	40	40	40	40	40
hsa-miR-331	40	40	40	33.62	33.15	34.97	32.28	32.2	31.03	40	40
hsa-miR-335	40	35.48	40	30.49	30.63	30.38	27.33	27.17	27.39	40	40
hsa-miR-337	40	40	32.47	32.42	31.42	37.44	40	40	34.75	40	40
hsa-miR-338	40	40	40	40	40	40	40	40	40	40	40
hsa-miR-339	40	33.44	32.39	29.45	28.68	30.19	28.82	28.46	27.46	40	34.46
hsa-miR-340	40	40	40	30.88	30.97	30.89	29.4	28.71	28.31	40	28.585
hsa-miR-342	25.76	25.29	26.52	24.18	24.36	24.85	22.18	23.07	22.26	30.69	40
hsa-miR-344	40	36.75	40	40	40	40	40	40	40	40	40
hsa-miR-345	40	40	40	40	37.15	40	40	40	40	40	40
hsa-miR-346	40	40	40	40	36.5	33.38	40	40	40	40	39.81
hsa-miR-34a	40	40	37.39	37.64	40	40	38.38	33.74	37.27	40	40
hsa-miR-34b	40	40	40	31.37	31.15	31.92	40	40	30.79	40	40
hsa-miR-34c	40	40	40	30.13	30.71	32.23	40	40	29.76	40	40
hsa-miR-350	35.5	35.13	33.82	31.41	30.49	32.34	30.63	29.37	28.84	40	40
hsa-miR-351	40	40	29.55	28.15	27.62	29.73	29.37	27.96	26.37	40	38.4
hsa-miR-361	40	40	40	40	35.24	36.54	27.33	27.27	26.3	40	40
hsa-miR-365	40	38.48	40	33	31.6	31.75	27.36	27.19	27.07	40	40
hsa-miR-370	40	40	40	40	33.18	40	32.22	32.47	31.09	40	40
hsa-miR-375	40	40	40	40	40	40	40	40	40	40	40
hsa-miR-376a	40	40	40	40	40	40	40	40	40	40	40
hsa-miR-376b	40	40	40	40	40	40	40	40	40	40	40
hsa-miR-377	40	40	40	40	40	40	40	40	40	40	40
hsa-miR-378	40	40	33.78	32.56	31.73	31.94	30.53	30.09	29.56	40	40
hsa-miR-379	40	40	40	40	40	40	40	32.11	40	40	40
hsa-miR-380-3p	40	40	40	40	40	40	40	40	40	40	40
hsa-miR-380-5p	40	40	40	40	35.15	40	40	40	40	40	40
hsa-miR-381	40	40	40	40	40	40	38.21	40	40	40	40
hsa-miR-382	40	40	31.16	30.32	30.53	31.4	32.01	29.11	28.7	40	40
hsa-miR-383	40	40	40	40	40	40	40	34.5	36.19	40	40
hsa-miR-384	40	40	40	40	40	40	40	40	40	40	40
hsa-miR-409	40	40	32.04	30.37	30.19	30.94	29.63	28.18	28.28	40	40
hsa-miR-410	40	40	40	40	40	40	40	40	40	40	40
hsa-miR-411	40	40	40	40	40	40	40	40	37.77	40	40
hsa-miR-412	40	40	40	40	40	40	40	40	40	40	40
hsa-miR-425	40	40	40	35.05	40	40	40	40	40	40	40
hsa-miR-429	40	39.58	40	40	40	40	40	34.67	33.6	40	40
hsa-miR-448	40	40	40	40	40	40	40	40	40	40	40
hsa-miR-449	40	40	40	40	40	40	40	40	40	40	40
hsa-miR-450	40	40	40	33.13	32.9	33.7	40	31.01	29.82	40	40
hsa-miR-7	40	40	40	40	40	40	40	40	40	40	40
hsa-miR-7b	40	40	40	40	40	40	40	40	40	40	40
hsa-miR-9	40	40	40	40	40	32.74	31.29	40	32.16	40	40
hsa-miR-9	40	40	40	40	40	40	32.39	40	32.67	40	32.91
hsa-miR-92	27.76	26.66	27.11	24.02	23.81	24.22	20.61	20.84	20.3	31.63	26.22
hsa-miR-93	28.01	27.32	26.32	23.22	23.03	23.65	22.29	21.95	21.23	30.55	27.68
hsa-miR-96	37.07	40	40	32.6	31.4	33.12	29.26	29.16	29.48	40	40
hsa-miR-98	29.56	29.4	25.79	24.3	23.76	24.66	22.6	22.99	22	35.83	36.97
hsa-miR-99a	40	38.28	35.61	35.9	32.84	34.67	28.66	30.19	31.61	40	36.595
hsa-miR-99b	40	32.94	36.47	29.18	28.47	31.71	29.91	27.27	26.11	40	33.6
