Classifier	Regulation	hsa-mirNA	Score (d)	Fold Change (Log2)
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Over-expressed miRNAs in melanomas	hsa-mir-671	1.8183	1.0553
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Over-expressed miRNAs in melanomas	hsa-mir-324	1.8165	1.0514
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Over-expressed miRNAs in melanomas	hsa-mir-22	1.7854	1.0711
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Under-expressed miRNAs in melanomas	hsa-mir-15b	-3.6728	0.9144
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Under-expressed miRNAs in melanomas	hsa-mir-130b	-3.0328	0.9217
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Under-expressed miRNAs in melanomas	hsa-mir-10a	-2.7071	0.9271
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Under-expressed miRNAs in melanomas	hsa-mir-454	-2.6442	0.9301
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Under-expressed miRNAs in melanomas	hsa-mir-204	-2.5688	0.9229
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Under-expressed miRNAs in melanomas	hsa-mir-30e	-2.565	0.9335
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Under-expressed miRNAs in melanomas	hsa-mir-148b	-2.5426	0.9355
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Under-expressed miRNAs in melanomas	hsa-mir-565	-2.4803	0.9102
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Under-expressed miRNAs in melanomas	hsa-mir-103	-2.4727	0.9424
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Under-expressed miRNAs in melanomas	hsa-mir-590	-2.4427	0.9271
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Under-expressed miRNAs in melanomas	hsa-mir-374	-2.2563	0.9336
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Under-expressed miRNAs in melanomas	hsa-mir-301	-2.161	0.9409
(c) Melanocytes (NM) vs melanoma cell lines of nodal metastases (MCn)	Under-expressed miRNAs in MCn	hsa-mir-192	-4.075	0.8204
(c) Melanocytes (NM) vs melanoma cell lines of nodal metastases (MCn)	Under-expressed miRNAs in MCn	hsa-mir-194	-3.1916	0.8567
(c) Melanocytes (NM) vs melanoma cell lines of nodal metastases (MCn)	Under-expressed miRNAs in MCn	hsa-mir-132	-2.8647	0.8517
(c) Melanocytes (NM) vs melanoma cell lines of nodal metastases (MCn)	Under-expressed miRNAs in MCn	hsa-mir-211	-2.4386	0.878
(c) Melanocytes (NM) vs melanoma cell lines of nodal metastases (MCn)	Under-expressed miRNAs in MCn	hsa-mir-34b	-2.2771	0.8776
(c) Melanocytes (NM) vs melanoma cell lines of nodal metastases (MCn)	Under-expressed miRNAs in MCn	hsa-mir-629	-2.2688	0.8847
(c) Melanocytes (NM) vs melanoma cell lines of nodal metastases (MCn)	Under-expressed miRNAs in MCn	hsa-mir-22	-2.2244	0.8807
(c) Melanocytes (NM) vs melanoma cell lines of nodal metastases (MCn)	Under-expressed miRNAs in MCn	hsa-mir-768	-2.1473	0.92
(c) Melanocytes (NM) vs melanoma cell lines of nodal metastases (MCn)	Under-expressed miRNAs in MCn	hsa-mir-34a	-2.0744	0.873
(c) Melanocytes (NM) vs melanoma cell lines of nodal metastases (MCn)	Under-expressed miRNAs in MCn	hsa-mir-125a	-2.0171	0.8981
(c) Melanocytes (NM) vs melanoma cell lines of nodal metastases (MCn)	Under-expressed miRNAs in MCn	hsa-mir-195	-1.8586	0.9388
(c) Melanocytes (NM) vs melanoma cell lines of nodal metastases (MCn)	Under-expressed miRNAs in MCn	hsa-mir-602	-1.8128	0.8716
(c) Melanocytes (NM) vs melanoma cell lines of nodal metastases (MCn)	Under-expressed miRNAs in MCn	hsa-mir-509	-1.7885	0.8997
