Study	Stem cell type	Gene list type	Entrez Gene	Gene name
Forsberg	HSC	SGL	67268	2900073G15Rik
Forsberg	HSC	SGL	67448	Plxdc2
Forsberg	HSC	SGL	67455	Klhl13
Forsberg	HSC	SGL	67484	Eepd1
Forsberg	HSC	SGL	67500	Ccar1
Forsberg	HSC	SGL	67525	Trim62
Forsberg	HSC	SGL	67701	Wfdc2
Forsberg	HSC	SGL	67727	Stx17
Forsberg	HSC	SGL	67922	2510049I19Rik
Forsberg	HSC	SGL	67993	Nudt12
Forsberg	HSC	SGL	68016	2310039E09Rik
Forsberg	HSC	SGL	68041	Mid1ip1
Forsberg	HSC	SGL	68070	Pdzd2
Forsberg	HSC	SGL	68126	Fahd2a
Forsberg	HSC	SGL	68149	Otub2
Forsberg	HSC	SGL	68151	Gpr177
Forsberg	HSC	SGL	68166	Spire1
Forsberg	HSC	SGL	68328	Rab13
Forsberg	HSC	SGL	68481	Mpzl1
Forsberg	HSC	SGL	68525	Evc2
Forsberg	HSC	SGL	68545	1110006O17Rik
Forsberg	HSC	SGL	68632	Myct1
Forsberg	HSC	SGL	68713	Ifitm1
Forsberg	HSC	SGL	68850	1110062M06Rik
Forsberg	HSC	SGL	68910	Zfp467
Forsberg	HSC	SGL	69046	Isca1
Forsberg	HSC	SGL	69109	1810009O10Rik
Forsberg	HSC	SGL	69499	Tsr2
Forsberg	HSC	SGL	69524	Esam1
Forsberg	HSC	SGL	69590	2310016C16Rik
Forsberg	HSC	SGL	69608	Sec24d
Forsberg	HSC	SGL	69632	Arhgef12
Forsberg	HSC	SGL	69772	Bdh2
Forsberg	HSC	SGL	69774	Ms4a6b
Forsberg	HSC	SGL	69784	1500009L16Rik
Forsberg	HSC	SGL	70122	Mllt3
Forsberg	HSC	SGL	70380	Mospd1
Forsberg	HSC	SGL	70564	5730469M10Rik
Forsberg	HSC	SGL	70673	Prdm16
Forsberg	HSC	SGL	70729	Nos1ap
Forsberg	HSC	SGL	71373	Prr16
Forsberg	HSC	SGL	71375	Foxn3
Forsberg	HSC	SGL	71785	Pdgfd
Forsberg	HSC	SGL	71973	Rbpms2
Forsberg	HSC	SGL	72333	Palld
Forsberg	HSC	SGL	72349	Dusp3
Forsberg	HSC	SGL	72433	Rab38
Forsberg	HSC	SGL	72713	Angptl1
Forsberg	HSC	SGL	74034	4632404H12Rik
Forsberg	HSC	SGL	74136	Sec14l1
Forsberg	HSC	SGL	74144	Robo4
Forsberg	HSC	SGL	74155	Errfi1
Forsberg	HSC	SGL	75746	Morc4
Forsberg	HSC	SGL	76263	Gstk1
Forsberg	HSC	SGL	76432	2310001H17Rik
Forsberg	HSC	SGL	77053	Unc84a
Forsberg	HSC	SGL	77574	3321401G04Rik
Forsberg	HSC	SGL	77579	Myh10
Forsberg	HSC	SGL	78369	Icam4
Forsberg	HSC	SGL	78408	2900046G09Rik
Forsberg	HSC	SGL	78412	3110062M04Rik
Forsberg	HSC	SGL	79044	Mrps34
Forsberg	HSC	SGL	80718	Rab27b
Forsberg	HSC	SGL	80837	Rhoj
Forsberg	HSC	SGL	80880	Kank3
Forsberg	HSC	SGL	80884	Maged2
Forsberg	HSC	SGL	83964	Jam3
Forsberg	HSC	SGL	93692	Glrx
Forsberg	HSC	SGL	93836	Rnf111
Forsberg	HSC	SGL	93966	Hemgn
Forsberg	HSC	SGL	97998	Depdc6
Forsberg	HSC	SGL	98682	2210010L05Rik
Forsberg	HSC	SGL	98733	Obsl1
Forsberg	HSC	SGL	98845	Eps8l2
Forsberg	HSC	SGL	99167	Ssx2ip
Forsberg	HSC	SGL	99324	D030029J20Rik
Forsberg	HSC	SGL	99633	Lphn2
Forsberg	HSC(MPP)	DGL	102414	Clk3
Forsberg	HSC(MPP)	DGL	103554	Psme4
Forsberg	HSC(MPP)	DGL	105348	Golm1
Forsberg	HSC(MPP)	DGL	106582	Nrm
Forsberg	HSC(MPP)	DGL	107766	Haao
Forsberg	HSC(MPP)	DGL	107939	Pom121
Forsberg	HSC(MPP)	DGL	108100	Baiap2
Forsberg	HSC(MPP)	DGL	108116	Slco3a1
Forsberg	HSC(MPP)	DGL	108655	Foxp1
Forsberg	HSC(MPP)	DGL	108797	Mex3b
Forsberg	HSC(MPP)	DGL	108995	Tbc1d10c
Forsberg	HSC(MPP)	DGL	110829	Lims1
Forsberg	HSC(MPP)	DGL	11472	Actn2
Forsberg	HSC(MPP)	DGL	11600	Angpt1
Forsberg	HSC(MPP)	DGL	117198	Ivns1abp
Forsberg	HSC(MPP)	DGL	11733	Ank1
Forsberg	HSC(MPP)	DGL	11745	Anxa3
Forsberg	HSC(MPP)	DGL	11847	Arg2
Forsberg	HSC(MPP)	DGL	11931	Atp1b1
Forsberg	HSC(MPP)	DGL	12189	Brca1
Forsberg	HSC(MPP)	DGL	12227	Btg2
Forsberg	HSC(MPP)	DGL	12289	Cacna1d
Forsberg	HSC(MPP)	DGL	12394	Runx1
Forsberg	HSC(MPP)	DGL	12443	Ccnd1
Forsberg	HSC(MPP)	DGL	12490	Cd34
Forsberg	HSC(MPP)	DGL	12508	Cd53
Forsberg	HSC(MPP)	DGL	12515	Cd69
Forsberg	HSC(MPP)	DGL	12575	Cdkn1a
Forsberg	HSC(MPP)	DGL	12702	Socs3
Forsberg	HSC(MPP)	DGL	12769	Ccr9
Forsberg	HSC(MPP)	DGL	12774	Ccr5
Forsberg	HSC(MPP)	DGL	12862	Cox6a2
Forsberg	HSC(MPP)	DGL	13002	Dnajc5
Forsberg	HSC(MPP)	DGL	13011	Cst7
Forsberg	HSC(MPP)	DGL	13206	Ddx4
Forsberg	HSC(MPP)	DGL	13591	Ebf1
Forsberg	HSC(MPP)	DGL	13605	Ect2
Forsberg	HSC(MPP)	DGL	13610	S1pr3
Forsberg	HSC(MPP)	DGL	13723	Emb
Forsberg	HSC(MPP)	DGL	13730	Emp1
Forsberg	HSC(MPP)	DGL	13982	Esr1
Forsberg	HSC(MPP)	DGL	14017	Evi2a
Forsberg	HSC(MPP)	DGL	14038	Expi
Forsberg	HSC(MPP)	DGL	140488	Igf2bp3
Forsberg	HSC(MPP)	DGL	140577	Ankrd6
Forsberg	HSC(MPP)	DGL	140580	Elmo1
Forsberg	HSC(MPP)	DGL	14080	Fabp1
Forsberg	HSC(MPP)	DGL	14281	Fos
Forsberg	HSC(MPP)	DGL	14425	Galnt3
Forsberg	HSC(MPP)	DGL	14579	Gem
Forsberg	HSC(MPP)	DGL	14585	Gfra1
Forsberg	HSC(MPP)	DGL	14594	Ggta1
Forsberg	HSC(MPP)	DGL	14667	Gm2a
Forsberg	HSC(MPP)	DGL	14745	Lpar1
Forsberg	HSC(MPP)	DGL	15002	H2-Ob
Forsberg	HSC(MPP)	DGL	15078	H3f3a
Forsberg	HSC(MPP)	DGL	15364	Hmga2
Forsberg	HSC(MPP)	DGL	15405	Hoxa9
Forsberg	HSC(MPP)	DGL	15442	Hpse
Forsberg	HSC(MPP)	DGL	15939	Ier5
Forsberg	HSC(MPP)	DGL	16019	Igh-6
Forsberg	HSC(MPP)	DGL	16154	Il10ra
Forsberg	HSC(MPP)	DGL	16176	Il1b
Forsberg	HSC(MPP)	DGL	16177	Il1r1
Forsberg	HSC(MPP)	DGL	16419	Itgb5
Forsberg	HSC(MPP)	DGL	16582	Kifc3
Forsberg	HSC(MPP)	DGL	16590	Kit
Forsberg	HSC(MPP)	DGL	16646	Kpna1
Forsberg	HSC(MPP)	DGL	16667	Krt17
Forsberg	HSC(MPP)	DGL	16764	Aff3
Forsberg	HSC(MPP)	DGL	16818	Lck
Forsberg	HSC(MPP)	DGL	170755	Sgk3
Forsberg	HSC(MPP)	DGL	170757	Eltd1
Forsberg	HSC(MPP)	DGL	17155	Man1a
Forsberg	HSC(MPP)	DGL	17261	Mef2d
Forsberg	HSC(MPP)	DGL	17308	Mgat1
Forsberg	HSC(MPP)	DGL	17314	Mgmt
Forsberg	HSC(MPP)	DGL	17357	Marcksl1
Forsberg	HSC(MPP)	DGL	17390	Mmp2
Forsberg	HSC(MPP)	DGL	17476	Mpeg1
Forsberg	HSC(MPP)	DGL	17768	Mthfd2
Forsberg	HSC(MPP)	DGL	17869	Myc
Forsberg	HSC(MPP)	DGL	17918	Myo5a
Forsberg	HSC(MPP)	DGL	17972	Ncf4
Forsberg	HSC(MPP)	DGL	18128	Notch1
Forsberg	HSC(MPP)	DGL	18197	Nsg2
Forsberg	HSC(MPP)	DGL	18226	Nup62
