# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133_plus_2|244863_at|244863_at	entrezgene|54114|54114
affy_hg_u133_plus_2|232871_at|232871_at	entrezgene|42125|42125
affy_hg_u133_plus_2|219960_s_at|219960_s_at	entrezgene|29245|29245
affy_hg_u133_plus_2|229370_at|229370_at	entrezgene|38625|38625
affy_hg_u133_plus_2|239678_at|239678_at	entrezgene|48928|48928
affy_hg_u133_plus_2|219803_at|219803_at	entrezgene|29088|29088
affy_hg_u133_plus_2|213634_s_at|213634_s_at	entrezgene|22935|22935
affy_hg_u133_plus_2|214430_at|214430_at	entrezgene|23730|23730
affy_hg_u133_plus_2|242701_at|242701_at	entrezgene|51951|51951
affy_hg_u133_plus_2|237909_at|237909_at	entrezgene|47159|47159
affy_hg_u133_plus_2|223820_at|223820_at	entrezgene|33097|33097
affy_hg_u133_plus_2|201468_s_at|201468_s_at	entrezgene|10917|10917
affy_hg_u133_plus_2|225982_at|225982_at	entrezgene|35239|35239
affy_hg_u133_plus_2|230826_at|230826_at	entrezgene|40081|40081
affy_hg_u133_plus_2|211333_s_at|211333_s_at	entrezgene|20673|20673
affy_hg_u133_plus_2|241802_x_at|241802_x_at	entrezgene|51052|51052
affy_hg_u133_plus_2|218367_x_at|218367_x_at	entrezgene|27653|27653
affy_hg_u133_plus_2|1562984_at|1562984_at	entrezgene|6953|6953
affy_hg_u133_plus_2|203099_s_at|203099_s_at	entrezgene|12549|12549
affy_hg_u133_plus_2|201858_s_at|201858_s_at	entrezgene|11307|11307
affy_hg_u133_plus_2|213765_at|213765_at	entrezgene|23066|23066
affy_hg_u133_plus_2|212845_at|212845_at	entrezgene|22151|22151
affy_hg_u133_plus_2|211730_s_at|211730_s_at	entrezgene|21051|21051
affy_hg_u133_plus_2|209367_at|209367_at	entrezgene|18781|18781
affy_hg_u133_plus_2|220687_at|220687_at	entrezgene|29972|29972
affy_hg_u133_plus_2|226975_at|226975_at	entrezgene|36231|36231
affy_hg_u133_plus_2|215272_at|215272_at	entrezgene|24567|24567
affy_hg_u133_plus_2|228703_at|228703_at	entrezgene|37958|37958
affy_hg_u133_plus_2|213944_x_at|213944_x_at	entrezgene|23244|23244
affy_hg_u133_plus_2|242448_at|242448_at	entrezgene|51698|51698
affy_hg_u133_plus_2|209234_at|209234_at	entrezgene|18649|18649
affy_hg_u133_plus_2|1553399_a_at|1553399_a_at	entrezgene|824|824
affy_hg_u133_plus_2|230358_at|230358_at	entrezgene|39613|39613
affy_hg_u133_plus_2|209852_x_at|209852_x_at	entrezgene|19259|19259
affy_hg_u133_plus_2|225946_at|225946_at	entrezgene|35203|35203
affy_hg_u133_plus_2|225917_at|225917_at	entrezgene|35175|35175
affy_hg_u133_plus_2|210393_at|210393_at	entrezgene|19792|19792
affy_hg_u133_plus_2|223127_s_at|223127_s_at	entrezgene|32406|32406
affy_hg_u133_plus_2|239070_at|239070_at	entrezgene|48320|48320
affy_hg_u133_plus_2|206582_s_at|206582_s_at	entrezgene|16029|16029
affy_hg_u133_plus_2|207765_s_at|207765_s_at	entrezgene|17207|17207
affy_hg_u133_plus_2|207568_at|207568_at	entrezgene|17010|17010
affy_hg_u133_plus_2|215070_x_at|215070_x_at	entrezgene|24365|24365
affy_hg_u133_plus_2|215922_at|215922_at	entrezgene|25216|25216
affy_hg_u133_plus_2|203782_s_at|203782_s_at	entrezgene|13230|13230
affy_hg_u133_plus_2|209166_s_at|209166_s_at	entrezgene|18581|18581
affy_hg_u133_plus_2|1554115_at|1554115_at	entrezgene|1339|1339
affy_hg_u133_plus_2|225530_at|225530_at	entrezgene|34788|34788
affy_hg_u133_plus_2|202706_s_at|202706_s_at	entrezgene|12155|12155
affy_hg_u133_plus_2|1566555_at|1566555_at	entrezgene|8338|8338
affy_hg_u133_plus_2|1570033_at|1570033_at	entrezgene|9593|9593
affy_hg_u133_plus_2|218266_s_at|218266_s_at	entrezgene|27552|27552
affy_hg_u133_plus_2|240518_at|240518_at	entrezgene|49768|49768
affy_hg_u133_plus_2|220455_at|220455_at	entrezgene|29740|29740
affy_hg_u133_plus_2|242505_at|242505_at	entrezgene|51755|51755
affy_hg_u133_plus_2|204803_s_at|204803_s_at	entrezgene|14251|14251
affy_hg_u133_plus_2|241467_at|241467_at	entrezgene|50717|50717
affy_hg_u133_plus_2|211546_x_at|211546_x_at	entrezgene|20872|20872
affy_hg_u133_plus_2|220575_at|220575_at	entrezgene|29860|29860
affy_hg_u133_plus_2|1562703_at|1562703_at	entrezgene|6760|6760
affy_hg_u133_plus_2|206984_s_at|206984_s_at	entrezgene|16431|16431
affy_hg_u133_plus_2|236747_at|236747_at	entrezgene|45997|45997
affy_hg_u133_plus_2|216639_at|216639_at	entrezgene|25930|25930
affy_hg_u133_plus_2|205839_s_at|205839_s_at	entrezgene|15287|15287
affy_hg_u133_plus_2|217161_x_at|217161_x_at	entrezgene|26449|26449
affy_hg_u133_plus_2|204746_s_at|204746_s_at	entrezgene|14194|14194
affy_hg_u133_plus_2|244129_at|244129_at	entrezgene|53380|53380
affy_hg_u133_plus_2|201113_at|201113_at	entrezgene|10562|10562
affy_hg_u133_plus_2|213905_x_at|213905_x_at	entrezgene|23205|23205
affy_hg_u133_plus_2|244637_at|244637_at	entrezgene|53888|53888
affy_hg_u133_plus_2|229526_at|229526_at	entrezgene|38781|38781
affy_hg_u133_plus_2|209421_at|209421_at	entrezgene|18835|18835
affy_hg_u133_plus_2|37022_at|37022_at	entrezgene|54263|54263
affy_hg_u133_plus_2|213696_s_at|213696_s_at	entrezgene|22997|22997
affy_hg_u133_plus_2|221369_at|221369_at	entrezgene|30653|30653
affy_hg_u133_plus_2|1554155_at|1554155_at	entrezgene|1365|1365
affy_hg_u133_plus_2|228853_at|228853_at	entrezgene|38108|38108
affy_hg_u133_plus_2|208190_s_at|208190_s_at	entrezgene|17617|17617
affy_hg_u133_plus_2|234350_at|234350_at	entrezgene|43601|43601
affy_hg_u133_plus_2|211042_x_at|211042_x_at	entrezgene|20407|20407
affy_hg_u133_plus_2|221986_s_at|221986_s_at	entrezgene|31267|31267
affy_hg_u133_plus_2|236478_at|236478_at	entrezgene|45728|45728
affy_hg_u133_plus_2|234120_at|234120_at	entrezgene|43371|43371
affy_hg_u133_plus_2|244024_at|244024_at	entrezgene|53275|53275
affy_hg_u133_plus_2|228306_at|228306_at	entrezgene|37561|37561
affy_hg_u133_plus_2|220477_s_at|220477_s_at	entrezgene|29762|29762
affy_hg_u133_plus_2|1555001_at|1555001_at	entrezgene|1995|1995
affy_hg_u133_plus_2|206400_at|206400_at	entrezgene|15847|15847
affy_hg_u133_plus_2|222739_at|222739_at	entrezgene|32019|32019
affy_hg_u133_plus_2|223558_at|223558_at	entrezgene|32835|32835
affy_hg_u133_plus_2|234725_s_at|234725_s_at	entrezgene|43975|43975
affy_hg_u133_plus_2|239082_at|239082_at	entrezgene|48332|48332
