# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133_plus_2|229479_at|229479_at	entrezgene|646324|646324	hgnc_symbol|LOC646324|LOC646324
affy_hg_u133_plus_2|206026_s_at|206026_s_at	entrezgene|7130|7130	hgnc_symbol|TNFAIP6|TNFAIP6
affy_hg_u133_plus_2|213247_at|213247_at	entrezgene|79987|79987	hgnc_symbol|SVEP1|SVEP1
affy_hg_u133_plus_2|211719_x_at|211719_x_at	entrezgene|2335|2335	hgnc_symbol|FN1|FN1
affy_hg_u133_plus_2|206025_s_at|206025_s_at	entrezgene|7130|7130	hgnc_symbol|TNFAIP6|TNFAIP6
affy_hg_u133_plus_2|225681_at|225681_at	entrezgene|115908|115908	hgnc_symbol|CTHRC1|CTHRC1
affy_hg_u133_plus_2|37512_at|37512_at	entrezgene|8630|8630	hgnc_symbol|HSD17B6|HSD17B6
affy_hg_u133_plus_2|219655_at|219655_at	entrezgene|79783|79783	hgnc_symbol|C7orf10|C7orf10
affy_hg_u133_plus_2|202310_s_at|202310_s_at	entrezgene|1277|1277	hgnc_symbol|COL1A1|COL1A1
affy_hg_u133_plus_2|235182_at|235182_at	entrezgene|140862|140862	hgnc_symbol|C20orf82|C20orf82
affy_hg_u133_plus_2|205100_at|205100_at	entrezgene|9945|9945	hgnc_symbol|GFPT2|GFPT2
affy_hg_u133_plus_2|201744_s_at|201744_s_at	entrezgene|4060|4060	hgnc_symbol|LUM|LUM
affy_hg_u133_plus_2|226834_at|226834_at
affy_hg_u133_plus_2|219529_at|219529_at	entrezgene|9022|9022	hgnc_symbol|CLIC3|CLIC3
affy_hg_u133_plus_2|207134_x_at|207134_x_at	entrezgene|7177|7177	hgnc_symbol|TPSAB1|TPSAB1
affy_hg_u133_plus_2|218730_s_at|218730_s_at	entrezgene|4969|4969	hgnc_symbol|OGN|OGN
affy_hg_u133_plus_2|1559280_a_at|1559280_a_at
affy_hg_u133_plus_2|226535_at|226535_at
affy_hg_u133_plus_2|209763_at|209763_at	entrezgene|91851|91851	hgnc_symbol|CHRDL1|CHRDL1
affy_hg_u133_plus_2|204563_at|204563_at	entrezgene|6402|6402	hgnc_symbol|SELL|SELL
affy_hg_u133_plus_2|202827_s_at|202827_s_at	entrezgene|4323|4323	hgnc_symbol|MMP14|MMP14
affy_hg_u133_plus_2|206157_at|206157_at	entrezgene|5806|5806	hgnc_symbol|PTX3|PTX3
affy_hg_u133_plus_2|217258_x_at|217258_x_at
