Study	Stem cell type	Gene list type	Entrez Gene	Gene name
Orwig	SSC	SGL	26926	Aifm1
Orwig	SSC	SGL	27207	Rps11
Orwig	SSC	SGL	27370	Rps26
Orwig	SSC	SGL	27428	Shroom3
Orwig	SSC	SGL	27965	Spg21
Orwig	SSC	SGL	28018	Ubfd1
Orwig	SSC	SGL	29858	Pmm1
Orwig	SSC	SGL	326618	Tpm4
Orwig	SSC	SGL	353172	Gars
Orwig	SSC	SGL	381280	6430706D22Rik
Orwig	SSC	SGL	381633	Gm1673
Orwig	SSC	SGL	381760	Ssbp1
Orwig	SSC	SGL	434794	Xlr4a
Orwig	SSC	SGL	50702	Cfhr1
Orwig	SSC	SGL	50770	Atp11a
Orwig	SSC	SGL	50783	Lsm4
Orwig	SSC	SGL	50926	Hnrpdl
Orwig	SSC	SGL	51801	Ramp1
Orwig	SSC	SGL	52206	Anapc4
Orwig	SSC	SGL	52276	Cdca8
Orwig	SSC	SGL	52331	Stbd1
Orwig	SSC	SGL	52840	Dbndd2
Orwig	SSC	SGL	53330	Vamp4
Orwig	SSC	SGL	53356	Eif3g
Orwig	SSC	SGL	53379	Hnrnpa2b1
Orwig	SSC	SGL	53605	Nap1l1
Orwig	SSC	SGL	53612	Vti1b
Orwig	SSC	SGL	54194	Akap8l
Orwig	SSC	SGL	54519	Apbb1ip
Orwig	SSC	SGL	54644	Otud5
Orwig	SSC	SGL	55944	Eif3d
Orwig	SSC	SGL	56045	Samhd1
Orwig	SSC	SGL	56088	Psmg1
Orwig	SSC	SGL	56150	Mad2l1
Orwig	SSC	SGL	56174	Nagk
Orwig	SSC	SGL	56196	Ttrap
Orwig	SSC	SGL	56280	Mrpl37
Orwig	SSC	SGL	56330	Pdcd5
Orwig	SSC	SGL	56356	Gltp
Orwig	SSC	SGL	56360	Acot9
Orwig	SSC	SGL	56420	Ppp4c
Orwig	SSC	SGL	56464	Ctsf
Orwig	SSC	SGL	574437	Xlr3b
Orwig	SSC	SGL	57815	Spata5
Orwig	SSC	SGL	59024	Med12
Orwig	SSC	SGL	60406	Sap30
Orwig	SSC	SGL	60530	Fignl1
Orwig	SSC	SGL	64138	Ctsz
Orwig	SSC	SGL	65972	Ifi30
Orwig	SSC	SGL	66058	Tmem176a
Orwig	SSC	SGL	66125	Sf3b5
Orwig	SSC	SGL	66144	Atp6v1f
Orwig	SSC	SGL	66162	Bola2
Orwig	SSC	SGL	66164	Nip7
Orwig	SSC	SGL	66169	Tomm7
Orwig	SSC	SGL	66197	Cks2
Orwig	SSC	SGL	66317	Wdr61
Orwig	SSC	SGL	66423	2410022L05Rik
Orwig	SSC	SGL	66580	Esf1
Orwig	SSC	SGL	666184	OTTMUSG00000018964
Orwig	SSC	SGL	66679	Rae1
Orwig	SSC	SGL	66953	Cdca7
Orwig	SSC	SGL	66998	Psmd5
Orwig	SSC	SGL	67177	Cdt1
Orwig	SSC	SGL	67180	Yipf5
Orwig	SSC	SGL	67196	Ube2t
Orwig	SSC	SGL	67267	2900010M23Rik
Orwig	SSC	SGL	67281	Rpl37
Orwig	SSC	SGL	67451	Pkp2
Orwig	SSC	SGL	67628	Anp32b
Orwig	SSC	SGL	67669	l7Rn6
Orwig	SSC	SGL	67702	Rnf149
Orwig	SSC	SGL	67812	Ubxd2
Orwig	SSC	SGL	67951	Tubb6
Orwig	SSC	SGL	67996	Sfrs6
Orwig	SSC	SGL	68011	Snrpg
Orwig	SSC	SGL	68172	Rpl39l
Orwig	SSC	SGL	68198	Ndufb2
Orwig	SSC	SGL	68436	Rpl34
Orwig	SSC	SGL	68611	Mrpl28
Orwig	SSC	SGL	68718	Rnf166
Orwig	SSC	SGL	68743	Anln
Orwig	SSC	SGL	68948	1500011H22Rik
Orwig	SSC	SGL	69010	Anapc13
Orwig	SSC	SGL	69094	Tmem160
Orwig	SSC	SGL	69662	2310061I04Rik
Orwig	SSC	SGL	69833	Polr2f
Orwig	SSC	SGL	70208	Med23
Orwig	SSC	SGL	70257	2010107E04Rik
Orwig	SSC	SGL	70456	Brp44
Orwig	SSC	SGL	70465	Wdr77
Orwig	SSC	SGL	71735	Lrwd1
Orwig	SSC	SGL	71994	Cnn3
Orwig	SSC	SGL	72162	Dhx36
Orwig	SSC	SGL	72183	Snx6
Orwig	SSC	SGL	72562	Pcbd2
Orwig	SSC	SGL	72572	Spats2
Orwig	SSC	SGL	72831	Dhx30
Orwig	SSC	SGL	72899	Macrod2
Orwig	SSC	SGL	73679	Tex19.1
Orwig	SSC	SGL	73830	Eif3k
Orwig	SSC	SGL	74030	Rin2
Orwig	SSC	SGL	74198	Dtx2
Orwig	SSC	SGL	74322	Cxxc1
Orwig	SSC	SGL	74781	Wipi2
Orwig	SSC	SGL	75614	2610019E17Rik
Orwig	SSC	SGL	75751	Ipo4
Orwig	SSC	SGL	76522	Lsm8
Orwig	SSC	SGL	77022	2700099C18Rik
Orwig	SSC	SGL	77208	5830471E12Rik
Orwig	SSC	SGL	77605	H2afv
Orwig	SSC	SGL	78785	Clip4
Orwig	SSC	SGL	79059	Nme3
Orwig	SSC	SGL	80515	A030009H04Rik
Orwig	SSC	SGL	80859	Nfkbiz
Orwig	SSC	SGL	80914	Uck2
Orwig	SSC	SGL	80986	Ckap2
Orwig	SSC	SGL	83410	Cstf2t
Orwig	SSC	SGL	83768	Dpp7
Orwig	SSC	SGL	97064	Wwtr1
Orwig	SSC	SGL	98386	Lbr
Orwig	SSC	SGL	99377	Sall4
Orwig	SSC	DGL	100037283	Rnaset2a
Orwig	SSC	DGL	100040220	LOC100040220
Orwig	SSC	DGL	100041103	LOC100041103
Orwig	SSC	DGL	100043429	LOC100043429
Orwig	SSC	DGL	100043462	LOC100043462
Orwig	SSC	DGL	100206	Adprhl2
Orwig	SSC	DGL	100226	Stx12
Orwig	SSC	DGL	100434	Slc44a1
Orwig	SSC	DGL	100532	Rell1
Orwig	SSC	DGL	101314	6720456B07Rik
Orwig	SSC	DGL	101476	Plekha1
Orwig	SSC	DGL	101612	Grwd1
Orwig	SSC	DGL	101757	AU020206
Orwig	SSC	DGL	102209	Snapc2
Orwig	SSC	DGL	102294	Cyp4v3
Orwig	SSC	DGL	102371	AA407270
Orwig	SSC	DGL	102462	Imp3
Orwig	SSC	DGL	102857	Slc6a8
Orwig	SSC	DGL	102866	Pls3
Orwig	SSC	DGL	103080	9-Sep
Orwig	SSC	DGL	103172	Ndg2
Orwig	SSC	DGL	103466	Nt5dc3
Orwig	SSC	DGL	103573	Xpo1
Orwig	SSC	DGL	103583	Fbxw11
Orwig	SSC	DGL	104009	Qsox1
