NAME	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
CHR20Q11	87	-0.34540918	-1.535993	0.00617284	0.064633615	0.936	3954	tags=37%, list=26%, signal=50%
CHR20Q13	135	-0.32136124	-1.5254444	0.003278689	0.067095734	0.948	3406	tags=34%, list=23%, signal=44%
CHR20P13	45	-0.39125952	-1.4953007	0.034031413	0.08062652	0.976	4506	tags=40%, list=30%, signal=57%
CHR1Q21	175	-0.28394166	-1.3824571	0.02166065	0.157049	1	4496	tags=38%, list=30%, signal=54%
CHR14Q32	87	-0.30915633	-1.3684125	0.034883723	0.16588588	1	1894	tags=23%, list=13%, signal=26%
CHRXP11	105	-0.29961774	-1.3454247	0.033639144	0.18444237	1	2131	tags=22%, list=14%, signal=25%
CHR9P13	45	-0.34029704	-1.3306803	0.07588076	0.19541779	1	3980	tags=47%, list=26%, signal=63%
CHR5Q35	68	-0.30679542	-1.3066267	0.055214725	0.21703766	1	4111	tags=40%, list=27%, signal=54%
CHR11P15	219	-0.2534016	-1.3030788	0.003968254	0.21600549	1	3465	tags=26%, list=23%, signal=33%
CHR2Q37	67	-0.3139414	-1.3012358	0.072463766	0.2125744	1	2930	tags=30%, list=19%, signal=37%
CHR17Q11	68	-0.29897153	-1.2562675	0.07880435	0.26543623	1	2516	tags=26%, list=17%, signal=32%
CHR7Q11	58	-0.30757937	-1.242438	0.12290503	0.27860522	1	2104	tags=26%, list=14%, signal=30%
CHR1P34	109	-0.26748452	-1.2257385	0.099358976	0.296526	1	3601	tags=38%, list=24%, signal=49%
CHR7Q35	25	-0.36898252	-1.2127391	0.17974684	0.30918044	1	4567	tags=48%, list=30%, signal=69%
CHR16Q21	11	-0.45146808	-1.1899471	0.24481328	0.3393166	1	2644	tags=45%, list=18%, signal=55%
CHR12Q13	154	-0.24089737	-1.1654418	0.12837838	0.37290922	1	3616	tags=29%, list=24%, signal=38%
CHR5Q34	20	-0.36555308	-1.1595495	0.2457421	0.3757926	1	2309	tags=30%, list=15%, signal=35%
CHR17P12	19	-0.3711401	-1.1538606	0.28791773	0.37760672	1	1849	tags=16%, list=12%, signal=18%
CHR1P35	65	-0.27280676	-1.1522115	0.21203439	0.37259445	1	4864	tags=48%, list=32%, signal=70%
CHR2Q35	33	-0.3079654	-1.1190298	0.26302728	0.4262186	1	1395	tags=15%, list=9%, signal=17%
CHR19P12	15	-0.37968984	-1.1158073	0.28893906	0.42421755	1	2412	tags=53%, list=16%, signal=63%
CHR17P11	48	-0.2718158	-1.0809176	0.30710658	0.48537472	1	4310	tags=40%, list=29%, signal=55%
CHR20P11	37	-0.2871345	-1.0722315	0.32299742	0.49556142	1	1454	tags=19%, list=10%, signal=21%
CHR11Q11	51	-0.26851642	-1.0542498	0.35230353	0.5254491	1	1940	tags=14%, list=13%, signal=16%
CHR7P11	12	-0.3830946	-1.0199476	0.38952163	0.5948766	1	793	tags=17%, list=5%, signal=18%
CHR1P33	29	-0.2898056	-1.0159876	0.43405277	0.5939333	1	1501	tags=17%, list=10%, signal=19%
CHR14Q11	102	-0.22627947	-1.0119896	0.44602272	0.59282386	1	4605	tags=35%, list=30%, signal=50%
CHR3Q24	15	-0.33836377	-0.9850912	0.4769585	0.6467755	1	2236	tags=33%, list=15%, signal=39%
CHR15Q25	25	-0.29273906	-0.9801264	0.4915254	0.6476212	1	2655	tags=32%, list=18%, signal=39%
CHR16P12	51	-0.2362631	-0.9384984	0.5774278	0.7385666	1	1522	tags=12%, list=10%, signal=13%
CHR12Q12	45	-0.23672186	-0.925931	0.59431523	0.75729847	1	1692	tags=20%, list=11%, signal=22%
CHR21Q22	154	-0.1919234	-0.92513514	0.6816609	0.7469545	1	2996	tags=21%, list=20%, signal=26%
CHR20Q12	38	-0.22872953	-0.86364496	0.68108106	0.88020396	1	5421	tags=47%, list=36%, signal=74%
CHR17Q23	39	-0.2309082	-0.8602968	0.7020202	0.87374234	1	944	tags=13%, list=6%, signal=14%
CHR11Q23	86	-0.19478151	-0.8527244	0.810089	0.8760841	1	3763	tags=31%, list=25%, signal=42%
CHR14Q24	69	-0.1928344	-0.8248921	0.83287674	0.9210412	1	2143	tags=14%, list=14%, signal=17%
CHR7Q36	33	-0.230296	-0.82113355	0.76623374	0.9147167	1	2313	tags=24%, list=15%, signal=29%
CHR1Q22	53	-0.19776638	-0.7982971	0.8652291	0.9427487	1	2882	tags=23%, list=19%, signal=28%
CHR2P13	53	-0.1966181	-0.7956742	0.8535211	0.9334542	1	1815	tags=19%, list=12%, signal=21%
CHRXQ27	18	-0.24146554	-0.72343856	0.86966825	1	1	529	tags=11%, list=4%, signal=12%
CHR5P15	42	-0.18437275	-0.7003569	0.92783505	1	1	3804	tags=31%, list=25%, signal=41%
CHR1Q31	32	-0.19408493	-0.69054675	0.9269521	1	1	29	tags=3%, list=0%, signal=3%
CHR10Q24	85	-0.15339793	-0.6712828	0.9908257	1	1	3787	tags=27%, list=25%, signal=36%
CHR15Q14	27	-0.19579223	-0.6703216	0.9475	1	1	1596	tags=15%, list=11%, signal=17%
CHR15Q24	47	-0.16416162	-0.6395417	0.973822	1	1	4135	tags=36%, list=27%, signal=50%
CHR2P12	20	-0.19112967	-0.60114145	0.976247	1	1	12222	tags=100%, list=81%, signal=523%
CHR11Q24	54	-0.133047	-0.54363453	1	1	1	12213	tags=98%, list=81%, signal=511%
CHRYQ11	13	-0.1744086	-0.47658697	0.99026763	1	1	12473	tags=100%, list=83%, signal=574%
CHR17Q24	24	-0.1422887	-0.4704706	0.99763596	0.9986173	1	4090	tags=25%, list=27%, signal=34%
