Gene Name	Fold-change
CNTNAP5	1.84
BTN3A1	1.84
SH2D2A	1.83
PSMB9	1.82
IGHA1	1.82
CRTAM	1.82
Unknown	1.81
ZNF90	1.81
GCET2	1.8
ZBP1	1.8
NR3C1	1.79
LILRB1	1.78
HMGN4	1.78
C1QC	1.77
S1PR4	1.77
LOC439949	1.76
PUM2	1.76
LEPROTL1	1.76
ACAP1	1.75
RASSF2	1.75
RPL38	1.75
C2orf60	1.74
NR1H3	1.71
CYP2S1	1.71
GCH1	1.71
FNBP1	1.7
TRIM25	1.7
CD97	1.7
TBCC	1.69
LAP3	1.69
Unknown	1.69
Unknown	1.68
AQP12A	1.64
IL2RA	1.63
PFN1	1.63
NBPF15	1.62
XCL2	1.61
CR1	1.61
LAX1	1.61
FGD2	1.58
C19orf35	1.58
NCRNA00183	1.51
CD28	1.49
IL18RAP	1.48
EDEM1	1.48
FPR3	1.45
