# Generate Mapping Tables Script: Version 4 11:08 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:08 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|AA237469|319554	unigene|Mm.29847|Mm.29847
entrezgene|AA237922|76261	unigene|Mm.38143|Mm.38143
entrezgene|AA239480|12411	unigene|Mm.24225|Mm.24225
entrezgene|AA241899|109731	unigene|Mm.30026|Mm.30026
entrezgene|AA243954|226144	unigene|Mm.24032|Mm.24032
entrezgene|AA244536|23972	unigene|Mm.27646|Mm.27646
entrezgene|AA245505|216233	unigene|Mm.4132|Mm.4132
entrezgene|AA245657|223337	unigene|Mm.29147|Mm.29147
entrezgene|AA245984|229905	unigene|Mm.18654|Mm.18654
embl|AA250079|AA250079	unigene|Mm.56167|Mm.56167
entrezgene|AA250384|53761	unigene|Mm.20304|Mm.20304
entrezgene|AA254115|73251	unigene|Mm.39291|Mm.39291
embl|AA254859|AA254859	unigene|Mm.148779|Mm.148779
embl|AA255028|AA255028	unigene|Mm.21965|Mm.21965
entrezgene|AA255141|11607	unigene|Mm.35062|Mm.35062
entrezgene|AA259797|404634	unigene|Mm.46719|Mm.46719
entrezgene|AA259979|11606	unigene|Mm.8854|Mm.8854
entrezgene|AA261682|213054	unigene|Mm.131548|Mm.131548
embl|AA261715|AA261715	unigene|Mm.6635|Mm.6635
entrezgene|AA265033|70335	unigene|Mm.28147|Mm.28147
entrezgene|AA267310|230316	unigene|Mm.28686|Mm.28686
entrezgene|AA268104|240638	unigene|Mm.74636|Mm.74636
entrezgene|AA268165|66863	unigene|Mm.35508|Mm.35508
entrezgene|AA268225|76987	unigene|Mm.28525|Mm.28525
entrezgene|AA268451|72504	unigene|Mm.86376|Mm.86376
entrezgene|AA270019|73699	unigene|Mm.21428|Mm.21428
entrezgene|AA270185|100039968	unigene|Mm.46727|Mm.46727
entrezgene|AA271705|244668	unigene|Mm.21884|Mm.21884
entrezgene|AA272458|22351
entrezgene|AA272501|76282	unigene|Mm.30130|Mm.30130
entrezgene|AA273211|104681	unigene|Mm.38011|Mm.38011
entrezgene|AA273425|433667	unigene|Mm.56437|Mm.56437
entrezgene|AA275673|71670	unigene|Mm.29735|Mm.29735
entrezgene|AA275926|193022
entrezgene|AA275957|69073	unigene|Mm.26248|Mm.26248
entrezgene|AA276173|105355	unigene|Mm.27038|Mm.27038
entrezgene|AA276424|666048
entrezgene|AA276579|212442	unigene|Mm.89572|Mm.89572
entrezgene|AA276746|14537	unigene|Mm.40617|Mm.40617
entrezgene|AA288998|70789	unigene|Mm.105278|Mm.105278
entrezgene|AA290107|68041	unigene|Mm.29429|Mm.29429
entrezgene|AA387625|100039968	unigene|Mm.46727|Mm.46727
entrezgene|AA388644|68344	unigene|Mm.28766|Mm.28766
entrezgene|AA388939|111507	unigene|Mm.6160|Mm.6160
entrezgene|AA396408|381236	unigene|Mm.30678|Mm.30678
entrezgene|AA396437|27883	unigene|Mm.27502|Mm.27502
entrezgene|AA413296|52466	unigene|Mm.25013|Mm.25013
entrezgene|AA423218|66514	unigene|Mm.20246|Mm.20246
entrezgene|AA423392|22351
entrezgene|AA433039|19737	unigene|Mm.41641|Mm.41641
entrezgene|AA434881|66355	unigene|Mm.25808|Mm.25808
entrezgene|AA444721|60527	unigene|Mm.34345|Mm.34345
entrezgene|AA444938|328580	unigene|Mm.44763|Mm.44763
entrezgene|AA461917|108682	unigene|Mm.7156|Mm.7156
entrezgene|AA463077|69090	unigene|Mm.4002|Mm.4002
entrezgene|AA467199|214895	unigene|Mm.28220|Mm.28220
embl|AA467476|AA467476	unigene|Mm.28830|Mm.28830
entrezgene|AA472410|227292	unigene|Mm.2329|Mm.2329
entrezgene|AA472994|105892	unigene|Mm.38909|Mm.38909
entrezgene|AA473153|56185	unigene|Mm.20413|Mm.20413
entrezgene|AA473165|66510	unigene|Mm.9495|Mm.9495
entrezgene|AA473289|20377	unigene|Mm.181271|Mm.181271
entrezgene|AA474934|226856	unigene|Mm.22242|Mm.22242
