# Generate Mapping Tables Script: Version 4 11:08 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:08 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_mouse430_2|1457435_x_at|1457435_x_at	mgi_symbol|Myom2|Myom2
affy_mouse430_2|1460202_at|1460202_at	mgi_symbol|Myoz1|Myoz1
affy_mouse430_2|1435355_at|1435355_at	mgi_symbol|Neb|Neb
affy_mouse430_2|1439398_x_at|1439398_x_at	mgi_symbol|Nelf|Nelf
affy_mouse430_2|1421321_a_at|1421321_a_at	mgi_symbol|Net1|Net1
affy_mouse430_2|1423522_at|1423522_at	mgi_symbol|Npm3|Npm3
affy_mouse430_2|1421253_at|1421253_at	mgi_symbol|Nrap|Nrap
affy_mouse430_2|1416107_at|1416107_at	mgi_symbol|Nsg2|Nsg2
affy_mouse430_2|1438448_at|1438448_at	mgi_symbol|Otop1|Otop1
affy_mouse430_2|1423967_at|1423967_at	mgi_symbol|Palm|Palm
affy_mouse430_2|1418715_at|1418715_at	mgi_symbol|Pank1|Pank1
affy_mouse430_2|1417626_at|1417626_at	mgi_symbol|Pde4dip|Pde4dip
affy_mouse430_2|1448214_at|1448214_at	mgi_symbol|Pdhb|Pdhb
affy_mouse430_2|1417273_at|1417273_at	mgi_symbol|Pdk4|Pdk4
affy_mouse430_2|1421413_a_at|1421413_a_at	mgi_symbol|Pdlim5|Pdlim5
affy_mouse430_2|1418373_at|1418373_at	mgi_symbol|Pgam2|Pgam2
affy_mouse430_2|1451737_at|1451737_at	mgi_symbol|Pik3r1|Pik3r1
affy_mouse430_2|1440275_at|1440275_at	mgi_symbol|Ppib|Ppib
affy_mouse430_2|1425631_at|1425631_at	mgi_symbol|Ppp1r3c|Ppp1r3c
affy_mouse430_2|1417047_at|1417047_at	mgi_symbol|Prom2|Prom2
affy_mouse430_2|1419669_at|1419669_at	mgi_symbol|Prtn3|Prtn3
affy_mouse430_2|1417653_at|1417653_at	mgi_symbol|Pvalb|Pvalb
affy_mouse430_2|1448602_at|1448602_at	mgi_symbol|Pygm|Pygm
affy_mouse430_2|1418188_a_at|1418188_a_at	mgi_symbol|Ramp2|Ramp2
affy_mouse430_2|1438548_x_at|1438548_x_at	mgi_symbol|Rhbdd3|Rhbdd3
affy_mouse430_2|1449398_at|1449398_at	mgi_symbol|Rpl3l|Rpl3l
affy_mouse430_2|1434909_at|1434909_at	mgi_symbol|Rragd|Rragd
affy_mouse430_2|1449319_at|1449319_at	mgi_symbol|Rspo1|Rspo1
affy_mouse430_2|1427306_at|1427306_at	mgi_symbol|Ryr1|Ryr1
affy_mouse430_2|1419394_s_at|1419394_s_at	mgi_symbol|S100a8|S100a8
affy_mouse430_2|1426916_at|1426916_at	mgi_symbol|Scrn3|Scrn3
affy_mouse430_2|1451513_x_at|1451513_x_at	mgi_symbol|Serpina1b|Serpina1b
affy_mouse430_2|1422644_at|1422644_at	mgi_symbol|Sh3bgr|Sh3bgr
affy_mouse430_2|1418751_at|1418751_at	mgi_symbol|Sit1|Sit1
affy_mouse430_2|1416316_at|1416316_at	mgi_symbol|Slc27a2|Slc27a2
affy_mouse430_2|1416639_at|1416639_at	mgi_symbol|Slc2a5|Slc2a5
affy_mouse430_2|1421225_a_at|1421225_a_at	mgi_symbol|Slc4a4|Slc4a4
affy_mouse430_2|1436239_at|1436239_at	mgi_symbol|Slc5a5|Slc5a5
affy_mouse430_2|1418095_at|1418095_at	mgi_symbol|Smpx|Smpx
affy_mouse430_2|1460407_at|1460407_at	mgi_symbol|Spib|Spib
affy_mouse430_2|1449254_at|1449254_at	mgi_symbol|Spp1|Spp1
affy_mouse430_2|1439016_x_at|1439016_x_at	mgi_symbol|Sprr2a|Sprr2a
affy_mouse430_2|1436867_at|1436867_at	mgi_symbol|Srl|Srl
affy_mouse430_2|1444644_x_at|1444644_x_at	mgi_symbol|Tatdn1|Tatdn1
affy_mouse430_2|1454769_at|1454769_at	mgi_symbol|Tatdn2|Tatdn2
affy_mouse430_2|1423145_a_at|1423145_a_at	mgi_symbol|Tcap|Tcap
affy_mouse430_2|1427764_a_at|1427764_a_at	mgi_symbol|Tcfe2a|Tcfe2a
affy_mouse430_2|1427849_a_at|1427849_a_at	mgi_symbol|Tcrb-V13|Tcrb-V13
affy_mouse430_2|1438504_x_at|1438504_x_at	mgi_symbol|Tm7sf3|Tm7sf3
affy_mouse430_2|1446160_x_at|1446160_x_at	mgi_symbol|Tmem69|Tmem69
affy_mouse430_2|1449969_at|1449969_at	mgi_symbol|Tmod4|Tmod4
affy_mouse430_2|1452389_at|1452389_at	mgi_symbol|Tnfrsf7|Tnfrsf7
affy_mouse430_2|1417464_at|1417464_at	mgi_symbol|Tnnc2|Tnnc2
affy_mouse430_2|1438609_x_at|1438609_x_at	mgi_symbol|Tnni2|Tnni2
affy_mouse430_2|1450118_a_at|1450118_a_at	mgi_symbol|Tnnt3|Tnnt3
affy_mouse430_2|1419524_at|1419524_at	mgi_symbol|Tph1|Tph1
affy_mouse430_2|1449577_x_at|1449577_x_at	mgi_symbol|Tpm2|Tpm2
affy_mouse430_2|1426143_at|1426143_at	mgi_symbol|Trdn|Trdn
affy_mouse430_2|1427445_a_at|1427445_a_at	mgi_symbol|Ttn|Ttn
affy_mouse430_2|1418197_at|1418197_at	mgi_symbol|Ucp1|Ucp1
affy_mouse430_2|1439163_at|1439163_at	mgi_symbol|Zbtb16|Zbtb16
affy_mouse430_2|1448857_a_at|1448857_a_at	mgi_symbol|Zdhhc12|Zdhhc12
affy_mouse430_2|1419366_at|1419366_at	mgi_symbol|Zmat5|Zmat5
