Probe Set ID	Gene Symbol	Corrected p-value	Regulation (Cerebellum vsCerebrum)
214203_s_at	PRODH	0.010848995	up
49077_at	PPME1	0.010848995	down
212462_at	MYST4	0.01099649	down
201362_at	IVNS1ABP	0.011180433	down
202421_at	IGSF3	0.011180433	down
213102_at	ACTR3	0.011180433	down
209301_at	CA2	0.011620536	up
200663_at	CD63	0.011655146	up
213479_at	NPTX2	0.012078079	up
219521_at	B3GAT1	0.012078079	down
208654_s_at	CD164	0.012433231	up
216321_s_at	NR3C1	0.012463787	up
202524_s_at	SPOCK2	0.012511288	up
211980_at	COL4A1	0.01258011	up
204621_s_at	NR4A2	0.012585036	down
207719_x_at	CEP170	0.012585036	down
200662_s_at	TOMM20	0.012676433	down
201360_at	CST3	0.012676433	up
201490_s_at	PPIF	0.012676433	up
202946_s_at	BTBD3	0.012676433	up
203868_s_at	VCAM1	0.012676433	up
205478_at	PPP1R1A	0.012676433	up
209292_at	ID4	0.012676433	up
209466_x_at	PTN	0.012676433	up
209660_at	TTR	0.012676433	up
209868_s_at	RBMS1	0.012676433	up
212230_at	PPAP2B	0.012676433	up
212325_at	LIMCH1	0.012676433	down
212642_s_at	HIVEP2	0.012676433	down
213920_at	CUX2	0.012676433	down
214634_at	HIST1H4B	0.012676433	down
216831_s_at	RUNX1T1	0.012676433	down
218641_at	LOC65998	0.012676433	down
219868_s_at	ANKFY1	0.012676433	up
220045_at	NEUROD6	0.012676433	down
201968_s_at	PGM1	0.012876092	up
205363_at	BBOX1	0.012876092	up
209094_at	DDAH1	0.012876092	up
214497_s_at	NHLH2	0.012876092	up
215127_s_at	RBMS1	0.012876092	up
205433_at	BCHE	0.012987309	up
213400_s_at	TBL1X	0.012987309	up
220326_s_at	FLJ10357	0.013333145	up
201255_x_at	BAT3	0.013367442	down
205747_at	CBLN1	0.013385409	up
204712_at	WIF1	0.014297655	up
206622_at	TRH	0.014297655	up
219277_s_at	OGDHL	0.014297655	up
219296_at	ZDHHC13	0.014297655	down
208986_at	TCF12	0.014397508	up
213832_at	KCND3	0.014397508	up
221950_at	EMX2	0.014397508	down
203603_s_at	ZEB2	0.014633183	down
200984_s_at	CD59	0.014633595	up
200793_s_at	ACO2	0.014659878	up
201418_s_at	SOX4	0.014659878	down
204872_at	TLE4	0.014659878	down
209047_at	AQP1	0.014659878	up
211275_s_at	GYG1	0.014659878	up
212859_x_at	MT1E	0.014659878	up
215228_at	NHLH2	0.014659878	up
218262_at	RMND5B	0.014659878	down
218736_s_at	PALMD	0.014659878	down
222106_at	PRND	0.014659878	up
201163_s_at	IGFBP7	0.014731083	up
201734_at	CLCN3	0.014731083	up
201752_s_at	ADD3	0.014731083	up
202968_s_at	DYRK2	0.014731083	down
203296_s_at	ATP1A2	0.014731083	up
203413_at	NELL2	0.014731083	down
206403_at	ZNF536	0.014731083	up
208248_x_at	APLP2	0.014731083	up
209205_s_at	LMO4	0.014731083	down
209869_at	ADRA2A	0.014731083	down
211368_s_at	CASP1	0.014731083	up
211976_at	---	0.014731083	down
212412_at	PDLIM5	0.014731083	up
213601_at	SLIT1	0.014731083	down
215005_at	NECAB2	0.014731083	up
216231_s_at	B2M	0.014731083	up
216331_at	ITGA7	0.014731083	up
217202_s_at	GLUL	0.014731083	up
218285_s_at	BDH2	0.014731083	up
219572_at	CADPS2	0.014731083	up
221748_s_at	TNS1	0.014731083	up
203476_at	TPBG	0.014749819	up
200804_at	TMBIM6	0.014903597	up
204796_at	EML1	0.014903597	down
204823_at	NAV3	0.014903597	down
209109_s_at	TSPAN6	0.014903597	up
209436_at	SPON1	0.014903597	up
212746_s_at	CEP170	0.014903597	down
213551_x_at	PCGF2	0.014903597	down
214667_s_at	TP53I11	0.014903597	down
203259_s_at	HDDC2	0.015076148	up
206018_at	FOXG1	0.015076148	down
205116_at	LAMA2	0.015176204	up
217969_at	C11orf2	0.01520697	down
209064_x_at	PAIP1	0.015414204	down
207266_x_at	RBMS1	0.015449151	up
206306_at	RYR3	0.015767157	up
212320_at	TUBB	0.016006928	down
202153_s_at	NUP62	0.016241888	down
201891_s_at	B2M	0.016601907	up
206283_s_at	TAL1	0.016601907	up
208092_s_at	FAM49A	0.016601907	down
211714_x_at	TUBB	0.016601907	down
211962_s_at	ZFP36L1	0.016601907	up
205659_at	HDAC9	0.01663776	down
217757_at	A2M	0.016655033	up
202788_at	MAPKAPK3	0.016845908	up
201417_at	SOX4	0.016929109	down
201426_s_at	VIM	0.016929109	up
203903_s_at	HEPH	0.016929109	up
206481_s_at	LDB2	0.016929109	down
212899_at	CDC2L6	0.016929109	down
213338_at	TMEM158	0.016929109	down
219528_s_at	BCL11B	0.016929109	down
220291_at	GDPD2	0.016929109	up
221012_s_at	TRIM8	0.016929109	up
58780_s_at	FLJ10357	0.016929109	up
207761_s_at	METTL7A	0.017138766	up
212327_at	LIMCH1	0.017138766	down
204678_s_at	KCNK1	0.017138785	up
210814_at	TRPC3	0.017138785	up
203885_at	RAB21	0.01719951	up
203390_s_at	KIF3C	0.017266033	down
205771_s_at	AKAP7	0.017266033	down
209178_at	DHX38	0.017266033	down
209199_s_at	MEF2C	0.017266033	down
213085_s_at	WWC1	0.017266033	down
202396_at	TCERG1	0.017307464	down
202668_at	EFNB2	0.017307464	down
209683_at	FAM49A	0.017307464	down
208723_at	USP11	0.017471947	down
201780_s_at	RNF13	0.017473772	up
212646_at	RFTN1	0.017473772	up
214785_at	VPS13A	0.017473772	up
213904_at	---	0.01772674	up
201341_at	ENC1	0.018499702	down
202239_at	PARP4	0.018499702	up
207182_at	GABRA6	0.018499702	up
207307_at	HTR2C	0.018499702	up
212799_at	STX6	0.01889715	down
218048_at	COMMD3	0.01889715	down
202087_s_at	CTSL1	0.018992204	up
200731_s_at	PTP4A1	0.019399252	down
201301_s_at	ANXA4	0.019399252	up
50965_at	RAB26	0.019399252	up
201519_at	TOMM70A	0.01972567	down
217028_at	CXCR4	0.02011224	up
217728_at	S100A6	0.020477938	up
222325_at	---	0.020768536	up
200654_at	P4HB	0.020831147	up
202022_at	ALDOC	0.020831147	up
207084_at	POU3F2	0.020831147	down
214852_x_at	VPS13A	0.020831147	up
200660_at	S100A11	0.021101344	up
209530_at	CACNB3	0.021101344	down
216041_x_at	GRN	0.021101344	up
221802_s_at	KIAA1598	0.021101344	down
217775_s_at	RDH11	0.021174114	up
200747_s_at	NUMA1	0.021233937	down
207443_at	NR2E1	0.021233937	down
212328_at	LIMCH1	0.021233937	down
201162_at	IGFBP7	0.021318361	up
201579_at	FAT1	0.021318361	up
203790_s_at	HRSP12	0.021318361	up
204657_s_at	SHB	0.021318361	down
206408_at	LRRTM2	0.021318361	down
207725_at	POU4F2	0.021318361	up
209050_s_at	RALGDS	0.021318361	down
209686_at	S100B	0.021318361	up
212747_at	ANKS1A	0.021318361	up
214230_at	CDC42	0.021318361	down
201193_at	IDH1	0.021494288	down
203562_at	FEZ1	0.021494288	down
212314_at	KIAA0746	0.021494288	down
220392_at	EBF2	0.021494288	up
204905_s_at	EEF1E1	0.021500194	up
210809_s_at	POSTN	0.021589635	up
47550_at	LZTS1	0.021589635	down
213192_at	THAP3	0.02170064	down
202291_s_at	MGP	0.021718657	up
203001_s_at	STMN2	0.021718657	down
221288_at	GPR22	0.021718657	down
221673_s_at	CSNK1G1	0.021718657	down
202594_at	LEPROTL1	0.021795683	down
220359_s_at	ARPP-21	0.02213988	down
218603_at	HECA	0.02221164	down
212222_at	PSME4	0.022266204	down
212761_at	TCF7L2	0.022272345	up
212551_at	CAP2	0.022334242	down
201150_s_at	TIMP3	0.022681931	up
200705_s_at	EEF1B2	0.02300685	down
212195_at	IL6ST	0.02300685	up
203570_at	LOXL1	0.023140235	up
206101_at	ECM2	0.023140235	up
207147_at	DLX2	0.023140235	down
208647_at	FDFT1	0.023159776	down
202016_at	MEST	0.023175469	up
203761_at	SLA	0.023175469	down
204320_at	COL11A1	0.023175469	up
204355_at	DHX30	0.023175469	down
212151_at	PBX1	0.023175469	down
213720_s_at	SMARCA4	0.023175469	down
214680_at	NTRK2	0.023175469	up
217964_at	TTC19	0.023175469	up
221812_at	FBXO42	0.023175469	down
218829_s_at	CHD7	0.023234881	up
202075_s_at	PLTP	0.023348348	up
213353_at	ABCA5	0.023348348	up
208703_s_at	APLP2	0.023453271	up
204497_at	ADCY9	0.023676803	up
214257_s_at	---	0.023909207	up
209158_s_at	CYTH2	0.023950152	down
201648_at	JAK1	0.024350861	up
204797_s_at	EML1	0.024350861	down
212445_s_at	NEDD4L	0.024369502	down
204415_at	IFI6	0.024422472	up
201247_at	SREBF2	0.024478959	down
201368_at	ZFP36L2	0.024478959	up
203760_s_at	SLA	0.024478959	down
218319_at	PELI1	0.024478959	down
205248_at	DOPEY2	0.024622058	down
206882_at	SLC1A6	0.024622058	up
218284_at	SMAD3	0.024622058	up
216570_x_at	RPL29 /// RPL29P11 /// RPL29P12 /// RPL29P15 /// RPL29P26 /// RPL29P31 /// RPL29P6 /// RPL29P9	0.024635635	down
208791_at	CLU	0.02488458	up
222010_at	TCP1	0.02488458	down
201753_s_at	ADD3	0.02501963	up
217140_s_at	LOC100133724 /// VDAC1	0.02524499	up
209026_x_at	TUBB	0.025512572	down
212510_at	GPD1L	0.026232978	down
213258_at	TFPI	0.02629595	up
214839_at	LOC157627	0.02629595	down
220939_s_at	DPP8	0.026489262	up
221530_s_at	BHLHE41	0.026617534	up
201172_x_at	ATP6V0E1	0.02663498	up
204679_at	KCNK1	0.02663498	up
205152_at	SLC6A1	0.02663498	up
200923_at	LGALS3BP /// LOC100133842	0.026693072	up
206373_at	ZIC1	0.026693072	up
210179_at	KCNJ13	0.026693072	up
205253_at	PBX1	0.026736708	down
219042_at	LZTS1	0.026736708	down
219987_at	---	0.026736708	up
205489_at	CRYM	0.026969781	down
211596_s_at	LRIG1	0.026969781	up
209513_s_at	HSDL2	0.027018748	up
200604_s_at	PRKAR1A	0.02718073	up
201581_at	TMX4	0.027342292	up
91920_at	BCAN	0.027342292	up
202147_s_at	IFRD1	0.027502727	down
213676_at	TMEM151B	0.027502727	down
217853_at	TNS3	0.027502727	up
218035_s_at	RBM47	0.027502727	up
219884_at	LHX6	0.027502727	down
202424_at	MAP2K2	0.027522638	down
213058_at	TTC28	0.027522638	down
214043_at	PTPRD	0.027522638	down
204850_s_at	DCX	0.027615028	down
209218_at	SQLE	0.027615028	down
218917_s_at	ARID1A	0.027621156	down
201709_s_at	NIPSNAP1	0.027702676	down
203000_at	STMN2	0.027785609	down
203625_x_at	SKP2	0.027785609	up
206071_s_at	EPHA3	0.027785609	down
212148_at	PBX1	0.027785609	down
204327_s_at	ZNF202	0.027798027	down
200872_at	S100A10	0.027825488	up
202800_at	SLC1A3	0.027825488	up
202952_s_at	ADAM12	0.027825488	up
204995_at	CDK5R1	0.027825488	down
213056_at	FRMD4B	0.027825488	down
213508_at	C14orf147	0.027825488	up
214628_at	NHLH1	0.027825488	up
218706_s_at	GRAMD3	0.027825488	up
213413_at	STON1	0.027910188	up
203748_x_at	RBMS1	0.028011346	up
35265_at	FXR2	0.028351147	down
203855_at	WDR47	0.02844845	down
201063_at	RCN1	0.028526356	up
212641_at	HIVEP2	0.028792322	down
219054_at	C5orf23	0.028792322	down
205445_at	PRL	0.029072141	up
210653_s_at	BCKDHB	0.029093342	up
212594_at	PDCD4	0.029093342	up
209663_s_at	ITGA7	0.02945946	up
210950_s_at	FDFT1	0.02945946	down
209267_s_at	SLC39A8	0.029555956	up
210198_s_at	PLP1	0.029555956	up
218323_at	RHOT1	0.029555956	down
218490_s_at	ZNF302	0.029555956	down
201339_s_at	SCP2	0.029874153	up
215707_s_at	PRNP	0.029874153	up
206989_s_at	SFRS2IP	0.029887237	up
201399_s_at	TRAM1	0.029926948	up
202731_at	PDCD4	0.029926948	up
205206_at	KAL1	0.029926948	up
205528_s_at	RUNX1T1	0.029926948	down
205573_s_at	SNX7	0.029926948	down
209202_s_at	EXTL3	0.029926948	down
210839_s_at	ENPP2	0.029926948	up
213273_at	ODZ4	0.029926948	down
214844_s_at	DOK5	0.029926948	down
203837_at	MAP3K5	0.029977148	up
206243_at	TIMP4	0.030111728	up
210053_at	TAF5	0.03027888	down
206230_at	LHX1	0.030383276	up
201034_at	ADD3	0.030458424	up
201412_at	LRP10	0.030883407	up
204122_at	TYROBP	0.030883407	up
204607_at	HMGCS2	0.030883407	down
212063_at	CD44	0.030883407	up
212774_at	ZNF238	0.030883407	down
213679_at	TTC30A	0.030883407	up
218437_s_at	LZTFL1	0.030883407	up
205453_at	HOXB2	0.031148007	up
205923_at	RELN	0.031148007	up
206863_x_at	---	0.031148007	up
215247_at	LOC440895	0.031148007	up
217975_at	WBP5	0.031148007	up
220156_at	EFCAB1	0.031148007	up
221543_s_at	ERLIN2	0.031148007	up
221958_s_at	GPR177	0.0312553	up
205330_at	MN1	0.03126153	down
205384_at	FXYD1	0.03126153	up
208812_x_at	HLA-C	0.03126153	up
219179_at	DACT1	0.03126153	down
203389_at	KIF3C	0.031354148	down
210871_x_at	SSX2IP	0.031354148	down
216262_s_at	TGIF2	0.031354148	up
210066_s_at	AQP4	0.03139404	up
222258_s_at	SH3BP4	0.03139404	up
203295_s_at	ATP1A2	0.03150408	up
204719_at	ABCA8	0.03153797	up
209737_at	MAGI2	0.03153797	down
213484_at	---	0.031576566	down
204808_s_at	TMEM5	0.031585373	up
202880_s_at	CYTH1	0.0316393	down
209276_s_at	GLRX	0.0316393	down
203060_s_at	PAPSS2	0.031657163	up
203066_at	GALNAC4S-6ST	0.031657163	down
203159_at	GLS	0.031657163	up
207501_s_at	FGF12	0.031657163	down
215045_at	TNRC4	0.031657163	down
209815_at	PTCH1	0.031695165	up
212366_at	ZNF292	0.031695165	down
213912_at	FLJ41278 /// TBC1D30	0.031695165	down
201028_s_at	CD99	0.031731922	up
201061_s_at	STOM	0.031731922	up
201236_s_at	BTG2	0.031731922	up
201302_at	ANXA4	0.031731922	up
201552_at	LAMP1	0.031731922	up
204082_at	PBX3	0.031731922	up
204998_s_at	ATF5	0.031731922	down
205268_s_at	ADD2	0.031731922	down
205626_s_at	CALB1	0.031731922	up
205637_s_at	SH3GL3	0.031731922	down
206159_at	GDF10	0.031731922	up
206552_s_at	TAC1	0.031731922	up
208006_at	FOXI1	0.031731922	up
208465_at	GRM2	0.031731922	down
209120_at	NR2F2	0.031731922	up
209167_at	GPM6B	0.031731922	up
209291_at	ID4	0.031731922	up
210271_at	NEUROD2	0.031731922	down
211060_x_at	GPAA1	0.031731922	up
211379_x_at	B3GALNT1	0.031731922	up
212423_at	ZCCHC24	0.031731922	up
212700_x_at	PLEKHM1	0.031731922	up
213849_s_at	PPP2R2B	0.031731922	down
215416_s_at	STOML2	0.031731922	up
216306_x_at	PTBP1	0.031731922	up
216511_s_at	TCF7L2	0.031731922	up
217811_at	SELT	0.031731922	up
217882_at	TMEM111	0.031731922	up
219569_s_at	TMEM22	0.031731922	up
219732_at	RP11-35N6.1	0.031731922	down
219747_at	C4orf31	0.031731922	up
221735_at	WDR48	0.031731922	down
34726_at	CACNB3	0.031731922	down
58367_s_at	ZNF419	0.031731922	down
212549_at	STAT5B	0.03194943	down
218047_at	OSBPL9	0.03194943	up
214811_at	RIMBP2	0.032111794	down
201590_x_at	ANXA2	0.032130662	up
210302_s_at	MAB21L2	0.032130662	up
212311_at	KIAA0746	0.032130662	down
200019_s_at	FAU	0.03237631	down
208792_s_at	CLU	0.03247011	up
219151_s_at	RABL2A /// RABL2B	0.032781094	down
201554_x_at	GYG1	0.032796934	up
210040_at	SLC12A5	0.032796934	up
210830_s_at	PON2	0.032836188	up
215632_at	NEUROG2	0.032836188	down
200975_at	PPT1	0.032874122	up
203908_at	SLC4A4	0.0329417	up
210929_s_at	AHSG /// LOC100131613	0.0329417	down
204730_at	RIMS3	0.03366679	up
200852_x_at	GNB2	0.033682875	down
201829_at	NET1	0.033682875	up
205405_at	SEMA5A	0.033682875	up
210906_x_at	AQP4	0.033682875	up
213294_at	EIF2AK2	0.033682875	up
214795_at	ZMYND8	0.033682875	up
220199_s_at	AIDA	0.033685748	up
209684_at	RIN2	0.033797532	up
201778_s_at	KIAA0494	0.033885013	up
202149_at	NEDD9	0.033885013	down
209670_at	TRAC	0.033885013	up
202283_at	SERPINF1	0.034251686	up
203789_s_at	SEMA3C	0.034344275	down
219873_at	COLEC11	0.034344275	up
212495_at	KDM4B	0.03454507	down
208916_at	SLC1A5	0.0349618	up
36499_at	CELSR2	0.0349618	down
202969_at	DYRK2	0.035000555	down
211070_x_at	DBI	0.035000555	up
214971_s_at	ST6GAL1	0.035000555	down
217231_s_at	MAST1	0.035000555	down
210829_s_at	SSBP2	0.03515339	down
217841_s_at	PPME1	0.03515339	down
219743_at	HEY2	0.03515339	up
200742_s_at	TPP1	0.035202697	up
201248_s_at	SREBF2	0.035202697	down
203661_s_at	TMOD1	0.035202697	down
212077_at	CALD1	0.035202697	up
218826_at	SLC35F2	0.035202697	down
222011_s_at	TCP1	0.035368226	down
205466_s_at	HS3ST1	0.035464697	down
210379_s_at	TLK1	0.03562482	up
204824_at	ENDOG	0.035757773	down
45653_at	KCTD13	0.035807837	down
212770_at	TLE3	0.03612475	down
208818_s_at	COMT	0.03620875	up
217814_at	CCDC47	0.036343917	up
204484_at	PIK3C2B	0.036450673	down
205710_at	LRP2	0.036450673	up
205100_at	GFPT2	0.036459655	up
212163_at	KIDINS220	0.036459655	down
217804_s_at	ILF3	0.036459655	down
217913_at	VPS4A	0.036461588	down
215472_at	PACRG	0.036555372	up
203303_at	DYNLT3	0.03658253	up
209460_at	ABAT	0.03658253	up
209560_s_at	DLK1	0.036700808	up
211651_s_at	LAMB1	0.036797732	up
209757_s_at	MYCN	0.0369971	down
212196_at	IL6ST	0.03705266	up
217906_at	KLHDC2	0.03705266	down
204039_at	CEBPA	0.037196785	up
205990_s_at	WNT5A	0.037196785	up
206953_s_at	LPHN2	0.037196785	up
209661_at	KIFC3	0.03735446	down
213900_at	C9orf61	0.03735446	up
201395_at	RBM5	0.037363708	down
210135_s_at	SHOX2	0.03762505	up
202589_at	TYMS	0.03779031	up
205901_at	PNOC	0.03779031	up
212226_s_at	PPAP2B	0.03779031	up
211964_at	COL4A2	0.037816826	up
218410_s_at	PGP	0.037831586	up
209243_s_at	PEG3 /// ZIM2	0.037860066	up
204491_at	PDE4D	0.038095526	down
211600_at	PTPRO	0.038095526	up
218714_at	PRR14	0.038095526	down
204917_s_at	MLLT3	0.03825607	down
205030_at	FABP7	0.03825607	down
200721_s_at	ACTR1A	0.038365897	down
204783_at	MLF1	0.038397044	up
211558_s_at	DHPS	0.03848158	down
200701_at	NPC2	0.038500052	up
204811_s_at	CACNA2D2	0.038500052	up
207808_s_at	PROS1	0.038500052	up
222127_s_at	EXOC1	0.038500052	down
205130_at	RAGE	0.038525134	down
213426_s_at	CAV2	0.038525134	up
202242_at	TSPAN7	0.03852602	up
220757_s_at	UBXN6	0.03852602	down
221588_x_at	ALDH6A1	0.03861657	up
202812_at	GAA	0.03871064	down
211787_s_at	EIF4A1	0.03884675	down
201149_s_at	TIMP3	0.038977567	up
201659_s_at	ARL1	0.038977567	up
201865_x_at	NR3C1	0.039005343	up
204914_s_at	SOX11	0.039005343	down
208650_s_at	CD24	0.039165273	down
208937_s_at	ID1	0.039165273	up
217198_x_at	IGH@ /// IGHD /// IGHG1 /// LOC100126583 /// LOC100134331 /// LOC652128	0.039165273	up
201897_s_at	CKS1B	0.0393266	up
202157_s_at	CUGBP2	0.0393266	down
202990_at	PYGL	0.0393266	up
215081_at	KIAA1024	0.0393266	up
200990_at	TRIM28	0.039330173	down
203941_at	INTS9	0.039330173	down
205186_at	DNALI1	0.039330173	up
206070_s_at	EPHA3	0.039330173	down
206915_at	NKX2-2	0.039330173	up
209635_at	AP1S1	0.039330173	down
209710_at	GATA2	0.039330173	up
212680_x_at	PPP1R14B	0.039330173	down
215773_x_at	PARP2	0.039330173	down
218197_s_at	OXR1	0.039330173	up
210373_at	TUSC4	0.039590374	down
202336_s_at	PAM	0.039726004	up
202606_s_at	TLK1	0.039726004	up
202802_at	DHPS	0.039726004	down
206197_at	NME5	0.039726004	up
210082_at	ABCA4	0.039726004	up
201530_x_at	EIF4A1	0.04015399	down
201398_s_at	TRAM1	0.040399946	up
204773_at	IL11RA	0.040399946	up
204869_at	PCSK2	0.040399946	up
205442_at	MFAP3L	0.040399946	up
209748_at	SPAST	0.040399946	down
213932_x_at	HLA-A	0.040399946	up
215089_s_at	RBM10	0.040399946	down
218974_at	SOBP	0.040399946	down
219463_at	C20orf103	0.040399946	up
222236_s_at	ASAP3	0.040399946	up
45687_at	PRR14	0.040399946	down
201864_at	GDI1	0.040749796	down
202332_at	CSNK1E	0.040749796	down
208655_at	---	0.040749796	down
209437_s_at	SPON1	0.040749796	up
32209_at	FAM89B	0.040749796	down
220892_s_at	PSAT1	0.04075032	up
200850_s_at	AHCYL1	0.040765304	up
200911_s_at	TACC1	0.04126499	up
200983_x_at	CD59	0.04126499	up
207197_at	ZIC3	0.04126499	up
207853_s_at	SNCB	0.04126499	up
209692_at	EYA2	0.04126499	up
211556_at	MAPRE2	0.04126499	down
213306_at	MPDZ	0.04126499	up
216383_at	RPL18A /// RPL18AP3 /// RPL18AP6	0.04126499	down
211219_s_at	LHX2	0.041628372	down
220294_at	KCNV1	0.041650686	down
201286_at	SDC1	0.04169546	up
205218_at	POLR3F	0.04169546	down
210170_at	PDLIM3	0.04169546	up
221864_at	ORAI3	0.04169546	up
221898_at	PDPN	0.04169546	up
219365_s_at	CAMKV	0.042114876	down
213467_at	RND2	0.042138796	up
208433_s_at	LRP8	0.042284638	down
213867_x_at	ACTB	0.042284638	down
214950_at	IL9R /// IL9RP3	0.042284638	up
204411_at	KIF21B	0.042366683	down
208451_s_at	C4A /// C4B	0.042366683	up
213110_s_at	COL4A5	0.042366683	up
208683_at	CAPN2	0.042485334	up
205709_s_at	CDS1	0.04253692	up
207030_s_at	CSRP2	0.04253692	down
211419_s_at	CHN2	0.04253692	down
214039_s_at	LAPTM4B	0.04253692	up
212358_at	CLIP3	0.042722106	down
202555_s_at	MYLK	0.04302614	up
208877_at	PAK2	0.043224566	down
205029_s_at	FABP7	0.043293968	down
217756_x_at	HYPK /// SERF2	0.04342126	up
202168_at	TAF9	0.043663763	down
221560_at	MARK4	0.043663763	down
206444_at	PDE1B	0.043896638	up
209072_at	MBP	0.044081293	up
201007_at	HADHB	0.044290192	up
200774_at	FAM120A	0.044373617	up
211913_s_at	MERTK	0.04442052	up
200665_s_at	SPARC	0.0445346	up
203705_s_at	FZD7	0.0445346	up
204671_s_at	ANKRD6	0.0445346	up
209147_s_at	PPAP2A	0.0445346	up
211270_x_at	PTBP1	0.0445346	up
211598_x_at	VIPR2	0.0445346	up
212599_at	AUTS2	0.0445346	down
215001_s_at	GLUL	0.0445346	up
217764_s_at	RAB31	0.0445346	up
49306_at	RASSF4	0.0445346	up
65133_i_at	INO80B	0.0445346	down
218277_s_at	DHX40	0.044544622	up
217122_s_at	RP11-345P4.4	0.04459515	down
208093_s_at	NDEL1	0.044628493	down
221207_s_at	NBEA	0.04474847	down
207542_s_at	AQP1	0.045103867	up
211528_x_at	HLA-G	0.04528826	up
201397_at	PHGDH	0.045507904	up
208807_s_at	CHD3	0.045507904	down
208841_s_at	G3BP2	0.045507904	down
208948_s_at	STAU1	0.045507904	down
209459_s_at	ABAT	0.045507904	up
222116_s_at	TBC1D16	0.045507904	up
216944_s_at	ITPR1	0.04552235	up
206425_s_at	TRPC3	0.045620356	up
219107_at	BCAN	0.045620356	up
219279_at	DOCK10	0.045620356	up
218123_at	C21orf59	0.045950454	up
208704_x_at	APLP2	0.046058666	up
200644_at	MARCKSL1	0.04632528	down
203304_at	BAMBI	0.04632528	up
208699_x_at	TKT	0.04632528	down
39966_at	CSPG5	0.04632528	up
200844_s_at	PRDX6	0.0466954	up
201645_at	TNC	0.0466954	up
207164_s_at	ZNF238	0.0466954	down
212586_at	CAST	0.0466954	up
212897_at	CDC2L6	0.0466954	down
215111_s_at	TSC22D1	0.0466954	down
219116_s_at	DCUN1D2	0.0466954	up
221307_at	KCNIP1	0.0466954	up
209966_x_at	ESRRG	0.046754707	up
203545_at	ALG8	0.046966624	up
200675_at	CD81	0.04704513	up
201941_at	CPD	0.04704513	up
202386_s_at	KIAA0430	0.04704513	down
203882_at	IRF9	0.04704513	up
209559_at	HIP1R	0.04704513	down
209767_s_at	GP1BB /// SEPT5	0.04704513	down
211721_s_at	ZNF551	0.04704513	down
212209_at	MED13L	0.04704513	down
213326_at	VAMP1	0.04704513	up
213474_at	KCTD7	0.04704513	down
214098_at	KIAA1107	0.04704513	up
214099_s_at	PDE4DIP	0.04704513	down
202702_at	TRIM26	0.047062617	up
208990_s_at	HNRNPH3	0.047062617	down
206531_at	DPF1	0.047079913	down
200778_s_at	SEPT2	0.047188926	up
208698_s_at	NONO	0.047314662	down
211742_s_at	EVI2B	0.047379285	down
200677_at	PTTG1IP	0.04741082	up
221002_s_at	TSPAN14	0.04764087	down
202207_at	ARL4C	0.04774514	down
211404_s_at	APLP2	0.04774514	up
219255_x_at	IL17RB	0.04774514	up
204642_at	S1PR1	0.047784638	up
204530_s_at	TOX	0.048175495	down
