Gene	HR
SCRN3	0.5
EEF1B2	1.8
NAT10	1.6
CDK4	1.5
CDK5RAP1	1.6
SMYD5	1.7
RANBP1	1.4
H2AFY	0.7
RPS3	2.2
VKORC1	1.6
DDX19A	1.8
PFDN2	1.5
IMP4	1.5
GCSH	1.5
NELF	1.5
LMNB2	1.6
DDX28	1.5
SSSCA1	1.5
GNB2L1	1.8
FOXJ1	1.6
M6PR	1.6
MCM3	1.4
MYLIP	1.5
CNPY2	1.6
EEF1G	2.3
DHX30	1.6
PSMB4	1.7
ALDH7A1	1.5
TNFSF13	0.8
C16orf58	2
DDX49	1.8
MTX1	1.5
ZNF593	1.4
ATP1A1	0.7
NFATC2IP	0.7
MRPS28	1.4
CPSF1	1.5
MACROD1	1.4
GADD45GIP1	1.4
GP2	0.8
POLR1C	1.5
RPL12	2.4
PRPF3	1.6
EEF1G	2.4
KAT2A	1.6
TSFM	1.7
MINA	1.5
EIF4B	2.1
PSMD4	1.6
ATP5G1	1.6
APRT	1.5
EXOSC5	1.4
OSBPL1A	0.8
NOL7	1.5
KLHDC3	1.6
SPTLC2	1.6
RPS5	1.8
TNFRSF11A	0.7
EIF2B4	1.6
POLG2	1.6
EIF3C	1.6
TRMT12	1.4
NRTN	2.2
TFDP2	1.4
C14orf1	1.5
RPL38	2.3
RPL14	1.7
ZNF259	1.6
NLE1	1.4
CSE1L	1.3
RPL15	2
BANF1	1.4
C17orf90	1.7
MED18	0.5
FLAD1	1.5
MAN1B1	2
FTSJ2	1.6
DNPEP	1.6
GPR172A	1.4
LOC552889	0.7
CLNS1A	1.4
MCM7	1.3
MDN1	1.5
CDC34	1.5
TEX264	1.7
APRT	1.5
OPA3	0.6
MRPS7	1.5
TUSC4	1.8
GPR175	1.7
GPSN2	1.4
TTC38	0.7
FAM86B1	1.4
LSM4	1.4
THG1L	1.6
MRPS2	1.4
SLC29A2	1.5
RPL3	2.4
FAU	1.9
EXOSC4	1.4
DNAJB12	1.7
RPS9	1.9
CCNB1IP1	1.3
EIF3L	1.8
MRPL11	1.4
METRN	1.5
DDB1	1.8
LONP1	1.6
RPL12	2.1
RPL3	2.7
GLG1	1.6
DDAH2	1.3
CPNE3	1.5
ICT1	1.4
VARS	1.3
ITPA	1.8
GP2	0.9
SF3B2	1.9
SGSM3	0.7
RPL12	2.2
FUS	1.5
YY1	1.5
EIF3CL	1.6
CHCHD8	1.6
PSMB7	1.4
RPL4	1.6
CDCA4	1.4
PAAF1	1.3
POLR2H	1.6
KATNB1	1.5
CHST5	1.5
C6orf48	1.3
FLAD1	1.5
LY6E	1.2
NUDC	1.4
TRAPPC2L	1.5
AGFG1	0.7
RPLP0P6	1.7
RPL29	1.6
