Detector	Control CT	EV CT	Delta CT
hsa-miR-497	40	36.464056	-3.535944
hsa-miR-493	40	36.5111235	-3.4888765
hsa-miR-34a	40	36.5123025	-3.4876975
hsa-miR-92a	28.466501	25.00256	-3.463941
hsa-miR-363	40	36.5362225	-3.4637775
hsa-miR-337-5p	40	36.579135	-3.420865
hsa-miR-30a	31.645018	28.227438	-3.41758
hsa-miR-197	30.574062	27.179323	-3.394739
hsa-miR-25	32.766075	29.3761165	-3.3899585
hsa-miR-410	36.015514	32.645356	-3.370158
hsa-miR-99a	40	36.664959	-3.335041
hsa-miR-20a	40	36.667045	-3.332955
hsa-miR-505	40	36.681877	-3.318123
hsa-miR-423-5p	34.40454	31.090994	-3.313546
hsa-miR-148b	40	36.695035	-3.304965
hsa-miR-199a-3p	31.528717	28.3027535	-3.2259635
hsa-miR-99b	40	36.7853125	-3.2146875
hsa-miR-99a	40	36.80008	-3.19992
hsa-miR-126	30.530334	27.34194	-3.188394
hsa-miR-190b	40	36.8503265	-3.1496735
hsa-miR-629	40	36.86561	-3.13439
hsa-miR-194	40	36.870842	-3.129158
hsa-miR-433	40	36.8922235	-3.1077765
hsa-miR-19a	31.126963	28.0285055	-3.0984575
hsa-miR-511	40	37.014204	-2.985796
hsa-miR-376c	34.368492	31.399171	-2.969321
hsa-miR-938	40	37.086865	-2.913135
hsa-miR-645	40	37.089735	-2.910265
hsa-miR-518b	40	37.093218	-2.906782
hsa-miR-106a	27.622631	24.7439845	-2.8786465
hsa-miR-744	33.92014	31.0566565	-2.8634835
hsa-miR-223	30.460938	27.624427	-2.836511
hsa-miR-579	40	37.166313	-2.833687
hsa-miR-379	40	37.184391	-2.815609
hsa-miR-486-5p	30.326773	27.525142	-2.801631
hsa-miR-324-5p	40	37.19889	-2.80111
hsa-miR-190	40	37.199423	-2.800577
hsa-miR-708	40	37.206855	-2.793145
hsa-miR-656	40	37.2082235	-2.7917765
hsa-miR-874	40	37.2089655	-2.7910345
hsa-miR-941	40	37.225245	-2.774755
hsa-miR-645	40	37.2415065	-2.7584935
hsa-miR-643	40	37.270415	-2.729585
hsa-miR-16-1	40	37.28323	-2.71677
hsa-miR-769-5p	40	37.3088625	-2.6911375
hsa-miR-923	28.937572	26.247178	-2.690394
hsa-miR-196b	40	37.3314285	-2.6685715
hsa-miR-301b	40	37.3457415	-2.6542585
hsa-miR-548d-5p	40	37.376402	-2.623598
hsa-miR-19b	26.268332	23.64787	-2.620462
hsa-miR-576-3p	40	37.39878	-2.60122
hsa-miR-103	34.320007	31.753254	-2.566753
hsa-miR-548c-5p	40	37.4451925	-2.5548075
hsa-miR-486-3p	40	37.4651815	-2.5348185
hsa-miR-515-3p	40	37.4709185	-2.5290815
hsa-miR-502-3p	40	37.480118	-2.519882
hsa-miR-17	27.292595	24.7817745	-2.5108205
hsa-miR-497	40	37.4920675	-2.5079325
hsa-miR-214	40	37.519684	-2.480316
hsa-miR-655	40	37.519835	-2.480165
hsa-miR-923	28.739864	26.2737185	-2.4661455
hsa-miR-656	40	37.5706175	-2.4293825
hsa-miR-195	29.904259	27.5612385	-2.3430205
hsa-miR-93	33.42115	31.1081845	-2.3129655
hsa-miR-181a	34.067997	31.788211	-2.279786
hsa-miR-660	33.030464	30.7971575	-2.2333065
hsa-miR-30b	29.728378	27.5029185	-2.2254595
hsa-miR-30e	31.428734	29.2134505	-2.2152835
hsa-miR-573	40	37.810251	-2.189749
hsa-miR-185	32.729076	30.5572795	-2.1717965
hsa-miR-513-3p	40	37.842625	-2.157375
hsa-miR-142-3p	28.88848	26.7427715	-2.1457085
hsa-miR-28-5p	33.799274	31.67175	-2.127524
hsa-miR-193a-3p	40	37.889248	-2.110752
hsa-miR-29a	31.743776	29.6363175	-2.1074585
hsa-miR-652	38.591915	36.509925	-2.08199
hsa-miR-192	32.140987	30.0759505	-2.0650365
hsa-miR-365	35.562634	33.5731765	-1.9894575
hsa-miR-532-3p	35.238922	33.3383615	-1.9005605
hsa-miR-27b	40	38.119455	-1.880545
hsa-miR-16	23.463104	21.5898225	-1.8732815
hsa-miR-24	25.471468	23.6069815	-1.8644865
hsa-miR-409-3p	30.82282	29.024893	-1.797927
hsa-miR-133b	40	38.2118815	-1.7881185
hsa-miR-106b	30.598719	28.8124715	-1.7862475
hsa-miR-889	40	38.21579	-1.78421
hsa-miR-409-3p	31.153688	29.3748915	-1.7787965
hsa-miR-183	40	38.229393	-1.770607
hsa-miR-122	32.13503	30.3786565	-1.7563735
hsa-miR-26b	31.010382	29.279632	-1.73075
hsa-miR-193b	31.03827	29.309475	-1.728795
hsa-miR-769-5p	40	38.272385	-1.727615
hsa-miR-219-1-3p	40	38.27806	-1.72194
hsa-miR-145	30.979397	29.258277	-1.72112
hsa-miR-133a	32.66309	30.972501	-1.690589
hsa-miR-28-3p	30.717045	29.053172	-1.663873
hsa-miR-200c	34.31002	32.664999	-1.645021
hsa-miR-186	28.263348	26.628508	-1.63484
hsa-miR-30c	29.19323	27.5591355	-1.6340945
hsa-miR-886-5p	35.114567	33.563924	-1.550643
hsa-miR-361-5p	40	38.474863	-1.525137
hsa-miR-452	37.170223	35.7088285	-1.4613945
hsa-miR-138	32.39706	30.9632385	-1.4338215
hsa-miR-380	40	38.598467	-1.401533
hsa-miR-138-1	29.741642	28.416255	-1.325387
hsa-miR-135a	23.58059	22.297432	-1.283158
hsa-miR-140-3p	31.399847	30.133367	-1.26648
hsa-let-7d	29.77897	28.5412765	-1.2376935
hsa-miR-937	40	38.76247	-1.23753
	40	38.76814	-1.23186
hsa-miR-146a	24.814512	23.5851915	-1.2293205
hsa-miR-376a	31.876545	30.660476	-1.216069
hsa-miR-15b	32.016846	30.8857435	-1.1311025
hsa-miR-146a	40	38.882807	-1.117193
hsa-miR-574-3p	28.510077	27.41372	-1.096357
hsa-miR-500	40	38.937212	-1.062788
hsa-miR-425	29.359945	28.3316275	-1.0283175
hsa-miR-200a	40	38.987645	-1.012355
hsa-miR-139-5p	28.53377	27.528453	-1.005317
hsa-miR-30e	28.500841	27.5176695	-0.9831715
hsa-miR-100	40	39.0199165	-0.9800835
hsa-miR-484	23.327095	22.3766925	-0.9504025
hsa-miR-181c	40	39.0851725	-0.9148275
hsa-miR-520b	40	39.106255	-0.893745
hsa-miR-326	40	39.1290625	-0.8709375
hsa-let-7e	27.283955	26.5133065	-0.7706485
hsa-miR-625	27.847872	27.080362	-0.76751
hsa-miR-942	34.16255	33.416955	-0.745595
hsa-miR-329	40	39.25589	-0.74411
	26.93045	26.2301045	-0.7003455
hsa-miR-539	31.826889	31.165508	-0.661381
hsa-miR-22	40	39.399889	-0.600111
	26.128113	25.535251	-0.592862
hsa-miR-505	33.855255	33.2758165	-0.5794385
hsa-miR-629	33.199253	32.623388	-0.575865
	26.160324	25.604151	-0.556173
hsa-miR-30a	30.614363	30.0640735	-0.5502895
hsa-miR-222	24.377106	23.8418255	-0.5352805
hsa-miR-135b	40	39.480115	-0.519885
hsa-miR-766	28.686028	28.196637	-0.489391
	26.805405	26.325875	-0.47953
	26.763048	26.330594	-0.432454
	26.80007	26.3880445	-0.4120255
hsa-miR-21	33.17005	32.776763	-0.393287
hsa-miR-374a	28.471365	28.134658	-0.336707
hsa-miR-584	34.064438	33.7374785	-0.3269595
hsa-miR-610	36.38451	36.079872	-0.304638
hsa-miR-342-3p	25.079866	24.7858835	-0.2939825
	26.023182	25.7449285	-0.2782535
has-miR-155	30.420607	30.1459365	-0.2746705
hsa-miR-202	40	39.75229	-0.24771
hsa-miR-191	23.502928	23.288191	-0.214737
hsa-miR-374b	27.394218	27.1828835	-0.2113345
hsa-miR-204	33.788406	33.596085	-0.192321
hsa-miR-331-3p	28.64453	28.4860315	-0.1584985
	25.80196	25.677492	-0.124468
hsa-miR-126	22.812063	22.727623	-0.08444
hsa-let-7g	28.482681	28.405656	-0.077025
hsa-let-7a	40	40	0
hsa-let-7f	40	40	0
hsa-miR-1	40	40	0
hsa-miR-9	40	40	0
hsa-miR-10b	40	40	0
hsa-miR-15a	40	40	0
hsa-miR-18b	40	40	0
hsa-miR-22	40	40	0
hsa-miR-23a	40	40	0
hsa-miR-23b	40	40	0
hsa-miR-29b	40	40	0
hsa-miR-31	40	40	0
hsa-miR-32	40	40	0
hsa-miR-33b	40	40	0
hsa-miR-34c-5p	40	40	0
hsa-miR-96	40	40	0
hsa-miR-98	40	40	0
hsa-miR-105	40	40	0
	40	40	0
hsa-miR-107	40	40	0
hsa-miR-124	40	40	0
hsa-miR-125a-3p	40	40	0
hsa-miR-127-5p	40	40	0
hsa-miR-129-3p	40	40	0
hsa-miR-129-5p	40	40	0
hsa-miR-135a	40	40	0
hsa-miR-136	40	40	0
hsa-miR-137	40	40	0
hsa-miR-141	40	40	0
hsa-miR-146b-3p	40	40	0
hsa-miR-147b	40	40	0
hsa-miR-149	40	40	0
hsa-miR-153	40	40	0
hsa-miR-154	40	40	0
hsa-miR-187	40	40	0
hsa-miR-188-3p	40	40	0
hsa-miR-198	40	40	0
hsa-miR-199a-5p	40	40	0
hsa-miR-199b-5p	40	40	0
hsa-miR-200b	40	40	0
hsa-miR-205	40	40	0
hsa-miR-208b	40	40	0
hsa-miR-216a	40	40	0
hsa-miR-216b	40	40	0
hsa-miR-217	40	40	0
hsa-miR-219-5p	40	40	0
hsa-miR-296-3p	40	40	0
hsa-miR-299-3p	40	40	0
hsa-miR-299-5p	40	40	0
hsa-miR-302a	40	40	0
ath-miR159a	40	40	0
hsa-miR-302b	40	40	0
hsa-miR-302c	40	40	0
hsa-miR-330-5p	40	40	0
hsa-miR-331-5p	40	40	0
hsa-miR-338-3p	40	40	0
hsa-miR-339-5p	40	40	0
hsa-miR-342-5p	40	40	0
hsa-miR-362-5p	40	40	0
hsa-miR-367	40	40	0
hsa-miR-369-3p	40	40	0
hsa-miR-369-5p	40	40	0
hsa-miR-371-3p	40	40	0
hsa-miR-372	40	40	0
hsa-miR-373	40	40	0
hsa-miR-376b	40	40	0
hsa-miR-377	40	40	0
hsa-miR-380	40	40	0
hsa-miR-381	40	40	0
hsa-miR-382	40	40	0
hsa-miR-383	40	40	0
hsa-miR-409-5p	40	40	0
hsa-miR-424	40	40	0
hsa-miR-429	40	40	0
hsa-miR-431	40	40	0
hsa-miR-449a	40	40	0
hsa-miR-449b	40	40	0
hsa-miR-450a	40	40	0
hsa-miR-450b-3p	40	40	0
hsa-miR-450b-5p	40	40	0
hsa-miR-453	40	40	0
hsa-miR-455-3p	40	40	0
hsa-miR-485-5p	40	40	0
hsa-miR-487a	40	40	0
hsa-miR-488	40	40	0
hsa-miR-490-3p	40	40	0
hsa-miR-491-3p	40	40	0
hsa-miR-496	40	40	0
hsa-miR-499-3p	40	40	0
hsa-miR-499-5p	40	40	0
hsa-miR-501-3p	40	40	0
hsa-miR-502-5p	40	40	0
hsa-miR-503	40	40	0
hsa-miR-504	40	40	0
hsa-miR-507	40	40	0
hsa-miR-508-3p	40	40	0
hsa-miR-508-5p	40	40	0
hsa-miR-509-5p	40	40	0
hsa-miR-510	40	40	0
hsa-miR-512-3p	40	40	0
hsa-miR-512-5p	40	40	0
hsa-miR-513-5p	40	40	0
hsa-miR-515-5p	40	40	0
hsa-miR-516a-5p	40	40	0
hsa-miR-516b	40	40	0
hsa-miR-517a	40	40	0
hsa-miR-517c	40	40	0
hsa-miR-518a-3p	40	40	0
hsa-miR-518a-5p	40	40	0
hsa-miR-518c	40	40	0
hsa-miR-518d-5p	40	40	0
hsa-miR-518e	40	40	0
hsa-miR-518f	40	40	0
hsa-miR-519a	40	40	0
hsa-miR-519d	40	40	0
hsa-miR-519e	40	40	0
hsa-miR-520a-3p	40	40	0
hsa-miR-520a-5p	40	40	0
hsa-miR-520d-5p	40	40	0
hsa-miR-520g	40	40	0
hsa-miR-522	40	40	0
hsa-miR-523	40	40	0
hsa-miR-524-5p	40	40	0
hsa-miR-525-3p	40	40	0
hsa-miR-525-5p	40	40	0
hsa-miR-526b	40	40	0
hsa-miR-541	40	40	0
hsa-miR-542-3p	40	40	0
hsa-miR-542-5p	40	40	0
hsa-miR-544	40	40	0
hsa-miR-548a-5p	40	40	0
hsa-miR-548b-3p	40	40	0
hsa-miR-548b-5p	40	40	0
hsa-miR-548c-3p	40	40	0
hsa-miR-548d-3p	40	40	0
hsa-miR-551b	40	40	0
hsa-miR-556-3p	40	40	0
hsa-miR-556-5p	40	40	0
hsa-miR-561	40	40	0
hsa-miR-570	40	40	0
hsa-miR-576-5p	40	40	0
hsa-miR-582-3p	40	40	0
hsa-miR-582-5p	40	40	0
hsa-miR-589	40	40	0
hsa-miR-615-3p	40	40	0
hsa-miR-615-5p	40	40	0
hsa-miR-616	40	40	0
hsa-miR-618	40	40	0
hsa-miR-624	40	40	0
hsa-miR-627	40	40	0
hsa-miR-642	40	40	0
hsa-miR-651	40	40	0
hsa-miR-653	40	40	0
hsa-miR-654-3p	40	40	0
hsa-miR-654-5p	40	40	0
hsa-miR-672	40	40	0
hsa-miR-674	40	40	0
hsa-miR-758	40	40	0
hsa-miR-871	40	40	0
hsa-miR-872	40	40	0
hsa-miR-873	40	40	0
hsa-miR-875-3p	40	40	0
hsa-miR-876-3p	40	40	0
hsa-miR-876-5p	40	40	0
hsa-miR-885-3p	40	40	0
hsa-miR-887	40	40	0
hsa-miR-888	40	40	0
hsa-miR-890	40	40	0
hsa-miR-891a	40	40	0
hsa-miR-891b	40	40	0
hsa-miR-892a	40	40	0
hsa-miR-147	40	40	0
hsa-miR-208	40	40	0
hsa-miR-211	40	40	0
hsa-miR-219-2-3p	40	40	0
hsa-miR-220	40	40	0
hsa-miR-220b	40	40	0
hsa-miR-220c	40	40	0
hsa-miR-298	40	40	0
hsa-miR-325	40	40	0
hsa-miR-346	40	40	0
hsa-miR-384	40	40	0
hsa-miR-412	40	40	0
hsa-miR-448	40	40	0
hsa-miR-492	40	40	0
hsa-miR-506	40	40	0
hsa-miR-509-3-5p	40	40	0
hsa-miR-517b	40	40	0
hsa-miR-519c-3p	40	40	0
hsa-miR-520e	40	40	0
hsa-miR-520f	40	40	0
hsa-miR-34b	40	40	0
hsa-miR-154	40	40	0
hsa-miR-182	40	40	0
hsa-miR-181a	40	40	0
hsa-miR-302c	40	40	0
hsa-miR-373	40	40	0
hsa-miR-378	40	40	0
hsa-miR-200a	40	40	0
hsa-miR-432	40	40	0
hsa-miR-500	40	40	0
hsa-miR-488	40	40	0
hsa-miR-517	40	40	0
hsa-miR-518c	40	40	0
hsa-miR-519e	40	40	0
hsa-let-7d	40	40	0
hsa-miR-363	40	40	0
hsa-miR-589	40	40	0
hsa-miR-550	40	40	0
hsa-miR-593	40	40	0
hsa-miR-624	40	40	0
hsa-miR-616	40	40	0
hsa-miR-221	40	40	0
hsa-miR-222	40	40	0
hsa-miR-185	40	40	0
hsa-miR-186	40	40	0
hsa-miR-195	40	40	0
hsa-miR-30c-1	40	40	0
hsa-miR-30c-2	40	40	0
hsa-miR-32	40	40	0
hsa-miR-26a-2	40	40	0
hsa-let-7g	40	40	0
hsa-miR-302b	40	40	0
hsa-miR-302d	40	40	0
hsa-miR-367	40	40	0
hsa-miR-374a	40	40	0
hsa-miR-23b	40	40	0
hsa-miR-376a	40	40	0
hsa-miR-377	40	40	0
hsa-miR-30b	40	40	0
hsa-miR-122	40	40	0
hsa-miR-130a	40	40	0
hsa-miR-132	40	40	0
hsa-miR-379	40	40	0
hsa-miR-148a	40	40	0
hsa-miR-33a	40	40	0
hsa-miR-92a-1	40	40	0
hsa-miR-92a-2	40	40	0
hsa-miR-96	40	40	0
hsa-miR-101	40	40	0
hsa-miR-138-2	40	40	0
hsa-miR-141	40	40	0
hsa-miR-143	40	40	0
hsa-miR-125b-2	40	40	0
hsa-miR-135b	40	40	0
hsa-miR-149	40	40	0
hsa-miR-29b-1	40	40	0
hsa-miR-29b-2	40	40	0
hsa-miR-105	40	40	0
hsa-miR-106a	40	40	0
hsa-miR-16-2	40	40	0
hsa-let-7i	40	40	0
hsa-miR-15b	40	40	0
hsa-miR-335	40	40	0
hsa-miR-124	40	40	0
hsa-miR-541	40	40	0
hsa-miR-888	40	40	0
hsa-miR-411	40	40	0
hsa-miR-545	40	40	0
hsa-miR-183	40	40	0
hsa-miR-192	40	40	0
hsa-miR-200b	40	40	0
hsa-miR-200c	40	40	0
	40	40	0
	40	40	0
hsa-miR-155	40	40	0
hsa-miR-10a	40	40	0
hsa-miR-218-2	40	40	0
hsa-miR-30d	40	40	0
hsa-let-7a	40	40	0
hsa-miR-424	40	40	0
hsa-miR-18b	40	40	0
hsa-miR-20b	40	40	0
hsa-miR-431	40	40	0
hsa-miR-7-2	40	40	0
hsa-miR-744	40	40	0
hsa-miR-452	40	40	0
hsa-miR-181c	40	40	0
hsa-miR-708	40	40	0
hsa-miR-92b	40	40	0
hsa-miR-551b	40	40	0
	40	40	0
	40	40	0
hsa-miR-202	40	40	0
hsa-miR-193b	40	40	0
hsa-miR-497	40	40	0
hsa-miR-518e	40	40	0
hsa-miR-125b-1	40	40	0
hsa-miR-194	40	40	0
hsa-miR-106b	40	40	0
hsa-miR-302a	40	40	0
hsa-miR-518f	40	40	0
hsa-miR-374b	40	40	0
hsa-let-7b	40	40	0
hsa-let-7e	40	40	0
hsa-let-7f-1	40	40	0
hsa-let-7f-2	40	40	0
hsa-miR-17	40	40	0
hsa-miR-19a	40	40	0
hsa-miR-19b-2	40	40	0
	40	40	0
	40	40	0
hsa-miR-21	40	40	0
hsa-miR-23a	40	40	0
hsa-miR-24-1	40	40	0
hsa-miR-25	40	40	0
hsa-miR-29a	40	40	0
hsa-miR-944	40	40	0
hsa-miR-943	40	40	0
hsa-miR-939	40	40	0
hsa-miR-936	40	40	0
hsa-miR-892b	40	40	0
hsa-miR-875-5p	40	40	0
hsa-miR-770-5p	40	40	0
	40	40	0
	40	40	0
hsa-miR-659	40	40	0
hsa-miR-638	40	40	0
hsa-miR-619	40	40	0
hsa-miR-617	40	40	0
hsa-miR-612	40	40	0
hsa-miR-603	40	40	0
hsa-miR-601	40	40	0
hsa-miR-595	40	40	0
hsa-miR-593	40	40	0
hsa-miR-592	40	40	0
hsa-miR-587	40	40	0
hsa-miR-586	40	40	0
hsa-miR-585	40	40	0
hsa-miR-583	40	40	0
hsa-miR-575	40	40	0
	40	40	0
	40	40	0
	40	40	0
	40	40	0
hsa-miR-569	40	40	0
hsa-miR-567	40	40	0
hsa-miR-565	40	40	0
hsa-miR-564	40	40	0
hsa-miR-563	40	40	0
hsa-miR-558	40	40	0
hsa-miR-557	40	40	0
hsa-miR-555	40	40	0
hsa-miR-554	40	40	0
hsa-miR-553	40	40	0
hsa-miR-552	40	40	0
hsa-miR-551a	40	40	0
hsa-miR-550	40	40	0
hsa-miR-549	40	40	0
hsa-miR-543	40	40	0
hsa-miR-520h	40	40	0
hsa-miR-516a-3p	40	40	0
	40	40	0
	40	40	0
	40	40	0
ath-miR159a	40	40	0
hsa-miR-498	40	40	0
hsa-miR-337-3p	40	40	0
hsa-miR-935	40	40	0
hsa-miR-934	40	40	0
hsa-miR-933	40	40	0
hsa-miR-924	40	40	0
hsa-miR-922	40	40	0
hsa-miR-921	40	40	0
hsa-miR-920	40	40	0
hsa-miR-769-3p	40	40	0
hsa-miR-767-5p	40	40	0
hsa-miR-767-3p	40	40	0
hsa-miR-7	40	40	0
hsa-miR-675	40	40	0
hsa-miR-668	40	40	0
hsa-miR-662	40	40	0
hsa-miR-658	40	40	0
hsa-miR-657	40	40	0
hsa-miR-650	40	40	0
hsa-miR-649	40	40	0
hsa-miR-935	40	40	0
hsa-miR-934	40	40	0
hsa-miR-933	40	40	0
hsa-miR-924	40	40	0
hsa-miR-922	40	40	0
hsa-miR-921	40	40	0
hsa-miR-920	40	40	0
hsa-miR-769-3p	40	40	0
hsa-miR-767-5p	40	40	0
hsa-miR-767-3p	40	40	0
hsa-miR-7	40	40	0
hsa-miR-675	40	40	0
hsa-miR-668	40	40	0
hsa-miR-662	40	40	0
hsa-miR-658	40	40	0
hsa-miR-657	40	40	0
hsa-miR-649	40	40	0
hsa-miR-648	40	40	0
hsa-miR-647	40	40	0
hsa-miR-646	40	40	0
hsa-miR-644	40	40	0
hsa-miR-641	40	40	0
hsa-miR-640	40	40	0
hsa-miR-639	40	40	0
hsa-miR-637	40	40	0
hsa-miR-635	40	40	0
hsa-miR-634	40	40	0
hsa-miR-633	40	40	0
hsa-miR-631	40	40	0
hsa-miR-626	40	40	0
hsa-miR-622	40	40	0
hsa-miR-621	40	40	0
hsa-miR-614	40	40	0
hsa-miR-613	40	40	0
hsa-miR-609	40	40	0
hsa-miR-608	40	40	0
hsa-miR-607	40	40	0
hsa-miR-606	40	40	0
hsa-miR-605	40	40	0
hsa-miR-604	40	40	0
hsa-miR-600	40	40	0
hsa-miR-599	40	40	0
hsa-miR-596	40	40	0
hsa-miR-591	40	40	0
hsa-miR-588	40	40	0
hsa-miR-581	40	40	0
hsa-miR-580	40	40	0
hsa-miR-578	40	40	0
hsa-miR-572	40	40	0
hsa-miR-566	40	40	0
hsa-miR-562	40	40	0
hsa-miR-559	40	40	0
hsa-miR-524-3p	40	40	0
hsa-miR-519b-3p	40	40	0
hsa-miR-361-3p	40	40	0
hsa-miR-302d	40	40	0
hsa-miR-648	40	40	0
hsa-miR-647	40	40	0
hsa-miR-646	40	40	0
hsa-miR-644	40	40	0
hsa-miR-641	40	40	0
hsa-miR-640	40	40	0
hsa-miR-639	40	40	0
hsa-miR-637	40	40	0
hsa-miR-635	40	40	0
hsa-miR-634	40	40	0
hsa-miR-633	40	40	0
hsa-miR-631	40	40	0
hsa-miR-626	40	40	0
hsa-miR-623	40	40	0
hsa-miR-622	40	40	0
hsa-miR-621	40	40	0
hsa-miR-614	40	40	0
hsa-miR-613	40	40	0
hsa-miR-609	40	40	0
hsa-miR-608	40	40	0
hsa-miR-607	40	40	0
hsa-miR-606	40	40	0
hsa-miR-605	40	40	0
hsa-miR-604	40	40	0
hsa-miR-600	40	40	0
hsa-miR-599	40	40	0
hsa-miR-596	40	40	0
hsa-miR-591	40	40	0
hsa-miR-588	40	40	0
hsa-miR-581	40	40	0
hsa-miR-580	40	40	0
hsa-miR-578	40	40	0
hsa-miR-572	40	40	0
hsa-miR-566	40	40	0
hsa-miR-562	40	40	0
hsa-miR-559	40	40	0
hsa-miR-524-3p	40	40	0
hsa-miR-519b-3p	40	40	0
hsa-miR-361-3p	40	40	0
hsa-miR-302d	40	40	0
hsa-miR-151-3p	27.468554	27.484478	0.015924
hsa-miR-320	25.260927	25.2920705	0.0311435
hsa-miR-330-3p	36.11778	36.1532315	0.0354515
hsa-miR-340	31.845064	31.889066	0.044002
hsa-miR-766	28.136719	28.1925685	0.0558495
hsa-miR-323-3p	35.62405	35.7331965	0.1091465
hsa-miR-628-5p	32.694893	32.833092	0.138199
hsa-miR-339-3p	31.433168	31.6397675	0.2065995
hsa-miR-10b	30.411524	30.634704	0.22318
hsa-miR-146b-5p	26.811182	27.1668635	0.3556815
hsa-miR-584	33.98934	34.3696135	0.3802735
hsa-miR-454	27.803093	28.2495565	0.4464635
hsa-miR-885-5p	29.954744	30.4451025	0.4903585
hsa-miR-130b	37.845352	38.3776035	0.5322515
hsa-miR-425	31.887882	32.45191	0.564028
hsa-miR-886-3p	33.87118	34.4640845	0.5929045
hsa-miR-182	37.055756	37.72161	0.665854
hsa-miR-636	37.061302	37.740469	0.679167
hsa-miR-378	29.748442	30.479596	0.731154
hsa-miR-150	21.892168	22.680227	0.788059
hsa-miR-125a-5p	29.85245	30.64495	0.7925
hsa-miR-485-3p	31.767002	32.630332	0.86333
hsa-miR-491-5p	31.832903	32.7054575	0.8725545
hsa-miR-188-5p	27.099102	27.991501	0.892399
hsa-let-7b	32.800743	33.918874	1.118131
hsa-miR-489	38.314865	39.522093	1.207228
hsa-miR-623	38.683567	40	1.316433
hsa-miR-501-5p	38.44966	40	1.55034
hsa-miR-877	28.821587	30.43657	1.614983
hsa-miR-9	34.13682	35.8128565	1.6760365
hsa-miR-128	31.894037	33.642915	1.748878
hsa-miR-432	31.393682	33.1594295	1.7657475
