# Generate Mapping Tables Script: Version 4 11:06 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:06 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|11931|11931	mgi_symbol|Atp1b1|Atp1b1
entrezgene|16443|16443	mgi_symbol|Itsn1|Itsn1
entrezgene|668139|668139	mgi_symbol|Gm8995|Gm8995
entrezgene|436583|436583	mgi_symbol|Snora74a|Snora74a
entrezgene|74107|74107	mgi_symbol|Cep55|Cep55
entrezgene|76074|76074	mgi_symbol|5830443L24Rik|5830443L24Rik
entrezgene|66184|66184	mgi_symbol|Rps4y2|Rps4y2
entrezgene|22247|22247	mgi_symbol|Umps|Umps
entrezgene|67531|67531	mgi_symbol|5730408K05Rik|5730408K05Rik
entrezgene|76464|76464	mgi_symbol|Casc5|Casc5
entrezgene|52276|52276	mgi_symbol|Cdca8|Cdca8
entrezgene|21973|21973	mgi_symbol|Top2a|Top2a
entrezgene|652925|652925	mgi_symbol|4930420K17Rik|4930420K17Rik
entrezgene|68612|68612	mgi_symbol|Ube2c|Ube2c
entrezgene|67242|67242	mgi_symbol|Gemin6|Gemin6
entrezgene|18602|18602	mgi_symbol|Padi4|Padi4
entrezgene|16401|16401	mgi_symbol|Itga4|Itga4
entrezgene|208154|208154	mgi_symbol|Btla|Btla
entrezgene|619916|619916	mgi_symbol|Ighv1-72|Ighv1-72
entrezgene|18189|18189	mgi_symbol|Nrxn1|Nrxn1
entrezgene|18724|18724	mgi_symbol|Pira11|Pira11
entrezgene|224171|224171	mgi_symbol|C330027C09Rik|C330027C09Rik
entrezgene|17082|17082	mgi_symbol|Il1rl1|Il1rl1
entrezgene|20230|20230	mgi_symbol|Satb1|Satb1
entrezgene|13610|13610	mgi_symbol|S1pr3|S1pr3
entrezgene|104156|104156	mgi_symbol|Etv5|Etv5
entrezgene|67629|67629	mgi_symbol|Spc24|Spc24
entrezgene|380732|380732	mgi_symbol|Gm885|Gm885
entrezgene|66949|66949	mgi_symbol|Trim59|Trim59
entrezgene|22004|22004	mgi_symbol|Tpm2|Tpm2
entrezgene|12505|12505	mgi_symbol|Cd44|Cd44
entrezgene|26909|26909	mgi_symbol|Exo1|Exo1
entrezgene|233406|233406	mgi_symbol|Prc1|Prc1
entrezgene|102920|102920	mgi_symbol|Cenpi|Cenpi
entrezgene|12428|12428	mgi_symbol|Ccna2|Ccna2
entrezgene|78752|78752	mgi_symbol|Csgalnact2|Csgalnact2
entrezgene|56508|56508	mgi_symbol|Rapgef4|Rapgef4
entrezgene|12442|12442	mgi_symbol|Ccnb2|Ccnb2
entrezgene|14793|14793	mgi_symbol|Cdca3|Cdca3
entrezgene|208177|208177	mgi_symbol|Phldb2|Phldb2
entrezgene|27360|27360	mgi_symbol|Add3|Add3
entrezgene|77577|77577	mgi_symbol|Spns3|Spns3
entrezgene|319181|319181	mgi_symbol|Hist1h2bg|Hist1h2bg
entrezgene|17060|17060	mgi_symbol|Blnk|Blnk
entrezgene|52653|52653	mgi_symbol|Nudcd2|Nudcd2
entrezgene|16994|16994	mgi_symbol|Ltb|Ltb
entrezgene|56743|56743	mgi_symbol|Lat2|Lat2
entrezgene|215387|215387	mgi_symbol|Ncaph|Ncaph
entrezgene|19206|19206	mgi_symbol|Ptch1|Ptch1
entrezgene|327762|327762	mgi_symbol|Dna2|Dna2
entrezgene|210293|210293	mgi_symbol|Dock10|Dock10
entrezgene|66311|66311	mgi_symbol|2610036L11Rik|2610036L11Rik
entrezgene|69270|69270	mgi_symbol|Gins1|Gins1
entrezgene|110454|110454	mgi_symbol|Ly6a|Ly6a
entrezgene|74011|74011	mgi_symbol|Slc25a27|Slc25a27
entrezgene|69716|69716	mgi_symbol|Trip13|Trip13
entrezgene|228026|228026	mgi_symbol|Pdk1|Pdk1
entrezgene|60530|60530	mgi_symbol|Fignl1|Fignl1
entrezgene|98256|98256	mgi_symbol|Kmo|Kmo
entrezgene|70789|70789	mgi_symbol|Kynu|Kynu
entrezgene|54141|54141	mgi_symbol|Spag5|Spag5
entrezgene|109242|109242	mgi_symbol|Kif24|Kif24
entrezgene|22137|22137	mgi_symbol|Ttk|Ttk
entrezgene|12228|12228	mgi_symbol|Btg3|Btg3
entrezgene|68318|68318	mgi_symbol|Aph1c|Aph1c
entrezgene|67824|67824	mgi_symbol|Nmral1|Nmral1
entrezgene|14620|14620	mgi_symbol|Gjb3|Gjb3
entrezgene|54486|54486	mgi_symbol|Hpgds|Hpgds
entrezgene|75600|75600	mgi_symbol|Calml4|Calml4
entrezgene|252903|252903	mgi_symbol|Ap1s3|Ap1s3
entrezgene|17345|17345	mgi_symbol|Mki67|Mki67
entrezgene|13823|13823
entrezgene|20713|20713	mgi_symbol|Serpini1|Serpini1
entrezgene|269582|269582	mgi_symbol|Clspn|Clspn
