# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
unigene|Hs.75074|Hs.75074	hgnc_symbol|MAPKAPK2|MAPKAPK2
unigene|Hs.74573|Hs.74573	hgnc_symbol|PLD3|PLD3
unigene|Hs.737|Hs.737	hgnc_symbol|IER2|IER2
unigene|Hs.71465|Hs.71465	hgnc_symbol|SQLE|SQLE
unigene|Hs.6783|Hs.6783	hgnc_symbol|SPAG16|SPAG16
unigene|Hs.6518|Hs.6518	hgnc_symbol|GABARAPL2|GABARAPL2
unigene|Hs.5867|Hs.5867	hgnc_symbol|SACM1L|SACM1L
unigene|Hs.57600|Hs.57600	hgnc_symbol|AP1S1|AP1S1
unigene|Hs.575|Hs.575	hgnc_symbol|ALDH3A1|ALDH3A1
unigene|Hs.5734|Hs.5734	hgnc_symbol|MGEA5|MGEA5
unigene|Hs.5687|Hs.5687	hgnc_symbol|PPM1B|PPM1B
unigene|Hs.54470|Hs.54470	hgnc_symbol|ABCC8|ABCC8
unigene|Hs.5268|Hs.5268	hgnc_symbol|ZDHHC4|ZDHHC4
unigene|Hs.50785|Hs.50785	hgnc_symbol|SEC22B|SEC22B
unigene|Hs.50727|Hs.50727	hgnc_symbol|NAGLU|NAGLU
unigene|Hs.50123|Hs.50123	hgnc_symbol|ZNF189|ZNF189
unigene|Hs.46847|Hs.46847	hgnc_symbol|TDP2|TDP2
unigene|Hs.446320|Hs.446320
unigene|Hs.433676|Hs.433676	hgnc_symbol|ZFC3H1|ZFC3H1
unigene|Hs.433394|Hs.433394	hgnc_symbol|TUBA1A|TUBA1A
unigene|Hs.42438|Hs.42438	hgnc_symbol|LSM6|LSM6
unigene|Hs.418470|Hs.418470
unigene|Hs.4113|Hs.4113	hgnc_symbol|AHCYL1|AHCYL1
unigene|Hs.4112|Hs.4112	hgnc_symbol|TCP1|TCP1
unigene|Hs.409829|Hs.409829	hgnc_symbol|NDUFS5|NDUFS5
unigene|Hs.408061|Hs.408061	hgnc_symbol|FABP5|FABP5
unigene|Hs.407995|Hs.407995	hgnc_symbol|MIF|MIF
unigene|Hs.406578|Hs.406578	hgnc_symbol|TUBA1C|TUBA1C
unigene|Hs.406458|Hs.406458	hgnc_symbol|GPI|GPI
unigene|Hs.406277|Hs.406277	hgnc_symbol|SF3A1|SF3A1
unigene|Hs.405987|Hs.405987	hgnc_symbol|SAMD11|SAMD11
unigene|Hs.400124|Hs.400124	hgnc_symbol|JUNB|JUNB
unigene|Hs.39733|Hs.39733	hgnc_symbol|CRIPT|CRIPT
unigene|Hs.389371|Hs.389371	hgnc_symbol|NPTN|NPTN
unigene|Hs.385665|Hs.385665
unigene|Hs.381143|Hs.381143	hgnc_symbol|SUN1|SUN1
unigene|Hs.375954|Hs.375954
unigene|Hs.375580|Hs.375580
unigene|Hs.374847|Hs.374847
unigene|Hs.374824|Hs.374824	hgnc_symbol|ORMDL3|ORMDL3
unigene|Hs.3688|Hs.3688	hgnc_symbol|LUC7L3|LUC7L3
unigene|Hs.356684|Hs.356684
unigene|Hs.356036|Hs.356036
unigene|Hs.355906|Hs.355906	hgnc_symbol|C1orf43|C1orf43
unigene|Hs.352628|Hs.352628	hgnc_symbol|ADAMTS16|ADAMTS16
unigene|Hs.350936|Hs.350936
unigene|Hs.349650|Hs.349650	hgnc_symbol|RAF1|RAF1
unigene|Hs.349607|Hs.349607
unigene|Hs.34956|Hs.34956	hgnc_symbol|PTBP2|PTBP2
unigene|Hs.349196|Hs.349196	hgnc_symbol|MLLT6|MLLT6
unigene|Hs.346868|Hs.346868	hgnc_symbol|EBNA1BP2|EBNA1BP2
unigene|Hs.3407|Hs.3407	hgnc_symbol|PKIG|PKIG
unigene|Hs.333149|Hs.333149	hgnc_symbol|BSDC1|BSDC1
unigene|Hs.32353|Hs.32353	hgnc_symbol|MAP3K4|MAP3K4
unigene|Hs.322437|Hs.322437	hgnc_symbol|H19|H19
unigene|Hs.31731|Hs.31731	hgnc_symbol|PRDX5|PRDX5
unigene|Hs.315177|Hs.315177	hgnc_symbol|IFRD2|IFRD2
unigene|Hs.313342|Hs.313342	hgnc_symbol|CD47|CD47
unigene|Hs.31334|Hs.31334	hgnc_symbol|PRPF6|PRPF6
unigene|Hs.30656|Hs.30656	hgnc_symbol|C2CD5|C2CD5
unigene|Hs.30596|Hs.30596
unigene|Hs.302138|Hs.302138	hgnc_symbol|CDH20|CDH20
unigene|Hs.301961|Hs.301961	hgnc_symbol|GSTM1|GSTM1
unigene|Hs.300870|Hs.300870	hgnc_symbol|MIDN|MIDN
unigene|Hs.300816|Hs.300816	hgnc_symbol|RAB1B|RAB1B
unigene|Hs.297939|Hs.297939	hgnc_symbol|CTSB|CTSB
unigene|Hs.289293|Hs.289293	hgnc_symbol|C8orf42|C8orf42
unigene|Hs.288862|Hs.288862	hgnc_symbol|CCDC6|CCDC6
unigene|Hs.288203|Hs.288203
unigene|Hs.287515|Hs.287515	hgnc_symbol|RPS2P45|RPS2P45
unigene|Hs.284211|Hs.284211	hgnc_symbol|UPK3B|UPK3B
unigene|Hs.283690|Hs.283690	hgnc_symbol|CDV3|CDV3
unigene|Hs.279696|Hs.279696
unigene|Hs.278898|Hs.278898	hgnc_symbol|OPTN|OPTN
unigene|Hs.278613|Hs.278613	hgnc_symbol|IFI27|IFI27
unigene|Hs.278426|Hs.278426	hgnc_symbol|PDAP1|PDAP1
unigene|Hs.274464|Hs.274464	hgnc_symbol|C3orf58 /// CYB5R3|C3orf58 /// CYB5R3
