Study	Stem cell type	Gene list type	Entrez Gene	Gene name
Aiba	ESC(iPS)	SGL	12971	Crym
Aiba	ESC(iPS)	SGL	13013	Cst9
Aiba	ESC(iPS)	SGL	13056	Cyb561
Aiba	ESC(iPS)	SGL	13067	Cyct
Aiba	ESC(iPS)	SGL	13082	Cyp26a1
Aiba	ESC(iPS)	SGL	13088	Cyp2b10
Aiba	ESC(iPS)	SGL	13090	Cyp2b19
Aiba	ESC(iPS)	SGL	13131	Dab1
Aiba	ESC(iPS)	SGL	13136	Cd55
Aiba	ESC(iPS)	SGL	13139	Dgka
Aiba	ESC(iPS)	SGL	13164	Dazl
Aiba	ESC(iPS)	SGL	13180	Pcbd1
Aiba	ESC(iPS)	SGL	13195	Ddc
Aiba	ESC(iPS)	SGL	13202	Ddt
Aiba	ESC(iPS)	SGL	13206	Ddx4
Aiba	ESC(iPS)	SGL	13216	Defa1
Aiba	ESC(iPS)	SGL	13218	Defcr-rs1
Aiba	ESC(iPS)	SGL	13230	Defcr11
Aiba	ESC(iPS)	SGL	13237	Defcr3
Aiba	ESC(iPS)	SGL	13368	Dffb
Aiba	ESC(iPS)	SGL	13380	Dkk1
Aiba	ESC(iPS)	SGL	13384	Mpp3
Aiba	ESC(iPS)	SGL	13388	Dll1
Aiba	ESC(iPS)	SGL	13389	Dll3
Aiba	ESC(iPS)	SGL	13393	Dlx3
Aiba	ESC(iPS)	SGL	13404	Dmc1
Aiba	ESC(iPS)	SGL	13411	Dnahc11
Aiba	ESC(iPS)	SGL	13417	Dnahc8
Aiba	ESC(iPS)	SGL	13436	Dnmt3b
Aiba	ESC(iPS)	SGL	13446	Doc2a
Aiba	ESC(iPS)	SGL	13449	Dok2
Aiba	ESC(iPS)	SGL	13482	Dpp4
Aiba	ESC(iPS)	SGL	13506	Dsc2
Aiba	ESC(iPS)	SGL	13590	Lefty1
Aiba	ESC(iPS)	SGL	13599	Ecel1
Aiba	ESC(iPS)	SGL	13615	Edn2
Aiba	ESC(iPS)	SGL	13619	Phc1
Aiba	ESC(iPS)	SGL	13626	Eed
Aiba	ESC(iPS)	SGL	13643	Efnb3
Aiba	ESC(iPS)	SGL	13646	Klk1b22
Aiba	ESC(iPS)	SGL	13656	Egr4
Aiba	ESC(iPS)	SGL	13706	RP23-395H4.4
Aiba	ESC(iPS)	SGL	13710	Elf3
Aiba	ESC(iPS)	SGL	13723	Emb
Aiba	ESC(iPS)	SGL	13799	En2
Aiba	ESC(iPS)	SGL	13813	Eomes
Aiba	ESC(iPS)	SGL	13819	Epas1
Aiba	ESC(iPS)	SGL	13829	Epb4.9
Aiba	ESC(iPS)	SGL	13835	Epha1
Aiba	ESC(iPS)	SGL	13850	Ephx2
Aiba	ESC(iPS)	SGL	13861	Epx
Aiba	ESC(iPS)	SGL	13924	Ptprv
Aiba	ESC(iPS)	SGL	13984	Esx1
Aiba	ESC(iPS)	SGL	14008	Etv2
Aiba	ESC(iPS)	SGL	14009	Etv1
Aiba	ESC(iPS)	SGL	14012	Mpzl2
Aiba	ESC(iPS)	SGL	14027	Evpl
Aiba	ESC(iPS)	SGL	140492	Kcnn2
Aiba	ESC(iPS)	SGL	140557	Smc1b
Aiba	ESC(iPS)	SGL	140577	Ankrd6
Aiba	ESC(iPS)	SGL	140580	Elmo1
Aiba	ESC(iPS)	SGL	14061	F2
Aiba	ESC(iPS)	SGL	140630	Ube4a
