# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133_plus_2|205856_at|205856_at	unigene|Hs.101307|Hs.101307	hgnc_symbol|SLC14A1|SLC14A1
affy_hg_u133_plus_2|206766_at|206766_at	unigene|Hs.158237|Hs.158237	hgnc_symbol|ITGA10|ITGA10
affy_hg_u133_plus_2|205006_s_at|205006_s_at	unigene|Hs.60339|Hs.60339	hgnc_symbol|NMT2|NMT2
affy_hg_u133_plus_2|222547_at|222547_at	unigene|Hs.431550|Hs.431550	hgnc_symbol|MAP4K4|MAP4K4
affy_hg_u133_plus_2|210686_x_at|210686_x_at	unigene|Hs.180408|Hs.180408	hgnc_symbol|SLC25A16|SLC25A16
affy_hg_u133_plus_2|221660_at|221660_at	unigene|Hs.247831|Hs.247831	hgnc_symbol|MYLC2PL|MYLC2PL
affy_hg_u133_plus_2|1552619_a_at|1552619_a_at	unigene|Hs.62180|Hs.62180	hgnc_symbol|ANLN|ANLN
affy_hg_u133_plus_2|202053_s_at|202053_s_at	unigene|Hs.499886|Hs.499886	hgnc_symbol|ALDH3A2|ALDH3A2
affy_hg_u133_plus_2|202154_x_at|202154_x_at	unigene|Hs.511743|Hs.511743	hgnc_symbol|TUBB3|TUBB3
affy_hg_u133_plus_2|203386_at|203386_at	unigene|Hs.210891|Hs.210891	hgnc_symbol|TBC1D4|TBC1D4
affy_hg_u133_plus_2|209190_s_at|209190_s_at	unigene|Hs.529451|Hs.529451	hgnc_symbol|DIAPH1|DIAPH1
affy_hg_u133_plus_2|203756_at|203756_at	unigene|Hs.533719|Hs.533719	hgnc_symbol|ARHGEF17|ARHGEF17
affy_hg_u133_plus_2|228310_at|228310_at	unigene|Hs.497893|Hs.497893	hgnc_symbol|ENAH|ENAH
affy_hg_u133_plus_2|225665_at|225665_at	unigene|Hs.444451|Hs.444451	hgnc_symbol|ZAK|ZAK
affy_hg_u133_plus_2|203126_at|203126_at	unigene|Hs.367992|Hs.367992	hgnc_symbol|IMPA2|IMPA2
affy_hg_u133_plus_2|202389_s_at|202389_s_at	unigene|Hs.518450|Hs.518450	hgnc_symbol|HTT|HTT
affy_hg_u133_plus_2|222077_s_at|222077_s_at	unigene|Hs.505469|Hs.505469	hgnc_symbol|RACGAP1|RACGAP1
affy_hg_u133_plus_2|208050_s_at|208050_s_at	unigene|Hs.368982|Hs.368982	hgnc_symbol|CASP2|CASP2
