# Generate Mapping Tables Script: Version 4 11:05 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:05 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133a|211896_s_at|211896_s_at	hgnc_symbol|DCN|DCN
affy_hg_u133a|211813_x_at|211813_x_at	hgnc_symbol|DCN|DCN
affy_hg_u133a|209335_at|209335_at	hgnc_symbol|DCN|DCN
affy_hg_u133a|213001_at|213001_at	hgnc_symbol|ANGPTL2|ANGPTL2
affy_hg_u133a|213004_at|213004_at	hgnc_symbol|ANGPTL2|ANGPTL2
affy_hg_u133a|208851_s_at|208851_s_at	hgnc_symbol|THY1|THY1
affy_hg_u133a|213869_x_at|213869_x_at	hgnc_symbol|THY1|THY1
affy_hg_u133a|213909_at|213909_at	hgnc_symbol|LRRC15|LRRC15
affy_hg_u133a|204619_s_at|204619_s_at	hgnc_symbol|CSPG2|CSPG2
affy_hg_u133a|204620_s_at|204620_s_at	hgnc_symbol|CSPG2|CSPG2
affy_hg_u133a|221731_x_at|221731_x_at	hgnc_symbol|CSPG2|CSPG2
affy_hg_u133a|221541_at|221541_at	hgnc_symbol|LCRISP2|LCRISP2
affy_hg_u133a|211571_s_at|211571_s_at	hgnc_symbol|CSPG2|CSPG2
affy_hg_u133a|215646_s_at|215646_s_at	hgnc_symbol|CSPG2|CSPG2
affy_hg_u133a|211719_x_at|211719_x_at	hgnc_symbol|FN1|FN1
affy_hg_u133a|210495_x_at|210495_x_at	hgnc_symbol|FN1|FN1
affy_hg_u133a|216442_x_at|216442_x_at	hgnc_symbol|FN1|FN1
affy_hg_u133a|212464_s_at|212464_s_at	hgnc_symbol|FN1|FN1
affy_hg_u133a|202411_at|202411_at	hgnc_symbol|IFI27|IFI27
affy_hg_u133a|202086_at|202086_at	hgnc_symbol|MX1|MX1
affy_hg_u133a|205483_s_at|205483_s_at	hgnc_symbol|G1P2|G1P2
affy_hg_u133a|203153_at|203153_at	hgnc_symbol|IFIT1|IFIT1
affy_hg_u133a|204747_at|204747_at	hgnc_symbol|IFIT3|IFIT3
affy_hg_u133a|213797_at|213797_at	hgnc_symbol|RSAD2|RSAD2
affy_hg_u133a|204439_at|204439_at	hgnc_symbol|IFI44L|IFI44L
affy_hg_u133a|214453_s_at|214453_s_at	hgnc_symbol|IFI44|IFI44
affy_hg_u133a|205552_s_at|205552_s_at	hgnc_symbol|OAS1|OAS1
affy_hg_u133a|204972_at|204972_at	hgnc_symbol|OAS2|OAS2
affy_hg_u133a|218400_at|218400_at	hgnc_symbol|OAS3|OAS3
affy_hg_u133a|219352_at|219352_at	hgnc_symbol|HERC6|HERC6
affy_hg_u133a|205660_at|205660_at	hgnc_symbol|OASL|OASL
affy_hg_u133a|210797_s_at|210797_s_at	hgnc_symbol|OASL|OASL
affy_hg_u133a|200905_x_at|200905_x_at	hgnc_symbol|HLA-E|HLA-E
affy_hg_u133a|217456_x_at|217456_x_at	hgnc_symbol|HLA-E|HLA-E
affy_hg_u133a|210514_x_at|210514_x_at	hgnc_symbol|HLA-G|HLA-G
affy_hg_u133a|209140_x_at|209140_x_at	hgnc_symbol|HLA-B|HLA-B
affy_hg_u133a|208812_x_at|208812_x_at	hgnc_symbol|HLA-B|HLA-B
affy_hg_u133a|216526_x_at|216526_x_at	hgnc_symbol|HLA-C|HLA-C
affy_hg_u133a|214459_x_at|214459_x_at	hgnc_symbol|HLA-C|HLA-C
affy_hg_u133a|211529_x_at|211529_x_at	hgnc_symbol|HLA-G|HLA-G
affy_hg_u133a|211528_x_at|211528_x_at	hgnc_symbol|HLA-G|HLA-G
affy_hg_u133a|208729_x_at|208729_x_at	hgnc_symbol|HLA-B|HLA-B
affy_hg_u133a|211911_x_at|211911_x_at	hgnc_symbol|HLA-B|HLA-B
affy_hg_u133a|217436_x_at|217436_x_at	hgnc_symbol|HLA-J|HLA-J
affy_hg_u133a|204806_x_at|204806_x_at	hgnc_symbol|HLA-F|HLA-F
affy_hg_u133a|221875_x_at|221875_x_at	hgnc_symbol|HLA-F|HLA-F
affy_hg_u133a|211799_x_at|211799_x_at	hgnc_symbol|HLA-A|HLA-A
affy_hg_u133a|213932_x_at|213932_x_at	hgnc_symbol|HLA-A|HLA-A
affy_hg_u133a|215313_x_at|215313_x_at	hgnc_symbol|HLA-A|HLA-A
affy_hg_u133a|209083_at|209083_at	hgnc_symbol|CORO1A|CORO1A
affy_hg_u133a|204891_s_at|204891_s_at	hgnc_symbol|LCK|LCK
affy_hg_u133a|206666_at|206666_at	hgnc_symbol|GZMK|GZMK
affy_hg_u133a|201720_s_at|201720_s_at	hgnc_symbol|LAPTM5|LAPTM5
affy_hg_u133a|201721_s_at|201721_s_at	hgnc_symbol|LAPTM5|LAPTM5
affy_hg_u133a|204912_at|204912_at	hgnc_symbol|IL10RA|IL10RA
affy_hg_u133a|206150_at|206150_at	hgnc_symbol|TNFRSF7|TNFRSF7
affy_hg_u133a|204563_at|204563_at	hgnc_symbol|SELL|SELL
affy_hg_u133a|209670_at|209670_at	hgnc_symbol|TRA@|TRA@
affy_hg_u133a|204118_at|204118_at	hgnc_symbol|CD48|CD48
affy_hg_u133a|205831_at|205831_at	hgnc_symbol|CD2|CD2
affy_hg_u133a|210915_x_at|210915_x_at	hgnc_symbol|TRBC1|TRBC1
affy_hg_u133a|213193_x_at|213193_x_at	hgnc_symbol|TRBC1|TRBC1
affy_hg_u133a|213539_at|213539_at	hgnc_symbol|CD3D|CD3D
affy_hg_u133a|211796_s_at|211796_s_at	hgnc_symbol|TRBC1|TRBC1
affy_hg_u133a|211339_s_at|211339_s_at	hgnc_symbol|ITK|ITK
affy_hg_u133a|203416_at|203416_at	hgnc_symbol|CD53|CD53
affy_hg_u133a|211742_s_at|211742_s_at	hgnc_symbol|EVI2B|EVI2B
affy_hg_u133a|212588_at|212588_at	hgnc_symbol|PTPRC|PTPRC
affy_hg_u133a|209671_x_at|209671_x_at	hgnc_symbol|TRA@|TRA@
affy_hg_u133a|210972_x_at|210972_x_at	hgnc_symbol|TRA@|TRA@
affy_hg_u133a|211902_x_at|211902_x_at	hgnc_symbol|TRA@|TRA@
affy_hg_u133a|220330_s_at|220330_s_at	hgnc_symbol|SAMSN1|SAMSN1
affy_hg_u133a|38149_at|38149_at	hgnc_symbol|KIAA0053|KIAA0053
affy_hg_u133a|219014_at|219014_at	hgnc_symbol|PLAC8|PLAC8
affy_hg_u133a|204661_at|204661_at	hgnc_symbol|CD52|CD52
affy_hg_u133a|34210_at|34210_at	hgnc_symbol|CD52|CD52
affy_hg_u133a|201137_s_at|201137_s_at	hgnc_symbol|HLA-DPB1|HLA-DPB1
affy_hg_u133a|203932_at|203932_at	hgnc_symbol|HLA-DMB|HLA-DMB
affy_hg_u133a|209619_at|209619_at	hgnc_symbol|CD74|CD74
affy_hg_u133a|204670_x_at|204670_x_at	hgnc_symbol|HLA-DRB1|HLA-DRB1
affy_hg_u133a|208306_x_at|208306_x_at	hgnc_symbol|HLA-DRB1|HLA-DRB1
affy_hg_u133a|209312_x_at|209312_x_at	hgnc_symbol|HLA-DRB1|HLA-DRB1
affy_hg_u133a|215193_x_at|215193_x_at	hgnc_symbol|HLA-DRB1|HLA-DRB1
affy_hg_u133a|208894_at|208894_at	hgnc_symbol|HLA-DRA|HLA-DRA
affy_hg_u133a|210982_s_at|210982_s_at	hgnc_symbol|HLA-DRA|HLA-DRA
affy_hg_u133a|211991_s_at|211991_s_at	hgnc_symbol|HLA-DPA1|HLA-DPA1
affy_hg_u133a|212671_s_at|212671_s_at	hgnc_symbol|HLA-DQA1|HLA-DQA1
affy_hg_u133a|217478_s_at|217478_s_at	hgnc_symbol|HLA-DMA|HLA-DMA
affy_hg_u133a|212998_x_at|212998_x_at	hgnc_symbol|HLA-DQB1|HLA-DQB1
affy_hg_u133a|211654_x_at|211654_x_at	hgnc_symbol|HLA-DQB1|HLA-DQB1
affy_hg_u133a|211639_x_at|211639_x_at	hgnc_symbol|IGHM|IGHM
affy_hg_u133a|211633_x_at|211633_x_at	hgnc_symbol|IGHG1|IGHG1
affy_hg_u133a|211641_x_at|211641_x_at	hgnc_symbol|IGHG1|IGHG1
affy_hg_u133a|211634_x_at|211634_x_at	hgnc_symbol|IGHM|IGHM
affy_hg_u133a|211635_x_at|211635_x_at	hgnc_symbol|IGHG3|IGHG3
affy_hg_u133a|211640_x_at|211640_x_at	hgnc_symbol|IGHG1|IGHG1
affy_hg_u133a|211798_x_at|211798_x_at	hgnc_symbol|IGLJ3|IGLJ3
affy_hg_u133a|211881_x_at|211881_x_at	hgnc_symbol|IGLJ3|IGLJ3
affy_hg_u133a|211637_x_at|211637_x_at	hgnc_symbol|LOC388078|LOC388078
affy_hg_u133a|216491_x_at|216491_x_at	hgnc_symbol|IGHM|IGHM
affy_hg_u133a|211908_x_at|211908_x_at	hgnc_symbol|IGHG1|IGHG1
affy_hg_u133a|211650_x_at|211650_x_at	hgnc_symbol|IGHG1|IGHG1
affy_hg_u133a|216510_x_at|216510_x_at	hgnc_symbol|IGHG1|IGHG1
affy_hg_u133a|217281_x_at|217281_x_at	hgnc_symbol|IGHG1|IGHG1
