# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|D12614|4049	hgnc_symbol|LTA|LTA
entrezgene|M92381|9168	hgnc_symbol|TMSB10|TMSB10
entrezgene|L05148|7535	hgnc_symbol|ZAP70|ZAP70
entrezgene|AF077866|8140	hgnc_symbol|SLC7A5|SLC7A5
entrezgene|M26708|5757	hgnc_symbol|PTMA|PTMA
embl|M87339|M87339	hgnc_symbol|RFC37|RFC37
entrezgene|M60974|1647	hgnc_symbol|GADD45|GADD45
entrezgene|U49262|1857	hgnc_symbol|DVL|DVL
entrezgene|U62439|1143	hgnc_symbol|NACHRB4|NACHRB4
entrezgene|M36429|2783	hgnc_symbol|GNB2|GNB2
entrezgene|U33286|1434	hgnc_symbol|CAS|CAS
entrezgene|M29870|5879	hgnc_symbol|RAC1|RAC1
entrezgene|L25259|942	hgnc_symbol|CTLA4|CTLA4
entrezgene|AB007882|112	hgnc_symbol|ADCY6|ADCY6
entrezgene|U90278|2904	hgnc_symbol|GRIN2|GRIN2
embl|J00124|J00124	hgnc_symbol|KRT14|KRT14
entrezgene|L07633|5720	hgnc_symbol|PSME1|PSME1
entrezgene|U25278|5598	hgnc_symbol|MAPK7|MAPK7
entrezgene|L06139|7010	hgnc_symbol|TEK|TEK
entrezgene|M59371|1969	hgnc_symbol|EPHA2|EPHA2
entrezgene|M83246|5329	hgnc_symbol|PLAUR|PLAUR
entrezgene|M74524|7319	hgnc_symbol|UBE2A|UBE2A
entrezgene|J05081|1908	hgnc_symbol|EDN3|EDN3
entrezgene|M25753|891	hgnc_symbol|CCNB1|CCNB1
entrezgene|X54936|5228	hgnc_symbol|PGF|PGF
entrezgene|X91249|9619	hgnc_symbol|ABCG1|ABCG1
entrezgene|Z23115|598	hgnc_symbol|BCL2L1|BCL2L1
entrezgene|M28215|5868	hgnc_symbol|RAB5A|RAB5A
entrezgene|X04602|3569	hgnc_symbol|IL6|IL6
entrezgene|M96684|5813	hgnc_symbol|PURA|PURA
entrezgene|M86400|7534	hgnc_symbol|YWHAZ|YWHAZ
entrezgene|L06801|3596	hgnc_symbol|IL13|IL13
entrezgene|D26156|6597	hgnc_symbol|SMARCA4|SMARCA4
entrezgene|M91196|3394	hgnc_symbol|ICSBP|ICSBP
entrezgene|L09118|6571	hgnc_symbol|SVAT|SVAT
entrezgene|L13852|7318	hgnc_symbol|UBE1L|UBE1L
entrezgene|U05012|4916	hgnc_symbol|NTRK3|NTRK3
entrezgene|M22488|649	hgnc_symbol|BMP1|BMP1
entrezgene|D11428|5376	hgnc_symbol|PMP22|PMP22
entrezgene|X63629|1001	hgnc_symbol|CDH3|CDH3
entrezgene|U09117|5333	hgnc_symbol|PLCD1|PLCD1
entrezgene|M58603|4790	hgnc_symbol|NFKB1|NFKB1
entrezgene|M97287|6304	hgnc_symbol|SATB1|SATB1
entrezgene|M32315|7133	hgnc_symbol|TNFRSF1B|TNFRSF1B
entrezgene|M80397|5424	hgnc_symbol|POLD1|POLD1
entrezgene|D17547|1638	hgnc_symbol|DCT|DCT
entrezgene|K00558|10376	hgnc_symbol|TUBA1|TUBA1
entrezgene|U77493|4853	hgnc_symbol|NOTCH2|NOTCH2
entrezgene|U24497|5310	hgnc_symbol|PKD1|PKD1
embl|M64595|M64595	hgnc_symbol|RAC2|RAC2
entrezgene|D50405|3065	hgnc_symbol|HDAC1|HDAC1
entrezgene|M81840|4901	hgnc_symbol|NRL|NRL
entrezgene|U03905|729230	hgnc_symbol|CRFR|CRFR
entrezgene|AF015956|1616	hgnc_symbol|DAP6|DAP6
entrezgene|M14631|2778	hgnc_symbol|GNAS|GNAS
entrezgene|U51478|483	hgnc_symbol|ATPB3|ATPB3
entrezgene|L36719|5606	hgnc_symbol|MAP2K3|MAP2K3
entrezgene|D89859|7541	hgnc_symbol|ZFP161|ZFP161
entrezgene|K02091|7276	hgnc_symbol|TTR|TTR
entrezgene|D15049|5794	hgnc_symbol|PTPRH|PTPRH
entrezgene|M14505|1019	hgnc_symbol|CDK4|CDK4
embl|M36711|M36711	hgnc_symbol|TFAP2|TFAP2
embl|U16752|U16752	hgnc_symbol|SDF1|SDF1
entrezgene|X91247|7296	hgnc_symbol|TXNRD1|TXNRD1
embl|L42379|L42379	hgnc_symbol|BPGF1|BPGF1
entrezgene|M38690|928	hgnc_symbol|CD9|CD9
entrezgene|L07493|6119	hgnc_symbol|RP-A|RP-A
entrezgene|J04088|7153	hgnc_symbol|TOP2A|TOP2A
entrezgene|X01677|2597	hgnc_symbol|GAPDH|GAPDH
entrezgene|M34671|966	hgnc_symbol|MACIF|MACIF
entrezgene|AF059617|10769	hgnc_symbol|SNK|SNK
entrezgene|U10324|3609	hgnc_symbol|ILF3|ILF3
entrezgene|M74178|4485	hgnc_symbol|MSP|MSP
entrezgene|J03075|5589	hgnc_symbol|PKCSH|PKCSH
entrezgene|X02812|7040	hgnc_symbol|TGFB1|TGFB1
entrezgene|D16431|3068	hgnc_symbol|HDGF|HDGF
