miRs name	miR expression in NFA (-ddct)	p	Chromosomal localisation
hsa-mir-29c	1.34	0.002	1q32.2
hsa-mir-149	1.37	0.01	2q32.3
hsa-mir-378	1.37	0.017	5q32
hsa-mir-95	1.39	0.023	4p16.1
hsa-mir-545	1.4	0.035	Xq13.2
hsa-mir-636	1.41	0.005	17q25.1
hsa-mir-140	1.49	0.011	16q22.1
hsa-mir-425	1.51	0.001	3p21.31
hsa-mir-769	1.54	0.004	19q13.32
hsa-mir-30c-1	1.58	0.004	1p34.2
hsa-mir-652	1.58	0.007	Xq23
hsa-mir-330	1.61	0.022	19q13.32
hsa-mir-532	1.61	0.047	Xp11.23
hsa-mir-429	1.61	0.001	1p36.33
hsa-mir-628	1.66	0.001	15q21.3
hsa-mir-500	1.68	0.016	Xp11.23
hsa-mir-875	1.69	0.013	8q22.2
hsa-mir-625	1.7	0.013	14q23.3
hsa-mir-570	1.73	0	3q29
hsa-mir-362	1.75	0.036	Xp11.23
hsa-mir-26a-2	1.8	0.001	12q14.1
hsa-mir-183	1.8	0.023	7q32.2
hsa-mir-374b	1.81	0.001	Xq13.2
hsa-mir-96	1.83	0.02	7q32.2
hsa-mir-208b	1.87	0.003	14q11.2
hsa-mir-454	1.89	0	17q22
hsa-mir-769	1.92	0.001	19q13.32
hsa-mir-92a-1	1.94	0.001	13q31.3
hsa-mir-501	1.94	0.038	Xp11.23
hsa-mir-454	1.98	0	17q22
hsa-mir-93	2.04	0.001	7q22.1
hsa-mir-628	2.1	0	15q21.3
hsa-mir-501	2.12	0.004	Xp11.23
hsa-mir-660	2.14	0.014	Xp11.23
hsa-mir-519c	2.17	0.008	19q13.42
hsa-mir-532	2.2	0.015	Xp11.23
hsa-mir-641	2.31	0.004	19q13.2
hsa-mir-551b	2.32	0.004	3q26.2
hsa-mir-101	2.33	0	1p31.3
hsa-mir-153	2.33	0	2q35
hsa-mir-139	2.37	0.013	11q13.4
hsa-mir-545	2.38	0	Xq13.2
hsa-let-7e	2.4	0	19q13.41
hsa-mir-149	2.47	0.003	2q37.3
hsa-mir-140	2.54	0	16q22.1
hsa-mir-33b	2.58	0.002	17p11.2
hsa-mir-137	2.68	0	1p21.3
hsa-mir-182	2.72	0.002	7q32.2
hsa-mir-938	2.9	0	10p11.23
hsa-mir-592	3.22	0.021	7q31.33
hsa-mir-130b	3.27	0.004	22q11.21
hsa-mir-373	3.38	0.008	19q13.42
hsa-mir-500	3.53	0	Xp11.23
hsa-mir-935	4.23	0	19q13.42
hsa-mir-887	4.62	0.002	5p15.1
hsa-mir-548b	4.93	0.002	6q22.31
hsa-mir-582	4.97	0.004	5q12.1
hsa-mir-582	7.33	0.004	5q12.1
