MicroRNA	Median rel. expression in luminal cells	Median rel. expression in basal cells	Mean fold difference	P value
hsa-miR-26b	0.1173	0.3568	2.68	3.50E-02
hsa-miR-27a	0.0721	0.1585	1.6	n.s.
hsa-miR-27a	0.017	0.0067	1.79	n.s.
hsa-miR-28-5p	0.0105	0.0112	1.16	n.s.
hsa-miR-29a	0.0671	0.0871	1.25	n.s.
hsa-miR-29c	0.0096	0.0121	1.56	n.s.
hsa-miR-302b	0.5087	0.5073	1.34	n.s.
hsa-miR-30a	0.5483	0.9408	1.16	n.s.
hsa-miR-30b	0.1874	0.2316	1.38	n.s.
hsa-miR-30c	0.3099	0.3509	1.21	n.s.
hsa-miR-30d	0.1328	0.24	1.32	n.s.
hsa-miR-30e	0.064	0.1128	0.21	n.s.
hsa-miR-320	0.1994	0.342	1.43	n.s.
hsa-miR-328	0.0443	0.1552	2.46	6.00E-03
hsa-miR-331-3p	0.1095	0.0872	1.3	n.s.
hsa-miR-331-5p	0.0029	0.0054	2.14	n.s.
hsa-miR-335	0.0056	0.0066	1.34	n.s.
hsa-miR-337-5p	0.0507	0.5602	13.55	n.s.
hsa-miR-339-3p	0.0018	0.0013	1.12	n.s.
hsa-miR-342-3p	0.0335	0.0218	0.96	n.s.
hsa-miR-345	0.0074	0.0062	0.91	n.s.
hsa-miR-365	0.0101	0.0059	0.13	n.s.
hsa-miR-374a	0.0087	0.021	2.27	3.00E-02
hsa-miR-375	0.1237	0.0474	0.41	n.s.
hsa-miR-378	0.0039	0.0075	1.41	n.s.
hsa-miR-383	0.032	0.0155	1.03	n.s.
hsa-miR-423-5p	0.0075	0.0084	1.36	n.s.
hsa-miR-429	0.0082	0.0013	0.12	n.s.
hsa-miR-485-3p	0.035	0.3674	3.29	n.s.
hsa-miR-487a	0.1358	0.0918	8.82	n.s.
hsa-miR-494	0.0207	0.0244	1.87	n.s.
hsa-miR-509-3p	0.9897	3.1777	17.88	n.s.
hsa-miR-516a-3p	0.0309	0.1384	4.72	n.s.
hsa-miR-520d-5p	0.047	0.0207	0.36	n.s.
hsa-miR-526b	0.0346	0.0313	1.21	n.s.
hsa-miR-548a-3p	0.0035	0.0001	0.01	4.90E-02
hsa-miR-551b	0.0319	0.1591	6.32	n.s.
hsa-miR-567	136.9	770.15	194.01	n.s.
hsa-miR-574-3p	0.0147	0.0126	0.92	n.s.
hsa-miR-586	0.2443	1.8302	8.57	n.s.
hsa-miR-590-5p	0.0024	0.0108	2.64	n.s.
hsa-miR-601	0.0229	0.2346	5.43	1.70E-02
hsa-miR-610	0.4639	3.7555	6.32	4.50E-02
hsa-miR-623	0.001	0.0012	1.3	n.s.
hsa-miR-632	0.0338	0.24	4.59	n.s.
hsa-miR-638	0.0308	0.1538	6.59	4.80E-02
hsa-miR-645	0.0052	0.0028	0.51	n.s.
hsa-miR-650	33.013	816.32	7.06	n.s.
hsa-miR-656	0.014	0.0745	37.27	n.s.
hsa-miR-657	14.835	77.708	4.53	n.s.
hsa-miR-760	34.751	238.52	1.82	n.s.
hsa-miR-768-3p	0.5252	0.4308	0.68	n.s.
hsa-miR-801	0.9958	1.2588	1.03	n.s.
hsa-miR-886-5p	0.0004	0.0425	86.82	0.00E+00
hsa-miR-923	16.472	7.5947	0.69	4.80E-02
hsa-miR-92a	0.5119	0.6706	0.75	n.s.
hsa-miR-93	0.0786	0.0427	0.33	1.20E-02
hsa-miR-95	0.004	0.1567	10.85	n.s.
hsa-miR-99b	0.0468	0.0764	1.67	4.60E-02
hsa-miR-99b	0.0381	0.299	3.73	n.s.
