name	MBD4	CD1D	GATA3	PLS3	STAT4	TRAIL	ratio to MBD4 CD1D	ratio to MBD4 GATA3	ratio to MBD4 PLS3	ratio to MBD4 STAT4	ratio to MBD4 TRAIL	ln(ratio) CD1D	ln(ratio) GATA3	ln(ratio) PLS3	ln(ratio) STAT4	ln(ratio) TRAIL	LDA.ave.score	LDA.stdev.score	SVM.ave.score	SVM.stdev.score
C008.1.PHA	5.862E-02	5.664E-03	1.523E-02	5.235E-03	2.114E+00	2.838E-01	0.097	0.260	0.089	36.057	4.842	-2.337	-1.347	-2.416	3.585	1.577	-3.622	0.638	-0.307	0.107
C005.1.UT	2.066E-01	1.681E-01	6.714E-02	1.780E-03	9.758E+00	3.310E-01	0.814	0.325	0.009	47.241	1.603	-0.206	-1.124	-4.754	3.855	0.472	-5.712	0.419	-1.169	0.042
C006.1.UT	2.865E-01	5.261E-01	2.050E-01	2.800E-03	3.024E+01	5.894E-01	1.836	0.716	0.010	105.566	2.058	0.608	-0.334	-4.628	4.659	0.721	-7.173	0.517	-1.238	0.041
C017.1.UT	3.501E-01	7.621E-02	4.565E-03	5.865E-04	1.242E+01	4.920E-01	0.218	0.013	0.002	35.476	1.405	-1.525	-4.340	-6.392	3.569	0.340	-9.908	0.990	-0.747	0.066
C018.1.UT	4.361E-01	5.046E-01	8.334E-02	1.381E-03	2.645E+01	5.095E-01	1.157	0.191	0.003	60.651	1.168	0.146	-1.655	-5.755	4.105	0.156	-7.988	0.631	-1.226	0.047
C019.4.UT	2.197E-01	6.252E-02	6.637E-02	1.502E-03	7.607E+00	2.161E+00	0.285	0.302	0.007	34.624	9.837	-1.257	-1.197	-4.985	3.545	2.286	-0.489	0.266	-0.016	0.053
C023.1.UT	1.617E-01	3.014E+00	6.482E-02	2.719E-03	1.313E+01	6.036E-01	18.642	0.401	0.017	81.209	3.734	2.925	-0.914	-4.085	4.397	1.317	-5.628	0.358	-0.941	0.031
C024.1.UT	1.090E-01	3.118E+00	6.929E-02	9.161E-04	1.613E+01	2.481E-01	28.606	0.636	0.008	147.982	2.276	3.354	-0.453	-4.779	4.997	0.822	-8.091	0.460	-1.114	0.035
C026.1.UT	1.107E-01	3.541E+00	8.584E-02	8.063E-04	2.820E+01	7.915E-01	31.970	0.775	0.007	254.639	7.147	3.465	-0.255	-4.923	5.540	1.967	-7.298	0.479	-0.758	0.034
C027.1.UT	4.545E-01	5.442E+00	1.827E-01	5.268E-03	1.559E+01	7.110E-01	11.974	0.402	0.012	34.292	1.564	2.483	-0.912	-4.458	3.535	0.447	-4.017	0.328	-1.063	0.035
C028.1.UT	4.677E-01	5.104E+00	1.578E-01	2.020E-03	2.224E+01	2.764E+00	10.912	0.337	0.004	47.542	5.910	2.390	-1.086	-5.445	3.862	1.777	-2.290	0.176	-0.478	0.031
C030.1.UT	1.352E-01	2.767E+00	1.707E-01	6.446E-04	1.590E+01	1.099E+00	20.466	1.263	0.005	117.604	8.129	3.019	0.233	-5.346	4.767	2.095	-3.032	0.218	-0.427	0.032
C039.1.UT	2.129E-01	2.827E-01	6.560E-02	1.242E-04	1.592E+01	7.162E-01	1.328	0.308	0.001	74.762	3.364	0.284	-1.177	-7.446	4.314	1.213	-4.807	0.430	-0.582	0.044
C040.1.UT	7.554E-02	6.279E-02	3.049E-02	3.670E-05	6.331E+00	9.371E-02	0.831	0.404	0.001	83.813	1.241	-0.185	-0.907	-7.630	4.429	0.216	-7.038	0.506	-0.870	0.056
C042.1.UT	1.380E-01	5.681E-01	3.508E-02	6.110E-03	6.707E+00	1.141E+00	4.117	0.254	0.044	48.602	8.267	1.415	-1.370	-3.117	3.884	2.112	-3.132	0.344	-0.590	0.040
C043.1.UT	1.263E-01	5.369E-01	1.703E-02	1.785E-04	9.955E+00	7.513E-01	4.251	0.135	0.001	78.833	5.949	1.447	-2.003	-6.562	4.367	1.783	-5.257	0.400	-0.608	0.031
C044.1.UT	1.295E-01	6.747E-01	2.171E-02	7.119E-04	4.214E+00	8.157E-01	5.208	0.168	0.006	32.527	6.296	1.650	-1.786	-5.204	3.482	1.840	-1.920	0.217	-0.424	0.032
C045.1.UT	1.050E-01	7.360E-01	3.265E-02	5.783E-04	2.818E+00	7.502E-01	7.010	0.311	0.006	26.836	7.145	1.947	-1.168	-5.202	3.290	1.966	0.054	0.149	-0.224	0.030
C046.1.UT	1.319E-01	7.287E-01	1.046E-02	1.701E-04	1.115E+01	3.912E-01	5.527	0.079	0.001	84.600	2.967	1.710	-2.534	-6.653	4.438	1.088	-7.993	0.513	-0.891	0.043
C047.1.UT	1.118E-01	1.008E+00	1.804E-02	1.217E-03	3.710E+00	6.451E-01	9.019	0.161	0.011	33.190	5.772	2.199	-1.824	-4.520	3.502	1.753	-2.439	0.295	-0.523	0.038
C049.1.UT	2.207E-01	1.204E-01	3.715E-02	1.427E-04	2.674E+01	4.042E-01	0.546	0.168	0.001	121.186	1.832	-0.606	-1.782	-7.344	4.797	0.605	-9.230	0.640	-0.934	0.049
C050.1.UT	1.618E-01	5.446E-01	2.663E-02	9.933E-05	8.636E+00	7.934E-01	3.365	0.165	0.001	53.369	4.903	1.213	-1.804	-7.396	3.977	1.590	-3.568	0.300	-0.457	0.038
C051.1.UT	5.180E-02	5.199E-01	2.493E-02	5.128E-04	4.582E+00	3.395E-01	10.037	0.481	0.010	88.456	6.553	2.306	-0.732	-4.615	4.483	1.880	-4.260	0.301	-0.681	0.028
C052.1.UT	1.874E-01	3.517E+00	7.159E-02	1.312E-03	7.070E+00	2.102E+00	18.767	0.382	0.007	37.724	11.217	2.932	-0.962	-4.962	3.630	2.417	0.124	0.156	-0.100	0.031
C053.1.UT	4.694E-02	1.023E+00	3.056E-02	7.535E-04	2.121E+00	3.046E-01	21.792	0.651	0.016	45.185	6.489	3.082	-0.429	-4.132	3.811	1.870	-1.336	0.169	-0.391	0.034
C054.1.UT	1.446E-01	1.659E+00	5.860E-02	3.328E-03	1.115E+01	1.588E+00	11.479	0.405	0.023	77.110	10.989	2.440	-0.903	-3.771	4.345	2.397	-3.194	0.297	-0.458	0.035
C055.1.UT	1.511E-01	1.282E+00	7.146E-02	2.431E-03	1.117E+01	9.712E-01	8.484	0.473	0.016	73.895	6.428	2.138	-0.749	-4.130	4.303	1.861	-3.886	0.263	-0.689	0.029
C056.1.UT	1.964E-01	2.004E+00	4.901E-02	1.479E-03	1.207E+01	1.534E+00	10.205	0.250	0.008	61.451	7.811	2.323	-1.388	-4.889	4.118	2.055	-3.361	0.256	-0.529	0.031
C057.1.UT	1.034E-01	1.901E+00	4.672E-02	1.266E-03	1.502E+01	8.229E-01	18.379	0.452	0.012	145.194	7.957	2.911	-0.795	-4.403	4.978	2.074	-5.935	0.430	-0.717	0.026
C058.1.UT	2.133E-01	1.567E+00	7.131E-02	1.016E-03	1.512E+01	2.050E+00	7.346	0.334	0.005	70.920	9.611	1.994	-1.096	-5.347	4.262	2.263	-2.880	0.222	-0.423	0.026
C059.1.UT	3.291E-01	3.156E+00	5.608E-02	2.722E-03	1.530E+01	2.362E+00	9.591	0.170	0.008	46.501	7.179	2.261	-1.770	-4.795	3.839	1.971	-3.076	0.265	-0.519	0.031
C060.1.UT	7.925E-01	1.318E+00	5.695E-02	2.357E-03	1.647E+01	1.392E+00	1.664	0.072	0.003	20.777	1.756	0.509	-2.633	-5.818	3.034	0.563	-4.073	0.381	-0.749	0.048
C061.1.UT	2.983E-01	2.519E+00	4.683E-02	1.663E-03	1.374E+01	2.281E+00	8.442	0.157	0.006	46.072	7.645	2.133	-1.852	-5.189	3.830	2.034	-2.839	0.276	-0.456	0.034
C062.1.UT	1.846E-01	1.407E+00	1.414E-01	1.273E-03	1.533E+01	1.407E+00	7.624	0.766	0.007	83.038	7.621	2.031	-0.266	-4.977	4.419	2.031	-2.897	0.220	-0.505	0.028
C063.1.UT	6.263E-02	1.393E+00	4.210E-02	1.258E-03	6.013E+00	5.735E-01	22.247	0.672	0.020	96.004	9.157	3.102	-0.397	-3.908	4.564	2.214	-3.593	0.301	-0.504	0.032
C064.1.UT	2.514E-01	2.100E+00	1.125E-01	2.459E-03	1.572E+01	1.830E+00	8.351	0.447	0.010	62.531	7.278	2.122	-0.804	-4.627	4.136	1.985	-2.857	0.206	-0.537	0.025
C065.1.UT	2.016E-01	3.178E+00	5.358E-02	1.822E-03	1.466E+01	3.006E+00	15.759	0.266	0.009	72.700	14.907	2.757	-1.325	-4.707	4.286	2.702	-2.487	0.256	-0.276	0.028
C066.1.UT	1.471E-01	9.722E-01	1.194E-01	1.465E-03	1.493E+01	8.374E-01	6.610	0.812	0.010	101.489	5.694	1.889	-0.208	-4.609	4.620	1.739	-4.400	0.282	-0.733	0.026
C067.1.UT	2.065E-01	2.217E+00	1.472E-01	2.299E-03	1.727E+01	1.768E+00	10.739	0.713	0.011	83.650	8.564	2.374	-0.338	-4.498	4.427	2.148	-2.957	0.226	-0.488	0.027
C068.1.UT	9.084E-02	1.941E+00	8.955E-02	1.131E-03	7.517E+00	4.126E-01	21.370	0.986	0.012	82.749	4.542	3.062	-0.014	-4.386	4.416	1.513	-3.758	0.244	-0.688	0.028
C069.1.UT	1.464E-01	2.147E+00	4.920E-02	1.372E-03	1.613E+01	8.279E-01	14.665	0.336	0.009	110.214	5.656	2.685	-1.090	-4.670	4.702	1.733	-5.953	0.383	-0.818	0.029
C070.1.UT	1.293E-01	3.180E+00	1.160E-01	2.586E-03	8.314E+00	1.378E+00	24.583	0.897	0.020	64.277	10.657	3.202	-0.109	-3.912	4.163	2.366	-1.257	0.181	-0.234	0.034
C071.1.UT	9.375E-02	1.173E+00	8.601E-02	2.042E-03	8.918E+00	7.665E-01	12.513	0.917	0.022	95.125	8.176	2.527	-0.086	-3.827	4.555	2.101	-3.434	0.243	-0.546	0.033
C072.1.UT	7.499E-02	1.639E+00	8.421E-02	1.076E-03	7.972E+00	4.575E-01	21.854	1.123	0.014	106.295	6.100	3.084	0.116	-4.244	4.666	1.808	-3.958	0.264	-0.613	0.038
C073.1.UT	1.422E-01	1.751E+00	6.654E-02	1.961E-03	1.361E+01	1.162E+00	12.317	0.468	0.014	95.745	8.174	2.511	-0.759	-4.284	4.562	2.101	-4.256	0.298	-0.618	0.028
C074.1.UT	2.703E-01	1.376E+00	2.033E-01	2.033E-03	1.605E+01	1.425E+00	5.093	0.752	0.008	59.406	5.272	1.628	-0.285	-4.890	4.084	1.662	-2.501	0.245	-0.588	0.028
C075.1.UT	2.839E-01	3.241E+00	2.375E-01	3.776E-03	1.939E+01	2.420E+00	11.417	0.836	0.013	68.294	8.524	2.435	-0.179	-4.320	4.224	2.143	-2.011	0.152	-0.410	0.031
C076.1.UT	2.866E-01	1.653E+00	1.146E-01	2.583E-03	1.265E+01	1.889E+00	5.769	0.400	0.009	44.158	6.592	1.753	-0.916	-4.709	3.788	1.886	-1.914	0.163	-0.488	0.029
C077.1.UT	2.336E-01	3.117E+00	9.775E-02	2.740E-03	1.380E+01	2.353E+00	13.346	0.419	0.012	59.077	10.074	2.591	-0.871	-4.446	4.079	2.310	-2.056	0.201	-0.357	0.027
C078.1.UT	2.807E-01	2.335E+00	1.733E-01	1.808E-03	9.995E+00	2.558E+00	8.317	0.617	0.006	35.606	9.115	2.118	-0.482	-5.045	3.573	2.210	0.503	0.147	-0.146	0.030
C080.1.UT	2.133E-01	1.567E+00	7.131E-02	1.016E-03	1.512E+01	2.050E+00	6.680	0.409	0.005	54.136	9.311	1.899	-0.895	-5.234	3.992	2.231	-1.659	0.150	-0.338	0.028
C081.1.UT	2.914E-01	2.353E+00	9.566E-02	1.902E-03	1.933E+01	2.456E+00	8.074	0.328	0.007	66.324	8.429	2.089	-1.114	-5.032	4.195	2.132	-3.072	0.227	-0.487	0.027
C082.1.UT	2.154E-01	2.436E+00	1.143E-01	1.706E-03	1.579E+01	2.448E+00	11.310	0.531	0.008	73.314	11.367	2.426	-0.634	-4.838	4.295	2.431	-2.149	0.213	-0.334	0.024
C083.1.UT	4.180E-01	1.376E+00	1.054E-01	3.117E-03	1.613E+01	2.425E+00	3.293	0.252	0.008	38.594	5.802	1.192	-1.377	-4.899	3.653	1.758	-2.340	0.222	-0.533	0.029
C084.1.UT	2.688E-01	2.170E+00	1.430E-01	1.594E-03	1.716E+01	2.443E+00	8.074	0.532	0.006	63.847	9.090	2.089	-0.631	-5.128	4.156	2.207	-1.982	0.175	-0.374	0.025
C085.1.UT	3.286E-01	2.308E+00	1.721E-01	1.862E-03	2.152E+01	2.661E+00	7.024	0.524	0.006	65.483	8.098	1.949	-0.647	-5.173	4.182	2.092	-2.367	0.195	-0.440	0.030
C086.1.UT	1.198E-01	1.184E+00	1.473E-01	9.706E-04	1.657E+01	5.900E-01	9.881	1.229	0.008	138.217	4.923	2.291	0.206	-4.816	4.929	1.594	-5.117	0.352	-0.770	0.037
C087.1.UT	1.461E-01	2.451E+00	2.617E-01	1.084E-03	1.326E+01	5.029E-01	16.779	1.791	0.007	90.748	3.443	2.820	0.583	-4.903	4.508	1.236	-3.560	0.275	-0.700	0.037
C088.1.UT	4.518E-02	3.523E-01	1.311E-01	4.276E-04	5.735E+00	1.744E-01	7.798	2.903	0.010	126.939	3.860	2.054	1.066	-4.660	4.844	1.351	-4.072	0.375	-0.719	0.045
S108.1.05	2.053E-01	4.195E-02	1.503E-02	6.839E-03	2.424E-01	1.335E-01	0.204	0.073	0.033	1.181	0.650	-1.588	-2.614	-3.402	0.166	-0.431	2.729	0.555	-0.036	0.095
S120.1.05	2.579E-01	1.995E+00	1.618E-01	5.872E-04	7.236E+00	3.742E+00	7.736	0.627	0.002	28.057	14.510	2.046	-0.466	-6.085	3.334	2.675	2.706	0.237	0.187	0.037
S151.4.05	3.887E-01	1.526E+00	1.715E-01	9.718E-04	5.841E+00	3.391E+00	3.926	0.441	0.003	15.026	8.723	1.368	-0.818	-5.991	2.710	2.166	3.319	0.284	0.178	0.046
S158.1.05	8.792E-02	3.060E-01	5.327E-02	1.576E-04	2.078E+00	2.229E+00	3.480	0.606	0.002	23.630	25.349	1.247	-0.501	-6.324	3.162	3.233	4.569	0.306	0.507	0.041
S105.2.08	1.990E-01	5.222E-01	3.908E-02	3.914E-04	2.663E+00	4.880E+00	2.625	0.196	0.002	13.383	24.526	0.965	-1.627	-6.231	2.594	3.200	4.846	0.318	0.590	0.041
S161.1.10	4.205E-02	8.512E-03	8.103E-03	3.670E-05	2.780E+00	1.555E-01	0.202	0.193	0.001	66.122	3.697	-1.597	-1.647	-7.044	4.191	1.308	-6.345	0.395	-0.564	0.054
S104.2.15	2.860E-01	5.885E+00	1.917E-01	7.412E-04	1.115E+01	1.238E+01	20.577	0.670	0.003	38.986	43.287	3.024	-0.400	-5.955	3.663	3.768	3.894	0.341	0.505	0.036
S106.2.15	6.621E-02	2.511E+00	9.046E-01	9.829E-02	1.089E+00	4.114E+00	37.925	13.663	1.485	16.448	62.136	3.636	2.615	0.395	2.800	4.129	10.504	0.770	2.159	0.097
S121.1.15	2.139E-01	3.211E+00	1.569E-01	3.249E-03	4.712E+00	1.017E+01	15.012	0.734	0.015	22.029	47.546	2.709	-0.310	-4.187	3.092	3.862	5.789	0.366	0.841	0.043
S139.1.15	8.545E-02	1.213E+00	4.111E-01	6.046E-04	7.984E+00	1.530E+00	14.195	4.811	0.007	93.435	17.905	2.653	1.571	-4.951	4.537	2.885	0.973	0.257	0.100	0.045
S155.1.15	1.370E-01	1.184E+00	4.333E-02	4.067E-04	3.257E+00	2.688E+00	8.639	0.316	0.003	23.770	19.619	2.156	-1.151	-5.820	3.168	2.976	2.853	0.231	0.282	0.033
S157.3.15	2.145E-01	5.322E-01	8.799E-02	8.087E-04	5.644E+00	1.721E+00	2.481	0.410	0.004	26.310	8.021	0.909	-0.891	-5.581	3.270	2.082	0.736	0.140	-0.119	0.031
S160.1.15	1.777E-01	6.709E-01	5.204E-02	1.334E-02	8.913E+00	2.960E+00	3.775	0.293	0.075	50.148	16.655	1.328	-1.228	-2.589	3.915	2.813	-2.187	0.329	-0.250	0.054
S151.3.20	6.995E-01	5.364E-01	4.650E-01	1.781E-03	8.621E+00	4.368E+00	0.767	0.665	0.003	12.325	6.244	-0.265	-0.408	-5.973	2.512	1.832	3.714	0.328	0.230	0.052
S124.1.21	1.043E-01	1.512E+00	2.170E-01	1.764E-03	3.417E+00	1.481E+00	14.497	2.081	0.017	32.761	14.199	2.674	0.733	-4.080	3.489	2.653	3.092	0.273	0.250	0.037
S143.1.22	2.349E-01	1.940E+00	4.437E-01	9.442E-01	3.956E+00	2.713E+00	8.259	1.889	4.020	16.841	11.550	2.111	0.636	1.391	2.824	2.447	2.656	0.312	1.207	0.119
S146.1.24	1.516E-01	1.576E-01	9.809E-02	6.502E-05	1.794E+00	1.484E+00	1.039	0.647	0.000	11.832	9.785	0.039	-0.436	-7.754	2.471	2.281	5.713	0.539	0.489	0.057
S137.1.27	1.147E-01	5.671E-01	1.652E-02	1.066E-04	5.526E+00	1.455E+00	4.944	0.144	0.001	48.182	12.691	1.598	-1.938	-6.981	3.875	2.541	-1.769	0.251	-0.164	0.029
S148.1.28	1.102E-01	9.594E-01	3.586E-01	1.768E-01	2.048E+00	3.970E+00	8.706	3.254	1.604	18.584	36.025	2.164	1.180	0.473	2.922	3.584	6.119	0.334	1.721	0.084
S142.1.30	1.606E-01	1.740E+00	6.268E-02	1.125E-01	4.945E+00	1.903E+00	10.834	0.390	0.701	30.791	11.849	2.383	-0.941	-0.356	3.427	2.472	-1.547	0.357	-0.080	0.078
S156.1.30	1.634E-01	3.762E-01	3.261E-02	1.199E-04	5.819E+00	1.528E+00	2.302	0.200	0.001	35.601	9.347	0.834	-1.612	-7.218	3.572	2.235	-0.609	0.207	-0.118	0.040
S154.2.30	6.982E-02	2.179E-01	1.447E-01	4.853E-02	6.821E-01	1.268E+00	3.120	2.073	0.695	9.770	18.158	1.138	0.729	-0.364	2.279	2.899	6.681	0.347	1.622	0.071
S122.1.32	7.116E-02	1.128E-01	2.006E-02	4.541E-05	2.473E+00	8.184E-01	1.586	0.282	0.001	34.754	11.500	0.461	-1.266	-7.357	3.548	2.442	0.493	0.249	0.035	0.044
S135.1.32	1.422E-02	9.364E-01	5.410E-02	8.898E-03	5.099E-01	1.203E-01	65.851	3.805	0.626	35.858	8.460	4.187	1.336	-0.469	3.580	2.135	0.977	0.339	0.335	0.079
S126.1.34	1.133E-01	6.734E+00	8.057E-01	1.824E-01	6.484E+00	4.088E+00	59.435	7.111	1.610	57.229	36.081	4.085	1.962	0.476	4.047	3.586	3.031	0.360	1.161	0.085
S134.1.34	1.779E-01	5.739E+00	2.408E-01	2.515E-01	2.335E+00	6.576E+00	32.260	1.354	1.414	13.125	36.965	3.474	0.303	0.346	2.575	3.610	6.446	0.508	1.674	0.086
S113.8.35	5.920E-02	7.350E-02	1.033E-01	5.631E-02	3.411E-01	3.994E-01	1.242	1.745	0.951	5.762	6.747	0.216	0.557	-0.050	1.751	1.909	6.030	0.391	1.460	0.099
S145.1.36	8.111E-02	1.938E+00	2.170E-01	1.359E-02	1.451E+00	1.772E+00	23.894	2.675	0.168	17.889	21.847	3.174	0.984	-1.786	2.884	3.084	5.903	0.379	1.016	0.049
S125.1.37	8.435E-02	4.996E+00	2.755E-01	1.477E-01	9.252E+00	9.052E+00	59.229	3.266	1.751	109.686	107.315	4.081	1.184	0.560	4.698	4.676	1.327	0.410	1.188	0.087
S140.1.39	1.416E-01	3.484E+00	8.542E-02	5.730E-04	5.365E+00	1.624E+00	24.605	0.603	0.004	37.888	11.469	3.203	-0.505	-5.510	3.635	2.440	0.747	0.173	-0.037	0.040
S133.1.46	5.317E-02	2.745E-01	1.147E-02	1.162E-04	2.660E+00	7.519E-01	5.163	0.216	0.002	50.024	14.141	1.642	-1.534	-6.126	3.913	2.649	-1.303	0.205	-0.153	0.027
S130.1.48	1.222E-01	2.455E+00	1.360E-01	1.148E-01	6.780E+00	1.799E+00	20.090	1.113	0.939	55.483	14.722	3.000	0.107	-0.062	4.016	2.689	-1.784	0.304	0.103	0.074
S144.1.49	1.023E-01	1.829E+00	8.064E-01	4.275E-02	8.237E+00	3.262E+00	17.879	7.883	0.418	80.518	31.887	2.884	2.065	-0.873	4.388	3.462	2.017	0.257	0.750	0.082
S129.1.50	1.545E-02	3.554E-01	2.714E-01	6.733E-02	4.903E-01	5.224E-01	23.003	17.566	4.358	31.735	33.812	3.136	2.866	1.472	3.457	3.521	6.145	0.448	1.805	0.105
S141.1.53	4.590E-02	5.709E-01	2.094E-01	6.173E-01	2.120E+00	1.420E+00	12.438	4.562	13.449	46.187	30.937	2.521	1.518	2.599	3.833	3.432	1.653	0.381	1.493	0.149
S147.1.53	1.000E-01	2.318E-01	5.262E-01	3.564E-02	4.372E+00	8.445E+00	2.318	5.262	0.356	43.720	84.450	0.841	1.661	-1.032	3.778	4.436	5.865	0.365	1.529	0.094
S151.1.55	7.402E-02	8.910E-03	1.701E-01	1.736E-01	4.294E-01	6.615E-01	0.120	2.298	2.345	5.802	8.937	-2.117	0.832	0.852	1.758	2.190	6.455	0.359	2.366	0.144
S152.1.60	1.632E-01	4.329E-01	1.069E-01	1.927E-02	1.381E+00	2.171E+00	2.653	0.655	0.118	8.462	13.303	0.976	-0.423	-2.136	2.136	2.588	5.501	0.304	0.826	0.051
S131.1.61	1.793E-02	6.693E-01	1.325E-01	2.151E-04	1.777E+00	3.459E-01	37.329	7.390	0.012	99.108	19.292	3.620	2.000	-4.423	4.596	2.960	1.381	0.326	0.200	0.054
S107.3.62	2.781E-01	1.838E+00	2.025E-01	8.299E-02	2.739E+00	5.749E+00	6.609	0.728	0.298	9.849	20.672	1.888	-0.317	-1.209	2.287	3.029	5.712	0.301	1.175	0.061
S159.1.70	1.413E-01	4.979E-01	1.262E-01	4.945E-03	5.526E+00	1.592E+00	3.523	0.893	0.035	39.102	11.266	1.259	-0.113	-3.353	3.666	2.422	0.280	0.098	-0.152	0.034
S153.2.71	1.753E-01	2.017E+00	8.973E-03	8.545E-05	1.111E+00	1.554E+00	11.507	0.051	0.001	6.338	8.866	2.443	-2.972	-7.626	1.847	2.182	4.049	0.493	0.350	0.076
S108.2.75	4.145E-01	8.928E-01	3.390E-01	1.364E-01	2.848E+00	6.020E+00	2.154	0.818	0.329	6.872	14.525	0.767	-0.201	-1.112	1.927	2.676	6.373	0.334	1.333	0.068
S108.3.75	2.464E-02	1.850E-02	3.214E-02	2.683E-02	1.419E-01	5.953E-01	0.751	1.304	1.089	5.759	24.160	-0.287	0.266	0.085	1.751	3.185	8.365	0.391	2.464	0.113
S214.1.81	1.004E-01	7.960E-01	6.320E-02	1.031E-01	9.510E-01	2.270E+00	7.928	0.630	1.027	9.472	22.610	2.070	-0.463	0.027	2.248	3.118	5.373	0.381	1.481	0.087
S132.1.84	1.441E-01	4.237E-01	2.861E-02	1.148E-04	8.389E+00	1.531E+00	2.940	0.199	0.001	58.210	10.621	1.078	-1.617	-7.135	4.064	2.363	-2.307	0.252	-0.239	0.032
S218.1.87	7.110E-01	7.144E-01	7.836E-01	1.548E-01	2.243E+01	5.046E+00	1.005	1.102	0.218	31.547	7.097	0.005	0.097	-1.525	3.451	1.960	-0.662	0.201	-0.436	0.073
S203.1.88	8.570E-02	4.727E-01	2.125E-01	3.606E-01	1.213E+00	5.053E+00	5.516	2.480	4.208	14.154	58.962	1.708	0.908	1.437	2.650	4.077	7.479	0.391	2.291	0.115
S112.3.90	1.888E-01	1.314E-01	1.543E-01	1.634E-01	7.811E-01	3.787E+00	0.696	0.817	0.865	4.137	20.055	-0.362	-0.202	-0.145	1.420	2.998	8.814	0.448	2.521	0.118
S218.2.92	7.018E-01	8.408E-01	3.011E-01	9.393E-02	8.542E+00	8.778E+00	1.198	0.429	0.134	12.172	12.508	0.181	-0.846	-2.011	2.499	2.526	3.150	0.188	0.428	0.064
S216.1.99	1.726E-02	1.112E-01	2.642E-02	7.277E-02	1.061E-01	2.534E-01	6.443	1.531	4.216	6.147	14.681	1.863	0.426	1.439	1.816	2.687	6.801	0.388	2.161	0.136
S151.6.NA	6.252E-02	6.793E-02	5.208E-02	1.534E-04	1.908E+00	1.365E+00	1.087	0.833	0.003	30.514	21.829	0.083	-0.183	-6.010	3.418	3.083	3.472	0.287	0.409	0.047
S151.7.NA	2.802E-02	1.408E-01	7.942E-03	3.545E-04	4.217E-01	5.280E-01	5.027	0.284	0.013	15.051	18.847	1.615	-1.261	-4.370	2.711	2.936	3.783	0.241	0.421	0.034
S197.1.NA	3.869E-02	5.630E-02	1.073E-01	9.970E-04	8.527E-01	1.769E+00	1.455	2.773	0.026	22.039	45.722	0.375	1.020	-3.659	3.093	3.823	7.434	0.537	1.198	0.055
S198.1.NA	1.722E-01	3.640E-02	1.155E-01	3.250E-03	1.156E+00	1.154E+01	0.211	0.671	0.019	6.713	67.015	-1.554	-0.399	-3.970	1.904	4.205	11.268	0.530	1.888	0.072
