microRNA	p-value	fold-change absolute	regulation post/pre	Average expression pre	Average expression post
hsa-mir-19a	2.64E-01	1.52	up	164.95	250.42
hsa-mir-628	3.78E-02	1.75	up	2.09	3.65
hsa-mir-451	3.57E-02	2.33	up	781.15	1818.03
hsa-mir-144	1.88E-02	3.08	up	1.38	4.26
hsa-mir-338	3.23E-06	4.53	down	5.59	1.23
hsa-mir-500	1.79E-06	4.75	down	15.88	3.34
hsa-mir-892b	3.95E-06	5.45	down	18.98	3.48
hsa-mir-501	1.84E-05	3.56	down	10.09	2.84
hsa-mir-23a	1.95E-05	3.19	down	3.27	1.02
hsa-mir-202	1.99E-07	3.83	down	6.02	1.57
hsa-mir-513b	1.56E-06	3.25	down	4.86	1.5
hsa-mir-513a	5.72E-04	3.15	down	10.6	3.36
hsa-mir-1224	1.34E-04	3.75	down	16.75	4.46
hsa-mir-1226	1.82E-03	2.81	down	8.15	2.9
hsa-mir-324	2.49E-03	2.26	down	523.19	231.04
hsa-mir-768	1.98E-03	5.44	down	302.53	55.59
hsa-mir-765	7.86E-03	2.52	down	4.07	1.61
hsa-mir-671	1.01E-03	2.63	down	7.98	3.03
hsa-mir-638	9.76E-04	3.29	down	107.57	32.71
hsa-mir-923	2.46E-03	3.19	down	9353.37	2934.09
hsa-mir-550	1.26E-02	2.05	down	3.73	1.82
hsa-mir-939	1.82E-04	2.16	down	52.98	24.53
hsa-mir-513c	3.40E-03	1.84	down	1.93	1.05
hsa-mir-92a-1	2.07E-03	2.37	down	3.78	1.59
hsa-mir-572	5.06E-04	3.24	down	4.99	1.54
hsa-mir-138-2	1.78E-02	2.01	down	5.34	2.65
hsa-mir-198	1.73E-03	2.15	down	2.2	1.02
hsa-mir-423	5.99E-02	1.96	down	65.3	33.38
hsa-mir-1229	1.90E-02	2.28	down	12.56	5.51
hsa-mir-500	9.26E-03	1.9	down	8.43	4.44
hsa-mir-575	2.28E-02	2.92	down	116.72	40.02
hsa-mir-744	1.36E-02	2.19	down	9.62	4.4
hsa-mir-494	3.77E-02	2.35	down	212.09	90.1
hsa-mir-30b	1.05E-03	2.14	down	3.45	1.61
hsa-mir-150	4.91E-02	1.57	down	20.29	12.94
hsa-mir-23a	2.97E-02	1.7	down	980.23	575.51
hsa-mir-636	5.91E-02	1.72	down	10.6	6.14
hsa-mir-296	2.32E-02	1.99	down	6.71	3.38
hsa-mir-1237	6.93E-02	1.81	down	18.09	9.99
hsa-mir-630	1.27E-02	3.92	down	7.3	1.86
hsa-mir-634	2.91E-02	1.73	down	3.11	1.79
hsa-mir-125a	1.16E-01	1.61	down	20.6	12.77
hsa-mir-1225	7.83E-02	1.74	down	27.4	15.75
hsa-mir-652	1.07E-01	1.47	down	10.39	7.07
hsa-mir-92a	1.94E-01	1.36	down	732.96	540.15
hsa-mir-193a	1.32E-01	1.55	down	2.28	1.47
hsa-mir-650	2.89E-02	2.92	down	5.49	1.88
hsa-mir-1228	1.08E-01	1.73	down	60.48	34.94
hsa-mir-770	1.91E-01	1.42	down	2.2	1.55
hsa-let-7b	6.99E-02	1.79	down	1926.99	1077.95
hsa-mir-361	2.05E-01	1.42	down	150.98	106.48
hsa-mir-625	2.02E-01	1.39	down	5.84	4.2
hsa-mir-18b	1.50E-01	1.54	down	2.73	1.77
hsa-mir-188	2.85E-02	2.03	down	47.52	23.4
hsa-mir-483	2.91E-02	2.19	down	15.62	7.13
hsa-mir-505	1.37E-01	1.59	down	10.7	6.75
hsa-mir-877	1.53E-01	1.54	down	3.26	2.12
hsa-mir-502	4.66E-02	1.51	down	7.52	4.99
hsa-mir-933	4.12E-01	1.3	down	6.17	4.75
hsa-mir-148b	5.67E-01	1.12	down	43.61	38.92
hsa-mir-801	7.12E-03	1.79	down	44.4	24.83
hsa-let-7a	4.89E-04	1.64	down	4173.51	2541.44
