# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133_plus_2|223343_at|223343_at	hgnc_symbol|MS4A7|MS4A7
affy_hg_u133_plus_2|240173_at|240173_at
affy_hg_u133_plus_2|207014_at|207014_at	hgnc_symbol|GABRA2|GABRA2
affy_hg_u133_plus_2|219959_at|219959_at	hgnc_symbol|MOCOS|MOCOS
affy_hg_u133_plus_2|236302_at|236302_at	hgnc_symbol|PPM1E|PPM1E
affy_hg_u133_plus_2|227404_s_at|227404_s_at	hgnc_symbol|EGR1|EGR1
affy_hg_u133_plus_2|204869_at|204869_at	hgnc_symbol|PCSK2|PCSK2
affy_hg_u133_plus_2|232687_at|232687_at
affy_hg_u133_plus_2|204393_s_at|204393_s_at	hgnc_symbol|ACPP|ACPP
affy_hg_u133_plus_2|201761_at|201761_at	hgnc_symbol|MTHFD2|MTHFD2
affy_hg_u133_plus_2|230030_at|230030_at	hgnc_symbol|HS6ST2|HS6ST2
affy_hg_u133_plus_2|206645_s_at|206645_s_at	hgnc_symbol|NR0B1|NR0B1
affy_hg_u133_plus_2|217127_at|217127_at	hgnc_symbol|CTH|CTH
affy_hg_u133_plus_2|218145_at|218145_at	hgnc_symbol|TRIB3|TRIB3
affy_hg_u133_plus_2|227055_at|227055_at	hgnc_symbol|METTL7B|METTL7B
affy_hg_u133_plus_2|201694_s_at|201694_s_at	hgnc_symbol|EGR1|EGR1
affy_hg_u133_plus_2|221841_s_at|221841_s_at	hgnc_symbol|KLF4|KLF4
affy_hg_u133_plus_2|1552767_a_at|1552767_a_at	hgnc_symbol|HS6ST2|HS6ST2
affy_hg_u133_plus_2|213425_at|213425_at	hgnc_symbol|WNT5A|WNT5A
affy_hg_u133_plus_2|235777_at|235777_at	hgnc_symbol|ANKRD44|ANKRD44
affy_hg_u133_plus_2|238378_at|238378_at
affy_hg_u133_plus_2|223786_at|223786_at	hgnc_symbol|CHST6|CHST6
affy_hg_u133_plus_2|215933_s_at|215933_s_at	hgnc_symbol|HHEX|HHEX
affy_hg_u133_plus_2|225060_at|225060_at	hgnc_symbol|LRP11|LRP11
affy_hg_u133_plus_2|215116_s_at|215116_s_at	hgnc_symbol|DNM1|DNM1
affy_hg_u133_plus_2|202847_at|202847_at	hgnc_symbol|PCK2|PCK2
affy_hg_u133_plus_2|242871_at|242871_at	hgnc_symbol|PAQR5|PAQR5
affy_hg_u133_plus_2|218976_at|218976_at	hgnc_symbol|DNAJC12|DNAJC12
affy_hg_u133_plus_2|238453_at|238453_at	hgnc_symbol|FGFBP3|FGFBP3
affy_hg_u133_plus_2|210497_x_at|210497_x_at	hgnc_symbol|SSX2|SSX2
affy_hg_u133_plus_2|207360_s_at|207360_s_at	hgnc_symbol|NTSR1|NTSR1
affy_hg_u133_plus_2|238681_at|238681_at	hgnc_symbol|GDPD1|GDPD1
affy_hg_u133_plus_2|227742_at|227742_at	hgnc_symbol|CLIC6|CLIC6
affy_hg_u133_plus_2|206508_at|206508_at	hgnc_symbol|CD70|CD70
affy_hg_u133_plus_2|233177_s_at|233177_s_at	hgnc_symbol|PNKD|PNKD
affy_hg_u133_plus_2|221659_s_at|221659_s_at	hgnc_symbol|MYL10|MYL10
affy_hg_u133_plus_2|206626_x_at|206626_x_at	hgnc_symbol|SSX1|SSX1
affy_hg_u133_plus_2|205789_at|205789_at	hgnc_symbol|CD1D|CD1D
affy_hg_u133_plus_2|218691_s_at|218691_s_at	hgnc_symbol|PDLIM4|PDLIM4
affy_hg_u133_plus_2|203886_s_at|203886_s_at	hgnc_symbol|FBLN2|FBLN2
affy_hg_u133_plus_2|1554199_at|1554199_at	hgnc_symbol|PTPRO|PTPRO
affy_hg_u133_plus_2|225612_s_at|225612_s_at	hgnc_symbol|B3GNT5|B3GNT5
