# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133_plus_2|205638_at|205638_at	hgnc_symbol|BAI3|BAI3
affy_hg_u133_plus_2|221658_s_at|221658_s_at	hgnc_symbol|IL21R|IL21R
affy_hg_u133_plus_2|225842_at|225842_at	hgnc_symbol|PHLDA1|PHLDA1
affy_hg_u133_plus_2|209581_at|209581_at	hgnc_symbol|PLA2G16|PLA2G16
affy_hg_u133_plus_2|227145_at|227145_at	hgnc_symbol|LOXL4|LOXL4
affy_hg_u133_plus_2|229309_at|229309_at	hgnc_symbol|ADRB1|ADRB1
affy_hg_u133_plus_2|207076_s_at|207076_s_at	hgnc_symbol|ASS1|ASS1
affy_hg_u133_plus_2|213040_s_at|213040_s_at	hgnc_symbol|NPTXR|NPTXR
affy_hg_u133_plus_2|212230_at|212230_at	hgnc_symbol|PPAP2B|PPAP2B
affy_hg_u133_plus_2|202949_s_at|202949_s_at	hgnc_symbol|FHL2|FHL2
affy_hg_u133_plus_2|209583_s_at|209583_s_at	hgnc_symbol|CD200|CD200
affy_hg_u133_plus_2|210279_at|210279_at	hgnc_symbol|GPR18|GPR18
affy_hg_u133_plus_2|203394_s_at|203394_s_at	hgnc_symbol|HES1|HES1
affy_hg_u133_plus_2|224894_at|224894_at	hgnc_symbol|YAP1|YAP1
affy_hg_u133_plus_2|209921_at|209921_at	hgnc_symbol|SLC7A11|SLC7A11
affy_hg_u133_plus_2|207714_s_at|207714_s_at	hgnc_symbol|SERPINH1|SERPINH1
affy_hg_u133_plus_2|205590_at|205590_at	hgnc_symbol|RASGRP1|RASGRP1
affy_hg_u133_plus_2|235191_at|235191_at
affy_hg_u133_plus_2|208438_s_at|208438_s_at	hgnc_symbol|FGR|FGR
affy_hg_u133_plus_2|202284_s_at|202284_s_at	hgnc_symbol|CDKN1A|CDKN1A
affy_hg_u133_plus_2|213012_at|213012_at	hgnc_symbol|NEDD4|NEDD4
affy_hg_u133_plus_2|203562_at|203562_at	hgnc_symbol|FEZ1|FEZ1
affy_hg_u133_plus_2|220276_at|220276_at	hgnc_symbol|RERGL|RERGL
affy_hg_u133_plus_2|226000_at|226000_at	hgnc_symbol|CTTNBP2NL|CTTNBP2NL
affy_hg_u133_plus_2|215129_at|215129_at	hgnc_symbol|PIK3C2G|PIK3C2G
affy_hg_u133_plus_2|212364_at|212364_at	hgnc_symbol|MYO1B|MYO1B
affy_hg_u133_plus_2|207874_s_at|207874_s_at	hgnc_symbol|CFHR4|CFHR4
