# Generate Mapping Tables Script: Version 4 11:07 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:07 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_mouse430_2|1449314_at|1449314_at	mgi_symbol|Zfpm2|Zfpm2
affy_mouse430_2|1455647_at|1455647_at	mgi_symbol|Ar|Ar
affy_mouse430_2|1454788_at|1454788_at	mgi_symbol|Arl4c /// LOC632433|Arl4c /// LOC632433
affy_mouse430_2|1426848_at|1426848_at	mgi_symbol|Sec24b|Sec24b
affy_mouse430_2|1434967_at|1434967_at	mgi_symbol|Zswim6|Zswim6
affy_mouse430_2|1435078_at|1435078_at	mgi_symbol|Tanc2|Tanc2
affy_mouse430_2|1449158_at|1449158_at	mgi_symbol|Kcnk2|Kcnk2
affy_mouse430_2|1417476_at|1417476_at	mgi_symbol|Fbxw5|Fbxw5
affy_mouse430_2|1426297_at|1426297_at	mgi_symbol|Tcfe2a|Tcfe2a
affy_mouse430_2|1440195_at|1440195_at	mgi_symbol|Serbp1|Serbp1
affy_mouse430_2|1417962_s_at|1417962_s_at	mgi_symbol|Ghr|Ghr
affy_mouse430_2|1419066_at|1419066_at	mgi_symbol|Ier5l|Ier5l
affy_mouse430_2|1426951_at|1426951_at	mgi_symbol|Crim1|Crim1
affy_mouse430_2|1455002_at|1455002_at	mgi_symbol|Ptp4a1|Ptp4a1
affy_mouse430_2|1434797_at|1434797_at	mgi_symbol|6720469N11Rik|6720469N11Rik
affy_mouse430_2|1438673_at|1438673_at	mgi_symbol|Slc4a7|Slc4a7
affy_mouse430_2|1433943_at|1433943_at	mgi_symbol|BC063749|BC063749
affy_mouse430_2|1429809_at|1429809_at	mgi_symbol|Tmtc2|Tmtc2
affy_mouse430_2|1438739_at|1438739_at	mgi_symbol|Cnbp|Cnbp
affy_mouse430_2|1419136_at|1419136_at	mgi_symbol|Akr1c18|Akr1c18
affy_mouse430_2|1421344_a_at|1421344_a_at	mgi_symbol|Jub|Jub
affy_mouse430_2|1416981_at|1416981_at	mgi_symbol|Foxo1|Foxo1
affy_mouse430_2|1433645_at|1433645_at	mgi_symbol|Slc44a1|Slc44a1
affy_mouse430_2|1438133_a_at|1438133_a_at	mgi_symbol|Cyr61|Cyr61
affy_mouse430_2|1424005_at|1424005_at	mgi_symbol|B230219D22Rik|B230219D22Rik
affy_mouse430_2|1418606_at|1418606_at	mgi_symbol|Hoxd10|Hoxd10
affy_mouse430_2|1423269_a_at|1423269_a_at	mgi_symbol|Nedd4l|Nedd4l
affy_mouse430_2|1418471_at|1418471_at	mgi_symbol|Pgf|Pgf
affy_mouse430_2|1438816_at|1438816_at	mgi_symbol|Ahctf1|Ahctf1
affy_mouse430_2|1437862_at|1437862_at	mgi_symbol|Rbm25|Rbm25
affy_mouse430_2|1441358_at|1441358_at	mgi_symbol|Pcdhb16|Pcdhb16
affy_mouse430_2|1426721_s_at|1426721_s_at	mgi_symbol|Tiparp|Tiparp
affy_mouse430_2|1440355_at|1440355_at	mgi_symbol|Kctd12b|Kctd12b
affy_mouse430_2|1435455_at|1435455_at	mgi_symbol|C79267|C79267
affy_mouse430_2|1434786_at|1434786_at	mgi_symbol|Ppp1r12b|Ppp1r12b
affy_mouse430_2|1424659_at|1424659_at	mgi_symbol|Slit2|Slit2
affy_mouse430_2|1436037_at|1436037_at	mgi_symbol|Itga4|Itga4
affy_mouse430_2|1416892_s_at|1416892_s_at	mgi_symbol|3110001A13Rik|3110001A13Rik
affy_mouse430_2|1456201_at|1456201_at	mgi_symbol|4632427E13Rik|4632427E13Rik
affy_mouse430_2|1434959_at|1434959_at	mgi_symbol|Dhh|Dhh
affy_mouse430_2|1439364_a_at|1439364_a_at	mgi_symbol|Mmp2|Mmp2
affy_mouse430_2|1423077_at|1423077_at	mgi_symbol|Snx9|Snx9
affy_mouse430_2|1423967_at|1423967_at	mgi_symbol|Palm|Palm
affy_mouse430_2|1429621_at|1429621_at	mgi_symbol|Cand2|Cand2
affy_mouse430_2|1448155_at|1448155_at	mgi_symbol|Pdcd6ip|Pdcd6ip
affy_mouse430_2|1448128_at|1448128_at	mgi_symbol|Ctsa|Ctsa
affy_mouse430_2|1420796_at|1420796_at	mgi_symbol|Ahrr|Ahrr
affy_mouse430_2|1438038_at|1438038_at	mgi_symbol|4930402H24Rik|4930402H24Rik
affy_mouse430_2|1450397_at|1450397_at	mgi_symbol|Mtap1b|Mtap1b
affy_mouse430_2|1434186_at|1434186_at	mgi_symbol|Gpr23|Gpr23
affy_mouse430_2|1454894_at|1454894_at	mgi_symbol|Smurf2|Smurf2
affy_mouse430_2|1416658_at|1416658_at	mgi_symbol|Frzb|Frzb
affy_mouse430_2|1433599_at|1433599_at	mgi_symbol|Baz1a|Baz1a
affy_mouse430_2|1457166_at|1457166_at	mgi_symbol|AA536749|AA536749
affy_mouse430_2|1433937_at|1433937_at	mgi_symbol|Trp53bp2|Trp53bp2
affy_mouse430_2|1418058_at|1418058_at	mgi_symbol|Eltd1|Eltd1
affy_mouse430_2|1425271_at|1425271_at	mgi_symbol|Psmc3ip|Psmc3ip
affy_mouse430_2|1435867_at|1435867_at	mgi_symbol|ENSMUSG00000073143|ENSMUSG00000073143
affy_mouse430_2|1450669_at|1450669_at	mgi_symbol|Map3k11|Map3k11
affy_mouse430_2|1434071_a_at|1434071_a_at	mgi_symbol|Pelo|Pelo
affy_mouse430_2|1428853_at|1428853_at	mgi_symbol|Ptch1|Ptch1
affy_mouse430_2|1455750_at|1455750_at	mgi_symbol|A230067G21Rik|A230067G21Rik
affy_mouse430_2|1435284_at|1435284_at	mgi_symbol|Rtn4|Rtn4
affy_mouse430_2|1448650_a_at|1448650_a_at	mgi_symbol|Pole|Pole
affy_mouse430_2|1422123_s_at|1422123_s_at	mgi_symbol|Ceacam1 /// Ceacam2|Ceacam1 /// Ceacam2
affy_mouse430_2|1424156_at|1424156_at	mgi_symbol|Rbl1|Rbl1
affy_mouse430_2|1418539_a_at|1418539_a_at	mgi_symbol|Ptpre|Ptpre
affy_mouse430_2|1453069_at|1453069_at	mgi_symbol|Pik3cb|Pik3cb
affy_mouse430_2|1423165_a_at|1423165_a_at	mgi_symbol|Mta2|Mta2
affy_mouse430_2|1436838_x_at|1436838_x_at	mgi_symbol|Cotl1|Cotl1
affy_mouse430_2|1438081_at|1438081_at	mgi_symbol|Mcc|Mcc
affy_mouse430_2|1438211_s_at|1438211_s_at	mgi_symbol|Dbp|Dbp
affy_mouse430_2|1435013_at|1435013_at	mgi_symbol|Heatr2|Heatr2
affy_mouse430_2|1429290_at|1429290_at	mgi_symbol|Cbx6|Cbx6
affy_mouse430_2|1454995_at|1454995_at	mgi_symbol|Ddah1|Ddah1
affy_mouse430_2|1428615_at|1428615_at	mgi_symbol|P2ry5|P2ry5
affy_mouse430_2|1448957_at|1448957_at	mgi_symbol|Rbpj|Rbpj
affy_mouse430_2|1433575_at|1433575_at	mgi_symbol|LOC672274|LOC672274
affy_mouse430_2|1428395_at|1428395_at	mgi_symbol|LOC640390 /// Smurf1|LOC640390 /// Smurf1
affy_mouse430_2|1427266_at|1427266_at	mgi_symbol|Pbrm1|Pbrm1
affy_mouse430_2|1417487_at|1417487_at	mgi_symbol|Fosl1|Fosl1
affy_mouse430_2|1422437_at|1422437_at	mgi_symbol|Col5a2|Col5a2
affy_mouse430_2|1453107_s_at|1453107_s_at	mgi_symbol|4933413G19Rik /// Foxm1 /// Pebp1|4933413G19Rik /// Foxm1 /// Pebp1
affy_mouse430_2|1436460_at|1436460_at	mgi_symbol|BC030440|BC030440
affy_mouse430_2|1455015_at|1455015_at	mgi_symbol|Tbc1d9|Tbc1d9
affy_mouse430_2|1449419_at|1449419_at	mgi_symbol|Dock8|Dock8
affy_mouse430_2|1438063_at|1438063_at	mgi_symbol|Mphosph9|Mphosph9
affy_mouse430_2|1422631_at|1422631_at	mgi_symbol|Ahr|Ahr
affy_mouse430_2|1436240_at|1436240_at	mgi_symbol|Sost|Sost
affy_mouse430_2|1439673_at|1439673_at	mgi_symbol|E230008O15Rik|E230008O15Rik
affy_mouse430_2|1416749_at|1416749_at	mgi_symbol|Htra1|Htra1
affy_mouse430_2|1434177_at|1434177_at	mgi_symbol|Ece1|Ece1
affy_mouse430_2|1429560_at|1429560_at	mgi_symbol|Zfp422-rs1|Zfp422-rs1
affy_mouse430_2|1426206_at|1426206_at	mgi_symbol|Robo4|Robo4
affy_mouse430_2|1453111_a_at|1453111_a_at	mgi_symbol|Slc25a39|Slc25a39
affy_mouse430_2|1452833_at|1452833_at	mgi_symbol|Rapgef2|Rapgef2
affy_mouse430_2|1427294_a_at|1427294_a_at	mgi_symbol|1810073N04Rik|1810073N04Rik
affy_mouse430_2|1451264_at|1451264_at	mgi_symbol|Frmd6|Frmd6
affy_mouse430_2|1455352_at|1455352_at	mgi_symbol|AU023006|AU023006
affy_mouse430_2|1423277_at|1423277_at	mgi_symbol|Ptprk|Ptprk
affy_mouse430_2|1417292_at|1417292_at	mgi_symbol|Ifi47|Ifi47
affy_mouse430_2|1454967_at|1454967_at
affy_mouse430_2|1454034_a_at|1454034_a_at	mgi_symbol|Usp21|Usp21
affy_mouse430_2|1424113_at|1424113_at	mgi_symbol|Lamb1-1|Lamb1-1
affy_mouse430_2|1419168_at|1419168_at	mgi_symbol|Mapk6|Mapk6
affy_mouse430_2|1439111_at|1439111_at
affy_mouse430_2|1429897_a_at|1429897_a_at	mgi_symbol|D16Ertd472e|D16Ertd472e
affy_mouse430_2|1448914_a_at|1448914_a_at	mgi_symbol|Csf1|Csf1
affy_mouse430_2|1416308_at|1416308_at	mgi_symbol|Ugdh|Ugdh
affy_mouse430_2|1448908_at|1448908_at	mgi_symbol|Ppap2b|Ppap2b
affy_mouse430_2|1426981_at|1426981_at	mgi_symbol|Pcsk6|Pcsk6
affy_mouse430_2|1454656_at|1454656_at	mgi_symbol|Spata13|Spata13
affy_mouse430_2|1436985_at|1436985_at	mgi_symbol|Zfp644|Zfp644
affy_mouse430_2|1417960_at|1417960_at	mgi_symbol|Cpeb1|Cpeb1
affy_mouse430_2|1435349_at|1435349_at	mgi_symbol|Nrp2|Nrp2
affy_mouse430_2|1438481_at|1438481_at	mgi_symbol|Prpf4|Prpf4
affy_mouse430_2|1434576_at|1434576_at	mgi_symbol|Tsga14|Tsga14
affy_mouse430_2|1425179_at|1425179_at	mgi_symbol|Shmt1|Shmt1
affy_mouse430_2|1416454_s_at|1416454_s_at	mgi_symbol|Acta2|Acta2
affy_mouse430_2|1455353_at|1455353_at	mgi_symbol|Tmcc1|Tmcc1
