# Generate Mapping Tables Script: Version 4 11:06 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:06 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|57214|57214	hgnc_symbol|KIAA1199|KIAA1199
entrezgene|3860|3860	hgnc_symbol|KRT13|KRT13
entrezgene|3866|3866	hgnc_symbol|KRT15|KRT15
entrezgene|51520|51520	hgnc_symbol|LARS|LARS
entrezgene|26468|26468	hgnc_symbol|LHX6|LHX6
entrezgene|29995|29995	hgnc_symbol|LMCD1|LMCD1
entrezgene|145837|145837	hgnc_symbol|LOC145837|LOC145837
entrezgene|284379|284379	hgnc_symbol|LOC284379|LOC284379
entrezgene|285696|285696	hgnc_symbol|LOC285696|LOC285696
entrezgene|338758|338758	hgnc_symbol|LOC338758|LOC338758
entrezgene|643008|643008	hgnc_symbol|LOC643008|LOC643008
entrezgene|80131|80131	hgnc_symbol|LRRC8E|LRRC8E
entrezgene|23499|23499	hgnc_symbol|MACF1|MACF1
entrezgene|7851|7851	hgnc_symbol|MALL|MALL
entrezgene|4128|4128	hgnc_symbol|MAOA|MAOA
entrezgene|4137|4137	hgnc_symbol|MAPT|MAPT
entrezgene|4277|4277	hgnc_symbol|MICB|MICB
entrezgene|90007|90007	hgnc_symbol|MIDN|MIDN
entrezgene|84292|84292	hgnc_symbol|MORG1|MORG1
entrezgene|55686|55686	hgnc_symbol|MREG|MREG
entrezgene|4602|4602	hgnc_symbol|MYB|MYB
entrezgene|26579|26579	hgnc_symbol|MYEOV|MYEOV
entrezgene|23138|23138	hgnc_symbol|N4BP3|N4BP3
entrezgene|89797|89797	hgnc_symbol|NAV2|NAV2
entrezgene|10397|10397	hgnc_symbol|NDRG1|NDRG1
entrezgene|4782|4782	hgnc_symbol|NFIC|NFIC
entrezgene|8204|8204	hgnc_symbol|NRIP1|NRIP1
entrezgene|22978|22978	hgnc_symbol|NT5C2|NT5C2
entrezgene|114881|114881	hgnc_symbol|OSBPL7|OSBPL7
entrezgene|5046|5046	hgnc_symbol|PCSK6|PCSK6
