Probe ID	Entrez ID	Gene Symbol	FC	P Value	FDR
Q7voIjrjqXqb.vvrfY	283	ANG	2.0665	3.01E-05	0.00047898
WQ_nf5v1K.6pftEjlI	55034	MOCOS	2.0394	7.43E-08	6.11E-06
BS79uCu_iKp7t6uKjo	22809	ATF5	2.0303	1.19E-07	8.98E-06
KehCfE310lN.uLX0Ik	7292	TNFSF4	2.0273	1.49E-08	2.02E-06
lHaEP3q64eLFX8uLFU	10559	SLC35A1	2.0229	3.13E-06	9.44E-05
ZunCJUCClCvmCVCAnk	3006	HIST1H1C	2.0221	1.01E-06	4.20E-05
QrAE564FKrvjrjCooM	1604	CD55	1.9871	6.02E-07	2.81E-05
33KnLHy.RFaieogAF4	3005	H1F0	1.9855	1.51E-07	1.07E-05
0cKL9ey17Di_ldLTVY	440689	HIST2H2BF	1.9848	6.68E-08	5.74E-06
9WOecee.eu34QMXnU0	126969	SLC44A3	1.9791	8.56E-09	1.49E-06
HKiFXn1wHxE.uuxf7Y	84707	BEX2	1.9708	1.63E-05	0.00030227
0FCogUoBoBIutPVSVo	1649	DDIT3	1.9669	0.0010202	0.0068273
WhKIH.9TObkx3ew9S4	6310	ATXN1	1.9649	5.24E-07	2.57E-05
BOzotPH3hfgMl564ek	144363	LYRM5	1.9607	5.58E-07	2.68E-05
3lOb7J463W7CUClRIo	53343	NUDT9	1.9593	1.11E-06	4.50E-05
QQtwGQicj4llPgh19U	51390	AIG1	1.9541	8.95E-06	0.00020304
K0L4R51G55EL1r1CXk	6916	TBXAS1	1.9492	2.05E-08	2.49E-06
iHq69UeThXc1eU3tVM	63874	ABHD4	1.9464	4.53E-06	0.0001228
6hhXG6R7_IDvlw_vsU	6013	RLN1	1.9354	6.82E-06	0.00016614
B0lK3X1ev1LREiVJJ8	79007	DBNDD1	1.9332	4.61E-05	0.00065158
HSV3JIm0uS27zVp.xI	55002	TMCO3	1.9285	2.01E-07	1.29E-05
9tIudLlBUKj39SIbFY	10443	N4BP2L2	1.9272	2.16E-07	1.37E-05
Q4dLhS5e4k6pSgLesM	4157	MC1R	1.9201	2.05E-06	6.95E-05
rAgJ6l7YKOEqO55Svk	29946	SERTAD3	1.9192	1.15E-05	0.0002399
iXSU6IU7Tkg8EKyRYk	56666	PANX2	1.9189	1.17E-07	8.87E-06
KokaNxRFPkz_EVfVSU	4257	MGST1	1.9188	4.19E-06	0.00011531
iXR6udHHnR5NFaBHuM	606293	KLKP1	1.8944	1.05E-06	4.35E-05
cVdrdRuuzo3utPtXeQ	84557	MAP1LC3A	1.894	0.0013515	0.0083691
0Z7unqF.KAuA5K4ggU	2222	FDFT1	1.8922	2.19E-07	1.38E-05
9eMh.XcAlPR1I.xeqA	2729	GCLC	1.8914	2.97E-06	9.06E-05
osj1QiH8ktFJfDk7Eo	3899	AFF3	1.8783	2.65E-05	0.00043475
Ek9TyQi_xVdVLfZfXc	29968	PSAT1	1.8709	9.43E-06	0.00020933
0V.iL1ELrLIuvwbf10	26092	TOR1AIP1	1.8678	5.86E-06	0.0001492
rKQNPVFNHwZajzET3I	84918	LRP11	1.8652	0.00010603	0.0012257
rlSIie13T6uB4_KCrc	6844	VAMP2	1.8604	2.91E-05	0.0004665
BV9KdE5EoOcTjpSefU	23710	GABARAPL1	1.8603	1.60E-06	5.92E-05
od3Qq3Rvkk98UilPqU	147184	TMEM99	1.851	7.51E-05	0.00094303
HoRQmVzvn7T04brfok	55841	WWC3	1.851	1.59E-08	2.10E-06
9yKecDYXmIinFGF4u4	22844	FRMPD1	1.8469	3.23E-07	1.82E-05
xochUjffiKUjnUuXjo	51019	CCDC53	1.8458	6.89E-05	0.0008882
fdXKKf_V0n4MS9euTQ	10826	C5orf4	1.8431	4.62E-08	4.54E-06
cFS454rTueg57P6FEQ	23175	LPIN1	1.8393	2.63E-06	8.29E-05
iIIkxQ5DKR3Uaa.hJQ	55856	THEM2	1.8389	0.00010525	0.0012179
iKh.vylCgomgsqQdrU	599	BCL2L2	1.8381	1.86E-08	2.32E-06
EtIF_jxAF2JX3Sy654	6713	SQLE	1.8371	4.08E-06	0.00011303
QResT94Iqn8wkp6kpU	94101	ORMDL1	1.8367	1.54E-05	0.00029259
Nd8wBK_mNP1Qj6.V_I	6451	SH3BGRL	1.8332	9.81E-06	0.00021585
ZsbVFe1UjVc9XUQwSA	6510	SLC1A5	1.8311	1.06E-05	0.00022558
lfnune873il_o8l310	23052	ENDOD1	1.8257	0.00010311	0.0012007
xJ5IPSIoIJiqRpniEg	26471	NUPR1	1.8142	0.0015576	0.0093022
TC7Vlk3X0mYlFj7EsA	5805	PTS	1.8133	0.00017098	0.0017569
ZtKFRqk837e49avnuE	51655	RASD1	1.8059	0.00058699	0.0044436
35QRHIUd.o9CJHuzh4	493869	GPX8	1.8052	6.42E-06	0.0001585
ZiEgj4Jf5SU9.V._fU	10301	DLEU1	1.8026	0.00012803	0.0014061
WlysSDwyV8kGHnnruw	64207	C14orf4	1.8	3.57E-06	0.00010249
fTS1QQjpcgNk90XZfk	10903	MTMR11	1.799	6.16E-08	5.51E-06
iNSrSUu_AiE.7cXpHk	100130633	LOC100130633	1.7984	0.00023424	0.0022221
TN4l1ZIoOSDhlGkZKM	11147	HHLA3	1.7966	0.00014779	0.0015824
rNP1d1zkUsKVtSJVJI	11237	RNF24	1.7949	1.58E-05	0.00029774
HbqiKmwPt_4O7nBQBU	8351	HIST1H3D	1.7908	7.08E-06	0.00017059
HqUg1UK9X._9NKV9eI	28996	HIPK2	1.7903	1.96E-06	6.80E-05
fhRCEFBJ6UbHwD.tVE	51660	BRP44L	1.7854	1.70E-06	6.19E-05
WQuio7aBKef6ejyRas	282991	BLOC1S2	1.7777	3.88E-08	4.09E-06
l11UXKUbuJ517d7fPk	10381	TUBB3	1.7753	5.31E-05	0.00072726
EV.SnurHrfq9y0wqvU	1317	SLC31A1	1.7746	3.82E-07	2.03E-05
Hdc9cTr26qUf5pf4ok	2052	EPHX1	1.7736	0.00028614	0.0025857
xde7_T16j810Lk.eFM	152137	CCDC50	1.7729	3.34E-06	9.83E-05
QZ3mav_ihPJPf37N1s	29087	THYN1	1.7702	2.14E-06	7.15E-05
WuH3ixLwvXXP5R6nvo	51646	YPEL5	1.7681	4.39E-05	0.00062905
3TXj7nnrbf3V0iS4SQ	10791	VAMP5	1.766	1.53E-07	1.08E-05
3pac6J8W7dQ4QGI7AI	28978	TMEM14A	1.7587	0.00051945	0.0040606
TSt64Fu5.fqE3ov17U	390858	hCG_33730	1.756	8.57E-07	3.69E-05
WrJeqcjugdTo3u94ek	5562	PRKAA1	1.7554	0.0001893	0.001884
ilet45VBHlfn_.1e0U	132160	PPM1M	1.7537	3.93E-08	4.09E-06
WXunv9W3K90Ss3XhIo	84706	GPT2	1.7522	9.56E-05	0.0011362
6F69Qy_7_VCX92k034	10325	RRAGB	1.7509	6.32E-05	0.00083581
oUtfe0t1jlNOSXryiQ	1031	CDKN2C	1.7502	2.66E-07	1.58E-05
B.we.lHnldFXlad6LE	4779	NFE2L1	1.7498	4.50E-08	4.45E-06
6qt3k30tt7VC151.eU	1583	CYP11A1	1.7486	1.30E-07	9.58E-06
TIii_KmOImrHmB5amM	7704	ZBTB16	1.7432	3.65E-05	0.0005505
inkrerL6NOnUeo_q6A	10193	RNF41	1.7423	2.29E-07	1.42E-05
Q0akKULqOXoOJ4CofU	1622	DBI	1.7417	3.50E-06	0.00010109
3J4Sj3rg5ueVKFLghI	874	CBR3	1.7363	0.00035784	0.0030655
EgOz7_J0ApWFFVfank	8535	CBX4	1.736	8.55E-05	0.0010397
3h4ZBUbsHtJaleLDZ8	1051	CEBPB	1.7356	3.25E-05	0.00050572
xe6KOSjxffOBKS6Z4U	79056	PRRG4	1.7334	5.98E-06	0.0001506
QZXtSkcinV_G.pI4AE	2297	FOXD1	1.7326	1.05E-05	0.00022484
ZXIl88gOSDeCVR3oVI	54741	LEPROT	1.7293	1.01E-05	0.00021882
E0LNfvhGlOFH9VupTo	3162	HMOX1	1.7259	0.00084044	0.0058472
QJ9JXkT_By0d1SH5uo	6388	SDF2	1.7245	0.00056321	0.0043173
Wrk6B7r5QrPwCp.Xl0	23462	HEY1	1.7243	5.41E-08	5.06E-06
QukXrSjodHAo.BUh94	441461	LOC441461	1.7205	4.19E-05	0.00060842
uy1Mm10X1UJRE111TU	26232	FBXO2	1.7183	1.36E-06	5.18E-05
Tkh.l..QK6JuDFIKNQ	3398	ID2	1.7165	1.84E-06	6.48E-05
6BVx9xJ77TR4tJHRek	53917	RAB24	1.7165	0.0002594	0.002392
6ovovvgFCu1ONXVR4U	150684	COMMD1	1.7129	0.00069471	0.0050418
fKVEOXu10U8tW5JeCE	29802	VPREB3	1.709	4.46E-06	0.0001216
KevBfguHvsU6_5E59I	5962	RDX	1.7084	0.0016083	0.0095221
WRv9U.le6dHt8Q0ee4	9404	LPXN	1.7047	2.80E-08	3.23E-06
3VCm.p0ipxIc6UgdN4	4246	SCGB2A1	1.7045	4.85E-07	2.44E-05
T4v1BFuefjIOH_K1_g	147463	ANKRD29	1.7032	7.18E-08	5.98E-06
lv.m6i7uXm6u7m7_r8	6477	SIAH1	1.7018	2.45E-07	1.50E-05
315T_ecDep60g55JjE	153222	C5orf41	1.699	1.75E-05	0.000318
3Uleb9T3l90i5X55FQ	55652	FLJ20489	1.6926	7.83E-05	0.00097749
fr.eioN6UIS1HxOjbs	171586	ABHD3	1.6916	2.08E-05	0.00036069
okOl4MgkFKRTdJDv90	59084	ENPP5	1.6851	0.00012033	0.0013434
ZW0V.L_fgfywFF58qE	5480	PPIC	1.6845	0.00013428	0.0014629
TnTjVh7ojuuYcpeCC0	132001	C3orf31	1.6841	0.00010442	0.0012131
cpX09d1OeQ0e16nzrk	3158	HMGCS2	1.6793	2.39E-07	1.46E-05
lRQD6oKLlH9SdR9A9c	6926	TBX3	1.6775	2.05E-05	0.00035826
xVnqABUpfhPvPQOlXU	7164	TPD52L1	1.675	1.74E-05	0.00031681
9oh33Xus0hsipqdXwI	729229	LOC729229	1.6745	5.62E-08	5.23E-06
uske9697_RlLqiIMCI	131583	FAM43A	1.6715	9.63E-06	0.00021232
KU6Ur5couq1HjgCK78	55214	LEPREL1	1.6702	2.08E-07	1.33E-05
HRaeR6PTS7wfX_KCeU	282679	AQP11	1.6692	1.43E-05	0.00027899
6LJP1cU0JT7.uU9KIo	22858	ICK	1.6669	0.0003517	0.003026
EZ6.7RPSTzUpNKQTe0	9521	EEF1E1	1.6642	0.00013217	0.0014445
onsnvop.hKDoejReHU	9709	HERPUD1	1.66	1.51E-05	0.00028873
WnxZ90X9BVN7pf7UpU	51573	GDE1	1.6579	0.0007047	0.005105
TgCvBIxJ2i_4kdx5CE	1363	CPE	1.6562	0.0001701	0.001749
NQ57gwdXh1kNBQr1SU	7035	TFPI	1.6559	1.52E-05	0.00028995
6p1QpTggjsQpuXQsVY	10809	STARD10	1.6556	0.0014115	0.0086353
NjlXhNNPfuohJJezus	1119	CHKA	1.6552	2.95E-06	9.02E-05
WR44PxXQv19d7FHefU	23708	GSPT2	1.6547	7.65E-07	3.42E-05
Be0y75.fl7XnC.8fno	51397	COMMD10	1.6518	0.00024105	0.002269
xsHVVKxjKh4M6FeeAk	8660	IRS2	1.6506	1.59E-05	0.00029877
6ede0V1GPUSFKE9TuU	5226	PGD	1.6504	1.71E-06	6.19E-05
Q9G111OeKZDEWferSg	55839	CENPN	1.6493	1.08E-06	4.43E-05
Esk6vpDcSTupQNSXnk	26275	HIBCH	1.6481	2.85E-06	8.83E-05
BffgXrpVb6BzS6bdU4	9764	KIAA0513	1.646	1.39E-05	0.00027579
9ugp6CxF__in0uGEpI	123803	NTAN1	1.6451	0.0006466	0.0047804
WxFEbxB5OJ9d2RCFJ4	104	ADARB1	1.6439	1.20E-05	0.00024547
N5PqFLT9cJxM6U34S4	6788	STK3	1.6438	0.00053799	0.0041664
fkuElWlCUXcNd7JDBo	6536	SLC6A9	1.6421	3.56E-05	0.00054255
3pKX73R5XcKgfrR2kc	140809	SRXN1	1.6412	1.63E-05	0.00030206
oERC63oTirEv3lxQhE	154091	SLC2A12	1.6404	4.48E-06	0.00012172
fJoiBH.p94qU_epyuQ	11345	GABARAPL2	1.6392	0.0010547	0.0069964
HpOFLuRv1NeC7.d9HI	159371	TMEM20	1.6361	4.38E-05	0.00062738
iX4yf1AOAvH4pJ37q4	51119	SBDS	1.6356	5.35E-06	0.0001397
TlzASPjkbrqBXicsl8	9453	GGPS1	1.6319	1.05E-05	0.00022511
o1LvjZCe_ORKbfukJU	25901	CCDC28A	1.6308	1.43E-05	0.00027992
NKdH5f6fXvh99WFSAk	1459	CSNK2A2	1.6307	0.00015387	0.0016287
3rTUn7X8tLI3KB0Uug	9205	ZMYM5	1.6304	1.03E-06	4.27E-05
0XEnqOxeiIyqsvdXHk	5252	PHF1	1.6268	9.93E-06	0.00021721
rs1P5F3j3ncan9XpHo	25972	UNC50	1.6266	4.52E-05	0.00064265
flAfl.n0dNOSX3q_vk	84932	RAB2B	1.6237	2.68E-06	8.42E-05
0UjOfSJfvoSQDlZRrM	83891	SNX25	1.623	9.82E-05	0.0011611
3idlziQukCldAwlXXo	1192	CLIC1	1.6191	0.00043413	0.0035514
NJ7096Q4.pBLmrrXYk	1850	DUSP8	1.6124	0.0010591	0.0070105
cTqn3heJFCvioSjyko	57761	TRIB3	1.6124	1.41E-05	0.00027754
uWeCeygmU99Xs3B6p4	59342	SCPEP1	1.6118	2.69E-06	8.44E-05
N_gvYKp7bu7pXjfZ_0	10899	JTB	1.6108	0.00073399	0.0052785
KhEgRIZfHpBef0IVe0	2947	GSTM3	1.6097	4.67E-05	0.00065826
i21k654OnihfVLdVIs	4637	MYL6	1.6093	4.23E-05	0.00061226
xfozx4CoquiOrukuzo	1718	DHCR24	1.6067	0.00011584	0.0013066
96erggxSQKRbhKULko	98	ACYP2	1.6059	0.00019616	0.0019328
Tp4_Q96VB0Fd3_hZD4	8992	ATP6V0E1	1.6049	0.0012296	0.0078095
9KgVOTeXpPykkiVeFs	7296	TXNRD1	1.6047	0.00034924	0.0030081
ucp3.VSiLjjokzI3p0	79098	C1orf116	1.6046	1.59E-05	0.00029858
39v0qt5b1NevSIKWJs	56937	PMEPA1	1.6005	0.00098171	0.0066345
xfcujvkdAankiOifSk	7050	TGIF1	1.5993	0.00047037	0.0037644
xrFTlV5XZeg0u8eTeM	55700	MAP7D1	1.596	5.35E-05	0.00073019
ESSOKRzOZ9QHXgXhBQ	56271	BEX4	1.5924	9.10E-06	0.00020383
3shEtNIA7eV.78ffrU	57763	ANKRA2	1.5922	2.38E-05	0.00039912
Kg56u_T96FdR9DeIIQ	2673	GFPT1	1.5893	0.00012657	0.0013948
ZJd74XON5KiGRJShNc	388524	LOC388524	1.5879	6.19E-06	0.00015463
EujpL.ey.6oe6yd_j4	201895	C4orf34	1.5878	4.06E-07	2.13E-05
fAqn9O2.X15155EnlI	1717	DHCR7	1.5834	3.42E-05	0.00052468
N0qXoC3fUvTSrLIXtI	114932	MRFAP1L1	1.5823	1.80E-06	6.39E-05
HFCkHQRff3ep_BZR50	8825	LIN7A	1.5822	1.71E-06	6.19E-05
oV3gR9T7zlFSAXHovE	9445	ITM2B	1.5804	0.001121	0.0072891
WpSg16t5B.oAdd9EwQ	10404	PGCP	1.5783	1.99E-06	6.85E-05
uWsCSg4QJ_f96zvcrs	57142	RTN4	1.578	2.82E-05	0.00045597
ouT3XcIHRdbyZHu0mo	1946	EFNA5	1.5778	2.01E-05	0.00035292
Z1.d5feJFt.D9TN9C0	53354	PANK1	1.5773	2.12E-05	0.00036712
Bm6iA.3ehUvOf9eD54	124923	FLJ25006	1.5765	1.73E-06	6.23E-05
Bk1eFRL0LrMPU_kJ54	9848	MFAP3L	1.5758	1.26E-05	0.00025357
ZrUrg3bTC43SndEo1o	2802	GOLGA3	1.5752	3.09E-06	9.34E-05
96KT.nu4pY2UewK1yI	23048	FNBP1	1.5743	1.71E-05	0.00031344
ZLdgoJiBgN3T7uW7p0	1182	CLCN3	1.5737	0.0015546	0.0092944
NE1PefUZOn3lPr3fVU	51335	NGRN	1.5736	0.00012407	0.0013769
3HlR305eUB_qQ_OcDo	353376	TICAM2	1.573	5.40E-06	0.00014049
iSOGEH1_5Uya6ieX6Q	3920	LAMP2	1.5728	1.65E-06	6.07E-05
feETXd.kJ54epEdOUI	7319	UBE2A	1.5726	4.42E-05	0.0006332
0eucdTkqtLkkihLeiA	1839	HBEGF	1.5723	5.22E-05	0.00071599
NUnqGKi.Tvq.IBk4WA	10987	COPS5	1.5721	0.00021354	0.0020566
Ntq5IeJhZJVIRxJ6P0	10671	DCTN6	1.5711	0.00038666	0.0032353
lRy_KLIIo4UnIdU6D4	93974	ATPIF1	1.5702	5.70E-07	2.71E-05
EqSCendx8QXn93ngl8	117584	RFFL	1.5702	7.37E-06	0.00017613
oiS4TT5f0dSo66B30E	493911	PHOSPHO2	1.569	8.30E-05	0.001016
BS6WEpPo5IFyJS.0oE	91694	LONRF1	1.5676	7.92E-06	0.000186
rVexXMHsNPRfq_lr_0	66036	MTMR9	1.5673	4.86E-06	0.00012989
cbrT3_e7OOpOevdK_U	5494	PPM1A	1.5656	2.52E-05	0.00041781
WX_lPqL_ntXSJTWtCQ	55776	C6orf64	1.5656	5.97E-06	0.0001506
WuS53iqEhCn6uzOUFI	64112	MOAP1	1.5645	8.94E-06	0.00020302
90TCtf5.3_7wiofl3s	1102	RCBTB2	1.5635	2.91E-07	1.71E-05
lkWrpI73OS7r0L9.hY	23022	PALLD	1.56	0.00024892	0.0023197
ThTd5HgqV3rpaRqT6g	10417	SPON2	1.5598	0.00044463	0.0036114
0jp6I4T81KtH_0pXKE	56892	C8orf4	1.5593	0.00054446	0.0042083
xUq5TcNep7E7ozofik	788	SLC25A20	1.5589	2.29E-05	0.00038688
3UVCs0lkvuWU0yXF04	51657	STYXL1	1.5571	0.0010728	0.0070662
HXVeIuKF01hTsPFPZ8	222166	C7orf41	1.5558	2.57E-06	8.15E-05
BieNPnX3RdeU4x7S8U	9528	TMEM59	1.5549	1.49E-06	5.60E-05
QO8NCd10bksNBlZu1E	5644	PRSS1	1.5547	2.24E-06	7.34E-05
lF4JSEqSKbWeEDR1Tg	55281	TMEM140	1.5542	1.07E-05	0.00022657
KTonQjt_7e7pyOl3n4	22930	RAB3GAP1	1.5537	4.18E-05	0.00060761
ERYgbff3Pjp6Nz.SlU	54505	DHX29	1.5482	0.0015773	0.0093876
fRUktbn9c3ZTuCDop0	8545	CGGBP1	1.5471	3.48E-06	0.00010057
lgiQKueA4fsa_nrn90	57542	KLHDC5	1.547	0.00036846	0.0031293
lRfyRoy.XrVC6u6JfU	39	ACAT2	1.5466	4.85E-05	0.00067595
Nu3z03e73y5Il6Vnvo	79877	DCAKD	1.5459	1.97E-06	6.80E-05
fqLrolLZ7BHiXSIYFA	3300	DNAJB2	1.5459	8.32E-06	0.00019215
9fXq5nvWiH0KRydjrc	127845	GOLT1A	1.5459	0.0015094	0.0090931
Eg_eJPygkkULc8Sk64	10529	NEBL	1.5458	0.0017103	0.0099792
EUuyelHzUqf.cfTRCg	6038	RNASE4	1.5451	4.14E-05	0.00060333
fxu_JulxuJQQgkql3g	56901	NDUFA4L2	1.5449	0.00068179	0.0049755
xLfTe1hC9HZdr5oXKE	7508	XPC	1.5425	3.67E-05	0.00055322
Q1IDD3SQqcQwpLo_uo	5567	PRKACB	1.5423	0.00037552	0.0031758
folGvnj3_jgSgnl.g0	5194	PEX13	1.5362	1.34E-05	0.00026782
fgQrpK6olfxX3rgvAU	28970	C11orf54	1.5354	1.33E-05	0.00026735
TeewU1IBpPjvn0b544	285550	LOC285550	1.5348	3.21E-07	1.81E-05
KUg7rr3qQQOI_6Ybog	57659	ZBTB4	1.5346	3.86E-05	0.00057183
Ei3V7YSwL4DrhtR56c	83930	STARD3NL	1.5335	0.00025414	0.002353
W3stSAW0qKC950V0RY	5406	PNLIP	1.5333	1.86E-05	0.00033453
fbkkP1LgXsfoTSsuLc	5813	PURA	1.5333	8.49E-05	0.0010331
xa1DlFyHdXsRLlV_6Q	9622	KLK4	1.5316	4.11E-07	2.13E-05
lUMl16RSUhdFfhQXdo	6468	FBXW4	1.5305	4.54E-06	0.00012303
ujVBgklTmuHgSkMSxo	152926	PPM1K	1.5296	1.77E-06	6.36E-05
xkhAF34BX1VOkQHZU4	8935	SKAP2	1.5293	0.00010695	0.0012333
uLvkKgXXJHuAtINl0k	10231	RCAN2	1.5284	9.95E-06	0.00021742
rnFyh8J44J_nXLj66U	55033	FKBP14	1.5283	8.82E-07	3.78E-05
HdUm8EQDU6ks46Std4	467	ATF3	1.5283	4.04E-05	0.00059179
ZoFe7X7qnotIno3vBY	2065	ERBB3	1.5269	0.00074627	0.0053387
HnVfl7oE_3rXJ7r1T4	284058	KIAA1267	1.5268	0.00012778	0.0014053
Hi9BxO96qVojI4f5I4	1647	GADD45A	1.526	0.00028833	0.0026025
KuolFOXhURH.x_zI48	26136	TES	1.5248	5.95E-06	0.00015046
cUr8U3R1SwxUnXNwJU	9887	SMG7	1.5246	2.46E-05	0.00041076
len6N2.8Fb15VF5XMs	83719	YPEL3	1.5243	0.00074061	0.0053164
fRHj2H97qfIo4oIXHo	1491	CTH	1.5233	2.10E-05	0.00036296
Tf6QkorhHI6e4O41nQ	4864	NPC1	1.5229	5.82E-06	0.00014901
WnW3lSQL_FA2JL0GFE	26137	ZBTB20	1.5223	4.20E-06	0.00011531
flJd37V6.Xzu_Duvi8	54749	EPDR1	1.5222	3.37E-06	9.88E-05
fUR_ReNCJLn3U.v_SI	51322	WAC	1.5222	0.00058533	0.0044352
6VQofeoEor24T2icXg	5106	PCK2	1.522	1.23E-05	0.00024979
iuuUy.tNXq3KAy0MBI	116461	TSEN15	1.5215	0.00021056	0.0020341
9TvapRvvs7PjsSX4O4	5170	PDPK1	1.5185	4.97E-05	0.00068862
BVAAoikiCA4ldXaYJc	23479	ISCU	1.5185	0.0012808	0.0080665
rniefXv994_deqAEZc	10929	SFRS2B	1.518	2.28E-05	0.00038688
rjoMglfvnsjubkt6SU	8073	PTP4A2	1.5177	3.82E-05	0.0005688
HtHuUfoSpv93g_CoCU	10681	GNB5	1.5173	3.77E-05	0.00056382
HVJXHWNdMxVa6NUQdM	23587	C17orf81	1.5158	0.00030327	0.0026943
WkEvu3I7SKTp6l1N3k	10475	TRIM38	1.5158	2.00E-06	6.87E-05
oUXkAnD7ul6_oqnP.o	55860	ACTR10	1.5154	1.15E-06	4.58E-05
ZS6LveQJWPd5J.CHoQ	84851	TRIM52	1.5153	1.55E-05	0.00029386
HkEgFzXR5XVS3d8C_g	1027	CDKN1B	1.5149	1.22E-05	0.00024813
TSnePcugokveLdSgsk	25957	SFRS18	1.5125	0.00015544	0.0016391
ByLH7TfgzJdVCIgSro	10632	ATP5L	1.5125	0.0005577	0.0042813
W0tPXVKrVg7756fWwU	1797	DOM3Z	1.5123	0.00066655	0.0048978
9B3EjpMXuXn3qvoLuE	84925	DIRC2	1.5118	1.32E-06	5.08E-05
B9D_FSZdtuuJdO8Rpk	5516	PPP2CB	1.5117	1.96E-05	0.0003472
oMgrqBSve4pPcXRSQk	151613	TTC14	1.5116	0.0011334	0.007346
WVHrohnz3HoWnnsX0o	51093	C1orf66	1.5109	0.00018973	0.001886
KjXt6fl5VI.z48V4mk	11043	MID2	1.5102	4.16E-06	0.00011462
QN4TRVJlP7AiQf1JLE	51128	SAR1B	1.5102	0.00051033	0.0040051
