Gene ID	7H9_R1	7H9_R2	Heat shock_R1	Heat shock_R2	Oxi.stress_R1	Oxi.stress_R2	acidic pH_R1	acidic pH_R2	HPC treated_R1	HPC treated_R2	Cow_R1	Cow_R2
MAP0020c	672.0	411.6	379.0	460.3	504.0	554.3	5.0	160.8	5.0	5.0	295.9	408.1
MAP0021c	64.6	364.3	384.0	5.0	245.7	5.0	54.4	691.7	42.9	430.3	5.0	2811.4
MAP0022c	2040.5	1671.8	1363.1	1633.2	1338.4	1602.4	5.0	1067.1	5.0	5.0	5.0	170.1
MAP0023c	3047.0	5045.9	3465.7	3244.3	4152.9	3897.1	1148.5	2811.6	5.0	5.0	2768.0	2841.7
MAP0025	99.4	5.0	142.5	5.0	5.0	5.0	4319.9	1898.2	5.0	816.3	417.3	314.8
MAP0026	1623.8	971.0	889.9	866.0	1497.4	798.5	1489.0	1093.7	1032.4	2386.4	3091.8	4240.5
MAP0027	987.4	652.1	595.7	380.1	587.7	716.3	284.3	526.9	5.0	137.9	169.5	210.3
MAP0028c	4153.8	1394.9	4192.3	2290.9	2918.3	2104.3	2278.2	2747.5	2138.4	2841.5	5.0	5.0
MAP0029c	9.4	5.0	244.6	5.0	958.3	1365.5	5.0	5.0	144.1	5.0	5.0	5.0
MAP0030c	2082.6	2203.5	1117.8	1827.9	1786.6	2160.8	1268.6	986.8	128.9	5.0	33649.4	24361.2
MAP0031c	158.8	5.0	5.0	5.0	5.0	207.9	5.0	5.0	22.6	640.2	5.0	5.0
MAP0032c	887.5	956.7	916.3	1370.3	982.5	1210.6	5.0	230.8	373.4	86.2	737.2	2321.0
MAP0033c	1454.3	1472.1	822.5	789.5	1519.5	1159.6	6604.6	2807.8	2166.0	2746.8	2290.8	1325.6
MAP0035	5.0	5.0	51.8	5.0	23.2	222.9	5.0	5.0	5.0	5.0	1234.8	2017.2
MAP0036	383.7	5.0	56.5	497.9	21.4	432.7	517.0	346.6	377.6	672.4	5.0	5.0
MAP0037	2040.2	2577.3	2487.6	1676.2	2360.2	1822.4	171.7	1502.2	295.0	350.2	195.4	962.8
MAP0038	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
MAP0039	389.2	10.9	213.2	293.1	291.1	25.6	5.0	765.0	5.0	210.5	5.0	5.0
MAP0040	296.8	32.0	197.1	5.0	50.7	5.0	5.0	5.0	5.0	5.0	5.0	5.0
MAP0041	5.0	5.0	5.0	691.8	213.7	950.1	5.0	5.0	5.0	5.0	6619.7	3699.7
MAP0042	5583.5	7686.4	5350.4	3986.4	6746.2	5406.7	17183.3	9808.0	11150.5	10676.7	9563.3	11686.6
MAP0043c	5.0	5.0	123.3	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
MAP0044c	1388.4	1604.0	1999.7	1428.8	1576.9	1493.2	5.0	342.0	5.0	5.0	585.4	298.7
MAP0045	41.9	5.0	5.0	0.6	5.0	5.0	5.0	5.0	5.0	5.0	5.0	286.8
MAP0046c	5.0	5.0	5.0	5.0	187.3	10.5	5.0	226.9	5.0	5.0	5.0	5.0
MAP0047c	1260.9	876.6	400.2	1222.4	339.3	736.8	5.0	5.0	5.0	5.0	5.0	5.0
MAP0048	631.6	577.8	717.9	284.9	648.8	294.2	267.7	554.4	5.0	196.1	5.0	457.5
MAP0049c	152.7	258.5	59.6	319.0	194.0	316.3	5.0	5.0	5.0	5.0	742.4	201.3
MAP0050c	5.0	5.0	37.0	137.1	56.3	130.0	5.0	5.0	5.0	5.0	1996.7	2135.5
MAP0051c	1258.6	681.7	1181.4	1059.1	1662.8	672.8	217.1	1011.2	249.3	429.8	714.3	453.2
MAP0052c	5.0	5.0	5.0	5.0	5.0	5.0	5.0	53.2	5.0	135.9	5.0	5.0
MAP0053c	5.0	5.0	73.5	34.1	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
MAP0054c	1825.0	1497.2	1703.8	1153.7	1601.7	930.6	790.6	977.3	149.0	5.0	1111.0	1714.5
MAP0055c	986.9	5.0	714.5	395.0	370.7	884.3	1245.1	876.2	568.5	744.5	5.0	5.0
MAP0056c	1155.2	612.3	861.5	734.9	552.8	369.1	5.0	771.4	65.6	5.0	5.0	5.0
MAP0057c	2246.8	3603.7	1608.3	2940.2	3458.8	3129.0	421.6	1592.9	5.0	42.3	4811.2	6199.2
MAP0058c	979.0	972.0	841.8	545.5	1246.3	916.1	5.0	5.0	5.0	5.0	646.3	1635.5
MAP0059c	3232.1	3055.4	2010.0	1819.4	3585.3	2110.1	123.2	18.4	254.4	5.0	1707.0	1958.3
MAP0060c	440.6	1273.5	518.1	679.6	1707.6	1065.7	1188.4	2596.2	292.6	272.7	5.0	5.0
MAP0061c	675.2	933.1	339.7	1121.7	951.1	994.6	1046.1	2485.7	1320.8	1483.5	5.0	5.0
MAP0062c	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	190.3
MAP0063	1187.4	1235.5	1034.9	1347.7	1279.8	1093.8	5.0	458.3	5.0	5.0	5.0	5.0
MAP0064	830.1	743.3	615.2	520.3	556.1	832.5	5.0	5.0	5.0	5.0	5.0	5.0
MAP0065	1205.4	1979.2	1531.2	2375.3	3267.2	1481.5	220.8	1718.1	5.0	104.7	5.0	5.0
MAP0066	234.9	5.0	5.0	5.0	5.0	5.0	2858.5	1107.4	5114.1	3402.0	5.0	5.0
MAP0067	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	1566.0	3142.5
MAP0069	2219.7	1831.2	1467.5	2605.5	2118.6	2739.0	1270.8	2004.7	425.1	875.6	2111.5	2471.3
MAP0071	187.1	5.0	201.6	5.0	30.3	5.0	281.1	171.1	5.0	235.6	5.0	72.7
MAP0072c	2339.1	813.3	2043.4	4283.0	3352.4	5420.1	2057.2	3553.1	2568.6	1615.6	332.6	5.0
MAP0073c	536.0	81.9	194.2	1015.8	1896.2	1528.4	2170.5	2370.5	2010.5	2482.8	5.0	5.0
MAP0074	463.6	5.0	447.6	405.7	1098.3	1421.3	645.5	1433.9	161.8	963.5	2882.8	1589.3
MAP0075	143.5	5.0	288.3	5.0	573.5	896.0	5.0	5.0	5.0	5.0	5.0	5.0
MAP0076	5.0	5.0	5.0	5.0	5.0	961.3	983.9	1160.8	2036.2	1584.2	5.0	5.0
MAP0077	880.6	918.0	657.1	619.4	983.0	728.7	5.0	782.1	5.0	5.0	5.0	5.0
MAP0079	1524.5	1341.7	1220.3	1236.6	1566.4	1394.0	5.0	201.1	5.0	5.0	517.4	870.6
MAP0080c	1214.3	323.0	691.4	282.6	815.5	556.6	5.0	5.0	5.0	5.0	1613.6	1666.9
MAP0081	449.2	154.3	241.7	5.0	5.0	4.1	5.0	417.5	204.3	138.7	572.9	884.1
MAP0082	1243.1	467.0	746.3	571.5	420.3	131.2	5.0	5.0	5.0	5.0	503.3	2222.5
MAP0083c	3179.4	1218.8	2295.0	3092.6	2673.2	3115.7	5.0	5.0	5.0	5.0	2601.8	1164.4
MAP0084c	155.5	5.0	5.0	5.0	5.0	5.0	4497.0	3882.8	6700.8	7492.6	5.0	5.0
MAP0085c	826.1	884.1	1121.6	692.8	656.3	643.7	5.0	5.0	5.0	5.0	5.0	5.0
MAP0086	680.6	5.0	49.6	36.2	723.8	97.4	1858.5	795.5	2034.9	3328.7	5.0	5.0
MAP0090c	597.5	237.7	269.2	5.0	272.9	347.2	288.8	265.4	372.6	405.1	516.5	1650.5
MAP0091c	5.0	5.0	5.0	5.0	5.0	5.0	84.7	5.0	5.0	66.9	5.0	5.0
MAP0092	985.8	1211.1	1074.8	1026.0	1211.3	761.5	5.0	501.0	5.0	5.0	1353.4	1031.1
MAP0093	1486.3	1208.2	1487.1	951.1	1908.6	1218.3	5.0	554.5	215.4	505.1	951.9	5.0
MAP0105c	5.0	5.0	5.0	5.0	5.0	5.0	727.4	205.3	340.9	664.1	5.0	5.0
MAP0107	929.9	572.1	325.1	661.7	5.0	1069.6	3305.5	1184.9	1432.9	1741.7	63.0	267.6
MAP0108	1078.3	753.4	745.4	135.3	674.5	210.9	1603.0	724.2	6850.5	1589.8	501.1	298.7
MAP0109	797.4	363.2	868.6	663.3	697.8	500.7	5.0	5.0	5.0	5.0	5.0	5.0
MAP0110	164.4	5.0	134.7	5.0	5.0	5.0	1484.2	5.0	2047.1	1760.5	5.0	5.0
MAP0111	583.1	171.1	530.8	41.8	285.2	95.1	5.0	5.0	1030.6	436.5	5.0	16.8
MAP0112	977.8	707.6	514.8	913.9	980.9	1291.8	5.0	5.0	5.0	5.0	5.0	5.0
MAP0113	915.9	113.8	1130.6	677.0	5.0	58.9	5.0	5.0	95.8	1550.3	298.1	48.8
MAP0114	5.0	5.0	5.0	278.3	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
MAP0115	1709.4	1714.1	1268.6	1680.6	1957.7	1657.5	5.0	540.5	5.0	5.0	742.4	824.5
MAP0116	2134.4	1186.3	1035.5	1224.5	1029.5	1393.5	5.0	5.0	5.0	5.0	971.9	5076.3
MAP0117	3217.5	4024.0	2134.6	3556.6	2273.6	5095.0	1252.3	3828.3	767.6	595.3	2376.1	3803.9
MAP0118	927.3	582.8	778.1	20.4	5.0	5.0	5.0	5.0	5.0	5.0	4375.6	3383.1
MAP0119c	1818.6	2179.6	1736.8	1606.0	2146.2	1549.8	521.3	701.6	119.5	153.9	5.0	523.5
MAP0120c	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
MAP0121	1728.9	1769.2	1198.9	1649.6	1587.5	1210.5	5.0	400.1	5.0	5.0	1424.5	1693.6
MAP0122	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
MAP0123	1198.3	5.0	5.0	69.2	1548.5	2573.0	640.8	5.0	5.0	179.8	11409.7	11825.5
MAP0124	2636.4	2746.7	2145.3	1698.7	2401.6	1437.7	939.9	1098.2	520.9	345.4	397.8	988.0
MAP0125c	190.1	175.7	363.4	210.8	751.6	335.6	2764.3	1760.1	3676.4	3687.3	592.6	931.9
MAP0126	141.3	5.0	5.0	30.5	5.0	251.0	5.0	5.0	5.0	5.0	5.0	5.0
MAP0127	1747.8	1882.8	1624.1	1699.7	1212.5	2186.1	188.8	942.7	3.0	168.6	5.0	5.0
MAP0128c	185.9	5.0	48.7	5.0	50.0	83.1	20.0	5.0	5.0	118.8	1594.7	1348.3
MAP0129	1775.4	1646.6	1506.4	1225.5	1514.1	293.5	979.9	1173.8	334.2	544.5	5.0	5.0
MAP0130	5.0	5.0	5.0	5.0	5.0	5.0	918.3	809.6	412.4	631.5	5.0	5.0
MAP0131c	1185.7	212.7	912.3	756.4	747.0	139.8	235.8	714.6	822.0	320.4	5.0	5.0
MAP0132c	787.3	5.0	5.0	632.1	745.2	450.5	5.0	286.6	5.0	5.0	5.0	5.0
MAP0133c	1353.9	290.4	812.3	334.1	246.7	129.6	5.0	5.0	5.0	5.0	5.0	377.1
MAP0134c	646.1	5.0	262.8	847.2	691.3	578.6	408.2	316.9	252.2	873.7	5.0	5.0
MAP0135	5.0	5.0	5.0	5.0	5.0	5.0	5.0	50.1	5.0	2.5	5.0	5.0
MAP0136	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
MAP0137c	1104.8	1359.2	1344.9	1438.2	2146.5	1311.9	507.7	1421.3	315.9	417.3	1094.8	1839.8
MAP0138c	263.2	797.7	111.7	374.0	404.8	994.4	5031.5	2269.8	5765.9	4718.8	5.0	5.0
MAP0139c	653.5	425.3	661.4	444.3	637.5	90.2	5.0	104.5	263.1	51.5	5.0	5.0
MAP0140	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	37.3	11.3	5.0	5.0
MAP0141	2576.7	2942.1	2221.1	1624.0	3197.9	2518.2	321.6	1765.6	1052.4	595.2	2636.8	1703.4
MAP0142c	913.3	1044.2	842.6	1110.0	1320.0	1208.1	5.0	789.5	5.0	5.0	7413.1	7323.2
MAP0143	2132.4	1224.9	1273.0	638.4	783.2	133.8	5.0	5.0	5.0	5.0	189.6	5.0
MAP0144	672.5	644.2	1056.6	107.1	379.1	5.0	294.0	264.7	531.1	341.1	5.0	5.0
MAP0145	2732.5	1866.1	2165.1	2737.5	2405.2	1896.4	842.6	1489.4	1490.5	1051.8	2953.3	3125.7
MAP0146	919.6	322.9	499.2	5.0	353.1	579.5	5.0	5.0	5.0	5.0	5.0	5.0
MAP0147c	5.0	5.0	5.0	5.0	5.0	87.0	5.0	5.0	5.0	5.0	5.0	5.0
MAP0149c	5.0	5.0	5.0	166.8	971.9	680.6	255.7	119.6	1255.9	972.4	5.0	5.0
MAP0150c	1365.0	5.0	230.0	1093.2	648.3	546.2	3420.2	2763.4	447.6	1071.0	2694.3	739.8
MAP0151c	3483.8	2516.6	2326.6	2193.5	2566.8	2266.7	1589.4	3759.7	21.8	1740.1	529.7	528.0
MAP0153	46.8	5.0	75.0	305.1	227.9	570.5	5.0	679.5	5.0	5.0	5.0	5.0
MAP0154	2632.1	1529.9	2755.1	1365.9	2369.9	1956.5	392.9	1216.1	227.2	317.0	2104.2	2616.1
MAP0155	678.9	537.2	580.4	381.7	643.5	223.0	2113.2	837.1	1452.1	1945.9	5.0	103.8
MAP0156	5.0	5.0	1321.2	757.4	1073.2	78.3	3780.2	2903.7	2781.9	3465.1	5.0	5.0
MAP0157	742.3	393.3	505.9	1555.3	1090.8	781.5	8368.9	5555.6	7591.2	7231.9	5.0	5.0
MAP0158	1213.5	1392.6	1395.5	2217.3	1426.5	1100.2	5.0	5.0	5.0	5.0	5.0	467.0
MAP0160	799.1	249.0	239.4	3670.3	2487.7	2435.1	230.3	2765.5	5.0	473.8	5.0	5.0
MAP0161	3252.7	2680.0	2101.6	3141.2	2996.4	3717.5	1980.4	3631.1	1177.5	2113.9	1492.8	2017.0
MAP0162	4218.9	6990.3	4576.0	2654.8	4666.6	1640.5	5.0	542.6	2525.7	1556.2	5.0	5.0
MAP0163	2208.6	1676.0	1551.4	1805.9	1530.9	1583.0	540.9	1266.0	523.3	671.5	933.8	1525.2
MAP0164	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
MAP0165	2073.1	1173.3	1614.4	1330.8	1307.2	1067.0	3029.3	2501.6	2979.5	1875.6	515.1	775.9
MAP0166	1159.0	914.4	856.7	566.0	1418.1	902.3	454.0	1012.7	5.0	5.0	5.0	5.0
MAP0167	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4579.1	5689.8
MAP0168c	4050.6	3991.8	3001.0	2109.5	2845.7	2577.8	574.2	1045.3	320.2	483.9	3400.2	3502.1
MAP0169c	927.8	183.5	1176.9	130.2	506.4	767.4	5.0	5.0	5.0	5.0	118.7	1127.4
MAP0170	146.4	675.5	5.0	318.1	230.5	440.3	5.0	5.0	5.0	5.0	8599.1	5761.6
MAP0171c	527.8	5.0	360.1	93.1	264.6	467.5	2259.3	1306.4	3350.7	6621.0	5750.8	3033.8
MAP0172	501.7	516.9	371.7	688.4	527.4	552.2	1139.1	1803.9	2213.6	1788.6	5.0	670.7
MAP0173	619.7	5.0	575.2	956.8	671.0	372.3	266.8	1012.9	468.1	5.0	5.0	5.0
MAP0175c	822.7	5.0	827.7	657.4	111.1	49.9	12.7	642.1	5.0	269.5	1276.6	803.5
MAP0177	1923.0	1510.3	1776.0	977.7	1659.8	1681.1	706.0	1100.0	1404.6	659.4	5.0	1361.6
MAP0178c	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
MAP0179c	2801.7	1722.8	2301.4	6498.6	1264.6	2116.8	2899.1	5630.0	3031.2	3391.0	1116.7	797.2
MAP0180	1440.7	5.0	578.1	3670.1	382.2	630.3	4167.2	4246.2	8939.4	5130.8	5.0	5.0
MAP0181c	3400.5	7150.7	3672.9	2965.1	4641.3	2139.9	17753.2	11832.1	25896.3	25550.0	5.0	673.1
MAP0182c	1498.7	987.2	882.1	1336.1	855.9	749.6	4624.1	3910.1	4141.2	4943.7	825.6	1823.7
MAP0183c	5095.8	6068.9	4188.9	4196.6	4822.2	4296.8	1375.4	2421.0	1374.5	298.7	7134.3	4845.2
MAP0184c	1937.9	762.5	1521.4	1213.8	1329.6	1678.8	1401.6	925.4	5.0	5.0	799.8	1009.6
MAP0185c	5.0	5.0	5.0	435.6	5.0	5.0	3395.9	2232.0	9231.5	9166.8	5.0	150.2
MAP0186c	90.3	5.0	97.8	253.2	183.7	129.6	5.0	5.0	5.0	5.0	5.0	5.0
MAP0187c	2260.0	2757.6	2612.8	3811.7	2228.2	3208.0	1777.0	2779.6	565.3	726.1	1157.3	3060.4
MAP0189	1478.9	480.7	866.2	1191.4	509.9	780.8	5.0	552.5	5.0	5.0	332.9	5.0
MAP0190	2064.1	2116.7	1663.5	1633.4	2057.4	1767.9	5.0	5.0	5.0	5.0	1078.6	3408.1
MAP0191c	1177.9	523.3	245.6	639.2	599.5	455.7	5.0	5.0	5.0	5.0	5.0	5.0
MAP0192c	693.8	5.0	21.0	22.6	5067.2	6635.9	5.0	5.0	5.0	5.0	5.0	5.0
MAP0193	1449.6	5.0	1025.6	264.1	241.1	98.5	5.0	274.4	5.0	308.9	5.0	5.0
MAP0194	1938.2	1734.5	1235.7	2001.5	2631.5	5.0	2028.8	2092.9	1182.2	13.9	1933.6	2892.6
MAP0195c	3368.3	3358.9	3090.3	4730.9	3012.1	2178.6	2139.0	2625.1	728.7	1040.3	524.7	511.4
MAP0196c	607.3	5.0	272.0	842.5	405.9	633.6	5.0	5.0	5.0	5.0	5.0	5.0
MAP0197	1695.4	2462.6	1587.5	1871.3	1835.3	1232.0	3005.7	1669.1	1813.6	3229.5	5.0	628.7
MAP0198c	214.4	609.8	303.6	686.9	304.9	534.8	5.0	5.0	5.0	5.0	5.0	5.0
MAP0199	1536.2	1772.9	1385.0	945.8	1693.6	1167.1	420.7	957.2	534.7	511.2	770.1	761.1
MAP0200c	1218.8	977.8	823.2	797.7	1017.2	797.1	460.3	952.5	778.5	375.2	568.5	6.5
MAP0201	537.6	412.1	636.1	874.6	702.6	805.5	5.0	5.0	5.0	5.0	5.0	5.0
MAP0202	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
MAP0203c	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	95.8	5.0	710.0	84.1
MAP0204c	801.4	329.6	684.5	1119.1	457.9	800.0	212.5	905.0	70.4	360.6	2744.2	2609.6
MAP0205	378.6	854.3	865.7	466.5	5.0	1050.0	5.0	402.3	5.0	145.7	5.0	5.0
MAP0206	563.2	1.3	244.3	306.1	274.8	468.5	816.0	699.6	5.0	5.0	5.0	5.0
MAP0207	444.1	157.0	179.2	552.0	841.8	717.9	1099.7	942.2	3045.3	2489.1	5.0	5.0
MAP0208	1184.3	1300.8	1063.9	1022.4	781.0	1270.6	269.8	1237.9	1275.4	778.3	1347.9	5.0
MAP0209c	922.2	832.9	723.6	980.7	597.4	479.9	5.0	430.1	5.0	133.3	5.0	5.0
MAP0210c	3423.1	6178.0	2190.8	3699.6	6040.9	3505.1	311.8	2715.7	1632.6	5.0	1627.1	3674.7
MAP0211	1564.9	1132.6	1932.8	2251.4	1290.5	1444.8	5.0	5.0	5.0	5.0	5.0	5.0
MAP0212	166.6	5.0	5.0	5.0	5.0	5.0	729.5	392.1	660.2	163.8	5.0	5.0
MAP0213	2502.3	1959.3	1807.7	1963.6	2415.1	2178.0	3416.2	3062.5	3178.5	2808.6	338.5	115.5
MAP0214	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	54.2	5.0	5.0	5.0
MAP0215	591.1	121.8	48.9	5.0	52.6	5.0	5.0	5.0	5.0	5.0	5.0	5.0
MAP0216	520.0	214.1	21.5	784.7	454.4	374.2	686.0	1861.8	5.0	312.2	5.0	5.0
MAP0217	1402.9	1130.8	1069.9	1022.3	1443.2	1404.7	494.9	1274.9	660.7	726.7	3856.2	3382.3
MAP0218	957.6	1034.0	1006.6	974.1	1145.7	492.1	5.0	404.1	5.0	5.0	5.0	5.0
MAP0219	966.3	472.2	1519.9	1238.2	743.2	1611.2	552.9	530.5	5.0	329.0	5.0	5.0
MAP0220	2334.9	2057.9	2120.0	2420.5	3010.9	2296.0	912.2	2111.1	709.2	643.2	246.0	697.3
MAP0221	1593.0	1100.5	1238.8	1664.4	1540.2	1653.6	1118.1	1380.5	587.7	607.1	1403.9	3584.2
MAP0222c	915.8	707.3	870.8	838.6	1200.3	1250.7	1117.4	574.1	594.7	462.8	5.0	91.0
MAP0223c	566.8	5.0	167.0	111.3	117.0	278.4	5.0	5.0	5.0	5.0	5.0	5.0
MAP0224c	2086.0	5.0	1208.2	1802.3	1448.8	1723.9	5.0	962.3	5.0	5.0	156.6	5.0
MAP0227c	1265.3	1022.4	998.2	1171.0	1276.9	915.3	5.0	475.6	5.0	5.0	155.9	1055.6
MAP0228c	792.2	1336.1	1157.2	1576.0	946.9	1771.5	1027.4	2021.8	1317.1	878.9	809.0	5.0
MAP0229c	1659.3	644.9	941.8	1457.8	1065.2	525.8	1084.5	1929.6	581.0	1051.6	669.0	5.0
MAP0230	1161.5	816.6	1037.2	1219.0	1058.5	1396.4	852.4	1345.2	775.0	689.5	5.0	5.0
MAP0231c	1903.0	1244.3	1809.5	1950.4	943.7	1480.9	5698.3	4458.8	16110.7	8473.4	1614.3	831.0
MAP0232c	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	928.5
MAP0233c	1018.5	1521.0	970.6	755.6	1374.0	339.3	382.1	443.3	950.0	602.9	60.9	279.8
MAP0234c	2702.1	4058.6	2199.1	2867.8	2687.7	3106.3	5.0	5.0	5.0	5.0	5.0	5.0
MAP0235c	1002.8	393.3	996.8	651.2	520.8	426.1	302.8	545.4	300.7	642.5	5.0	225.4
MAP0236c	1054.5	335.7	757.8	213.3	362.0	5.0	350.8	316.5	138.7	163.8	5.0	88.3
MAP0237c	725.8	207.2	364.8	640.1	985.5	738.8	24.2	165.1	5.0	5.0	5.0	5.0
MAP0238c	579.4	5.0	336.6	531.3	500.8	227.4	5.0	5.0	123.2	5.0	123.0	5.0
MAP0239c	1269.4	154.3	161.2	768.6	782.8	757.3	953.5	1506.8	338.8	746.0	5.0	5.0
MAP0240c	1070.9	1064.7	727.1	852.5	1262.5	994.7	444.8	1107.8	5.0	382.4	354.9	763.4
MAP0241c	29.3	1332.0	960.8	223.5	452.6	732.9	5.0	5.0	5.0	5.0	5.0	5.0
MAP0242c	764.2	5.0	172.8	451.4	5.0	214.9	399.7	1305.1	62.0	5.0	5.0	5.0
MAP0243c	715.1	373.4	563.1	752.7	1509.5	761.8	2124.8	1174.8	638.8	1312.2	5.0	5.0
MAP0244	1373.7	1467.3	1185.7	1278.8	894.4	1881.5	3312.3	2642.6	4300.8	3609.2	5.0	934.5
MAP0245c	2641.0	4032.7	2528.0	1900.7	2976.5	2744.5	5147.6	2923.9	5080.8	5198.8	2355.9	5252.4
MAP0246c	1219.7	1040.0	936.0	921.2	875.1	663.5	714.0	1355.0	930.1	784.9	545.7	135.9
MAP0247c	861.2	334.1	908.1	532.2	129.7	596.2	1715.2	1074.8	1516.7	1357.1	5.0	5.0
MAP0248c	1776.5	1347.5	1002.9	1260.9	1274.0	1186.1	614.9	891.6	5.0	456.2	647.1	5.0
MAP0249c	1811.7	2271.9	1350.3	1548.9	829.3	1082.9	3925.1	2840.4	2487.3	1593.7	946.5	24.4
MAP0250	790.7	473.3	619.9	1093.6	729.5	746.3	297.7	339.0	137.4	254.7	3.8	483.5
MAP0251c	1662.6	1166.5	1071.2	923.4	891.1	738.1	303.8	1021.0	207.8	256.0	5.0	5.0
MAP0252c	5.0	5.0	5.0	1676.4	5.0	5.0	5.0	1018.3	5.0	5.0	5.0	5.0
MAP0253	2900.1	2867.3	3034.2	2749.1	2741.3	2395.7	1118.7	3241.9	623.7	1583.1	740.9	1478.3
MAP0255c	3707.4	1877.9	1855.0	4126.3	3328.5	1700.2	5.0	3898.4	5.0	5.0	5.0	5.0
MAP0256	517.1	411.9	229.3	241.9	260.2	181.5	208.9	452.3	5.0	105.3	8.4	200.7
MAP0258	318.6	282.7	28.1	954.9	633.3	446.0	5.0	712.3	30.7	5.0	5.0	5.0
MAP0259	1339.8	1223.1	799.9	1149.5	1298.5	966.0	293.0	676.5	175.0	295.7	5.0	411.5
MAP0260	445.4	5.0	167.2	270.9	5.0	241.3	5008.6	3500.6	9436.4	3601.1	5.0	5.0
MAP0261c	673.1	723.6	674.4	228.9	139.4	375.8	325.0	955.8	139.9	669.4	5.0	5.0
MAP0262	673.0	301.7	247.2	846.2	420.9	453.2	5.0	467.4	269.3	5.0	260.3	5.0
MAP0263c	1068.2	740.0	822.4	424.7	941.2	514.9	183.0	384.8	691.3	1529.3	1320.5	1825.2
MAP0264c	51.5	171.4	183.0	155.8	29.9	335.3	150.4	581.8	5.0	5.0	5.0	5.0
MAP0265c	701.9	21.4	468.7	229.5	253.3	13.6	5.0	5.0	5.0	5.0	191.9	28.0
