Study	Stem cell type	Gene list type	Entrez Gene	Gene name
Kiel	HSC(FetalLiver)	SGL	60440	Iigp1
Kiel	HSC(FetalLiver)	SGL	64164	Ifrg15
Kiel	HSC(FetalLiver)	SGL	64291	Osbpl1a
Kiel	HSC(FetalLiver)	SGL	64384	Sirt3
Kiel	HSC(FetalLiver)	SGL	65113	Ndfip1
Kiel	HSC(FetalLiver)	SGL	65963	Tmem176b
Kiel	HSC(FetalLiver)	SGL	66109	Tspan13
Kiel	HSC(FetalLiver)	SGL	66141	Ifitm3
Kiel	HSC(FetalLiver)	SGL	66270	1810015C04Rik
Kiel	HSC(FetalLiver)	SGL	66307	Isoc1
Kiel	HSC(FetalLiver)	SGL	66365	Ccdc90b
Kiel	HSC(FetalLiver)	SGL	66540	3110001A13Rik
Kiel	HSC(FetalLiver)	SGL	66541	Immp1l
Kiel	HSC(FetalLiver)	SGL	66588	Cmpk1
Kiel	HSC(FetalLiver)	SGL	66626	5730403B10Rik
Kiel	HSC(FetalLiver)	SGL	66687	Tbc1d15
Kiel	HSC(FetalLiver)	SGL	66776	4933439C20Rik
Kiel	HSC(FetalLiver)	SGL	66940	Shisa5
Kiel	HSC(FetalLiver)	SGL	66970	Ssbp2
Kiel	HSC(FetalLiver)	SGL	67019	Actr6
Kiel	HSC(FetalLiver)	SGL	67040	Ddx17
Kiel	HSC(FetalLiver)	SGL	67062	Mcart6
Kiel	HSC(FetalLiver)	SGL	67063	2810432L12Rik
Kiel	HSC(FetalLiver)	SGL	67155	Smarca2
Kiel	HSC(FetalLiver)	SGL	67182	Pdzk1ip1
Kiel	HSC(FetalLiver)	SGL	67392	4833420G17Rik
Kiel	HSC(FetalLiver)	SGL	67393	Cxxc5
Kiel	HSC(FetalLiver)	SGL	67416	Armcx2
Kiel	HSC(FetalLiver)	SGL	67434	5730557B15Rik
Kiel	HSC(FetalLiver)	SGL	67437	Ssr3
Kiel	HSC(FetalLiver)	SGL	67443	Map1lc3b
Kiel	HSC(FetalLiver)	SGL	67581	Tbc1d23
Kiel	HSC(FetalLiver)	SGL	67759	5033414D02Rik
Kiel	HSC(FetalLiver)	SGL	67785	Zmym4
Kiel	HSC(FetalLiver)	SGL	67869	Paip2
Kiel	HSC(FetalLiver)	SGL	68151	Gpr177
Kiel	HSC(FetalLiver)	SGL	68196	Hsbp1
Kiel	HSC(FetalLiver)	SGL	68279	Mcoln2
Kiel	HSC(FetalLiver)	SGL	68585	Rtn4
Kiel	HSC(FetalLiver)	SGL	68616	Gdpd3
Kiel	HSC(FetalLiver)	SGL	68652	Map3k7ip2
Kiel	HSC(FetalLiver)	SGL	68801	Elovl5
Kiel	HSC(FetalLiver)	SGL	69207	Sfrs11
Kiel	HSC(FetalLiver)	SGL	70097	Sash1
Kiel	HSC(FetalLiver)	SGL	70349	Copb1
Kiel	HSC(FetalLiver)	SGL	70350	Basp1
Kiel	HSC(FetalLiver)	SGL	70470	2610304G08Rik
Kiel	HSC(FetalLiver)	SGL	70568	Cpne3
Kiel	HSC(FetalLiver)	SGL	70984	4931406C07Rik
Kiel	HSC(FetalLiver)	SGL	71538	Fbxo9
Kiel	HSC(FetalLiver)	SGL	71586	Ifih1
Kiel	HSC(FetalLiver)	SGL	71929	Tmem123
Kiel	HSC(FetalLiver)	SGL	71982	Snx10
Kiel	HSC(FetalLiver)	SGL	72519	Tmem55a
Kiel	HSC(FetalLiver)	SGL	74122	Tmem43
Kiel	HSC(FetalLiver)	SGL	74153	Ube1l
Kiel	HSC(FetalLiver)	SGL	74316	Isca2
Kiel	HSC(FetalLiver)	SGL	74570	Zkscan1
Kiel	HSC(FetalLiver)	SGL	74648	S100pbp
Kiel	HSC(FetalLiver)	SGL	75909	Tmem49
Kiel	HSC(FetalLiver)	SGL	76024	5830431A10Rik
Kiel	HSC(FetalLiver)	SGL	76582	Ipo11
Kiel	HSC(FetalLiver)	SGL	76976	2900062L11Rik
Kiel	HSC(FetalLiver)	SGL	80884	Maged2
Kiel	HSC(FetalLiver)	SGL	83493	Sacm1l
Kiel	HSC(FetalLiver)	SGL	83924	Gpr137b
Kiel	HSC(FetalLiver)	SGL	83962	Btbd1
Kiel	HSC(FetalLiver)	SGL	93747	Echs1
Kiel	HSC(FetalLiver)	SGL	94176	Dock2
Kiel	HSC(FetalLiver)	SGL	94186	Strn3
Kiel	HSC(FetalLiver)	SGL	94213	Ddx50
Kiel	HSC(FetalLiver)	SGL	97130	C77080
Kiel	HSC(FetalLiver)	SGL	98221	Eif3m
Kiel	HSC(FL-CD45+)	DGL	103172	Ndg2
Kiel	HSC(FL-CD45+)	DGL	11655	Alas1
Kiel	HSC(FL-CD45+)	DGL	11656	Alas2
Kiel	HSC(FL-CD45+)	DGL	11733	Ank1
Kiel	HSC(FL-CD45+)	DGL	11745	Anxa3
Kiel	HSC(FL-CD45+)	DGL	11764	Ap1b1
Kiel	HSC(FL-CD45+)	DGL	11777	Ap3s1
Kiel	HSC(FL-CD45+)	DGL	11799	Birc5
Kiel	HSC(FL-CD45+)	DGL	11820	App
Kiel	HSC(FL-CD45+)	DGL	12143	Blk
Kiel	HSC(FL-CD45+)	DGL	12266	C3
Kiel	HSC(FL-CD45+)	DGL	12417	Cbx3
Kiel	HSC(FL-CD45+)	DGL	12606	Cebpa
Kiel	HSC(FL-CD45+)	DGL	12609	Cebpd
Kiel	HSC(FL-CD45+)	DGL	12654	Chi3l1
Kiel	HSC(FL-CD45+)	DGL	12767	Cxcr4
Kiel	HSC(FL-CD45+)	DGL	12796	Camp
Kiel	HSC(FL-CD45+)	DGL	12873	Cpa3
Kiel	HSC(FL-CD45+)	DGL	12892	Cpox
Kiel	HSC(FL-CD45+)	DGL	12978	Csf1r
Kiel	HSC(FL-CD45+)	DGL	13010	Cst3
Kiel	HSC(FL-CD45+)	DGL	13036	Ctsh
Kiel	HSC(FL-CD45+)	DGL	13057	Cyba
Kiel	HSC(FL-CD45+)	DGL	13209	Ddx6
Kiel	HSC(FL-CD45+)	DGL	13586	Ear1
Kiel	HSC(FL-CD45+)	DGL	13587	Ear2
Kiel	HSC(FL-CD45+)	DGL	13706	RP23-395H4.4
Kiel	HSC(FL-CD45+)	DGL	13861	Epx
Kiel	HSC(FL-CD45+)	DGL	14226	Fkbp1b
Kiel	HSC(FL-CD45+)	DGL	14289	Fpr2
Kiel	HSC(FL-CD45+)	DGL	14381	G6pdx
Kiel	HSC(FL-CD45+)	DGL	14421	B4galnt1
Kiel	HSC(FL-CD45+)	DGL	14460	Gata1
Kiel	HSC(FL-CD45+)	DGL	14582	Gfi1b
Kiel	HSC(FL-CD45+)	DGL	14630	Gclm
Kiel	HSC(FL-CD45+)	DGL	14667	Gm2a
Kiel	HSC(FL-CD45+)	DGL	14678	Gnai2
Kiel	HSC(FL-CD45+)	DGL	14727	Gp49a
Kiel	HSC(FL-CD45+)	DGL	14733	Gpc1
Kiel	HSC(FL-CD45+)	DGL	14734	Gpc3
Kiel	HSC(FL-CD45+)	DGL	14793	Cdca3
Kiel	HSC(FL-CD45+)	DGL	14934	Gypa
Kiel	HSC(FL-CD45+)	DGL	15122	Hba-a1
Kiel	HSC(FL-CD45+)	DGL	15124	Hba-ps3
Kiel	HSC(FL-CD45+)	DGL	15126	Hba-x
Kiel	HSC(FL-CD45+)	DGL	15129	Hbb-b1
Kiel	HSC(FL-CD45+)	DGL	15130	Hbb-b2
Kiel	HSC(FL-CD45+)	DGL	15135	Hbb-y
Kiel	HSC(FL-CD45+)	DGL	15162	Hck
Kiel	HSC(FL-CD45+)	DGL	15186	Hdc
Kiel	HSC(FL-CD45+)	DGL	15267	Hist2h2aa1
Kiel	HSC(FL-CD45+)	DGL	15284	Hlx
Kiel	HSC(FL-CD45+)	DGL	15439	Hp
Kiel	HSC(FL-CD45+)	DGL	15900	Irf8
Kiel	HSC(FL-CD45+)	DGL	15950	Ifi203
Kiel	HSC(FL-CD45+)	DGL	15976	Ifnar2
Kiel	HSC(FL-CD45+)	DGL	16019	Igh-6
Kiel	HSC(FL-CD45+)	DGL	16194	Il6ra
Kiel	HSC(FL-CD45+)	DGL	16415	Itgb2l
Kiel	HSC(FL-CD45+)	DGL	16596	Klf1
Kiel	HSC(FL-CD45+)	DGL	16600	Klf4
Kiel	HSC(FL-CD45+)	DGL	16819	Lcn2
Kiel	HSC(FL-CD45+)	DGL	16854	Lgals3
Kiel	HSC(FL-CD45+)	DGL	16905	Lmna
Kiel	HSC(FL-CD45+)	DGL	16952	Anxa1
Kiel	HSC(FL-CD45+)	DGL	16956	Lpl
Kiel	HSC(FL-CD45+)	DGL	17002	Ltf
Kiel	HSC(FL-CD45+)	DGL	17025	Alad
Kiel	HSC(FL-CD45+)	DGL	17060	Blnk
Kiel	HSC(FL-CD45+)	DGL	17067	Ly6c1
Kiel	HSC(FL-CD45+)	DGL	17084	Ly86
Kiel	HSC(FL-CD45+)	DGL	17105	Lyz2
Kiel	HSC(FL-CD45+)	DGL	17345	Mki67
Kiel	HSC(FL-CD45+)	DGL	17395	Mmp9
Kiel	HSC(FL-CD45+)	DGL	17476	Mpeg1
Kiel	HSC(FL-CD45+)	DGL	17523	Mpo
Kiel	HSC(FL-CD45+)	DGL	17748	Mt1
Kiel	HSC(FL-CD45+)	DGL	17750	Mt2
Kiel	HSC(FL-CD45+)	DGL	17768	Mthfd2
Kiel	HSC(FL-CD45+)	DGL	17916	Myo1f
Kiel	HSC(FL-CD45+)	DGL	17967	Ncam1
Kiel	HSC(FL-CD45+)	DGL	18054	Ngp
Kiel	HSC(FL-CD45+)	DGL	18186	Nrp1
Kiel	HSC(FL-CD45+)	DGL	18218	Dusp8
Kiel	HSC(FL-CD45+)	DGL	18483	Palm
Kiel	HSC(FL-CD45+)	DGL	18733	Lilrb3
Kiel	HSC(FL-CD45+)	DGL	18751	Prkcb1
Kiel	HSC(FL-CD45+)	DGL	18817	Plk1
Kiel	HSC(FL-CD45+)	DGL	19126	Prom1
Kiel	HSC(FL-CD45+)	DGL	19152	Prtn3
Kiel	HSC(FL-CD45+)	DGL	19241	Tmsb4x
Kiel	HSC(FL-CD45+)	DGL	19387	Rangap1
Kiel	HSC(FL-CD45+)	DGL	19743	Rhag
Kiel	HSC(FL-CD45+)	DGL	19746	Rhd
