# Generate Mapping Tables Script: Version 4 11:05 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:05 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133_plus_2|204614_at|204614_at	unigene|Hs.514913|Hs.514913	hgnc_symbol|SERPINB2|SERPINB2
affy_hg_u133_plus_2|218995_s_at|218995_s_at	unigene|Hs.506423|Hs.506423	hgnc_symbol|EDN1|EDN1
affy_hg_u133_plus_2|1554911_at|1554911_at	unigene|Hs.335891|Hs.335891	hgnc_symbol|ABCC11|ABCC11
affy_hg_u133_plus_2|209211_at|209211_at	unigene|Hs.508234|Hs.508234	hgnc_symbol|KLF5|KLF5
affy_hg_u133_plus_2|231524_at|231524_at	unigene|Hs.157818|Hs.157818	hgnc_symbol|KCNAB1|KCNAB1
affy_hg_u133_plus_2|214576_at|214576_at	unigene|Hs.248189|Hs.248189	hgnc_symbol|KRTHA6|KRTHA6
affy_hg_u133_plus_2|215078_at|215078_at	unigene|Hs.487046|Hs.487046	hgnc_symbol|SOD2|SOD2
affy_hg_u133_plus_2|219085_s_at|219085_s_at	unigene|Hs.466919|Hs.466919	hgnc_symbol|GEMIN7|GEMIN7
affy_hg_u133_plus_2|1557419_a_at|1557419_a_at	unigene|Hs.268785|Hs.268785	hgnc_symbol|ACSL4|ACSL4
affy_hg_u133_plus_2|244780_at|244780_at	unigene|Hs.210043|Hs.210043	hgnc_symbol|SGPP2|SGPP2
affy_hg_u133_plus_2|1554675_a_at|1554675_a_at	unigene|Hs.501586|Hs.501586	hgnc_symbol|C10orf94|C10orf94
affy_hg_u133_plus_2|219106_s_at|219106_s_at	unigene|Hs.50550|Hs.50550	hgnc_symbol|KBTBD10|KBTBD10
affy_hg_u133_plus_2|227180_at|227180_at	unigene|Hs.274256|Hs.274256	hgnc_symbol|ELOVL7|ELOVL7
affy_hg_u133_plus_2|216056_at|216056_at	unigene|Hs.502328|Hs.502328	hgnc_symbol|CD44|CD44
affy_hg_u133_plus_2|237459_at|237459_at	unigene|Hs.506415|Hs.506415	hgnc_symbol|PCTK2|PCTK2
affy_hg_u133_plus_2|243296_at|243296_at	unigene|Hs.489615|Hs.489615	hgnc_symbol|PBEF1|PBEF1
affy_hg_u133_plus_2|242041_at|242041_at	unigene|Hs.370147|Hs.370147	hgnc_symbol|FLJ22490|FLJ22490
affy_hg_u133_plus_2|242728_at|242728_at	unigene|Hs.35490|Hs.35490	hgnc_symbol|KIAA0350|KIAA0350
affy_hg_u133_plus_2|213524_s_at|213524_s_at	unigene|Hs.432132|Hs.432132	hgnc_symbol|G0S2|G0S2
affy_hg_u133_plus_2|229158_at|229158_at	unigene|Hs.105448|Hs.105448	hgnc_symbol|WNK4|WNK4
affy_hg_u133_plus_2|237687_at|237687_at	unigene|Hs.31795|Hs.31795	hgnc_symbol|LOC283737|LOC283737
affy_hg_u133_plus_2|201631_s_at|201631_s_at	unigene|Hs.76095|Hs.76095	hgnc_symbol|IER3|IER3
affy_hg_u133_plus_2|209706_at|209706_at	unigene|Hs.55999|Hs.55999	hgnc_symbol|NKX3-1|NKX3-1
affy_hg_u133_plus_2|218810_at|218810_at	unigene|Hs.471918|Hs.471918	hgnc_symbol|FLJ23231|FLJ23231
affy_hg_u133_plus_2|244414_at|244414_at	unigene|Hs.428214|Hs.428214	hgnc_symbol|MAML2|MAML2
affy_hg_u133_plus_2|225316_at|225316_at	unigene|Hs.75668|Hs.75668	hgnc_symbol|FLJ14490|FLJ14490
affy_hg_u133_plus_2|225934_at|225934_at	unigene|Hs.515698|Hs.515698	hgnc_symbol|LOC148413 /// LOC440746|LOC148413 /// LOC440746
affy_hg_u133_plus_2|204533_at|204533_at	unigene|Hs.413924|Hs.413924	hgnc_symbol|CXCL10|CXCL10
affy_hg_u133_plus_2|205767_at|205767_at	unigene|Hs.115263|Hs.115263	hgnc_symbol|EREG|EREG
affy_hg_u133_plus_2|244860_at|244860_at	unigene|Hs.167451|Hs.167451	hgnc_symbol|KIAA0999|KIAA0999
affy_hg_u133_plus_2|236474_at|236474_at	unigene|Hs.435535|Hs.435535	hgnc_symbol|ZNF395|ZNF395
affy_hg_u133_plus_2|219500_at|219500_at	unigene|Hs.502977|Hs.502977	hgnc_symbol|CLC|CLC
affy_hg_u133_plus_2|202509_s_at|202509_s_at	unigene|Hs.525607|Hs.525607	hgnc_symbol|TNFAIP2|TNFAIP2
affy_hg_u133_plus_2|206596_s_at|206596_s_at	unigene|Hs.89606|Hs.89606	hgnc_symbol|NRL|NRL
affy_hg_u133_plus_2|1556378_a_at|1556378_a_at	unigene|Hs.521524|Hs.521524	hgnc_symbol|LOC401530 /// LOC440896|LOC401530 /// LOC440896
affy_hg_u133_plus_2|236655_at|236655_at	unigene|Hs.368433|Hs.368433	hgnc_symbol|TPD52|TPD52
affy_hg_u133_plus_2|234153_at|234153_at	unigene|Hs.434494|Hs.434494	hgnc_symbol|SYNJ2|SYNJ2
affy_hg_u133_plus_2|1563692_at|1563692_at	unigene|Hs.1650|Hs.1650	hgnc_symbol|SLC26A3|SLC26A3
affy_hg_u133_plus_2|242542_at|242542_at	unigene|Hs.102471|Hs.102471	hgnc_symbol|PHACTR2|PHACTR2
affy_hg_u133_plus_2|228377_at|228377_at	unigene|Hs.446164|Hs.446164	hgnc_symbol|KLHL14|KLHL14
affy_hg_u133_plus_2|233178_at|233178_at	unigene|Hs.112148|Hs.112148	hgnc_symbol|TGIF2LY|TGIF2LY
affy_hg_u133_plus_2|1555445_at|1555445_at	unigene|Hs.491813|Hs.491813	hgnc_symbol|CA8|CA8
affy_hg_u133_plus_2|202638_s_at|202638_s_at	unigene|Hs.515126|Hs.515126	hgnc_symbol|ICAM1|ICAM1
affy_hg_u133_plus_2|37892_at|37892_at	unigene|Hs.523446|Hs.523446	hgnc_symbol|COL11A1|COL11A1
affy_hg_u133_plus_2|236982_at|236982_at	unigene|Hs.474010|Hs.474010	hgnc_symbol|PTTG1IP|PTTG1IP
affy_hg_u133_plus_2|230170_at|230170_at	unigene|Hs.248156|Hs.248156	hgnc_symbol|OSM|OSM
affy_hg_u133_plus_2|205912_at|205912_at	unigene|Hs.501135|Hs.501135	hgnc_symbol|PNLIP|PNLIP
affy_hg_u133_plus_2|205599_at|205599_at	unigene|Hs.531251|Hs.531251	hgnc_symbol|TRAF1|TRAF1
affy_hg_u133_plus_2|1569168_at|1569168_at	unigene|Hs.171909|Hs.171909	hgnc_symbol|U2AF1L2|U2AF1L2
affy_hg_u133_plus_2|235549_at|235549_at	unigene|Hs.148741|Hs.148741	hgnc_symbol|IBRDC2|IBRDC2
affy_hg_u133_plus_2|242329_at|242329_at	hgnc_symbol|LOC401317|LOC401317
affy_hg_u133_plus_2|209210_s_at|209210_s_at	unigene|Hs.509343|Hs.509343	hgnc_symbol|PLEKHC1|PLEKHC1
affy_hg_u133_plus_2|241590_at|241590_at	unigene|Hs.484363|Hs.484363	hgnc_symbol|RNF130|RNF130
affy_hg_u133_plus_2|244610_x_at|244610_x_at	unigene|Hs.475688|Hs.475688	hgnc_symbol|UBE2E2|UBE2E2
affy_hg_u133_plus_2|236889_at|236889_at	unigene|Hs.507162|Hs.507162	hgnc_symbol|FLJ12750|FLJ12750
affy_hg_u133_plus_2|221801_x_at|221801_x_at	unigene|Hs.521461|Hs.521461	hgnc_symbol|NEFL|NEFL
affy_hg_u133_plus_2|1560781_at|1560781_at	unigene|Hs.377188|Hs.377188	hgnc_symbol|FLJ35709|FLJ35709
affy_hg_u133_plus_2|215870_s_at|215870_s_at	unigene|Hs.319438|Hs.319438	hgnc_symbol|PLA2G5|PLA2G5
affy_hg_u133_plus_2|212012_at|212012_at	unigene|Hs.332197|Hs.332197	hgnc_symbol|D2S448|D2S448
affy_hg_u133_plus_2|205990_s_at|205990_s_at	unigene|Hs.152213|Hs.152213	hgnc_symbol|WNT5A|WNT5A
affy_hg_u133_plus_2|242320_at|242320_at	unigene|Hs.220950|Hs.220950	hgnc_symbol|FOXO3A|FOXO3A
affy_hg_u133_plus_2|205266_at|205266_at	unigene|Hs.2250|Hs.2250	hgnc_symbol|LIF|LIF
affy_hg_u133_plus_2|240463_at|240463_at	unigene|Hs.501252|Hs.501252	hgnc_symbol|TACC2|TACC2
affy_hg_u133_plus_2|220091_at|220091_at	unigene|Hs.244378|Hs.244378	hgnc_symbol|SLC2A6|SLC2A6
affy_hg_u133_plus_2|232504_at|232504_at	unigene|Hs.406790|Hs.406790	hgnc_symbol|LOC285628|LOC285628
affy_hg_u133_plus_2|211586_s_at|211586_s_at	unigene|Hs.268942|Hs.268942	hgnc_symbol|ATP2B2|ATP2B2
affy_hg_u133_plus_2|209098_s_at|209098_s_at	unigene|Hs.224012|Hs.224012	hgnc_symbol|JAG1|JAG1
affy_hg_u133_plus_2|201041_s_at|201041_s_at	unigene|Hs.171695|Hs.171695	hgnc_symbol|DUSP1|DUSP1
affy_hg_u133_plus_2|206036_s_at|206036_s_at	unigene|Hs.370620|Hs.370620	hgnc_symbol|REL|REL
affy_hg_u133_plus_2|209038_s_at|209038_s_at	unigene|Hs.523774|Hs.523774	hgnc_symbol|EHD1|EHD1
affy_hg_u133_plus_2|202549_at|202549_at	unigene|Hs.182625|Hs.182625	hgnc_symbol|VAPB|VAPB
affy_hg_u133_plus_2|219102_at|219102_at	unigene|Hs.439184|Hs.439184	hgnc_symbol|RCN3|RCN3
affy_hg_u133_plus_2|1559136_s_at|1559136_s_at	unigene|Hs.303154|Hs.303154	hgnc_symbol|IDS|IDS
affy_hg_u133_plus_2|241252_at|241252_at	unigene|Hs.99480|Hs.99480	hgnc_symbol|LOC157570|LOC157570
affy_hg_u133_plus_2|206186_at|206186_at	unigene|Hs.396566|Hs.396566	hgnc_symbol|MPP3|MPP3
affy_hg_u133_plus_2|238893_at|238893_at	unigene|Hs.136888|Hs.136888	hgnc_symbol|LOC338758|LOC338758
affy_hg_u133_plus_2|227481_at|227481_at	unigene|Hs.16064|Hs.16064	hgnc_symbol|MAGI1|MAGI1
affy_hg_u133_plus_2|200800_s_at|200800_s_at	unigene|Hs.520028|Hs.520028	hgnc_symbol|HSPA1A /// HSPA1B|HSPA1A /// HSPA1B
affy_hg_u133_plus_2|206907_at|206907_at	unigene|Hs.1524|Hs.1524	hgnc_symbol|TNFSF9|TNFSF9
affy_hg_u133_plus_2|242982_x_at|242982_x_at	unigene|Hs.285724|Hs.285724	hgnc_symbol|ITGB8|ITGB8
affy_hg_u133_plus_2|202643_s_at|202643_s_at	unigene|Hs.211600|Hs.211600	hgnc_symbol|TNFAIP3|TNFAIP3
affy_hg_u133_plus_2|225491_at|225491_at	unigene|Hs.502338|Hs.502338	hgnc_symbol|SLC1A2|SLC1A2
affy_hg_u133_plus_2|235682_s_at|235682_s_at	unigene|Hs.502612|Hs.502612	hgnc_symbol|HSPB7|HSPB7
affy_hg_u133_plus_2|239884_at|239884_at	unigene|Hs.127013|Hs.127013	hgnc_symbol|CADPS|CADPS
affy_hg_u133_plus_2|217517_x_at|217517_x_at	unigene|Hs.285197|Hs.285197	hgnc_symbol|SRPK2|SRPK2
affy_hg_u133_plus_2|205792_at|205792_at	unigene|Hs.194679|Hs.194679	hgnc_symbol|WISP2|WISP2
affy_hg_u133_plus_2|207433_at|207433_at	unigene|Hs.193717|Hs.193717	hgnc_symbol|IL10|IL10
affy_hg_u133_plus_2|209636_at|209636_at	unigene|Hs.73090|Hs.73090	hgnc_symbol|NFKB2|NFKB2
affy_hg_u133_plus_2|215630_at|215630_at	unigene|Hs.98910|Hs.98910	hgnc_symbol|RAFTLIN|RAFTLIN
affy_hg_u133_plus_2|212561_at|212561_at	unigene|Hs.501857|Hs.501857	hgnc_symbol|RAB6IP1|RAB6IP1
affy_hg_u133_plus_2|203304_at|203304_at	unigene|Hs.533336|Hs.533336	hgnc_symbol|BAMBI|BAMBI
affy_hg_u133_plus_2|203096_s_at|203096_s_at	unigene|Hs.113912|Hs.113912	hgnc_symbol|RAPGEF2|RAPGEF2
affy_hg_u133_plus_2|1552711_a_at|1552711_a_at	unigene|Hs.27475|Hs.27475	hgnc_symbol|FLJ32499|FLJ32499
affy_hg_u133_plus_2|241107_at|241107_at	unigene|Hs.132868|Hs.132868	hgnc_symbol|USP32|USP32
affy_hg_u133_plus_2|212930_at|212930_at	unigene|Hs.506276|Hs.506276	hgnc_symbol|ATP2B1|ATP2B1
affy_hg_u133_plus_2|207560_at|207560_at	unigene|Hs.459187|Hs.459187	hgnc_symbol|SLC28A1|SLC28A1
affy_hg_u133_plus_2|1562792_at|1562792_at	unigene|Hs.134190|Hs.134190	hgnc_symbol|LOC152519|LOC152519
affy_hg_u133_plus_2|221085_at|221085_at	unigene|Hs.241382|Hs.241382	hgnc_symbol|TNFSF15|TNFSF15
affy_hg_u133_plus_2|230188_at|230188_at	unigene|Hs.4285|Hs.4285	hgnc_symbol|LOC348938|LOC348938
affy_hg_u133_plus_2|204200_s_at|204200_s_at	unigene|Hs.1976|Hs.1976	hgnc_symbol|PDGFB|PDGFB
affy_hg_u133_plus_2|231779_at|231779_at	unigene|Hs.424542|Hs.424542	hgnc_symbol|IRAK2|IRAK2
affy_hg_u133_plus_2|1553523_at|1553523_at	unigene|Hs.449637|Hs.449637	hgnc_symbol|NALP14|NALP14
affy_hg_u133_plus_2|1563465_at|1563465_at	unigene|Hs.195979|Hs.195979	hgnc_symbol|PKD1L1|PKD1L1
affy_hg_u133_plus_2|1555053_at|1555053_at	unigene|Hs.177193|Hs.177193	hgnc_symbol|SYT9|SYT9
affy_hg_u133_plus_2|227006_at|227006_at	unigene|Hs.348037|Hs.348037	hgnc_symbol|PPP1R14A|PPP1R14A
affy_hg_u133_plus_2|219497_s_at|219497_s_at	unigene|Hs.370549|Hs.370549	hgnc_symbol|BCL11A|BCL11A
affy_hg_u133_plus_2|209355_s_at|209355_s_at	unigene|Hs.405156|Hs.405156	hgnc_symbol|PPAP2B|PPAP2B
affy_hg_u133_plus_2|240655_at|240655_at	unigene|Hs.150693|Hs.150693	hgnc_symbol|ALCAM|ALCAM
affy_hg_u133_plus_2|214955_at|214955_at	unigene|Hs.370885|Hs.370885	hgnc_symbol|TMPRSS6|TMPRSS6
affy_hg_u133_plus_2|202014_at|202014_at	unigene|Hs.76556|Hs.76556	hgnc_symbol|PPP1R15A|PPP1R15A
affy_hg_u133_plus_2|238987_at|238987_at	unigene|Hs.272011|Hs.272011	hgnc_symbol|B4GALT1|B4GALT1
affy_hg_u133_plus_2|202628_s_at|202628_s_at	unigene|Hs.414795|Hs.414795	hgnc_symbol|SERPINE1|SERPINE1
affy_hg_u133_plus_2|1557895_at|1557895_at	unigene|Hs.375092|Hs.375092	hgnc_symbol|FLJ35934|FLJ35934
affy_hg_u133_plus_2|232935_at|232935_at	unigene|Hs.507798|Hs.507798	hgnc_symbol|LHFP|LHFP
affy_hg_u133_plus_2|238138_at|238138_at	unigene|Hs.390650|Hs.390650	hgnc_symbol|LOC389352|LOC389352
affy_hg_u133_plus_2|237938_at|237938_at	unigene|Hs.488293|Hs.488293	hgnc_symbol|EGFR|EGFR
affy_hg_u133_plus_2|1564601_at|1564601_at	unigene|Hs.322826|Hs.322826	hgnc_symbol|LOC286123|LOC286123
affy_hg_u133_plus_2|208571_at|208571_at	unigene|Hs.458747|Hs.458747	hgnc_symbol|ANP32A /// ANP32D /// ANP32C|ANP32A /// ANP32D /// ANP32C
affy_hg_u133_plus_2|222227_at|222227_at	unigene|Hs.189826|Hs.189826	hgnc_symbol|ZNF236|ZNF236
affy_hg_u133_plus_2|1555938_x_at|1555938_x_at	unigene|Hs.533317|Hs.533317	hgnc_symbol|VIM|VIM
affy_hg_u133_plus_2|1553886_at|1553886_at	unigene|Hs.528323|Hs.528323	hgnc_symbol|MGC35338|MGC35338
affy_hg_u133_plus_2|1559953_at|1559953_at	unigene|Hs.8765|Hs.8765	hgnc_symbol|DDX42|DDX42
affy_hg_u133_plus_2|1554999_at|1554999_at	unigene|Hs.480068|Hs.480068	hgnc_symbol|RASGEF1B|RASGEF1B
affy_hg_u133_plus_2|1555315_a_at|1555315_a_at	unigene|Hs.446125|Hs.446125	hgnc_symbol|MAK|MAK
affy_hg_u133_plus_2|210628_x_at|210628_x_at	unigene|Hs.466766|Hs.466766	hgnc_symbol|LTBP4|LTBP4
affy_hg_u133_plus_2|204924_at|204924_at	unigene|Hs.519033|Hs.519033	hgnc_symbol|TLR2|TLR2
affy_hg_u133_plus_2|202760_s_at|202760_s_at	unigene|Hs.259461|Hs.259461	hgnc_symbol|PALM2-AKAP2|PALM2-AKAP2
affy_hg_u133_plus_2|204463_s_at|204463_s_at	unigene|Hs.183713|Hs.183713	hgnc_symbol|EDNRA|EDNRA
affy_hg_u133_plus_2|209742_s_at|209742_s_at	unigene|Hs.75535|Hs.75535	hgnc_symbol|MYL2|MYL2
affy_hg_u133_plus_2|231070_at|231070_at	unigene|Hs.310225|Hs.310225	hgnc_symbol|C6orf71|C6orf71
affy_hg_u133_plus_2|210450_at|210450_at	unigene|Hs.81221|Hs.81221	hgnc_symbol|LOC90925|LOC90925
affy_hg_u133_plus_2|1561600_at|1561600_at	unigene|Hs.335205|Hs.335205	hgnc_symbol|SSH2|SSH2
affy_hg_u133_plus_2|205508_at|205508_at	unigene|Hs.436646|Hs.436646	hgnc_symbol|SCN1B|SCN1B
affy_hg_u133_plus_2|1566959_at|1566959_at	unigene|Hs.429434|Hs.429434	hgnc_symbol|GAB2|GAB2
affy_hg_u133_plus_2|227845_s_at|227845_s_at	unigene|Hs.7423|Hs.7423	hgnc_symbol|SHD|SHD
affy_hg_u133_plus_2|201236_s_at|201236_s_at	unigene|Hs.519162|Hs.519162	hgnc_symbol|BTG2|BTG2
affy_hg_u133_plus_2|201502_s_at|201502_s_at	unigene|Hs.81328|Hs.81328	hgnc_symbol|NFKBIA|NFKBIA
affy_hg_u133_plus_2|202734_at|202734_at	unigene|Hs.515094|Hs.515094	hgnc_symbol|TRIP10|TRIP10
affy_hg_u133_plus_2|204958_at|204958_at	unigene|Hs.153640|Hs.153640	hgnc_symbol|PLK3|PLK3
affy_hg_u133_plus_2|205143_at|205143_at	unigene|Hs.169047|Hs.169047	hgnc_symbol|CSPG3|CSPG3
affy_hg_u133_plus_2|233681_at|233681_at	unigene|Hs.307025|Hs.307025	hgnc_symbol|KRTAP3-3|KRTAP3-3
affy_hg_u133_plus_2|240594_at|240594_at	unigene|Hs.269092|Hs.269092	hgnc_symbol|CDYL|CDYL
affy_hg_u133_plus_2|209239_at|209239_at	unigene|Hs.431926|Hs.431926	hgnc_symbol|NFKB1|NFKB1
affy_hg_u133_plus_2|237409_at|237409_at	unigene|Hs.380277|Hs.380277	hgnc_symbol|DAPK1|DAPK1
affy_hg_u133_plus_2|226968_at|226968_at	unigene|Hs.97858|Hs.97858	hgnc_symbol|KIF1B|KIF1B
affy_hg_u133_plus_2|243890_at|243890_at	unigene|Hs.497626|Hs.497626	hgnc_symbol|PLXNA2|PLXNA2
affy_hg_u133_plus_2|227225_at|227225_at	unigene|Hs.523057|Hs.523057	hgnc_symbol|LOC439985|LOC439985
affy_hg_u133_plus_2|1560861_at|1560861_at	unigene|Hs.316931|Hs.316931	hgnc_symbol|SCAP1|SCAP1
affy_hg_u133_plus_2|1555689_at|1555689_at	unigene|Hs.838|Hs.838	hgnc_symbol|CD80|CD80
affy_hg_u133_plus_2|1553949_at|1553949_at	unigene|Hs.352612|Hs.352612	hgnc_symbol|IQSEC3|IQSEC3
affy_hg_u133_plus_2|1565804_at|1565804_at	unigene|Hs.484779|Hs.484779	hgnc_symbol|LOC360030|LOC360030
affy_hg_u133_plus_2|236582_at|236582_at	unigene|Hs.369606|Hs.369606	hgnc_symbol|CPSF6|CPSF6
affy_hg_u133_plus_2|206568_at|206568_at	unigene|Hs.3017|Hs.3017	hgnc_symbol|TNP1|TNP1
affy_hg_u133_plus_2|1558299_at|1558299_at	unigene|Hs.128846|Hs.128846	hgnc_symbol|PTPNS1|PTPNS1
affy_hg_u133_plus_2|210722_at|210722_at	unigene|Hs.73923|Hs.73923	hgnc_symbol|PNLIPRP1|PNLIPRP1
affy_hg_u133_plus_2|240254_at|240254_at	unigene|Hs.34024|Hs.34024	hgnc_symbol|TNIK|TNIK
affy_hg_u133_plus_2|217299_s_at|217299_s_at	unigene|Hs.492208|Hs.492208	hgnc_symbol|NBS1|NBS1
affy_hg_u133_plus_2|209034_at|209034_at	unigene|Hs.75969|Hs.75969	hgnc_symbol|PNRC1|PNRC1
affy_hg_u133_plus_2|225188_at|225188_at	unigene|Hs.471162|Hs.471162	hgnc_symbol|RAPH1|RAPH1
affy_hg_u133_plus_2|231384_at|231384_at	unigene|Hs.411472|Hs.411472	hgnc_symbol|GRIN2A|GRIN2A
affy_hg_u133_plus_2|231127_at|231127_at	unigene|Hs.369920|Hs.369920	hgnc_symbol|RAP1B|RAP1B
affy_hg_u133_plus_2|209928_s_at|209928_s_at	unigene|Hs.442619|Hs.442619	hgnc_symbol|MSC|MSC
affy_hg_u133_plus_2|1561537_at|1561537_at	unigene|Hs.369054|Hs.369054	hgnc_symbol|LOC388906|LOC388906
affy_hg_u133_plus_2|1558111_at|1558111_at	unigene|Hs.478000|Hs.478000	hgnc_symbol|MBNL1|MBNL1
affy_hg_u133_plus_2|213005_s_at|213005_s_at	unigene|Hs.493272|Hs.493272	hgnc_symbol|ANKRD15|ANKRD15
affy_hg_u133_plus_2|241932_at|241932_at	unigene|Hs.508545|Hs.508545	hgnc_symbol|PHGDHL1|PHGDHL1
affy_hg_u133_plus_2|1558333_at|1558333_at	unigene|Hs.116254|Hs.116254	hgnc_symbol|C22orf15|C22orf15
affy_hg_u133_plus_2|241784_x_at|241784_x_at	unigene|Hs.480101|Hs.480101	hgnc_symbol|HEL308|HEL308
affy_hg_u133_plus_2|203010_at|203010_at	unigene|Hs.437058|Hs.437058	hgnc_symbol|STAT5A|STAT5A
affy_hg_u133_plus_2|240786_at|240786_at	unigene|Hs.436100|Hs.436100	hgnc_symbol|NOTCH4|NOTCH4
affy_hg_u133_plus_2|209866_s_at|209866_s_at	unigene|Hs.28391|Hs.28391	hgnc_symbol|LPHN3|LPHN3
affy_hg_u133_plus_2|1558834_s_at|1558834_s_at	unigene|Hs.514662|Hs.514662	hgnc_symbol|MGC26989|MGC26989
affy_hg_u133_plus_2|231899_at|231899_at	unigene|Hs.376289|Hs.376289	hgnc_symbol|KIAA1726|KIAA1726
affy_hg_u133_plus_2|214421_x_at|214421_x_at	unigene|Hs.282624|Hs.282624	hgnc_symbol|CYP2C9|CYP2C9
affy_hg_u133_plus_2|231907_at|231907_at	unigene|Hs.159472|Hs.159472	hgnc_symbol|ABL2|ABL2
affy_hg_u133_plus_2|236584_at|236584_at	unigene|Hs.107101|Hs.107101	hgnc_symbol|FLJ31031|FLJ31031
affy_hg_u133_plus_2|210626_at|210626_at	unigene|Hs.463506|Hs.463506	hgnc_symbol|AKAP1|AKAP1
affy_hg_u133_plus_2|219736_at|219736_at	unigene|Hs.519514|Hs.519514	hgnc_symbol|TRIM36|TRIM36
affy_hg_u133_plus_2|239400_at|239400_at	unigene|Hs.434138|Hs.434138	hgnc_symbol|TAC4|TAC4
affy_hg_u133_plus_2|243215_at|243215_at	unigene|Hs.8546|Hs.8546	hgnc_symbol|NOTCH3|NOTCH3
affy_hg_u133_plus_2|1563203_at|1563203_at	unigene|Hs.458986|Hs.458986	hgnc_symbol|ZNF291|ZNF291
affy_hg_u133_plus_2|215253_s_at|215253_s_at	unigene|Hs.282326|Hs.282326	hgnc_symbol|DSCR1|DSCR1
affy_hg_u133_plus_2|217475_s_at|217475_s_at	unigene|Hs.474596|Hs.474596	hgnc_symbol|LIMK2|LIMK2
affy_hg_u133_plus_2|244026_at|244026_at	unigene|Hs.192221|Hs.192221	hgnc_symbol|ELL2|ELL2
