# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133_plus_2|215819_s_at|215819_s_at	entrezgene|6006 /// 6007|6006 /// 6007	hgnc_symbol|RHCE /// RHD|RHCE /// RHD
affy_hg_u133_plus_2|205671_s_at|205671_s_at	entrezgene|3112|3112	hgnc_symbol|HLA-DOB|HLA-DOB
affy_hg_u133_plus_2|210504_at|210504_at	entrezgene|10661|10661	hgnc_symbol|KLF1|KLF1
affy_hg_u133_plus_2|216054_x_at|216054_x_at	entrezgene|4635|4635	hgnc_symbol|MYL4|MYL4
affy_hg_u133_plus_2|236981_at|236981_at
affy_hg_u133_plus_2|226751_at|226751_at	entrezgene|25927|25927	hgnc_symbol|C2orf32|C2orf32
affy_hg_u133_plus_2|235916_at|235916_at	entrezgene|219539|219539	hgnc_symbol|YPEL4|YPEL4
affy_hg_u133_plus_2|204249_s_at|204249_s_at	entrezgene|4005|4005	hgnc_symbol|LMO2|LMO2
affy_hg_u133_plus_2|205033_s_at|205033_s_at	entrezgene|1667 /// 1668 /// 653600|1667 /// 1668 /// 653600	hgnc_symbol|DEFA1 /// DEFA3 /// LOC653600|DEFA1 /// DEFA3 /// LOC653600
affy_hg_u133_plus_2|206937_at|206937_at	entrezgene|6708|6708	hgnc_symbol|SPTA1|SPTA1
affy_hg_u133_plus_2|242197_x_at|242197_x_at	entrezgene|948|948	hgnc_symbol|CD36|CD36
affy_hg_u133_plus_2|210036_s_at|210036_s_at	entrezgene|3757|3757	hgnc_symbol|KCNH2|KCNH2
affy_hg_u133_plus_2|210215_at|210215_at	entrezgene|7036|7036	hgnc_symbol|TFR2|TFR2
affy_hg_u133_plus_2|208352_x_at|208352_x_at	entrezgene|286|286	hgnc_symbol|ANK1|ANK1
affy_hg_u133_plus_2|210986_s_at|210986_s_at	entrezgene|7168|7168	hgnc_symbol|TPM1|TPM1
affy_hg_u133_plus_2|217865_at|217865_at	entrezgene|55819|55819	hgnc_symbol|RNF130|RNF130
affy_hg_u133_plus_2|37986_at|37986_at	entrezgene|2057|2057	hgnc_symbol|EPOR|EPOR
affy_hg_u133_plus_2|200934_at|200934_at	entrezgene|7913|7913	hgnc_symbol|DEK|DEK
affy_hg_u133_plus_2|210430_x_at|210430_x_at	entrezgene|6007|6007	hgnc_symbol|RHD|RHD
