# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133a|209112_at|209112_at	hgnc_symbol|CDKN1B|CDKN1B
affy_hg_u133a|208944_at|208944_at	hgnc_symbol|TGFBR2|TGFBR2
affy_hg_u133a|214878_at|214878_at	hgnc_symbol|ZNF37A|ZNF37A
affy_hg_u133a|218615_s_at|218615_s_at	hgnc_symbol|TMEM39A|TMEM39A
affy_hg_u133a|213416_at|213416_at	hgnc_symbol|ITGA4|ITGA4
affy_hg_u133a|209240_at|209240_at	hgnc_symbol|OGT|OGT
affy_hg_u133a|212774_at|212774_at	hgnc_symbol|ZNF238|ZNF238
affy_hg_u133a|202852_s_at|202852_s_at	hgnc_symbol|AAGAB|AAGAB
affy_hg_u133a|207655_s_at|207655_s_at	hgnc_symbol|BLNK|BLNK
affy_hg_u133a|209298_s_at|209298_s_at	hgnc_symbol|ITSN1|ITSN1
affy_hg_u133a|209112_at|209112_at	hgnc_symbol|CDKN1B|CDKN1B
affy_hg_u133a|208944_at|208944_at	hgnc_symbol|TGFBR2|TGFBR2
affy_hg_u133a|214878_at|214878_at	hgnc_symbol|ZNF37A|ZNF37A
affy_hg_u133a|218615_s_at|218615_s_at	hgnc_symbol|TMEM39A|TMEM39A
affy_hg_u133a|213416_at|213416_at	hgnc_symbol|ITGA4|ITGA4
affy_hg_u133a|209240_at|209240_at	hgnc_symbol|OGT|OGT
affy_hg_u133a|212774_at|212774_at	hgnc_symbol|ZNF238|ZNF238
affy_hg_u133a|202852_s_at|202852_s_at	hgnc_symbol|AAGAB|AAGAB
