Probe Set ID	Gene Symbol	Corrected p-value	Regulation ([PF] vs [SP])1	Regulation ([PF] vs [ST])1	Regulation ([SP] vs [ST])1
1558486_at	ZNF493	2.12E-06	up	down	down
227524_at		2.12E-06	down	up	up
219904_at	ZSCAN5A	2.14E-06	down	up	up
207797_s_at	LRP2BP	2.14E-06	down	up	up
210303_at	MAB21L2	2.15E-06	up	up	up
208002_s_at	ACOT7	2.15E-06	down	down	down
1566728_at		2.15E-06	up	up	down
236786_at	FAM135B	2.22E-06	down	up	up
243060_at		2.22E-06	up	up	up
1552256_a_at	SCARB1	2.23E-06	up	down	down
227607_at	STAMBPL1	2.23E-06	down	up	up
243704_at		2.26E-06	down	up	up
203299_s_at	AP1S2	2.28E-06	up	up	up
223715_at	BRSK2	2.31E-06	up	down	down
1438_at	EPHB3	2.31E-06	down	down	down
211203_s_at	CNTN1	2.33E-06	up	up	up
225798_at	JAZF1	2.34E-06	down	up	up
224659_at	SEPN1	2.34E-06	up	up	up
228104_at	PLXNA4	2.36E-06	up	up	up
227819_at	LGR6	2.39E-06	down	up	up
219197_s_at	SCUBE2	2.43E-06	down	up	up
226933_s_at	ID4	2.45E-06	down	up	up
205857_at	SLC18A2	2.48E-06	down	up	up
227019_at	C1orf226	2.50E-06	down	up	up
220291_at	GDPD2	2.51E-06	down	up	up
203627_at	IGF1R	2.51E-06	down	up	up
231436_at		2.52E-06	up	up	up
229542_at	C20orf85	2.52E-06	down	down	up
237081_at		2.52E-06	down	up	up
213778_x_at	ZNF276	2.54E-06	up	down	down
228415_at	AP1S2	2.57E-06	up	up	up
230316_at	SEC14L2	2.58E-06	up	up	down
228048_at	C10orf41	2.59E-06	down	up	up
225473_at	C20orf117	2.61E-06	up	down	down
222963_s_at	IL1RAPL1	2.61E-06	up	down	down
210051_at	RAPGEF3	2.64E-06	up	up	down
220578_at	ADAMTSL4	2.66E-06	up	down	down
203819_s_at	IGF2BP3	2.68E-06	up	up	up
1556116_s_at	TNPO1	2.70E-06	up	down	down
228462_at	IRX2	2.71E-06	up	up	up
225716_at		2.72E-06	down	down	down
231728_at	CAPS	2.72E-06	down	up	up
208022_s_at	CDC14B	2.78E-06	down	down	down
230042_at		2.78E-06	down	up	up
220928_s_at	PRDM16	2.84E-06	up	down	down
237437_s_at	ADARB2	2.98E-06	up	up	down
226489_at	TMCC3	2.98E-06	up	up	up
1557155_a_at	FLJ30375	2.99E-06	up	up	up
221631_at	CACNA1I	2.99E-06	up	down	down
226071_at	ADAMTSL4	2.99E-06	down	down	down
244512_at		2.99E-06	up	up	up
230092_at	UBXN10	2.99E-06	down	up	up
225330_at	IGF1R	2.99E-06	down	up	up
226814_at	ADAMTS9	2.99E-06	up	up	up
232837_at	KIF13A	3.01E-06	up	up	up
211999_at	H3F3B	3.02E-06	down	up	up
212229_s_at	FBXO21	3.07E-06	down	down	down
221479_s_at	BNIP3L	3.08E-06	up	up	up
235517_at	PACRGL	3.11E-06	down	down	up
