Probe Set ID	Gene Symbol	Corrected p-value	Regulation ([PF] vs [SP])1	Regulation ([PF] vs [ST])1	Regulation ([SP] vs [ST])1
1568704_a_at	CHERP	0.01225869	up	down	down
230873_at	TTLL3	0.01226654	down	down	down
1561200_at	VWA3B	0.01226917	down	up	up
209417_s_at	IFI35	0.01227503	down	down	up
232847_at	SALL3	0.01227503	down	down	down
225251_at	RAB24	0.01227539	up	down	down
218332_at	BEX1	0.01227539	down	down	down
1562387_at	C5orf42	0.01227539	down	up	up
241001_at		0.01227539	up	up	up
227203_at	FBXL17	0.01227539	up	up	up
1564002_a_at	AKD2	0.01227539	down	up	up
1554966_a_at	FILIP1L	0.01227539	up	up	up
218704_at	RNF43	0.01228555	up	up	up
207298_at	SLC17A3	0.01228672	up	down	down
204180_s_at	ZBTB43	0.01228672	up	up	up
239865_at		0.01228929	up	up	down
1552852_a_at	ZSCAN4	0.01228958	down	down	up
209899_s_at	PUF60	0.01228958	down	up	up
203944_x_at	BTN2A1	0.01229686	down	down	up
219499_at	SEC61A2	0.01229686	down	down	down
209409_at	GRB10	0.01229686	down	down	down
1563483_at	FAM91A2	0.01229686	down	up	up
242098_at	LOC202451	0.01229692	up	down	down
200004_at	EIF4G2	0.01230391	down	down	up
239713_at	CASC2	0.01230391	down	up	up
229400_at	HOXD10	0.01231275	down	down	up
213286_at	ZFR	0.01231884	up	up	up
230903_s_at	C8orf42	0.01231954	down	up	up
202016_at	MEST	0.01233501	down	down	down
243104_at		0.01233501	down	up	up
229197_at	ING5	0.01234635	up	down	down
1568620_at	CSAD	0.0123537	up	up	down
209013_x_at	TRIO	0.01236277	up	up	down
232659_at		0.01236734	up	up	down
1554513_s_at	CCDC123	0.01237016	down	up	up
224368_s_at	NDRG3	0.01237295	down	down	down
220673_s_at	PPP4R4	0.0123768	up	up	down
202891_at	NIT1	0.01238328	down	down	up
1561905_at		0.0123888	down	down	up
222194_at	FAM66D	0.0123888	up	up	down
212183_at	NUDT4	0.01239966	down	up	up
1563519_at		0.01240061	down	up	up
203032_s_at	FH	0.01240324	down	up	up
1558827_a_at	ZNF831	0.01240801	up	down	down
228289_at		0.01240944	down	up	up
227328_at	CAMTA1	0.01241055	down	up	up
221718_s_at	AKAP13	0.0124124	up	up	up
239989_at	CNTLN	0.01241799	down	down	up
212995_x_at	FAM128B	0.01242591	up	down	down
238196_at	LOC285095	0.01242591	down	down	down
244185_at		0.01242591	up	down	down
228947_x_at	TMEM204	0.01243386	up	down	down
226638_at	ARHGAP23	0.01243386	up	up	down
232001_at	LOC439949	0.01243386	down	up	up
238889_at	AGBL5	0.01243446	down	down	down
202676_x_at	FASTK	0.01244061	up	down	down
243661_at	ZNF273	0.01244814	down	down	up
222258_s_at	SH3BP4	0.01244814	down	up	up
244226_s_at		0.01244821	down	up	up
1561463_at		0.01244842	down	down	up
241867_at		0.01245039	up	up	down
218896_s_at	C17orf85	0.01245468	down	down	down
218384_at	CARHSP1	0.01245571	down	down	down
1553407_at	MACF1	0.01245726	up	up	up
235824_at		0.01245756	up	down	down
1570032_at	AP3B2	0.01245855	up	down	down
32209_at	FAM89B	0.01245855	up	down	down
204672_s_at	ANKRD6	0.01246951	down	up	up
45653_at	KCTD13	0.01247325	up	down	down
227984_at	LOC650392	0.0124906	up	down	down
238453_at	FGFBP3	0.0125026	down	down	down
219494_at	RAD54B	0.01250367	up	up	down
206657_s_at	MYOD1	0.01250841	up	up	down
231936_at	HOXC9	0.01251274	down	down	up
228890_at	ATOH8	0.01251422	up	up	down
1569601_at		0.01252885	up	down	down
218171_at	VPS4B	0.01252885	down	down	up
1568887_at		0.01252885	up	up	down
237525_at		0.01252885	up	up	down
203650_at	PROCR	0.01253741	down	down	down
223441_at	SLC17A5	0.01253741	down	down	down
219424_at	EBI3	0.01254318	up	down	down
225659_at	SPOPL	0.01254318	down	down	up
227432_s_at		0.01254794	up	down	down
217686_at	PTPN1	0.01254794	up	up	down
229382_at	C1orf183	0.01255159	down	down	down
1568941_a_at		0.01255914	up	up	down
230731_x_at	ZDHHC8	0.01256378	up	down	down
213203_at	SNAPC5	0.01256541	down	up	up
1569411_at	TMEM67	0.01256641	down	up	up
238718_at		0.01257479	down	up	up
235924_at		0.01258126	down	down	down
237911_at		0.01258395	up	up	down
231186_at	FLJ43390 /// LOC100128793	0.01258395	down	up	up
1557882_at		0.01258518	up	up	up
226080_at	SSH2	0.01258911	up	down	down
220292_at	ZNF434	0.01258955	up	down	down
1554319_at	RPS6KA5	0.01259343	up	up	up
225890_at	C20orf72	0.01259578	down	down	up
201837_s_at	SUPT7L	0.01259634	down	down	up
223712_at	PCBD2	0.01260753	down	down	up
240369_at	TTC7A	0.01260753	up	up	down
223618_at	FMN2	0.01261571	down	up	up
235371_at	GLT8D4	0.01261669	down	up	up
224799_at	NDFIP2	0.01261966	down	down	up
231929_at	IKZF2	0.01262632	down	up	up
213461_at	NUDT21	0.01262664	down	down	up
201495_x_at	MYH11	0.01263265	up	down	down
214879_x_at	USF2	0.01263406	up	up	down
231998_at		0.01263666	up	down	down
224342_x_at	IGL@ /// LOC96610	0.01263757	up	up	down
235949_at		0.01264624	down	up	up
208502_s_at	PITX1	0.01264639	up	down	down
220269_at	ZBBX	0.01264688	down	up	up
216984_x_at	IGLV2-11 /// IGLV2-18 /// IGLV2-23	0.0126507	up	up	down
223416_at	SF3B14	0.0126548	down	down	up
222170_at		0.0126548	down	up	up
226451_at	FDX1L	0.01265551	down	down	down
207719_x_at	CEP170	0.01265551	down	down	up
235264_at	HCFC2	0.012658	down	down	up
218574_s_at	LMCD1	0.01266294	down	up	up
1556361_s_at	ANKRD13C	0.01266348	down	down	down
203477_at	COL15A1	0.01266348	down	down	up
236517_at	MEGF10	0.01266348	down	down	up
206702_at	TEK	0.01266348	down	down	down
215078_at	SOD2	0.01266348	up	up	down
229989_at	FDXACB1	0.01266725	down	down	up
212287_at	SUZ12	0.01267493	down	down	down
228494_at	PPP1R9A	0.01267493	down	up	up
205305_at	FGL1	0.01267721	up	down	down
1553383_at	FLJ32810	0.01267929	up	down	down
224080_at		0.01267929	down	down	up
241603_at	ATP11A	0.01267929	up	down	down
214407_x_at	GYPB	0.01267929	up	up	down
235525_at		0.01268073	up	down	down
204184_s_at	ADRBK2	0.01268073	up	up	down
1570600_at		0.01268423	up	down	down
239680_at		0.01268688	down	down	down
1553168_at	GRIK5	0.01268688	down	up	up
213441_x_at	SPDEF	0.01268688	up	up	down
228417_at	ISYNA1	0.01270015	up	up	down
236794_at		0.01270391	up	down	down
230740_at		0.01270672	up	down	down
222687_s_at	ACER3	0.01271746	up	down	down
210175_at	C2orf3	0.01271951	down	down	up
211099_s_at	CNGB1	0.01272871	up	up	down
241148_at	ACTG2	0.01273551	up	down	down
224897_at	WDR26	0.01273636	down	up	up
217733_s_at	TMSB10	0.01273814	up	up	up
225541_at	RPL22L1	0.01273974	down	up	up
231405_at	C13orf28	0.01274515	up	up	down
231297_at	DOT1L	0.01274515	up	up	down
202163_s_at	CNOT8	0.01274627	down	down	up
217890_s_at	PARVA	0.01274627	down	down	up
229389_at	ATG16L2	0.01275801	up	up	down
216402_at	SEC14L4	0.01275898	up	up	down
213929_at	EXPH5	0.01276132	down	up	up
218123_at	C21orf59	0.01276263	down	up	up
214033_at	ABCC6	0.01276263	down	up	up
1564165_at	PRKRIP1	0.01276864	up	down	down
209098_s_at	JAG1	0.01277061	down	down	up
201359_at	COPB1	0.01278116	down	down	up
227429_at	EFCAB4A	0.01278616	up	down	down
224209_s_at	GDA	0.0127868	up	up	up
219373_at	DPM3	0.0127952	down	up	up
211284_s_at	GRN	0.01279549	up	down	down
1553938_a_at	STK32A	0.01279549	up	up	up
204208_at	RNGTT	0.01279656	down	up	up
232248_at	PCSK7	0.0128195	up	down	down
215884_s_at	UBQLN2	0.0128195	down	down	down
1555464_at	IFIH1	0.01282375	down	down	up
213974_at	ADAMTSL3	0.01282375	up	up	down
207118_s_at	MMP23A /// MMP23B	0.01282577	up	down	down
229928_at		0.01282797	down	down	up
226224_at	FOXK2	0.01283	up	down	down
1554445_at	ZNF85	0.01283	down	down	down
219448_at	TMEM70	0.01283126	down	down	down
1560404_a_at	ATPBD4	0.01283423	down	down	up
209184_s_at	IRS2	0.01284538	up	up	up
244828_x_at	NAF1	0.01284889	down	up	up
236273_at	NBPF1	0.01285146	down	up	up
1554609_at		0.01286219	down	up	up
210424_s_at	GOLGA8A /// GOLGA8B	0.01286219	up	up	up
204692_at	LRCH4	0.01286288	up	up	down
1553078_at	OR5P3	0.01286386	down	up	up
232302_at	PDLIM2	0.01287432	up	up	down
230711_at		0.01288085	up	down	down
1560706_at		0.01288085	up	down	down
244425_at		0.01288085	up	down	down
230368_at	ERF	0.01288683	up	up	down
217717_s_at	YWHAB	0.01288862	up	down	down
204490_s_at	CD44	0.01288889	up	up	up
241465_at	C17orf39	0.0128922	up	up	down
214842_s_at		0.0128922	up	up	down
230203_at	FLJ46875	0.01289726	up	up	down
237084_at		0.01289915	down	down	down
242507_at		0.01290294	up	down	down
235209_at	C8orf84	0.01290539	down	up	up
1559188_x_at		0.01290539	up	up	down
1569338_at		0.01290788	down	down	down
243951_at	ABCB1	0.01290788	up	down	down
239590_x_at	FAM95B1 /// LOC100132340 /// LOC644587 /// LOC90499	0.01290894	up	up	up
1554099_a_at	SPIN3	0.01291025	down	down	up
1554340_a_at	C1orf187	0.01291234	up	up	down
234267_at		0.01291575	up	up	down
51146_at	PIGV	0.012916	down	up	up
220516_at	ZSCAN2	0.01292132	up	down	down
233192_s_at	RUFY2	0.01292132	down	down	up
203007_x_at	LYPLA1	0.01292132	down	down	down
202384_s_at	TCOF1	0.01292132	up	up	down
241680_at		0.01292132	up	up	down
244383_at		0.01292132	up	up	down
226487_at	C12orf34	0.01292433	up	down	down
242597_at		0.01293467	down	down	up
213605_s_at	LOC100134401 /// LOC100272216	0.01293561	down	up	up
215425_at	BTG3	0.01293743	down	up	up
1561676_at		0.01294023	down	down	up
225634_at	ZC3HAV1	0.01294023	down	down	up
236382_at	WDR8	0.01294419	up	down	down
211916_s_at	MYO1A	0.01294435	up	up	down
207414_s_at	PCSK6	0.01294457	down	down	down
237545_at		0.01294956	up	up	down
203219_s_at	APRT	0.01295682	up	up	down
221595_at		0.01295923	down	down	up
209256_s_at	KLHDC10	0.01296259	up	down	down
225749_at	C16orf91	0.01296544	down	down	up
229262_at	LRRC68	0.01296544	up	down	down
210535_at	B9D1	0.0129753	down	up	up
231569_at	TMEM31	0.01297551	up	up	down
203590_at	DYNC1LI2	0.01298873	up	down	down
1563109_at		0.01299089	up	down	down
1559910_at		0.01299089	up	down	down
242484_at	TTC9B	0.0129957	up	down	down
228479_at		0.0129957	down	down	down
240664_at		0.0129957	up	up	down
1555610_at	AGK	0.01300321	down	down	up
237444_at		0.01300321	up	up	up
244873_s_at		0.0130097	down	down	down
225500_x_at	SCAF1	0.01301879	up	down	down
1565851_at		0.01301973	up	down	down
228906_at	TET1	0.01301973	down	up	up
206656_s_at	C20orf3	0.01302185	up	up	down
237094_at	FAM19A5	0.01302813	up	down	down
227200_at		0.0130346	down	down	down
201847_at	LIPA	0.01304409	down	down	up
231089_at		0.01304409	up	up	down
238095_at	GATA5	0.01304594	up	down	down
243358_at	IGF1R	0.01304594	down	up	up
1570078_a_at	DOCK5	0.01304594	down	up	up
212118_at	TRIM27	0.01306317	down	down	down
206410_at	NR0B2	0.01306788	up	up	down
235413_at	GGCX	0.0130718	down	up	up
1564360_a_at	LOC339260	0.01307411	down	up	up
227405_s_at	FZD8	0.01307558	up	up	down
213784_at	RABL4	0.01307558	down	up	up
1553298_at	C17orf77	0.013083	up	up	up
223793_at	BAT2L	0.013083	up	up	up
238825_at	ACRC	0.0130894	down	down	down
205078_at	PIGF	0.01309148	down	down	up
227438_at	ALPK1	0.01309807	up	down	down
219144_at	DUSP26	0.01309807	up	down	down
228989_at	C18orf56	0.01309807	down	down	down
222205_x_at	FAM182B	0.01309807	down	up	up
237579_at		0.01309807	down	up	up
232758_s_at		0.01310456	down	down	up
210040_at	SLC12A5	0.01310456	up	down	down
218182_s_at	CLDN1	0.01310599	down	down	up
204953_at	SNAP91	0.01311632	up	down	down
206460_at	AJAP1	0.01311723	up	up	down
1552557_a_at	ZDHHC15	0.01311723	down	up	up
1562815_at	EFCAB6	0.01312031	down	up	up
210100_s_at	ABCA2	0.01313471	up	down	down
221863_at	MIER2	0.01313471	up	up	down
229568_at	MOBKL2B	0.01313734	down	down	up
228040_at	MGC21881	0.01313734	up	down	down
214039_s_at	LAPTM4B	0.01313734	down	up	up
207573_x_at	ATP5L	0.01314736	down	down	up
232295_at	GFM1	0.01314889	down	down	up
208748_s_at	FLOT1	0.01315205	down	down	down
226364_at	HIP1	0.01315206	up	down	down
231364_at		0.013161	up	up	up
227428_at	GABPA	0.01316752	down	down	up
229119_s_at	ZSWIM7	0.01317407	down	down	up
211325_x_at	LOC171220	0.01317407	down	up	up
233329_s_at	KRCC1	0.01318468	down	up	up
64371_at	SFRS14	0.01318468	up	up	down
209774_x_at	CXCL2	0.01318468	up	up	up
1567013_at	NFE2L2	0.01319915	up	down	down
224400_s_at	CHST9	0.01319915	down	up	up
241896_at	MACF1	0.01320871	up	up	up
201856_s_at	ZFR	0.01321234	down	up	up
215677_s_at	BRF1	0.01321931	up	up	down
210855_at	GREB1	0.01322582	up	up	down
205748_s_at	RNF126	0.01322939	up	down	down
224357_s_at	MS4A4A	0.01323013	up	down	down
221472_at	SERINC3	0.01323519	up	down	down
213352_at	TMCC1	0.01323519	down	down	up
238253_at	WDR72	0.01323854	down	up	up
243636_s_at		0.013239	up	up	up
229381_at	C1orf64	0.01324265	up	down	down
243201_at	HNRNPH2	0.01325221	down	down	up
233794_at		0.0132526	up	up	down
238683_at	ZNF524	0.01326521	up	up	down
239559_at		0.01326521	down	up	up
208749_x_at	FLOT1	0.01327224	down	down	down
232161_x_at		0.01328007	down	down	up
242688_at		0.0132884	down	down	down
202183_s_at	KIF22	0.01329458	down	down	down
216818_s_at	OR2J2	0.01329458	up	up	down
232449_at	BCO2	0.01330208	down	up	up
212976_at	LRRC8B	0.01330228	up	down	down
215450_at		0.01330512	down	up	up
205006_s_at	NMT2	0.01330631	down	up	up
212798_s_at	ANKMY2	0.01330677	down	down	down
211787_s_at	EIF4A1	0.01331191	up	down	down
231686_at	GATM	0.01331929	down	down	up
208121_s_at	PTPRO	0.01331929	down	down	up
232931_at	SNRNP200	0.01331929	up	down	down
215996_at		0.01331929	up	up	down
206404_at	FGF9	0.01331942	up	down	down
237461_at	NLRP7	0.01332212	up	up	down
241747_s_at	CUL7	0.01332555	up	down	down
218287_s_at	EIF2C1	0.01332555	down	down	down
202348_s_at	TOR1A	0.01332919	down	down	up
208847_s_at	ADH5	0.01333518	down	down	up
238625_at	C1orf168	0.01334933	down	up	up
1554057_at	LOC645676	0.01335365	down	down	up
219611_s_at	CCDC21	0.01335365	down	down	up
218010_x_at	C20orf149	0.01335365	up	up	down
212181_s_at	NUDT4 /// NUDT4P1	0.01335365	down	up	up
235292_at	FLJ32255	0.01335899	down	down	up
209968_s_at	NCAM1	0.01336169	up	up	up
212758_s_at	ZEB1	0.01336169	up	up	down
203451_at	LDB1	0.0133684	up	down	down
224949_at	YIPF5	0.01337693	down	up	up
243302_at		0.01338365	up	up	down
237930_at		0.01339932	up	up	up
1560638_a_at		0.0134164	up	down	down
218672_at	SCNM1	0.0134164	down	up	up
224719_s_at	C12orf57	0.01342046	down	down	down
204032_at	BCAR3	0.01342381	down	up	up
1562062_at	KIAA1245 /// NBPF1 /// NBPF10 /// NBPF11 /// NBPF20 /// NBPF3 /// NBPF8 /// NBPF9 /// RP11-94I2.2	0.01343389	up	up	down
233195_at	DNAI1	0.01343389	down	up	up
210907_s_at	PDCD10	0.01343459	down	down	up
1556144_at	DHX30	0.01343741	down	down	up
241771_at	RIMBP2	0.01343792	up	up	down
231223_at	CSMD1	0.01344331	up	up	down
209660_at	TTR	0.01344632	down	up	up
229135_at	FASTKD2	0.01344698	down	down	up
222480_at	UBE2Q1	0.01344698	down	down	down
226499_at	NRARP	0.01344698	up	down	down
237397_at		0.01345833	up	down	down
237240_at		0.01346155	down	down	up
235196_at		0.0134618	down	up	up
227926_s_at	NBPF11 /// RP11-94I2.2	0.0134618	down	up	up
226054_at	BRD4	0.01346576	up	down	down
225166_at	ARHGAP18	0.01346981	down	up	up
1561652_at	BECN1	0.01347134	up	up	up
208711_s_at	CCND1	0.0134735	up	down	down
205806_at	ROM1	0.01347805	up	down	down
1569853_at		0.01349703	up	up	up
219162_s_at	MRPL11	0.01349731	down	down	up
241008_at		0.01349758	up	up	down
1561430_s_at	C3orf15	0.0134978	down	up	up
210694_s_at	MID1	0.01350175	down	down	down
236455_at		0.01350557	up	down	down
212416_at	SCAMP1	0.01350678	down	up	up
1560225_at	CNR1	0.01350813	up	down	down
242383_at		0.01350813	up	up	up
206573_at	KCNQ3	0.01351021	up	down	down
212397_at	RDX	0.01351488	down	up	up
220474_at	SLC25A21	0.01351522	down	up	up
219013_at	GALNT11	0.01352599	down	down	down
1569868_s_at	EME2	0.01352599	up	down	down
213205_s_at	RAD54L2	0.01353035	up	down	down
1570314_at		0.01353889	up	up	down
227010_at		0.01354003	down	up	up
221432_s_at	SLC25A28	0.0135439	down	down	down
1569538_at		0.01354522	up	down	down
205824_at	HSPB2	0.01356208	up	up	down
1561300_at		0.01356208	up	up	down
218060_s_at	C16orf57	0.01356453	down	down	down
204156_at	KIAA0999	0.01356993	down	down	up
223206_s_at	NMRAL1	0.0135729	down	down	down
211187_at		0.01357403	down	down	up
231255_at	MPRIP	0.01358244	up	up	down
234761_at		0.01358267	up	up	down
239421_at	FLJ35776	0.01358267	up	up	up
1558794_at	LOC728190	0.01358279	down	down	up
222419_x_at	UBE2H	0.01358429	up	up	down
220117_at	ZNF385D	0.01359234	down	down	down
210784_x_at	LILRA6 /// LILRB3	0.01359234	up	up	down
230815_at	LOC389765	0.01359234	down	up	up
1562457_at	KIAA1602	0.01359625	up	down	down
240113_at		0.01360354	up	down	down
209767_s_at	GP1BB /// SEPT5	0.01360354	down	down	down
242592_at	GPR137C	0.01360354	up	down	down
46270_at	UBAP1	0.01360539	down	up	up
210962_s_at	AKAP9	0.01361365	down	down	up
211773_s_at	ZKSCAN3	0.01361365	down	down	up
232103_at	BPNT1	0.01361365	down	down	up
223845_at	FLJ20674	0.01361365	down	down	down
211212_s_at	ORC5L	0.01361365	down	down	up
219136_s_at	LMF1	0.01361365	down	down	up
203833_s_at	TGOLN2	0.01361365	down	down	down
212421_at	C22orf9	0.01361365	up	down	down
222825_at	OTUD6B	0.01361385	down	down	up
203857_s_at	PDIA5	0.01361385	up	up	down
205664_at	KIN	0.01361437	down	down	up
228310_at	ENAH	0.01361437	down	up	up
1559228_at		0.01361618	up	up	down
238592_at	PDLIM3	0.01361618	down	up	up
210998_s_at	HGF	0.01361664	up	down	down
223499_at	C1QTNF5 /// MFRP	0.01363624	down	up	up
221890_at	ZNF335	0.01363957	up	down	down
1555201_a_at	RMND1	0.01363963	down	down	down
210062_s_at	ZNF589	0.01363963	down	down	down
231334_at		0.01366684	down	up	up
221808_at	RAB9A	0.0136676	down	down	up
1566603_s_at	RPUSD3	0.0136676	up	down	down
222869_s_at	ELAC1	0.01366889	down	up	up
230871_at	DHX30	0.01366889	down	up	up
201035_s_at	HADH	0.01368425	down	up	up
233458_at	POLR3E	0.01368464	up	up	down
226548_at	SBK1	0.01368547	up	down	down
1558201_s_at	SLC4A1AP	0.01368664	down	down	up
215463_at	OR7E24	0.01368664	up	up	down
212119_at	RHOQ	0.01368664	up	up	down
216064_s_at	AGA	0.01369233	down	down	up
232050_at	FLJ42627	0.01369335	up	down	down
236634_at	C8orf48	0.01370065	down	up	up
230602_at	ACMSD	0.01370065	up	up	down
240640_at		0.01370395	up	up	down
203854_at	CFI	0.01372028	up	up	up
225538_at	ZCCHC9	0.01372194	down	down	up
206710_s_at	EPB41L3	0.01372318	down	up	up
213744_at	ATRNL1	0.01372509	down	down	down
1565484_x_at	EGFR	0.01372572	up	down	down
1558385_at		0.01373858	up	down	down
219381_at	C5orf42	0.01374921	down	down	up
1552310_at	C15orf40	0.01374921	down	down	up
1556941_a_at	LOC283484	0.01374921	up	down	down
233609_at	PTPRK	0.01374921	up	down	down
238758_at		0.01375053	down	up	up
242258_at		0.01375053	up	up	down
209384_at	PROSC	0.01376404	down	down	down
224243_at	APOA5	0.01376404	up	up	down
204254_s_at	VDR	0.0137832	up	up	up
217574_at	CDH8	0.01378669	down	down	down
243459_x_at		0.01378669	up	up	down
1557009_a_at	LOC340107	0.01378764	up	up	up
214665_s_at	CHP	0.01378764	up	up	up
210016_at	LOC100134306 /// MYT1L	0.01380535	up	down	down
210705_s_at	TRIM5	0.01380605	down	down	up
227997_at	IL17RD	0.01382061	up	up	up
220712_at	C8orf60	0.01382149	up	down	down
243270_at	C9orf144B	0.01382149	up	up	down
237031_at		0.01382598	up	down	down
231480_at	SLC6A19	0.01383085	up	up	down
222075_s_at	OAZ3	0.01383307	down	up	up
229380_at		0.01383307	down	up	up
209576_at	GNAI1	0.01383686	down	up	up
224910_at	CARHSP1	0.01383779	down	down	down
231285_at		0.01383779	down	up	up
204666_s_at	RP5-1000E10.4	0.01383866	down	down	up
214784_x_at	XPO6	0.01384406	up	down	down
207498_s_at	CYP2D6	0.01384406	up	up	down
203165_s_at	SLC33A1	0.01384546	down	down	up
213349_at	TMCC1	0.01384863	down	up	up
232666_at	OAS3	0.01385281	down	down	up
201146_at	NFE2L2	0.01385967	down	down	down
216596_at	DKFZP434L187	0.01385967	up	up	up
222027_at	NUCKS1	0.01385967	down	up	up
229580_at		0.01388131	down	up	up
216192_at	FABP7	0.01388191	down	down	up
232234_at	SLA2	0.01388805	up	down	down
1569631_at	NMNAT1	0.01388805	down	up	up
229931_at	tcag7.1196	0.01388956	up	down	down
243364_at	AUTS2	0.01389307	up	up	down
207188_at	CDK3	0.01389806	up	down	down
1566111_at		0.01390666	up	down	down
229339_at		0.01392192	up	up	up
1553218_a_at	ZNF512	0.01392203	down	down	up
36564_at	RNF19B	0.01392203	down	down	up
222578_s_at	UBA5	0.01392203	down	up	up
222735_at	TMEM38B	0.01392203	up	up	up
243600_at	C19orf20	0.0139381	up	up	down
233050_at	C6orf174 /// KIAA0408	0.0139502	up	down	down
235867_at	GSTM3	0.01395185	up	up	up
200075_s_at	GUK1	0.01395597	down	down	down
1556923_at		0.01396355	up	down	down
238594_x_at	DUSP8	0.01396926	up	down	down
207996_s_at	C18orf1	0.01396926	down	up	up
208864_s_at	TXN	0.01397215	down	up	up
207603_at	SLC4A7	0.01397774	up	down	down
217651_at		0.01397774	up	down	down
216942_s_at	CD58	0.01398456	down	up	up
220729_at		0.01398938	down	up	up
205738_s_at	FABP3	0.01399144	up	down	down
208858_s_at	FAM62A	0.01399144	down	down	up
244235_at	IVNS1ABP	0.01399144	down	up	up
224751_at	PL-5283	0.01399144	down	up	up
238406_x_at	SEZ6L2	0.01399984	up	down	down
219852_s_at	MORN1	0.01400965	up	up	down
223832_s_at	CAPNS2	0.01401274	down	down	up
201568_at	UQCRQ	0.01401274	down	up	up
242428_at	DCUN1D1	0.01401345	up	up	down
219516_at	TRPV4	0.01401855	up	up	down
239085_at	JDP2	0.01401877	up	up	down
202130_at	RIOK3	0.01401877	down	up	up
244700_at	SEC61B	0.01402365	up	up	down
1553211_at	ANKFN1	0.01402571	down	up	up
1552986_at	LOC142937	0.01402636	up	up	down
1559722_at		0.01402738	down	up	up
231886_at	DKFZP434B2016	0.01402738	up	up	down
229813_x_at	DAZAP1	0.01403395	up	down	down
1557796_at		0.01403846	up	down	down
1555723_at		0.01404709	up	down	down
202800_at	SLC1A3	0.01404917	up	up	up
203285_s_at	HS2ST1	0.01405003	down	down	up
221897_at	TRIM52	0.01405059	down	down	up
225318_at		0.01405059	down	down	down
1562546_at		0.01405514	down	up	up
209342_s_at	IKBKB	0.01405642	down	up	up
1563521_at	MOBKL2B	0.01406646	down	down	up
1554696_s_at	TYMS	0.01406652	down	down	down
206111_at	RNASE2	0.01406652	up	up	down
232351_at		0.01408353	down	down	down
214170_x_at	FH	0.01409033	down	up	up
215779_s_at	HIST1H2BG	0.0140995	down	up	up
223857_x_at	TMEM85	0.0141022	down	down	up
236168_at		0.0141022	up	down	down
225651_at	UBE2E2	0.01410486	down	up	up
210168_at	C6	0.01410636	up	up	down
229015_at	LOC286367	0.01410854	down	down	up
1553681_a_at	PRF1	0.01411273	up	down	down
214472_at	HIST1H2AD /// HIST1H3D	0.01411273	up	up	up
222619_at	ZNF281	0.01411418	down	down	down
213852_at	RBM8A	0.01412706	down	up	up
231263_at	C6orf81	0.01412706	up	up	down
222450_at	PMEPA1	0.01413576	up	down	down
238822_at		0.01413576	down	up	up
202446_s_at	PLSCR1	0.0141399	down	down	up
205629_s_at	CRH	0.01414635	up	down	down
1564381_s_at		0.01414676	down	down	up
1557119_a_at	ZNF575	0.01414735	up	down	down
214766_s_at	AHCTF1	0.01414735	down	up	up
207661_s_at	SH3PXD2A	0.01414735	up	up	up
1559282_at		0.01415164	down	down	down
212024_x_at	FLII	0.01415164	up	up	down
206303_s_at	NUDT4	0.01415599	down	up	up
220192_x_at	SPDEF	0.01415644	up	down	down
226871_s_at	ATG4D	0.01415644	up	down	down
201410_at	PLEKHB2	0.01416266	down	down	down
221074_at	NCR2	0.01416266	up	up	down
206386_at	SERPINA7	0.01416308	up	up	down
231935_at	ARPP-21	0.01416464	up	down	down
229898_at		0.01417496	up	up	down
240173_at		0.01417771	down	down	down
235287_at	CDK6	0.01417848	down	down	up
232088_x_at	hCG_2039027	0.01417848	down	down	down
241176_at		0.01417848	up	up	down
1555090_x_at	TMEM182	0.01418245	down	down	up
234321_x_at	NHSL1	0.01418245	down	down	up
211637_x_at	IGH@ /// IGHA1 /// IGHA2 /// IGHD /// IGHG1 /// IGHG3 /// IGHG4 /// IGHM /// IGHV3-23 /// IGHV4-31 /// LOC100126583 /// LOC642131 /// LOC652128 /// VSIG6	0.01418245	up	up	down
1569172_a_at	LOC441005	0.01418245	down	up	up
1555505_a_at	TYR	0.01419257	down	up	up
205921_s_at	SLC6A6	0.01419462	up	down	down
217150_s_at	NF2	0.01419462	up	down	down
243314_at		0.01419462	up	up	down
1559144_x_at	LOC100130581	0.01419462	down	up	up
207895_at	NAALADL1	0.01419462	up	up	down
226029_at	VANGL2	0.01420275	up	up	up
219687_at	HHAT	0.01420413	down	down	up
235236_at	LOC100131897	0.01421983	down	down	down
239586_at	FAM83A	0.01422041	up	up	down
205709_s_at	CDS1	0.01422041	down	up	up
240890_at	LOC643733	0.01424019	down	down	down
205243_at	SLC13A3	0.01424386	up	up	down
225075_at	PDRG1	0.01424386	up	up	up
225352_at	SEC62	0.01424386	up	up	up
201782_s_at	AIP	0.01424408	up	down	down
209423_s_at	PHF20	0.0142449	up	down	down
239020_at	FUT10	0.01425607	down	down	up
228687_at	ZNF777	0.01426128	up	up	down
1554545_at	APOBEC4	0.01426812	down	up	up
224110_at	LOC100133319	0.01428706	up	up	down
225877_at	TYSND1	0.01429675	down	down	up
214448_x_at	NFKBIB	0.01429726	up	down	down
1569796_s_at	ATRNL1	0.01429743	up	down	down
233057_at	HSPB8	0.014303	up	up	up
1554308_s_at	GABRA2	0.01430925	up	down	down
242623_x_at	PSMG4	0.0143105	down	up	up
207307_at	HTR2C	0.01431295	up	down	down
226486_at	MTERFD2	0.01431363	down	down	down
206618_at	IL18R1	0.01431719	down	down	down
243217_at		0.01431929	down	up	up
207087_x_at	ANK1	0.01432805	up	down	down
