Systematic	Parental	Resistant	Common	Genbank
1557300_s_at	1.246	0.449	SMC1A	AI741292
1561195_at	1.417	0.511	TM7SF1	AL832142
222371_at	1.467	0.53	RARA	AI732802
239780_at	1.71	0.623	KIF1B	AA468422
1556942_at	1.551	0.565	KIAA1126	AL832732
1559401_a_at	1.608	0.586	TIMM17B	BI052176
240314_at	1.722	0.628	NCOR1	AI018235
236966_at	1.746	0.643	HSPC056	BF942281
240216_at	1.952	0.72	IGHG1	AI805550
240829_at	1.475	0.546	PEX3	BF439431
215203_at	1.545	0.573	GOLGA4	AW438464
1569477_at	1.348	0.501	FOXO3A	BC025999
233007_at	1.566	0.582	XRCC5	AU147192
214422_at	1.627	0.605	RAD23B	T93562
239597_at	1.425	0.53	PAN3	AA993566
243003_at	1.426	0.532	CXCL12	AV702197
208109_s_at	1.709	0.637	C15orf5	NM_030944
241060_x_at	1.568	0.585		H37807
241702_at	1.545	0.582	HNRPD	AI521273
236924_at	1.428	0.539	GLMN	AA814383
237768_x_at	1.48	0.561		AA825925
236700_at	1.366	0.518	EIF3S8	AI377875
239448_at	1.476	0.563	SMAD3	AI475033
1566243_at	2.167	0.827	TGFBI	AL390176
222282_at	1.491	0.571		AV761453
1556658_a_at	1.39	0.533	MBNL1	AA744622
242457_at	1.352	0.519	PAM	AW451107
240552_at	1.282	0.493	MTHFD1L	AA811452
236134_at	1.444	0.555	WDR68	AA769995
232175_at	1.405	0.54	ARF1	AI972094
236946_at	1.291	0.497	GPR75	AI220134
238774_at	1.593	0.615	CRSP2	AW960454
230332_at	1.452	0.561	SP1	AA872187
230791_at	1.318	0.51	CAV2	AU146924
233689_at	1.595	0.622	TCF7L2	AK026816
213605_s_at	1.646	0.643	HMGA1	AL049987
232291_at	1.488	0.582	C13orf25	AA256157
220728_at	1.697	0.665		NM_025120
236955_at	1.556	0.615	SNRPA1	AA479492
242241_x_at	1.518	0.601		R66713
243410_at	1.493	0.591	PTPN2	AI340002
240846_at	1.468	0.584	DCOHM	BF223271
1568780_at	1.515	0.604		BC030211
232665_x_at	2.05	0.817	SMURF1	AL137424
1558410_s_at	1.56	0.622	IMMP2L	AW974642
222372_at	1.304	0.521	MAGI1	AW971248
1566142_at	1.582	0.633	MYH10	AK095268
242480_at	1.228	0.493	MYST3	AA868356
1557252_at	1.631	0.656	DUSP6	AK093532
238769_at	1.491	0.6	MAP4K4	AW450572
239179_at	1.486	0.598	CAMK2G	AU155612
240798_at	1.675	0.675		BE467916
243929_at	1.535	0.619	GPR116	H15261
242188_at	1.69	0.682	PTPRG	AI743332
214295_at	1.61	0.65	KIAA0485	AW129056
242144_at	1.303	0.527	FLJ14154	AW104325
238619_at	1.443	0.585	FLJ43663	AA417078
232466_at	1.785	0.724	CUL4A	AU155661
243835_at	1.603	0.651	ZDHHC21	BE467787
234148_at	1.477	0.6	PPP2R4	AK025238
234989_at	1.459	0.593	TncRNA	AV699657
206548_at	1.54	0.626	FLJ23556	NM_024880
231205_at	1.541	0.626	DDEF1	BF055351
233867_at	1.248	0.508		AK000119
243149_at	1.528	0.622	ABCC1	AI467945
1557238_s_at	1.506	0.615	SETD5	BQ446762
1569538_at	1.452	0.593		AF130084
244383_at	1.287	0.526	Gcom1	AI283051
1557350_at	1.436	0.589	G3BP	AA026297
232565_at	1.535	0.63	RAB6IP2	AK025052
1558466_at	1.542	0.634	MAP2	BE156619
238214_at	1.233	0.507	SLC26A7	AA639289
236907_at	1.34	0.551	HOXA9	AI760366
239331_at	1.334	0.55	FLJ43663	AW954199
242110_at	1.341	0.553		AV735587
1557751_at	1.361	0.563	PTPRR	AI537913
1565620_at	1.717	0.712	THEM4	BG621044
244826_at	1.408	0.584	PITPNB	R24061
1565689_at	1.503	0.625		BG400570
1553349_at	1.49	0.62	ARID2	NM_152641
236322_at	1.513	0.63	UBE2J2	AA830854
1562454_at	1.622	0.676	TCF7L2	AL832684
232372_at	1.682	0.701	CDH4	AL157491
232522_at	1.521	0.634	TCF7L2	AK025137
1554206_at	1.368	0.571	TMLHE	BC025269
230256_at	1.482	0.619	FLJ35976	AW009436
239551_at	1.554	0.65	ENO1	AW296303
233315_at	1.432	0.599	CTBP2	AK024947
239679_at	1.417	0.593	ECOP	AI871160
236462_at	1.593	0.668	FLJ10201	AA742310
1560622_at	1.548	0.651	KIAA0515	AK000203
239957_at	1.363	0.573	SETD5	AW510793
1560342_at	1.668	0.702	ARSB	BC036606
242225_at	1.458	0.615	MON2	AI569482
242859_at	1.442	0.609	TFCP2	BE156563
242343_x_at	1.379	0.582	UBE4A	H57111
231165_at	1.495	0.632	PAX7	BE857355
217671_at	1.451	0.613	RFX3	BE466926
244165_at	1.428	0.605	FLJ20360	AI809511
240315_at	1.534	0.651		AW008791
232431_at	1.499	0.636	NR3C1	AI934556
1560637_at	1.172	0.498	LOC255654	BC039537
239758_at	1.448	0.615	BCR	AI142126
232319_at	1.369	0.582	CTLA4	AU148006
227891_s_at	1.33	0.566	GGT1	AU144462
215513_at	1.478	0.63	HYMAI	AF241534
243561_at	1.341	0.572	YAF2	AA651631
235894_at	1.559	0.665	KHDRBS1	AW444899
1560271_at	1.357	0.58	EIF4G2	BC030757
242261_at	1.32	0.564	PAX5	AW470799
240105_at	1.293	0.553	C21orf66	AI021902
233648_at	1.3	0.556	SNF1LK2	AK026914
222366_at	1.566	0.672	IGHG1	W86781
1559410_at	1.317	0.565	RGMB	AA524609
239102_s_at	1.386	0.596	EPHB2	AW293296
1569999_at	1.503	0.647	TTLL3	BC036316
210230_at	1.42	0.611		BC003629
229520_s_at	1.401	0.604	C14orf118	BF060678
238635_at	1.39	0.6	FLJ21657	W72333
227884_at	1.338	0.578	TAF15	AW296067
235952_at	1.377	0.595	CYP20A1	AA521504
239946_at	1.734	0.749	KIAA0922	AA776723
238558_at	1.368	0.591	MBNL1	AI445833
242616_at	1.593	0.688	DUSP6	W80359
232264_at	1.367	0.591	PAPPA	AK022204
231644_at	1.332	0.576		AW016812
1569302_at	1.461	0.634	KIAA1731	BC017394
229307_at	1.663	0.722	ANKRD28	N32051
230401_at	1.492	0.648	NUPL2	BF197705
220855_at	1.332	0.579	CLTC	NM_014127
242827_x_at	1.161	0.506	GLMN	AA806368
223036_at	1.502	0.654	FARSLB	D84430
239900_x_at	1.783	0.777		AI922404
238787_at	1.748	0.763	C9orf126	AA988769
235547_at	1.407	0.614	PFAAP5	BG548427
240971_x_at	1.452	0.635		AI950451
224559_at	1.233	0.54	MALAT-1	AF001540
240451_at	1.406	0.617	RPS6KB1	AA004844
243315_at	1.264	0.555	CEP192	AW022267
236752_at	1.462	0.642	PKP4	AA913146
233300_at	1.451	0.638	ATP2A1	AU144781
1564164_at	1.334	0.587	FAM31B	AL831839
236149_at	1.491	0.658		AA502999
1558739_at	1.266	0.56	DUSP16	R30807
228623_at	1.468	0.652		AI224133
238788_at	1.504	0.667	PHB	AI475803
1565821_at	1.446	0.642		AF147400
236355_s_at	1.388	0.617		AI076172
242041_at	1.237	0.55	FLJ22490	AI933671
230742_at	1.533	0.682	RBM5	AA742596
1556543_at	1.471	0.654	SP1	AF086013
231108_at	1.278	0.569		H43040
239264_at	1.584	0.707	EXOC4	AW973078
232626_at	1.448	0.647	ATP2A1	AK024205
237239_at	1.504	0.672	CREBBP	AW183655
241155_at	1.375	0.615	PIP5K2A	AA704588
215179_x_at	1.485	0.666	PGF	AK023843
1558678_s_at	1.337	0.6	MALAT-1	BE708432
231075_x_at	1.395	0.626	RAPH1	BE467087
235847_at	1.459	0.655	ARSB	BF111312
240499_at	1.507	0.677	WIRE	AA482221
1562391_at	1.33	0.598	MGC39558	AK091497
222214_at	1.492	0.671	DEDD	AK024988
243589_at	1.355	0.609	LOC284058	AI823453
220843_s_at	1.464	0.658	DKFZP564O0463	NM_014156
215968_at	1.447	0.651	FAM54B	AF055018
1569201_a_at	1.439	0.647	SEC15L2	BF847120
1558515_at	1.594	0.719		AK057701
243598_at	1.324	0.598	SRC	AI393727
224567_x_at	1.559	0.704	MALAT-1	BG534952
242671_at	1.384	0.626	MID1	BF055144
230229_at	1.458	0.66	DLG1	AI692879
1569527_at	1.384	0.627	PLAT	BC017275
1558854_a_at	1.341	0.609	FLJ40342	BG616498
242920_at	1.413	0.642	PRKCA	AW590838
217667_at	1.444	0.656	SEC14L1	AV761014
233869_x_at	1.379	0.627	DKFZP586B0319	AL050097
215385_at	1.517	0.69	FTO	AK022473
241425_at	1.393	0.633	MOG	AA769986
1562948_at	1.343	0.611	KREMEN1	BC035661
222663_at	1.353	0.616	RIOK2	AK001697
213089_at	1.649	0.753	LOC153561	AU158490
239948_at	1.385	0.633	NUP153	AA004800
242837_at	1.448	0.662	RPS6KA3	AI435248
215206_at	1.595	0.73	SPSB1	AK025143
228643_at	1.323	0.605		AA699852
215554_at	1.295	0.593	GPLD1	AV699786
229434_at	1.375	0.63	HNRPD	AA865357
239409_at	1.583	0.727	RAP1A	AA828280
216805_at	1.431	0.658	DDEF1	AK027254
243496_at	1.362	0.626	RAB18	AW367507
235757_at	1.419	0.653	CDK6	AA814006
238884_at	1.328	0.611	CTNND1	AW195351
215898_at	1.635	0.753	KIAA0998; MGC117189	AK021879
1569484_s_at	1.372	0.632	MDN1	AL603301
243512_x_at	1.49	0.686	IMMP2L	H93043
242471_at	1.301	0.6	LOC647135	AI916641
1562505_at	1.277	0.588	STK35	BC035700
229765_at	1.485	0.685		AW511239
243981_at	1.303	0.601	STK4	AI763206
1556744_a_at	1.42	0.655	PTGER3	AI732587
243170_at	1.421	0.657	LOC339745	AW291545
205511_at	1.523	0.704	FLJ10038	NM_017976
1560926_at	1.352	0.627	AFF4	AF085924
1556602_at	1.283	0.595		AW614839
230270_at	1.303	0.605	FLJ10330	N32872
1563130_a_at	1.437	0.668	PAX5	AL109710
237999_at	1.327	0.617	CRX	AW195867
233440_at	1.318	0.613	LOC647079	AL119001
240221_at	1.239	0.577		AV704610
1559490_at	1.681	0.783	MGC4126	AL832278
242865_at	1.355	0.632	HTATIP	AI332638
241385_at	1.404	0.655	HDCMA18P	AW082329
1570166_a_at	1.408	0.657	RAD51L1	BC020846
242167_at	1.301	0.607	PAG1	AA703310
1557996_at	1.314	0.614		AK091784
234605_at	1.554	0.726	CDC14B	AK024886
242693_at	1.269	0.594	M6PRBP1	AW664859
242369_x_at	1.309	0.613	NCOA2	AI561070
1569940_at	1.555	0.73	SLC6A16	BC039336
1558220_at	1.375	0.647	LOC255812	BM914560
222311_s_at	1.318	0.62	SFRS15	AA648521
240128_at	1.341	0.631	NT5C3	H94876
220576_at	1.326	0.624	PGAP1	NM_024989
1556339_a_at	1.493	0.703	SUMO1	BM353142
235879_at	1.425	0.671	MBNL1	AI697540
1570571_at	1.453	0.686	FLJ11088	BC035168
240926_at	1.319	0.623	MGC4126	AI074593
210701_at	1.404	0.664	CFDP1	D85939
238303_at	1.612	0.763	STT3B	AW070371
243768_at	1.441	0.683		AA026388
238172_at	1.328	0.629	DIABLO	AA192765
240020_at	1.372	0.65		BF059537
231199_at	1.35	0.64	SLC30A7	AA701676
235028_at	1.312	0.623		BG288330
243519_at	1.429	0.678	KIAA0010	BF591310
224549_x_at	1.334	0.634	NAG13	AF194537
239716_at	1.275	0.605	TRIM33	AA908970
220969_s_at	1.411	0.671		NM_030892
1566191_at	1.541	0.732	JJAZ1	AI907884
221683_s_at	1.279	0.608	FLJ13615	AF317887
232784_at	1.39	0.661		R42604
228613_at	1.475	0.702	Rab11-FIP3	BF183535
242008_at	1.509	0.718		BE350312
242320_at	1.507	0.717	FOXO3A	AI435586
1556657_at	1.433	0.683	MBNL1	AA744622
242143_at	1.52	0.724		BE674964
239511_s_at	1.336	0.638		R05895
1555436_a_at	1.397	0.667	AF5Q31	BC025700
224568_x_at	1.391	0.664	MALAT-1	AW005982
243236_at	1.359	0.649	UBXD5	AA807545
1560296_at	1.256	0.6		AV702787
237475_x_at	1.411	0.674		AI151104
233595_at	1.398	0.668	FLJ43910; KIAA0570; KIAA0729	AK024341
203479_s_at	1.31	0.627	HSHIN1	T79216
239561_at	1.553	0.745	TMEM123	AA780679
242968_at	1.393	0.668	WHSC1L1	AI791138
244822_at	1.37	0.658	HBG1	AA811244
235123_at	1.441	0.692		AI951144
242836_at	1.204	0.578	ATP1B3	AI800470
230064_at	1.256	0.604		AW296421
239469_at	1.409	0.678	GCLM	BF513404
1563468_at	1.483	0.715	ZAK	AL833307
1564424_at	1.417	0.683	FAM62B	BC035983
215191_at	1.51	0.728		AW836210
232889_at	1.5	0.724	LOC153561	AU147591
242240_at	1.332	0.643	PTK2	AI805700
1569181_x_at	1.472	0.711	NSF	BC017896
1562467_at	1.422	0.687	PPP3CA	AK097085
232216_at	1.284	0.62	YME1L1	AA828049
1554287_at	1.486	0.718	TRIM4	BC011763
222313_at	1.168	0.565	RPL22	AW972359
1556226_at	1.475	0.714		R32470
1557360_at	1.331	0.645	LRPPRC	CA430402
215201_at	1.478	0.716	REPS1	AW166925
219906_at	1.318	0.639	FLJ10213	NM_018029
219956_at	1.518	0.736	GALNT6	NM_007210
1558467_a_at	1.313	0.637	MAP2	BE156619
229422_at	1.281	0.622	NRD1	AA448346
238797_at	1.18	0.574	TRIM11	BF059582
231502_at	1.416	0.689	EVI2A	BF591615
224771_at	1.353	0.66	NAV1	AI937060
240304_s_at	1.294	0.632	LOC653783	BG484769
238706_at	1.585	0.774	PAPD4	BG168850
240146_at	1.267	0.619	CAPZA2	AW418562
240478_at	1.408	0.688	CYP2E1	AA648983
1569601_at	1.29	0.631	DLC1	BF106979
1554036_at	1.307	0.64	ZBTB24	BC036731
242688_at	1.388	0.681	CDON	AI149880
214753_at	1.326	0.651	PFAAP5	AW084068
1554703_at	1.39	0.683	ARHGEF10	BC040474
237216_at	1.466	0.721		AV739182
243759_at	1.181	0.581	SFRS15	AI041854
223977_s_at	1.729	0.851	C18orf2	AF295726
243416_at	1.471	0.725	CACHD1	W23691
239432_at	1.312	0.646	PSMA3	AV729086
242673_at	1.469	0.725	UBE3C	AA931284
1554771_at	1.379	0.68		BC008846
233270_x_at	1.267	0.625	PCM1	AU146939
244753_at	1.473	0.727	ACTN4	BF000430
215392_at	1.426	0.705	USP3	AU148154
212921_at	1.508	0.745	SMYD2	AF070592
232659_at	1.265	0.625	RAP1B	AU146864
227074_at	1.285	0.636	Gcom1	AA524669
240859_at	1.247	0.617	ZFYVE16	N20928
216538_at	1.302	0.645	EXOC4	AL049351
238299_at	1.248	0.618	C12orf62	AW005866
1557384_at	1.311	0.65	ZNF131	AL832081
244803_at	1.263	0.626	DAP3	AI335191
215281_x_at	1.613	0.8	POGZ	AK000199
235506_at	1.226	0.608	NOSTRIN	AI076788
1569126_at	1.416	0.703	CCNC	BC026272
241965_at	1.416	0.704	KIAA0217	BF589232
244078_at	1.269	0.632	MBNL2	AI438957
240326_at	1.286	0.641		AV700865
232569_at	1.223	0.611	TNRC5	AK024255
231403_at	1.621	0.81	TRIO	N21108
233596_at	1.353	0.676	RAP80	AF113675
211708_s_at	0.722	1.451	SCD	BC005807
235016_at	0.681	1.384	C10orf74	AL118571
239694_at	0.638	1.306	TRIM7	AA527412
239818_x_at	0.573	1.191	TRIB1	AA576947
214205_x_at	0.633	1.321	TXNL2	AK022131
205701_at	0.662	1.385	IPO8	NM_006390
210277_at	0.76	1.591	AP4S1	AF155159
231850_x_at	0.644	1.357	KIAA1712	AB051499
208194_s_at	0.65	1.374	STAM2	NM_005843
201601_x_at	0.832	1.761	IFITM1	NM_003641
211559_s_at	0.56	1.239	CCNG2	L49506
214975_s_at	0.688	1.537	MTMR1	AK001816
242398_x_at	0.59	1.323	DCTN2	AA605121
235081_x_at	0.69	1.561	LOC201292	AI739057
225065_x_at	0.63	1.48	MGC40157	AI826279
203672_x_at	0.641	1.64	TPMT	U12387
220232_at	0.588	1.718	SCD4	NM_024906
216823_at	0.391	1.625	RPS3A	AL356115
234675_x_at	0.352	1.793	KIAA1033	AK027219
