Systematic	0h	6h	12h	24h	Common	Genbank
240016_at	0.952	0.806	0.469	0.612	SENP6	AW273732
240008_at	0.886	0.767	0.540	0.450	CSH2	AI955765
239818_x_at	1.382	2.105	1.730	1.495	TRIB1	AA576947
239758_at	0.921	0.759	0.349	0.581	BCR	AI142126
239788_at	0.764	0.543	0.458	0.445	SMU1	AW207642
239892_at	0.940	0.709	0.425	0.625	AGT	AW593666
240314_at	0.919	0.657	0.462	0.577	NCOR1	AI018235
240502_at	1.226	1.008	0.381	0.718	FRMD5	AW015920
240552_at	0.991	0.610	0.413	0.495	MTHFD1L	AA811452
240168_at	1.056	0.738	0.467	0.505	XPO7	AA679589
240141_at	0.966	0.542	0.495	0.493	FLJ14154	BF062399
240216_at	0.867	0.489	0.274	0.454	IGHG1	AI805550
240237_at	0.920	0.784	0.569	0.457	FYB	H23230
239331_at	1.002	0.682	0.437	0.488	FLJ43663	AW954199
239212_at	0.994	0.725	0.425	0.709	C6orf93	AW236214
239264_at	0.902	0.655	0.362	0.683	EXOC4	AW973078
239646_at	0.830	0.648	0.366	0.606	DIP2A	BF003148
239597_at	0.960	0.639	0.451	0.494	PAN3	AA993566
239448_at	0.993	0.665	0.457	0.632	SMAD3	AI475033
239468_at	1.384	0.933	1.016	0.957	C10orf48	AW023227
239551_at	0.956	0.622	0.393	0.517	ENO1	AW296303
239571_at	0.982	0.489	0.480	0.569	MBP	AI123399
239516_at	0.957	0.628	0.485	0.672	INSIG1	AI806583
235985_at	0.905	0.830	0.396	0.696		AI821477
235879_at	0.871	0.550	0.448	0.623	MBNL1	AI697540
235894_at	0.996	0.866	0.491	0.546	KHDRBS1	AW444899
236322_at	0.827	0.668	0.449	0.573	UBE2J2	AA830854
236273_at	0.843	0.607	0.617	0.483	FLJ20719	AW269499
236075_s_at	0.951	0.661	0.498	0.354	HN1	AI693543
236094_at	0.971	0.756	0.443	0.575	TCF7L2	BF696202
235493_at	0.901	0.650	0.457	0.625	NP_220	AI927329
235749_at	0.905	0.557	0.613	0.484	UGCGL2	AI057619
235786_at	0.984	0.757	0.496	0.567	BCR	AI806781
235675_at	1.143	0.494	0.495	0.476	LOC200895	AW104373
235730_at	1.069	0.750	0.484	0.644		AA830545
237398_at	0.936	0.777	0.468	0.568	ARHGEF12	AA890487
237671_at	1.162	0.723	0.385	0.551	RAD51L1	AW450288
237483_at	1.002	0.832	0.445	0.819	PLEKHA5	AI990790
237215_s_at	1.279	1.931	1.659	1.018	TFRC	N76327
237239_at	0.965	0.667	0.549	0.423	CREBBP	AW183655
237923_at	0.757	0.648	0.677	0.446	HLA-B	AI733801
237768_x_at	1.008	0.757	0.367	0.580		AA825925
237830_at	0.922	0.498	0.313	0.742	PTP4A1	AA700206
236545_at	0.908	0.745	0.409	0.588	PPP3CA	AA532718
236641_at	0.892	0.467	0.767	0.791	KIF14	AW183154
236390_at	1.014	0.700	0.666	0.479	MIP	AW005530
236462_at	0.903	0.710	0.484	0.630	FLJ10201	AA742310
236978_at	0.954	0.599	0.398	0.523	THRAP1	N51961
236955_at	0.882	0.592	0.420	0.599	SNRPA1	AA479492
236963_at	0.992	0.727	0.443	0.811		AV700946
236966_at	0.883	0.495	0.458	0.621	HSPC056	BF942281
244503_at	0.769	0.640	0.485	0.730		BF674612
244470_at	0.969	0.622	0.473	0.619	RNF12	BF063235
244822_at	0.947	0.701	0.411	0.653	HBG1	AA811244
244791_at	0.951	0.633	0.450	0.462		AA835936
243736_at	0.961	0.706	0.486	0.671	C9orf25	H88339
243489_at	1.250	1.112	1.391	0.976	LOC441032	BF514098
243490_at	0.978	0.506	0.485	0.669	CEP192	AW590540
243589_at	1.064	1.025	0.453	0.643	LOC284058	AI823453
243561_at	1.013	0.895	0.472	0.769	YAF2	AA651631
244015_at	1.026	0.869	0.463	0.775	ABCC1	AA704163
244154_at	0.746	0.525	0.415	0.628	DDHD1	AI751130
243835_at	1.022	0.446	0.581	0.687	ZDHHC21	BE467787
243981_at	0.916	0.726	0.435	0.627	STK4	AI763206
243993_at	0.753	0.605	0.436	0.528	CACNA1I	AA436887
243927_x_at	0.992	0.482	0.389	0.393	DKFZP434I116	AI636247
91617_at	0.959	0.847	0.629	0.492	DGCR8	AI028241
AFFX-HUMRGE /M10098_5_at	0.811	0.737	1.005	0.467		AFFX-HUMRGE/M10098_5
242068_at	1.032	0.835	0.333	0.602	GK	AA608834
241885_at	0.826	0.594	0.326	0.484	GGT1	BF431050
242241_x_at	0.980	0.686	0.490	0.710		R66713
242261_at	0.942	0.670	0.422	0.686	PAX5	AW470799
242121_at	0.936	0.865	0.474	0.627		AW973232
242188_at	0.998	0.819	0.444	0.522	PTPRG	AI743332
241268_x_at	0.998	1.234	0.342	0.906	SAMHD1	AI939447
240798_at	0.987	0.808	0.455	0.609		BE467916
240625_at	1.088	0.609	0.436	0.711	UBE2E3	AW511032
240606_at	1.062	0.668	0.383	0.558	ACACA	AA682595
240846_at	0.924	0.667	0.328	0.441	DCOHM	BF223271
241681_at	1.043	0.569	0.414	0.537	MBNL1	AW296451
241722_x_at	0.891	0.770	0.492	0.640		BF724558
241448_at	0.931	0.727	0.447	0.532		AI494500
242974_at	1.080	1.333	1.393	2.468	CD47	AA446657
243003_at	1.047	0.849	0.481	0.767	CXCL12	AV702197
242859_at	1.095	1.058	0.429	0.607	TFCP2	BE156563
242868_at	1.019	1.609	1.112	2.108		T70087
242881_x_at	1.675	1.358	1.232	1.484	FLJ39632	BG285837
243286_at	0.885	0.906	0.483	0.620	CDK6	AA682674
243462_s_at	0.979	0.732	0.430	0.750	BTBD3	BF590303
243088_at	1.040	0.869	0.475	0.697	KRIT1	W84667
243249_at	0.737	0.736	0.463	0.537		AL040360
242457_at	0.982	0.611	0.414	0.685	PAM	AW451107
242555_at	0.932	0.577	0.836	0.477	LOC388272	AW578854
242361_at	0.964	1.064	0.444	0.848	IMMT	T87111
242398_x_at	1.284	1.344	2.243	1.816	DCTN2	AA605121
242803_at	0.937	0.541	0.438	0.588	CRIM1	AA642418
242448_at	0.916	0.857	0.436	0.778	MAP4K3	AI800895
242607_at	0.908	0.729	0.527	0.454	RPL4	AW975512
242688_at	0.926	0.747	0.429	0.626	CDON	AI149880
229307_at	0.758	0.566	0.586	0.386	ANKRD28	N32051
229540_at	0.979	0.713	0.486	0.693	RBPSUH	R45471
230104_s_at	1.238	1.709	1.433	2.034	p25	BG055052
230064_at	0.865	0.482	0.577	0.481		AW296421
230165_at	0.772	0.412	0.552	0.571	SGOL2	N31731
230330_at	1.113	1.678	1.811	1.705	PPM1D	AI312083
230332_at	1.014	0.691	0.407	0.539	SP1	AA872187
230229_at	0.926	0.633	0.486	0.656	DLG1	AI692879
229858_at	0.875	0.672	0.449	0.511	ANKRD17	AU146893
228116_at	1.787	1.667	1.526	1.812	EIF2AK4	AW167298
227576_at	0.946	0.895	0.405	0.736		AW003140
227777_at	0.874	0.667	0.468	0.461	FLJ20360	BF223040
228531_at	1.344	1.462	1.505	1.979	FLJ20073	AA741307
228715_at	1.054	1.025	1.235	1.738	LOC170261	AV725825
228643_at	0.882	0.572	0.572	0.457		AA699852
228623_at	0.988	0.846	0.470	0.626		AI224133
228253_at	1.097	1.048	0.842	0.499	LOXL3	AI917716
233637_at	1.031	0.744	0.391	0.564	H326	AU146915
233746_x_at	0.979	1.016	0.681	0.471	HYPK	AW953521
233800_at	1.073	0.645	0.615	0.423	AP2B1	AA805082
234040_at	0.949	0.705	0.692	0.469	HELLS	AU150825
234032_at	0.962	0.625	0.365	0.536	SP1	AF119847
233847_x_at	1.186	1.192	1.480	1.985		AW256031
233007_at	0.939	0.648	0.447	0.634	XRCC5	AU147192
232790_at	1.094	0.825	0.708	0.394		AI744580
233296_x_at	0.678	0.673	0.443	0.572	IGHG1	AU147291
233315_at	1.037	1.025	0.494	0.911	CTBP2	AK024947
233105_at	0.931	0.655	0.356	0.472		AK026280
233115_at	1.022	0.411	0.567	0.677	DEPDC1B	AU151522
233225_at	1.052	0.832	0.484	0.822	CENTG2	AK000798
233231_at	0.968	0.515	0.348	0.825	MCCC2	AU156915
235230_at	1.079	1.225	1.400	1.985	BEAN	AW170015
235406_x_at	0.949	0.595	0.455	0.582	RGS22	BF512190
235425_at	0.874	0.343	0.507	0.483	SGOL2	AW965339
235308_at	0.705	0.371	0.363	0.409	ZNF288	AW499525
234675_x_at	0.893	1.242	9.966	2.121	KIAA1033	AK027219
234326_at	0.913	0.801	0.460	0.745	N4BP1	AK024901
234623_x_at	1.020	0.873	1.748	2.073	MB2	AF100640
234432_at	0.844	0.554	4.052	1.944	MB2	AF100640
235061_at	0.948	1.113	1.433	2.089	DKFZp761G058	AV706522
234993_at	1.023	0.767	0.467	0.729	C13orf6	BE301702
235004_at	1.061	1.191	1.371	2.115	RBM24	AI677701
234997_x_at	1.310	1.046	1.392	1.848		AA343057
235009_at	1.015	0.466	0.590	0.616	FLJ33215	AI049791
231207_at	0.835	0.628	0.453	0.583	MRPS30	AW263539
231149_s_at	0.981	0.699	0.525	0.467	FLJ20574	AI828638
231165_at	0.936	0.594	0.429	0.636	PAX7	BE857355
231281_at	1.109	0.687	0.391	0.665	ALB	AI032733
231108_at	1.013	0.777	0.391	0.631		H43040
231495_at	1.018	0.479	0.313	0.446	COL4A4	AA744508
230522_s_at	1.000	0.641	0.466	0.730	C9orf100	BG028209
232344_at	0.989	0.701	0.420	0.784	RASA1	AK021812
232307_at	0.983	0.736	0.391	0.531	TMEM123	AK021554
232372_at	0.894	0.833	0.394	0.641	CDH4	AL157491
232175_at	1.006	0.676	0.473	0.563	ARF1	AI972094
232291_at	0.961	0.563	0.414	0.441	C13orf25	AA256157
232592_at	1.042	1.083	0.483	0.773	PTPRG	AU146731
232565_at	1.043	0.526	0.400	0.630	RAB6IP2	AK025052
232665_x_at	0.709	0.896	0.385	0.801	SMURF1	AL137424
232465_at	1.002	0.747	0.308	0.521	TCF7L2	AK021749
232466_at	0.887	0.736	0.427	0.770	CUL4A	AU155661
232528_at	0.960	0.522	0.425	0.611	UBE2E3	AI338705
232522_at	0.921	0.803	0.383	0.574	TCF7L2	AK025137
232489_at	1.009	0.600	0.670	0.459	FLJ10287	AK001149
231970_at	0.845	0.580	0.389	0.472	C14orf118	AK025117
231863_at	1.039	0.731	0.837	0.479	ING3	AF161419
231882_at	1.641	1.249	1.251	1.321		AL530703
232125_at	0.769	0.371	0.573	0.576		AU147419
232098_at	0.992	0.576	0.484	0.702	BPAG1	AK025142
232164_s_at	1.080	1.223	1.247	2.046	EPPK1	AL137725
232165_at	1.079	1.097	1.242	2.026	EPPK1	AL137725
203143_s_at	0.923	0.994	1.276	1.943	KIAA0040	T79953
202769_at	1.042	1.131	1.363	2.085	CCNG2	AW134535
202770_s_at	1.191	1.281	1.895	2.522	CCNG2	NM_004354
203304_at	1.940	1.956	1.724	2.278	BAMBI	NM_012342
202206_at	1.347	1.548	1.663	2.300	ARL7	AW450363
202207_at	1.324	1.185	1.468	2.251	ARL7	BG435404
202350_s_at	0.973	1.364	1.044	2.295	MATN2	NM_002380
202474_s_at	0.844	0.764	0.582	0.474	HCFC1	NM_005334
202478_at	1.509	1.434	1.375	1.647	TRIB2	NM_021643
205046_at	1.000	0.374	0.661	0.801	CENPE	NM_001813
205032_at	1.307	1.462	1.653	3.177	ITGA2	NM_002203
205967_at	0.904	0.759	0.554	0.400	HIST1H4C	NM_003542
205830_at	1.121	1.272	2.011	2.467	CLGN	NM_004362
206085_s_at	1.186	1.520	1.439	2.056	CTH	NM_001902
205511_at	0.923	0.579	0.433	0.539	FLJ10038	NM_017976
205383_s_at	0.729	0.398	0.468	0.449	ZNF288	NM_015642
203998_s_at	0.545	0.330	0.434	0.461	SYT1	AV723167
203999_at	0.556	0.340	0.415	0.485	SYT1	AV731490
203672_x_at	1.064	1.529	2.510	1.386	TPMT	U12387
203845_at	0.984	0.795	1.098	1.889	PCAF	AV727449
203789_s_at	1.474	1.410	1.716	2.122	SEMA3C	NM_006379
204514_at	1.053	0.825	0.591	0.454	DPH2L2	NM_001384
204415_at	1.076	1.384	1.210	1.595	G1P3	NM_022873
1557828_a_at	0.843	0.700	0.484	0.606	FLJ21657	BE675061
1557580_at	0.996	0.868	0.434	0.851	CABIN1	BC027347
1558515_at	1.001	0.818	0.438	0.614		AK057701
1558410_s_at	0.992	0.635	0.298	0.467	IMMP2L	AW974642
1558409_at	1.152	0.937	0.370	0.744	IMMP2L	AW974642
1558292_s_at	0.952	0.917	0.605	0.463	PIGW	BF037819
1556416_s_at	1.096	0.725	0.472	0.623	SEC31L1	AF086242
1556226_at	0.980	0.744	0.468	0.506		R32470
1557238_s_at	0.929	0.645	0.475	0.730	SETD5	BQ446762
1562163_at	0.942	0.793	0.474	0.494	NUSAP1	AF085923
1563075_s_at	0.959	0.885	0.389	0.830	ZC3HAV1	AF143866
1562454_at	1.032	0.740	0.381	0.648	TCF7L2	AL832684
1562467_at	1.010	0.911	0.391	0.588	PPP3CA	AK097085
1561195_at	1.029	0.894	0.467	0.891	TM7SF1	AL832142
1564906_at	1.022	0.756	0.534	0.425	MATR3	AJ224167
1565689_at	0.956	0.979	0.471	0.732		BG400570
1565762_at	0.958	0.698	0.484	0.703		AK074233
1565620_at	0.874	0.671	0.490	0.616	THEM4	BG621044
1565821_at	1.007	0.829	0.437	0.591		AF147400
1559490_at	1.034	0.941	0.487	0.887	MGC4126	AL832278
1558791_at	0.889	0.727	0.424	0.571	LOC286467	BC038558
1558747_at	1.021	0.603	0.626	0.481	KIAA0650	AA336502
1558914_at	0.851	0.758	0.709	0.450	PNAS-4	BC020640
1560082_at	0.953	1.045	0.470	0.767	FYB	AL833239
1560101_at	1.185	1.454	1.638	2.037	FLJ13815	AL834286
1560342_at	0.926	0.704	0.465	0.631	ARSB	BC036606
1564308_a_at	1.471	1.754	2.096	1.923	MPP7	AK057360
1559529_at	0.993	0.886	0.488	0.632	PTK2	BC043202
1559964_at	0.979	0.794	0.340	0.546	FLJ38717; FLJ40915	AK096036
1553349_at	0.918	0.725	0.396	0.562	ARID2	NM_152641
1552536_at	1.045	0.626	0.286	0.414	VTI1A	NM_145206
1555225_at	0.968	0.847	0.676	0.396	NICE-3	BC008306
201295_s_at	1.070	1.080	0.918	1.917	WSB1	BF111821
201117_s_at	1.182	1.253	1.444	1.997	CPE	NM_001873
201739_at	1.315	1.458	1.623	2.667	SGK	NM_005627
201667_at	1.726	1.414	1.569	1.498	GJA1	NM_000165
201818_at	0.827	0.690	0.461	0.574	FLJ12443	NM_024830
201468_s_at	0.966	0.941	0.657	0.438	NQO1	NM_000903
201601_x_at	1.132	2.260	2.111	2.942	IFITM1	NM_003641
1569706_at	0.902	0.749	0.487	0.831	KIAA1915	BC017579
1569527_at	1.051	1.039	0.425	0.713	PLAT	BC017275
1569538_at	1.019	0.903	0.424	0.672		AF130084
1569601_at	0.966	0.652	0.411	0.713	DLC1	BF106979
1569583_at	0.699	0.497	0.347	0.444	EREG	BC035806
1566142_at	1.068	1.036	0.475	0.724	MYH10	AK095268
1566243_at	0.730	0.570	0.230	0.454	TGFBI	AL390176
1569302_at	0.948	0.532	0.585	0.453	KIAA1731	BC017394
1569181_x_at	0.998	0.879	0.497	0.762	NSF	BC017896
1569484_s_at	0.996	1.014	0.450	0.504	MDN1	AL603301
1569323_at	1.023	0.785	0.339	0.543	PTPRG	BU853579
214022_s_at	1.240	1.551	1.377	2.292	IFITM1	AA749101
213684_s_at	0.884	0.622	0.437	0.676	LIM	BF671400
214205_x_at	0.888	1.477	2.051	1.348	TXNL2	AK022131
214464_at	0.953	0.530	0.623	0.450	CDC42BPA	NM_003607
214295_at	0.981	0.901	0.453	0.553	KIAA0485	AW129056
214336_s_at	1.412	2.273	2.083	1.586	COPA	AI621079
212907_at	1.038	0.416	0.369	0.579	SLC30A1	AI972416
213153_at	0.917	0.756	0.366	0.845	KIAA1076	AB028999
213156_at	0.777	0.442	0.497	0.487	ANXA13	BG251521
213158_at	0.748	0.421	0.491	0.533	ANXA13	AA045174
213089_at	1.007	0.759	0.463	0.725	LOC153561	AU158490
217913_at	0.989	0.906	0.681	0.470	VPS4A	NM_013245
217580_x_at	1.109	1.177	2.342	1.325	ARL6IP2	AW301806
217761_at	0.931	0.938	0.691	0.483	SIPL	NM_018269
217704_x_at	0.974	0.860	0.470	0.648	DEDD	AI820796
217659_at	0.928	0.871	0.467	0.524	WAPAL	AA457019
217997_at	0.865	0.711	0.585	0.451	PHLDA1	AI795908
215512_at	1.039	1.900	1.695	2.153	TEB4	AK000970
215567_at	0.860	0.902	0.713	0.430	C14orf111	AU144919
215385_at	0.920	0.782	0.436	0.628	FTO	AK022473
215447_at	1.037	0.542	0.462	0.657	TFPI	AL080215
215611_at	0.909	0.585	0.400	0.719	TCF12	AU146580
214917_at	0.857	0.424	0.555	0.668	PRKAA1	AK024252
215281_x_at	0.946	0.790	0.443	0.600	POGZ	AK000199
215123_at	0.975	0.764	0.471	0.620	KIAA0220	AL049250
215204_at	1.013	0.745	0.365	0.537	SENP6	AU147295
215201_at	0.912	0.792	0.366	0.675	REPS1	AW166925
215193_x_at	1.042	1.405	1.236	2.004	HLA-DRB3	AJ297586
216094_at	0.950	0.789	0.350	0.761	WASL	AK025323
216153_x_at	1.018	1.349	2.523	1.416	RECK	AK022897
216442_x_at	0.969	1.003	1.084	1.875	FN1	AK026737
216532_x_at	0.916	0.813	0.538	0.471	TXNL2	AL138831
209034_at	1.304	2.055	2.468	3.465	PNRC1	AF279899
209067_s_at	0.965	0.968	0.737	0.473	HNRPDL	D89092
208859_s_at	1.010	0.467	0.689	0.655	ATRX	AI650257
209446_s_at	0.878	0.594	0.448	0.640	FLJ10803	BC001743
206917_at	1.144	1.546	1.734	1.129	GNA13	NM_006572
206992_s_at	0.980	0.729	0.635	0.494	ATP5S	NM_015684
206404_at	1.592	1.394	1.105	1.388	FGF9	NM_002010
206323_x_at	1.012	1.109	2.427	1.380	OPHN1	NM_002547
206548_at	0.926	0.863	0.367	0.551	FLJ23556	NM_024880
208306_x_at	1.141	1.356	1.293	2.523	HLA-DRB3	NM_021983
208216_at	1.073	1.110	1.324	2.022	DLX4	NM_001934
208109_s_at	0.884	0.722	0.429	0.847	C15orf5	NM_030944
211559_s_at	1.069	1.516	2.194	2.723	CCNG2	L49506
211343_s_at	1.007	1.007	1.630	2.667	COL13A1	M33653
212381_at	1.006	0.750	0.603	0.480	USP24	BF444943
212464_s_at	1.165	1.253	1.480	2.121	FN1	X02761
209765_at	1.340	1.438	1.240	1.819	ADAM19	Y13786
209776_s_at	0.901	0.820	0.637	0.425	SLC19A1	U15939
209724_s_at	0.870	0.769	0.542	0.472	ZFP161	AL534416
209874_x_at	1.188	1.789	1.996	1.820	CNNM2	AF216962
209859_at	1.040	0.960	1.008	1.927	TRIM9	AF220036
210495_x_at	1.048	1.163	1.272	1.987	FN1	AF130095
210445_at	1.593	2.094	1.641	2.248	FABP6	U19869
