HELP identifier	Gene symbol
MSPI0406S00399547	KIAA1147
MSPI0406S00399844	TRBC1
MSPI0406S00401707	ZNF212
MSPI0406S00402109	LOC643641
MSPI0406S00402592	ABP1
MSPI0406S00406257	RNF32
MSPI0406S00406258	RNF32
MSPI0406S00406465	MNX1
MSPI0406S00409369	ERICH1
MSPI0406S00409370	C8orf68
MSPI0406S00414743	TDH
MSPI0406S00416442	CNOT7
MSPI0406S00417285	LPL
MSPI0406S00419704	NEFM
MSPI0406S00419721	NEFL
MSPI0406S00419783	DOCK5
MSPI0406S00425084	SFRP1
MSPI0406S00428486	NPBWR1
MSPI0406S00428550	OPRK1
MSPI0406S00428551	OPRK1
MSPI0406S00429598	PENK
MSPI0406S00430690	FAM77D
MSPI0406S00431009	BHLHB5
MSPI0406S00431010	BHLHB5
MSPI0406S00432270	PRDM14
MSPI0406S00432271	PRDM14
MSPI0406S00432664	KCNB2
MSPI0406S00433160	JPH1
MSPI0406S00436714	PGCP
MSPI0406S00438210	GRHL2
MSPI0406S00447349
MSPI0406S00450121	GSDMDC1
MSPI0406S00452281	C9orf66
MSPI0406S00452547	DMRT1
MSPI0406S00452637	DMRT3
MSPI0406S00452688	DMRT2
MSPI0406S00454968	NFIB
MSPI0406S00456725	CDKN2B
MSPI0406S00456726	CDKN2B
MSPI0406S00456923	ELAVL2
MSPI0406S00467691	FRMD3
MSPI0406S00469058	CTSL1
MSPI0406S00472208	BARX1
MSPI0406S00473576	HABP4
MSPI0406S00473700	LOC648060
MSPI0406S00474691	GABBR2
MSPI0406S00475438	GRIN3A
MSPI0406S00478310	SLC46A2
MSPI0406S00484273	ANGPTL2
MSPI0406S00484413	SLC2A8
MSPI0406S00484414	SLC2A8
MSPI0406S00484746	C9orf117
MSPI0406S00494265	C9orf69
MSPI0406S00494391	LHX3
MSPI0406S00496331	WDR85
MSPI0406S00500078	CALML5
MSPI0406S00507415	PTF1A
MSPI0406S00508902	ARMC4
MSPI0406S00508903	ARMC4
MSPI0406S00512482	ZNF25
MSPI0406S00513062	RET
MSPI0406S00515975	CHAT
MSPI0406S00515978	CHAT
MSPI0406S00520095	NEUROG3
MSPI0406S00520388	H2AFY2
MSPI0406S00522729	SYNPO2L
MSPI0406S00528163	HTR7
MSPI0406S00531336	HPSE2
MSPI0406S00532460	LBX1
MSPI0406S00533029	NOLC1
MSPI0406S00533589	C10orf26
MSPI0406S00534667	SORCS3
MSPI0406S00535145	SORCS1
MSPI0406S00535747	SMC3
MSPI0406S00537497	GFRA1
MSPI0406S00537665	HSPA12A
MSPI0406S00537666	HSPA12A
MSPI0406S00537829	VAX1
MSPI0406S00542629	ADAM12
MSPI0406S00543247	FLJ46831
MSPI0406S00545699	TCERG1L
MSPI0406S00546574	STK32C
MSPI0406S00547384
MSPI0406S00547542	GPR123
MSPI0406S00550771	IGF2AS
MSPI0406S00551581	KCNQ1DN
MSPI0406S00552260
MSPI0406S00553177	ZNF215
MSPI0406S00555061	DKK3
MSPI0406S00555316	TEAD1
MSPI0406S00556644	MYOD1
MSPI0406S00557635	SLC6A5
MSPI0406S00557658	NELL1
MSPI0406S00558499	BDNF
MSPI0406S00560117	EHF
MSPI0406S00574016	GAL
MSPI0406S00575070	FGF19
MSPI0406S00578280	UCP2
MSPI0406S00579046	MAP6
MSPI0406S00581880	TMEM135
MSPI0406S00583901	PGR
MSPI0406S00583902	PGR
MSPI0406S00584742	GUCY1A2
MSPI0406S00585776	BTG4
MSPI0406S00585777	BTG4
MSPI0406S00590280	POU2F3
MSPI0406S00591811	SCN3B
MSPI0406S00592000	SIAE
MSPI0406S00595833
MSPI0406S00595880	JAM3
MSPI0406S00596633	SLC6A12
MSPI0406S00597567
MSPI0406S00603150	LRP6
MSPI0406S00603789	GRIN2B
MSPI0406S00604039	WBP11
MSPI0406S00606375	PTHLH
MSPI0406S00609140	PRICKLE1
MSPI0406S00609141	PRICKLE1
MSPI0406S00609465	DBX2
MSPI0406S00609466	DBX2
MSPI0406S00610726	WNT10B
MSPI0406S00614178	ATP5G2
MSPI0406S00616562	TSFM
MSPI0406S00616618	CTDSP2
MSPI0406S00616791	LRIG3
MSPI0406S00619395	TRHDE
MSPI0406S00620484	LIN7A
MSPI0406S00620884	SLC6A15
MSPI0406S00627758	VPS29
MSPI0406S00632601	HSPB8
MSPI0406S00642073	GALNT9
MSPI0406S00645924	CENPJ
MSPI0406S00646068	FAM123A
MSPI0406S00647165	GSX1
MSPI0406S00647292	CDX2
MSPI0406S00648859	BRCA2
MSPI0406S00653913	THSD1P
MSPI0406S00654088	PCDH8
MSPI0406S00654089	PCDH8
MSPI0406S00655080	PCDH20
MSPI0406S00656935	KCTD12
MSPI0406S00659053	SOX21
MSPI0406S00659054	SOX21
MSPI0406S00660163
MSPI0406S00661818	C13orf27
MSPI0406S00663553	COL4A1
MSPI0406S00665139	TUBGCP3
MSPI0406S00666389
MSPI0406S00669018	SLC22A17
MSPI0406S00670034	NOVA1
MSPI0406S00670225	FOXG1
MSPI0406S00670226	FOXG1
MSPI0406S00670227	FOXG1
MSPI0406S00671096	NPAS3
MSPI0406S00672341	NKX2-1
MSPI0406S00672344	NKX2-1
MSPI0406S00672367	NKX2-8
MSPI0406S00672368	NKX2-8
MSPI0406S00672399	PAX9
MSPI0406S00672684	CLEC14A
MSPI0406S00673145	LRFN5
MSPI0406S00673146	LRFN5
MSPI0406S00675118	PTGER2
MSPI0406S00677080	SIX6
MSPI0406S00677081	SIX6
MSPI0406S00677128	SIX1
MSPI0406S00677129	SIX1
MSPI0406S00685620	FLRT2
MSPI0406S00688501
MSPI0406S00689564	GSC
MSPI0406S00689565	GSC
MSPI0406S00692037	EML1
MSPI0406S00695698	PPP1R13B
MSPI0406S00695979	KIF26A
MSPI0406S00697068	CDCA4
MSPI0406S00699289	TUBGCP5
MSPI0406S00701123	GABRB3
MSPI0406S00702676	TJP1
MSPI0406S00702677	TJP1
MSPI0406S00704151	GREM1
MSPI0406S00704152	GREM1
MSPI0406S00709066	DUOXA1
MSPI0406S00710190	USP50
MSPI0406S00714076	TPM1
MSPI0406S00719314	CD276
MSPI0406S00722176	ACSBG1
MSPI0406S00722761	RASGRF1
MSPI0406S00722762	RASGRF1
MSPI0406S00722806	TMED3
MSPI0406S00722838	KIAA1024
MSPI0406S00722978	MTHFS
MSPI0406S00723500	C15orf26
MSPI0406S00725025	SCAND2
MSPI0406S00730114	NR2F2
MSPI0406S00731166	TTC23
MSPI0406S00749465	CDR2
MSPI0406S00758103	CBLN1
MSPI0406S00759209	SALL1
MSPI0406S00759662
MSPI0406S00760454	IRX6
MSPI0406S00760548	SLC6A2
MSPI0406S00761227
MSPI0406S00763103	CDH8
MSPI0406S00764118	APPBP1
MSPI0406S00765768	CDH3
MSPI0406S00775844	IRF8
MSPI0406S00776445	FOXC2
MSPI0406S00776463	FOXL1
MSPI0406S00777429	JPH3
MSPI0406S00779602
MSPI0406S00783415	SMG6
MSPI0406S00784823	ITGAE
MSPI0406S00784824	ITGAE
MSPI0406S00791060
MSPI0406S00791953	HS3ST3A1
MSPI0406S00794954	TOP3A
MSPI0406S00796054	SLC47A1
MSPI0406S00797056	DHRS7B
MSPI0406S00806489	KRT19
MSPI0406S00807204	KCNH4
MSPI0406S00807205	KCNH4
MSPI0406S00807634	TUBG2
MSPI0406S00812210	HOXB4
MSPI0406S00812755	GNGT2
MSPI0406S00814004	ABCC3
MSPI0406S00814635	CA10
MSPI0406S00819747	C17orf60
MSPI0406S00822904	SOX9
MSPI0406S00826646	LGICZ1
MSPI0406S00828175
MSPI0406S00830764	LOC651900
MSPI0406S00832383	BAIAP2
MSPI0406S00833070	BAHCC1
MSPI0406S00837459	SMCHD1
MSPI0406S00841051	TUBB6
MSPI0406S00841286	SPIRE1
MSPI0406S00841500	CEP192
MSPI0406S00845669	C18orf34
MSPI0406S00845740	NOL4
MSPI0406S00846123	MOCOS
MSPI0406S00849674	MYO5B
MSPI0406S00849675	MYO5B
MSPI0406S00851081	ONECUT2
MSPI0406S00852056	RAX
MSPI0406S00853265	SERPINB13
MSPI0406S00853335	SERPINB8
MSPI0406S00856224	MBP
MSPI0406S00856426	GALR1
MSPI0406S00857454	SALL3
MSPI0406S00861109	SCAMP4
MSPI0406S00865292	C19orf30
MSPI0406S00872791	RAB3D
MSPI0406S00873011	ELAVL3
MSPI0406S00874904	CACNA1A
MSPI0406S00886962	CEBPA
MSPI0406S00886963	CEBPA
MSPI0406S00886965	CEBPA
MSPI0406S00890903
MSPI0406S00890966
MSPI0406S00892462	EID2
MSPI0406S00893076	SPTBN4
MSPI0406S00895856	ZNF229
MSPI0406S00903620	SIGLEC7
MSPI0406S00907613	FIZ1
MSPI0406S00913114	CHGB
MSPI0406S00913825	SNAP25
MSPI0406S00916789	NKX2-2
MSPI0406S00916876	PAX1
MSPI0406S00917078	FOXA2
MSPI0406S00917721	C20orf39
MSPI0406S00919227	TTLL9
MSPI0406S00927020	CTSA
MSPI0406S00927227	CD40
MSPI0406S00933296	TFAP2C
MSPI0406S00933297	TFAP2C
MSPI0406S00933860	BMP7
MSPI0406S00934672	C20orf86
MSPI0406S00935140	GNAS
MSPI0406S00939701	TPD52L2
MSPI0406S00943163	GRIK1
MSPI0406S00943164	GRIK1
MSPI0406S00944633	IFNGR2
MSPI0406S00951044
MSPI0406S00951682	C21orf30
MSPI0406S00951683	C21orf30
MSPI0406S00951914	KRTAP10-12
MSPI0406S00963754
MSPI0406S00971589	CACNA1I
MSPI0406S00971903
MSPI0406S00975066
MSPI0406S00987810	TLR8
MSPI0406S00988962	NHS
MSPI0406S00990699	PTCHD1
MSPI0406S00993368	PRRG1
MSPI0406S00995242	GPR34
MSPI0406S01000128	WNK3
MSPI0406S01003085	INGX
MSPI0406S01006062	PABPC5
MSPI0406S01008401	ESX1
MSPI0406S01008596	NRK
MSPI0406S01009157	IRS4
MSPI0406S01010927	LONRF3
MSPI0406S01010928	LONRF3
MSPI0406S01015809
MSPI0406S01016072	SOX3
MSPI0406S01017070	SLITRK2
MSPI0406S01024169	TBL1Y
MSPI0406S01024170	TBL1Y
