Affy-ID	gene	chromosomal locus	expression with respect to all cases	expression with respect to cases with +8 and normal
240031_at	MSRA	8p23.1	present at least in one case	present at least in one case
231852_at	MGC35395	8p23.1	present at least in one case	present at least in one case
202561_at	TNKS	8p23.1	present at least in one case	present at least in one case
222662_at	LOC286044	8p23.1	present at least in one case	present at least in one case
218096_at	FLJ11210	8p23.1	present at least in one case	present at least in one case
226416_at	MGC35395	8p23.1	present at least in one case	present at least in one case
219281_at	MSRA	8p23.1	present at least in one case	present at least in one case
210227_at	DLGAP2	8p23	absent in all cases	absent in all cases
216916_s_at	DLGAP2	8p23	absent in all cases	absent in all cases
219341_at	CLN8	8p23	absent in all cases	absent in all cases
224239_at	DEFB103	8p23	absent in all cases	absent in all cases
223912_s_at	CLN8	8p23	present at least in one case	absent in all cases
216620_s_at	ARHGEF10	8p23	present at least in one case	present at least in one case
223907_s_at	PINX1	8p23	present at least in one case	present at least in one case
219340_s_at	CLN8	8p23	present at least in one case	present at least in one case
222874_s_at	CLN8	8p23	present at least in one case	present at least in one case
207269_at	DEFA4	8p23	present at least in one case	present at least in one case
222714_s_at	CGI-83	8p22-q22.3	present at least in one case	present at least in one case
218701_at	CGI-83	8p22-q22.3	present at least in one case	present at least in one case
221504_s_at	ATP6V1H	8p22-q22.3	present at least in one case	present at least in one case
231752_at	GPR7	8p22-q21.13	absent in all cases	absent in all cases
202034_x_at	RB1CC1	8p22-q21.13	present at least in one case	present at least in one case
202033_s_at	RB1CC1	8p22-q21.13	present at least in one case	present at least in one case
209471_s_at	FNTA	8p22-q11	present at least in one case	present at least in one case
200090_at - HG-U133A	FNTA	8p22-q11	present at least in one case	present at least in one case
200090_at - HG-U133B	FNTA	8p22-q11	present at least in one case	present at least in one case
205226_at	PDGFRL	8p22-p21.3	absent in all cases	absent in all cases
207626_s_at	SLC7A2	8p22-p21.3	absent in all cases	absent in all cases
209996_x_at	PCM1	8p22-p21.3	absent in all cases	absent in all cases
210979_at	ASAH1	8p22-p21.3	absent in all cases	absent in all cases
220394_at	FGF20	8p22-p21.3	absent in all cases	absent in all cases
230658_at	SLC7A2	8p22-p21.3	absent in all cases	absent in all cases
224822_at	DLC1	8p22-p21.3	present at least in one case	present at least in one case
205305_at	FGL1	8p22-p21.3	present at least in one case	present at least in one case
209997_x_at	PCM1	8p22-p21.3	present at least in one case	present at least in one case
210762_s_at	DLC1	8p22-p21.3	present at least in one case	present at least in one case
214118_x_at	PCM1	8p22-p21.3	present at least in one case	present at least in one case
214937_x_at	PCM1	8p22-p21.3	present at least in one case	present at least in one case
202174_s_at	PCM1	8p22-p21.3	present at least in one case	present at least in one case
218250_s_at	CNOT7	8p22-p21.3	present at least in one case	present at least in one case
210980_s_at	ASAH1	8p22-p21.3	present at least in one case	present at least in one case
213902_at	ASAH1	8p22-p21.3	present at least in one case	present at least in one case
225053_at	CNOT7	8p22-p21.3	present at least in one case	present at least in one case
213702_x_at	ASAH1	8p22-p21.3	present at least in one case	present at least in one case
211163_s_at	TNFRSF10C	8p22-p21	present at least in one case	present at least in one case
210405_x_at	TNFRSF10B	8p22-p21	present at least in one case	present at least in one case
206222_at	TNFRSF10C	8p22-p21	present at least in one case	present at least in one case
209294_x_at	TNFRSF10B	8p22-p21	present at least in one case	present at least in one case
209295_at	TNFRSF10B	8p22-p21	present at least in one case	present at least in one case
200762_at	DPYSL2	8p22-p21	present at least in one case	present at least in one case
201089_at	ATP6V1B2	8p22-p21	present at least in one case	present at least in one case
206797_at	NAT2	8p22	absent in all cases	absent in all cases
209228_x_at	N33	8p22	absent in all cases	absent in all cases
211887_x_at	MSR1	8p22	absent in all cases	absent in all cases
213423_x_at	N33	8p22	absent in all cases	absent in all cases
219042_at	LZTS1	8p22	absent in all cases	absent in all cases
221070_s_at	DBC-1	8p22	absent in all cases	absent in all cases
221719_s_at	LZTS1	8p22	absent in all cases	absent in all cases
221721_s_at	LZTS1	8p22	absent in all cases	absent in all cases
221722_x_at	LZTS1	8p22	absent in all cases	absent in all cases
226930_at	CTSB	8p22	absent in all cases	absent in all cases
232770_at	N33	8p22	absent in all cases	absent in all cases
236634_at	FLJ25402	8p22	absent in all cases	absent in all cases
47550_at	LZTS1	8p22	absent in all cases	absent in all cases
215793_at	MTMR7	8p22	present at least in one case	present at least in one case
208422_at	MSR1	8p22	present at least in one case	present at least in one case
210359_at	MIM	8p22	present at least in one case	present at least in one case
236556_s_at	FLJ23749	8p22	present at least in one case	present at least in one case
243804_at	FLJ32642	8p22	present at least in one case	present at least in one case
225193_at	DBC-1	8p22	present at least in one case	present at least in one case
220511_s_at	FLJ21120	8p22	present at least in one case	present at least in one case
238458_at	LOC286097	8p22	present at least in one case	present at least in one case
208423_s_at	MSR1	8p22	present at least in one case	present at least in one case
209227_at	N33	8p22	present at least in one case	present at least in one case
235801_at	N33	8p22	present at least in one case	present at least in one case
220512_at	FLJ21120	8p22	present at least in one case	present at least in one case
222107_x_at	LZTS1	8p22	present at least in one case	present at least in one case
214770_at	MSR1	8p22	present at least in one case	present at least in one case
229780_at	MIM	8p22	present at least in one case	present at least in one case
203036_s_at	MIM	8p22	present at least in one case	present at least in one case
240721_at	DBC-1	8p22	present at least in one case	present at least in one case
210360_s_at	MIM	8p22	present at least in one case	present at least in one case
203548_s_at	LPL	8p22	present at least in one case	present at least in one case
225187_at	DBC-1	8p22	present at least in one case	present at least in one case
203549_s_at	LPL	8p22	present at least in one case	present at least in one case
228024_at	FLJ32642	8p22	present at least in one case	present at least in one case
203037_s_at	MIM	8p22	present at least in one case	present at least in one case
226038_at	FLJ23749	8p22	present at least in one case	present at least in one case
225378_at	FLJ32642	8p22	present at least in one case	present at least in one case
227961_at	CTSB	8p22	present at least in one case	present at least in one case
213274_s_at	CTSB	8p22	present at least in one case	present at least in one case
213275_x_at	CTSB	8p22	present at least in one case	present at least in one case
201985_at	KIAA0196	8p22	present at least in one case	present at least in one case
200838_at	CTSB	8p22	present at least in one case	present at least in one case
200839_s_at	CTSB	8p22	present at least in one case	present at least in one case
206237_s_at	NRG1	8p21-p12	absent in all cases	absent in all cases
208230_s_at	NRG1	8p21-p12	absent in all cases	absent in all cases
208232_x_at	NRG1	8p21-p12	absent in all cases	absent in all cases
209368_at	EPHX2	8p21-p12	absent in all cases	absent in all cases
220714_at	PRDM14	8p21-p12	absent in all cases	absent in all cases
216276_s_at	ADAM3A	8p21-p12	present at least in one case	present at least in one case
206343_s_at	NRG1	8p21-p12	present at least in one case	present at least in one case
208231_at	NRG1	8p21-p12	present at least in one case	present at least in one case
208241_at	NRG1	8p21-p12	present at least in one case	present at least in one case
222043_at	CLU	8p21-p12	present at least in one case	present at least in one case
202680_at	GTF2E2	8p21-p12	present at least in one case	present at least in one case
208792_s_at	CLU	8p21-p12	present at least in one case	present at least in one case
208791_at	CLU	8p21-p12	present at least in one case	present at least in one case
211490_at	ADRA1A	8p21-p11.2	absent in all cases	absent in all cases
211491_at	ADRA1A	8p21-p11.2	absent in all cases	absent in all cases
211492_s_at	ADRA1A	8p21-p11.2	present at least in one case	present at least in one case
207987_s_at	GNRH1	8p21-p11.2	present at least in one case	present at least in one case
204596_s_at	STC1	8p21-p11.2	present at least in one case	present at least in one case
204597_x_at	STC1	8p21-p11.2	present at least in one case	present at least in one case
211489_at	ADRA1A	8p21-p11.2	present at least in one case	present at least in one case
204595_s_at	STC1	8p21-p11.2	present at least in one case	present at least in one case
230746_s_at	STC1	8p21-p11.2	present at least in one case	present at least in one case
235540_at	GNRH1	8p21-p11.2	present at least in one case	present at least in one case
222730_s_at	ZDHHC2	8p21.3-p22	present at least in one case	present at least in one case
222731_at	ZDHHC2	8p21.3-p22	present at least in one case	present at least in one case
202997_s_at	LOXL2	8p21.3-p21.2	absent in all cases	absent in all cases
202999_s_at	LOXL2	8p21.3-p21.2	absent in all cases	absent in all cases
228808_s_at	LOXL2	8p21.3-p21.2	present at least in one case	present at least in one case
202998_s_at	LOXL2	8p21.3-p21.2	present at least in one case	present at least in one case
207074_s_at	SLC18A1	8p21.3	absent in all cases	absent in all cases
212095_s_at	MTSG1	8p21.3	absent in all cases	absent in all cases
212093_s_at	MTSG1	8p21.3	present at least in one case	present at least in one case
218613_at	DKFZp761K1423	8p21.3	present at least in one case	present at least in one case
229633_at	FLJ10569	8p21.3	present at least in one case	present at least in one case
212096_s_at	MTSG1	8p21.3	present at least in one case	present at least in one case
238745_at	FLJ10569	8p21.3	present at least in one case	present at least in one case
219049_at	ChGn	8p21.3	present at least in one case	present at least in one case
229632_s_at	FLJ10569	8p21.3	present at least in one case	present at least in one case
202594_at	LEPROTL1	8p21.2-p21.1	present at least in one case	present at least in one case
202595_s_at	LEPROTL1	8p21.2-p21.1	present at least in one case	present at least in one case
205325_at	PHYHIP	8p21.2	absent in all cases	absent in all cases
209441_at	RHOBTB2	8p21.2	absent in all cases	absent in all cases
210086_at	HR	8p21.2	absent in all cases	absent in all cases
217421_at	PIWIL2	8p21.2	absent in all cases	absent in all cases
219776_s_at	FLJ11125	8p21.2	absent in all cases	absent in all cases
220163_s_at	HR	8p21.2	absent in all cases	absent in all cases
222928_s_at	FLJ11125	8p21.2	absent in all cases	absent in all cases
222929_at	FLJ11125	8p21.2	absent in all cases	absent in all cases
228527_s_at	MSCP	8p21.2	absent in all cases	absent in all cases
232302_at	PDLIM2	8p21.2	absent in all cases	absent in all cases
234141_s_at	LOC286059	8p21.2	absent in all cases	absent in all cases
234147_at	LOC286059	8p21.2	absent in all cases	absent in all cases
236296_x_at	FLJ34715	8p21.2	absent in all cases	absent in all cases
238061_at	LGI3	8p21.2	absent in all cases	absent in all cases
210484_s_at	MGC31957	8p21.2	present at least in one case	present at least in one case
227848_at	MGC22776	8p21.2	present at least in one case	present at least in one case
213950_s_at	PPP3CC	8p21.2	present at least in one case	present at least in one case
210483_at	MGC31957	8p21.2	present at least in one case	present at least in one case
219749_at	FLJ20967	8p21.2	present at least in one case	present at least in one case
226928_x_at	MSCP	8p21.2	present at least in one case	present at least in one case
209697_at	PPP3CC	8p21.2	present at least in one case	present at least in one case
204077_x_at	LYSAL1	8p21.2	present at least in one case	present at least in one case
241355_at	HR	8p21.2	present at least in one case	present at least in one case
220686_s_at	PIWIL2	8p21.2	present at least in one case	present at least in one case
219665_at	FLJ22494	8p21.2	present at least in one case	present at least in one case
207788_s_at	SCAM-1	8p21.2	present at least in one case	present at least in one case
207287_at	FLJ14107	8p21.2	present at least in one case	present at least in one case
230977_at	LOC286056	8p21.2	present at least in one case	present at least in one case
212110_at	KIAA0062	8p21.2	present at least in one case	present at least in one case
227263_at	FLJ34715	8p21.2	present at least in one case	present at least in one case
218978_s_at	MSCP	8p21.2	present at least in one case	present at least in one case
32540_at	PPP3CC	8p21.2	present at least in one case	present at least in one case
32541_at	PPP3CC	8p21.2	present at least in one case	present at least in one case
219148_at	TOPK	8p21.2	present at least in one case	present at least in one case
207000_s_at	PPP3CC	8p21.2	present at least in one case	present at least in one case
221155_x_at	PRO1496	8p21.2	present at least in one case	present at least in one case
218337_at	RAI16	8p21.2	present at least in one case	present at least in one case
222529_at	MSCP	8p21.2	present at least in one case	present at least in one case
209253_at	SCAM-1	8p21.2	present at least in one case	present at least in one case
212313_at	MGC29816	8p21.2	present at least in one case	present at least in one case
231274_s_at	MSCP	8p21.2	present at least in one case	present at least in one case
222528_s_at	MSCP	8p21.2	present at least in one case	present at least in one case
214054_at	DOK2	8p21.2	present at least in one case	present at least in one case
218777_at	FLJ22246	8p21.2	present at least in one case	present at least in one case
242335_at	MSCP	8p21.2	present at least in one case	present at least in one case
219165_at	PDLIM2	8p21.2	present at least in one case	present at least in one case
222199_s_at	BIN3	8p21.2	present at least in one case	present at least in one case
204076_at	LYSAL1	8p21.2	present at least in one case	present at least in one case
218136_s_at	MSCP	8p21.2	present at least in one case	present at least in one case
221920_s_at	MSCP	8p21.2	present at least in one case	present at least in one case
231078_at	MSCP	8p21.2	present at least in one case	present at least in one case
203111_s_at	PTK2B	8p21.1	absent in all cases	absent in all cases
209597_s_at	PNMA2	8p21.1	absent in all cases	absent in all cases
215361_at	FLJ21034	8p21.1	absent in all cases	absent in all cases
220392_at	EBF2	8p21.1	absent in all cases	absent in all cases
211239_s_at	ADAM7	8p21.1	present at least in one case	absent in all cases
232694_at	LOC55893	8p21.1	present at least in one case	present at least in one case
235178_x_at	LOC157570	8p21.1	present at least in one case	present at least in one case
208269_s_at	ADAM28	8p21.1	present at least in one case	present at least in one case
222536_s_at	DKFZp434K1210	8p21.1	present at least in one case	present at least in one case
211238_at	ADAM7	8p21.1	present at least in one case	present at least in one case
228427_at	FBX16	8p21.1	present at least in one case	present at least in one case
219921_s_at	FLJ21034	8p21.1	present at least in one case	present at least in one case
209598_at	PNMA2	8p21.1	present at least in one case	present at least in one case
218125_s_at	FLJ10853	8p21.1	present at least in one case	present at least in one case
236492_at	PPP2R2A	8p21.1	present at least in one case	present at least in one case
235588_at	LOC157570	8p21.1	present at least in one case	present at least in one case
236957_at	FLJ25804	8p21.1	present at least in one case	present at least in one case
221236_s_at	STMN4	8p21.1	present at least in one case	present at least in one case
241252_at	LOC157570	8p21.1	present at least in one case	present at least in one case
205770_at	GSR	8p21.1	present at least in one case	present at least in one case
221094_s_at	ELP3	8p21.1	present at least in one case	present at least in one case
208268_at	ADAM28	8p21.1	present at least in one case	present at least in one case
227102_at	TRIM35	8p21.1	present at least in one case	present at least in one case
226661_at	FLJ25804	8p21.1	present at least in one case	present at least in one case
206134_at	ADAMDEC1	8p21.1	present at least in one case	present at least in one case
232693_s_at	LOC55893	8p21.1	present at least in one case	present at least in one case
224316_at	FLJ20038	8p21.1	present at least in one case	present at least in one case
227075_at	ELP3	8p21.1	present at least in one case	present at least in one case
225609_at	GSR	8p21.1	present at least in one case	present at least in one case
218823_s_at	FLJ20038	8p21.1	present at least in one case	present at least in one case
221123_x_at	LOC55893	8p21.1	present at least in one case	present at least in one case
223216_x_at	LOC55893	8p21.1	present at least in one case	present at least in one case
205997_at	ADAM28	8p21.1	present at least in one case	present at least in one case
203110_at	PTK2B	8p21.1	present at least in one case	present at least in one case
222525_s_at	FLJ10853	8p21.1	present at least in one case	present at least in one case
218149_s_at	DKFZp434K1210	8p21.1	present at least in one case	present at least in one case
204505_s_at	EPB49	8p21.1	present at least in one case	present at least in one case
202313_at	PPP2R2A	8p21.1	present at least in one case	present at least in one case
205113_at	NEF3	8p21	absent in all cases	absent in all cases
205721_at	GFRA2	8p21	absent in all cases	absent in all cases
205722_s_at	GFRA2	8p21	absent in all cases	absent in all cases
205982_x_at	SFTPC	8p21	absent in all cases	absent in all cases
206725_x_at	BMP1	8p21	absent in all cases	absent in all cases
207868_at	CHRNA2	8p21	absent in all cases	absent in all cases
210654_at	TNFRSF10D	8p21	absent in all cases	absent in all cases
211497_x_at	NKX3-1	8p21	absent in all cases	absent in all cases
211498_s_at	NKX3-1	8p21	absent in all cases	absent in all cases
211735_x_at	SFTPC	8p21	absent in all cases	absent in all cases
214387_x_at	SFTPC	8p21	absent in all cases	absent in all cases
215454_x_at	SFTPC	8p21	absent in all cases	absent in all cases
221801_x_at	NEFL	8p21	absent in all cases	absent in all cases
223902_at	NEF3	8p21	absent in all cases	absent in all cases
38691_s_at	SFTPC	8p21	absent in all cases	absent in all cases
205901_at	PNOC	8p21	present at least in one case	absent in all cases
223842_s_at	SCARA3	8p21	present at least in one case	present at least in one case
211051_s_at	EXTL3	8p21	present at least in one case	present at least in one case
221376_at	FGF17	8p21	present at least in one case	present at least in one case
209202_s_at	EXTL3	8p21	present at least in one case	present at least in one case
223843_at	SCARA3	8p21	present at least in one case	present at least in one case
221805_at	NEFL	8p21	present at least in one case	present at least in one case
221916_at	NEFL	8p21	present at least in one case	present at least in one case
219416_at	SCARA3	8p21	present at least in one case	present at least in one case
219683_at	FZD3	8p21	present at least in one case	present at least in one case
202701_at	BMP1	8p21	present at least in one case	present at least in one case
205574_x_at	BMP1	8p21	present at least in one case	present at least in one case
207595_s_at	BMP1	8p21	present at least in one case	present at least in one case
209706_at	NKX3-1	8p21	present at least in one case	present at least in one case
208459_s_at	XPO7	8p21	present at least in one case	present at least in one case
212166_at	XPO7	8p21	present at least in one case	present at least in one case
221478_at	BNIP3L	8p21	present at least in one case	present at least in one case
221479_s_at	BNIP3L	8p21	present at least in one case	present at least in one case
202744_at	SLC20A2	8p12-q21	present at least in one case	present at least in one case
201374_x_at	PPP2CB	8p12-p11.2	absent in all cases	absent in all cases
217303_s_at	ADRB3	8p12-p11.2	absent in all cases	absent in all cases
206812_at	ADRB3	8p12-p11.2	present at least in one case	present at least in one case
235634_at	WRN	8p12-p11.2	present at least in one case	present at least in one case
215983_s_at	D8S2298E	8p12-p11.2	present at least in one case	present at least in one case
205667_at	WRN	8p12-p11.2	present at least in one case	present at least in one case
201375_s_at	PPP2CB	8p12-p11.2	present at least in one case	present at least in one case
228413_s_at	SFRP1	8p12-p11.1	absent in all cases	absent in all cases
202036_s_at	SFRP1	8p12-p11.1	present at least in one case	present at least in one case
202035_s_at	SFRP1	8p12-p11.1	present at least in one case	present at least in one case
202037_s_at	SFRP1	8p12-p11.1	present at least in one case	present at least in one case
207837_at	RBPMS	8p12-p11	absent in all cases	absent in all cases
204014_at	DUSP4	8p12-p11	present at least in one case	present at least in one case
204015_s_at	DUSP4	8p12-p11	present at least in one case	present at least in one case
210029_at	INDO	8p12-p11	present at least in one case	present at least in one case
207836_s_at	RBPMS	8p12-p11	present at least in one case	present at least in one case
209488_s_at	RBPMS	8p12-p11	present at least in one case	present at least in one case
228200_at	RBPMS	8p12-p11	present at least in one case	present at least in one case
209487_at	RBPMS	8p12-p11	present at least in one case	present at least in one case
203261_at	DCTN6	8p12-p11	present at least in one case	present at least in one case
221448_s_at	TEX15	8p12	absent in all cases	absent in all cases
232760_at	TEX15	8p12	present at least in one case	present at least in one case
201860_s_at	PLAT	8p12	present at least in one case	present at least in one case
207737_at	1D12A	8p12	present at least in one case	present at least in one case
231258_at	MGC8721	8p12	present at least in one case	present at least in one case
202962_at	KIF13B	8p12	present at least in one case	present at least in one case
203941_at	FLJ10871	8p12	present at least in one case	present at least in one case
219269_at	FLJ21616	8p12	present at least in one case	present at least in one case
225504_at	FLJ21616	8p12	present at least in one case	present at least in one case
242904_x_at	MGC8721	8p12	present at least in one case	present at least in one case
221539_at	EIF4EBP1	8p12	present at least in one case	present at least in one case
200847_s_at	MGC8721	8p12	present at least in one case	present at least in one case
206619_at	DKK4	8p11.2-p11.1	absent in all cases	absent in all cases
207822_at	FGFR1	8p11.2-p11.1	present at least in one case	present at least in one case
207937_x_at	FGFR1	8p11.2-p11.1	present at least in one case	present at least in one case
210973_s_at	FGFR1	8p11.2-p11.1	present at least in one case	present at least in one case
213003_s_at	CEBPD	8p11.2-p11.1	present at least in one case	present at least in one case
215404_x_at	FGFR1	8p11.2-p11.1	present at least in one case	present at least in one case
211535_s_at	FGFR1	8p11.2-p11.1	present at least in one case	present at least in one case
226705_at	FGFR1	8p11.2-p11.1	present at least in one case	present at least in one case
213006_at	CEBPD	8p11.2-p11.1	present at least in one case	present at least in one case
203973_s_at	CEBPD	8p11.2-p11.1	present at least in one case	present at least in one case
231325_at	UNC5D	8p11.23-p11.22	absent in all cases	absent in all cases
219144_at	MGC1136	8p11.23	absent in all cases	absent in all cases
223976_at	FUT10	8p11.23	present at least in one case	present at least in one case
219124_at	FLJ23263	8p11.23	present at least in one case	present at least in one case
235472_at	FUT10	8p11.23	present at least in one case	present at least in one case
219897_at	FLJ12526	8p11.23	present at least in one case	present at least in one case
211686_s_at	LOC84549	8p11.23	present at least in one case	present at least in one case
230586_s_at	FLJ14299	8p11.22	absent in all cases	absent in all cases
222760_at	FLJ14299	8p11.22	present at least in one case	present at least in one case
231830_x_at	RCP	8p11.22	present at least in one case	present at least in one case
225177_at	RCP	8p11.22	present at least in one case	present at least in one case
219681_s_at	RCP	8p11.22	present at least in one case	present at least in one case
219877_at	FLJ13842	8p11.21	absent in all cases	absent in all cases
217677_at	PLEKHA2	8p11.21	present at least in one case	present at least in one case
207597_at	ADAM18	8p11.21	present at least in one case	present at least in one case
238013_at	PLEKHA2	8p11.21	present at least in one case	present at least in one case
223569_at	HTPAP	8p11.21	present at least in one case	present at least in one case
222909_s_at	BAG4	8p11.21	present at least in one case	present at least in one case
223568_s_at	HTPAP	8p11.21	present at least in one case	present at least in one case
226384_at	HTPAP	8p11.21	present at least in one case	present at least in one case
228189_at	BAG4	8p11.21	present at least in one case	present at least in one case
202381_at	ADAM9	8p11.21	present at least in one case	present at least in one case
212690_at	KIAA0725	8p11.21	present at least in one case	present at least in one case
226150_at	HTPAP	8p11.21	present at least in one case	present at least in one case
219624_at	BAG4	8p11.21	present at least in one case	present at least in one case
224413_s_at	BLP1	8p11.21	present at least in one case	present at least in one case
217819_at	LOC51125	8p11.21	present at least in one case	present at least in one case
207664_at	ADAM2	8p11.2	absent in all cases	absent in all cases
211027_s_at	IKBKB	8p11.2	absent in all cases	absent in all cases
217086_at	CHRNB3	8p11.2	absent in all cases	absent in all cases
224077_at	WHSC1L1	8p11.2	absent in all cases	absent in all cases
227315_x_at	PROSC	8p11.2	absent in all cases	absent in all cases
221248_s_at	WHSC1L1	8p11.2	present at least in one case	present at least in one case
218541_s_at	C8orf4	8p11.2	present at least in one case	present at least in one case
224127_at	C8orf4	8p11.2	present at least in one case	present at least in one case
231231_at	WHSC1L1	8p11.2	present at least in one case	present at least in one case
216519_s_at	PROSC	8p11.2	present at least in one case	present at least in one case
214545_s_at	PROSC	8p11.2	present at least in one case	present at least in one case
203410_at	AP3M2	8p11.2	present at least in one case	present at least in one case
209342_s_at	IKBKB	8p11.2	present at least in one case	present at least in one case
207859_s_at	CHRNB3	8p11.2	present at least in one case	present at least in one case
208588_at	FKSG2	8p11.2	present at least in one case	present at least in one case
218173_s_at	WHSC1L1	8p11.2	present at least in one case	present at least in one case
238496_at	WHSC1L1	8p11.2	present at least in one case	present at least in one case
238615_at	C8orf2	8p11.2	present at least in one case	present at least in one case
204548_at	STAR	8p11.2	present at least in one case	present at least in one case
221542_s_at	C8orf2	8p11.2	present at least in one case	present at least in one case
209385_s_at	PROSC	8p11.2	present at least in one case	present at least in one case
221543_s_at	C8orf2	8p11.2	present at least in one case	present at least in one case
209341_s_at	IKBKB	8p11.2	present at least in one case	present at least in one case
203616_at	POLB	8p11.2	present at least in one case	present at least in one case
208846_s_at	VDAC3	8p11.2	present at least in one case	present at least in one case
209384_at	PROSC	8p11.2	present at least in one case	present at least in one case
209517_s_at	ASH2L	8p11.2	present at least in one case	present at least in one case
224076_s_at	WHSC1L1	8p11.2	present at least in one case	present at least in one case
203534_at	LSM1	8p11.2	present at least in one case	present at least in one case
222544_s_at	WHSC1L1	8p11.2	present at least in one case	present at least in one case
211767_at	MGC14799	8p11.1	absent in all cases	absent in all cases
235029_at	MGC14799	8p11.1	absent in all cases	absent in all cases
227564_at	FLJ32731	8p11.1	present at least in one case	present at least in one case
218954_s_at	BRF2	8p11.1	present at least in one case	present at least in one case
222491_at	FLJ32731	8p11.1	present at least in one case	present at least in one case
224359_s_at	HOOK3	8p11.1	present at least in one case	present at least in one case
240363_at	ANK1	8p11.1	present at least in one case	present at least in one case
235114_x_at	HOOK3	8p11.1	present at least in one case	present at least in one case
220985_s_at	DKFZP564A022	8p11.1	present at least in one case	present at least in one case
221814_at	GPR124	8p11.1	present at least in one case	present at least in one case
207568_at	CHRNA6	8p11.1	present at least in one case	present at least in one case
226104_at	DKFZP564A022	8p11.1	present at least in one case	present at least in one case
205391_x_at	ANK1	8p11.1	present at least in one case	present at least in one case
208352_x_at	ANK1	8p11.1	present at least in one case	present at least in one case
207087_x_at	ANK1	8p11.1	present at least in one case	present at least in one case
219292_at	FLJ10477	8p11.1	present at least in one case	present at least in one case
65718_at	GPR124	8p11.1	present at least in one case	present at least in one case
205389_s_at	ANK1	8p11.1	present at least in one case	present at least in one case
205390_s_at	ANK1	8p11.1	present at least in one case	present at least in one case
208353_x_at	ANK1	8p11.1	present at least in one case	present at least in one case
218955_at	BRF2	8p11.1	present at least in one case	present at least in one case
218017_s_at	FLJ22242	8p11.1	present at least in one case	present at least in one case
224776_at	DKFZp586M1819	8p11.1	present at least in one case	present at least in one case
225534_at	LOC114926	8p11.1	present at least in one case	present at least in one case
217433_at	TACC1	8p11	absent in all cases	absent in all cases
220860_at	PURG	8p11	present at least in one case	present at least in one case
