HELP IDENTIFIER	GENE_SYMBOL
MSPI0406S00192187	FSTL1
MSPI0406S00193380	KALRN
MSPI0406S00196163	GP9
MSPI0406S00197620	SRPRB
MSPI0406S00198942	FAM62C
MSPI0406S00198943	FAM62C
MSPI0406S00199215	FOXL2
MSPI0406S00200422	CHST2
MSPI0406S00200908	ZIC4
MSPI0406S00200909	ZIC4
MSPI0406S00200917	ZIC4
MSPI0406S00200918	ZIC4
MSPI0406S00201276	WWTR1
MSPI0406S00201342	PFN2
MSPI0406S00201344	PFN2
MSPI0406S00202140	SGEF
MSPI0406S00202207	GPR149
MSPI0406S00202208	GPR149
MSPI0406S00202811	C3orf55
MSPI0406S00202962	MLF1
MSPI0406S00202963	MLF1
MSPI0406S00203374	TRIM59
MSPI0406S00203908	SLITRK3
MSPI0406S00203909	SLITRK3
MSPI0406S00205236	GHSR
MSPI0406S00205237	GHSR
MSPI0406S00206803	TTC14
MSPI0406S00208383	THPO
MSPI0406S00210642	LEPREL1
MSPI0406S00210700	CLDN1
MSPI0406S00211133	C3orf59
MSPI0406S00211204	HRASLS
MSPI0406S00213791	PIGZ
MSPI0406S00218067	LRPAP1
MSPI0406S00218347	ADRA2C
MSPI0406S00218746	OTOP1
MSPI0406S00218942	STX18
MSPI0406S00219110	MSX1
MSPI0406S00220131	PPP2R2C
MSPI0406S00220627	CCDC96
MSPI0406S00221627	AFAP1
MSPI0406S00222236	ACOX3
MSPI0406S00225408	PPARGC1A
MSPI0406S00228155	KLF3
MSPI0406S00228984	RHOH
MSPI0406S00229965	LOC152573
MSPI0406S00230655	ZAR1
MSPI0406S00231030	SPATA18
MSPI0406S00231857	NMU
MSPI0406S00231892	EXOC1
MSPI0406S00232413	IGFBP7
MSPI0406S00233292	EPHA5
MSPI0406S00233293	EPHA5
MSPI0406S00233294	EPHA5
MSPI0406S00234454	CXCL1
MSPI0406S00234463	CXCL5
MSPI0406S00235682	FGF5
MSPI0406S00235744	BMP3
MSPI0406S00236615	NKX6-1
MSPI0406S00236630	CDS1
MSPI0406S00236631	CDS1
MSPI0406S00236703	WDFY3
MSPI0406S00236929	PTPN13
MSPI0406S00236930	PTPN13
MSPI0406S00237718
MSPI0406S00237915	GRID2
MSPI0406S00238037	ATOH1
MSPI0406S00238038	ATOH1
MSPI0406S00238943	DDIT4L
MSPI0406S00239605	NPNT
MSPI0406S00240123	COL25A1
MSPI0406S00240476	PITX2
MSPI0406S00240477	PITX2
MSPI0406S00241932	C4orf31
MSPI0406S00241985	GPR103
MSPI0406S00242041	TMEM155
MSPI0406S00242796	INTU
MSPI0406S00242828	HSPA4L
MSPI0406S00244087	PCDH18
MSPI0406S00245844	POU4F2
MSPI0406S00247476	SFRP2
MSPI0406S00247614	LRAT
MSPI0406S00247615	LRAT
MSPI0406S00247772	GUCY1B3
MSPI0406S00247953	GRIA2
MSPI0406S00248764	NPY5R
MSPI0406S00249270	TLL1
MSPI0406S00250510	HAND2
MSPI0406S00250511	HAND2
MSPI0406S00250517	NBLA00301
MSPI0406S00250696	GLRA3
MSPI0406S00253736	PDLIM3
MSPI0406S00254314	FAT
MSPI0406S00254315	FAT
MSPI0406S00255451	HMX1
MSPI0406S00258559	CEI
MSPI0406S00258560	CEI
MSPI0406S00259604
MSPI0406S00260919	SEMA5A
MSPI0406S00262490	FBXL7
MSPI0406S00262974	MYO10
MSPI0406S00263172	BASP1
MSPI0406S00265126
MSPI0406S00265127
MSPI0406S00266024	RXFP3
MSPI0406S00266052	C1QTNF3
MSPI0406S00266372	PRLR
MSPI0406S00266993	GDNF
MSPI0406S00267000	GDNF
MSPI0406S00267272	OSMR
MSPI0406S00268078	MGC42105
MSPI0406S00268436	HCN1
MSPI0406S00269204	ESM1
MSPI0406S00269231	LOC493869
MSPI0406S00269789	MIER3
MSPI0406S00270147	RAB3C
MSPI0406S00270370	DEPDC1B
MSPI0406S00270454	DKFZP686E2158
MSPI0406S00270455	DKFZP686E2158
MSPI0406S00271472	MAST4
MSPI0406S00271473	MAST4
MSPI0406S00272174	OCLN
MSPI0406S00273474	FOXD1
MSPI0406S00274586	OTP
MSPI0406S00275324	THBS4
MSPI0406S00275563	DP58
MSPI0406S00275786	ZCCHC9
MSPI0406S00276151	VCAN
MSPI0406S00276188	HAPLN1
MSPI0406S00278113	RGMB
MSPI0406S00279100	EFNA5
MSPI0406S00279693	EPB41L4A
MSPI0406S00280105	KCNN2
MSPI0406S00280233	TRIM36
MSPI0406S00280342	CDO1
MSPI0406S00281244	SNCAIP
MSPI0406S00281421	PRDM6
MSPI0406S00282529	FBN2
MSPI0406S00282530	FBN2
MSPI0406S00282621	ADAMTS19
MSPI0406S00283357	ANKRD43
MSPI0406S00283373	SHROOM1
MSPI0406S00284168	PPP2CA
MSPI0406S00284948	NEUROG1
MSPI0406S00286279	MATR3
MSPI0406S00287223	PCDHA9
MSPI0406S00287290	PCDHB1
MSPI0406S00287324	PCDHB6
MSPI0406S00287329	PCDHB17
MSPI0406S00287338	PCDHB8
MSPI0406S00287341	PCDHB16
MSPI0406S00287342	PCDHB16
MSPI0406S00287346	PCDHB10
MSPI0406S00287348	PCDHB10
MSPI0406S00287350	PCDHB11
MSPI0406S00287361	PCDHB14
MSPI0406S00287362	PCDHB18
MSPI0406S00287375	PCDHB15
MSPI0406S00287376	PCDHB15
MSPI0406S00287435	PCDHGC5
MSPI0406S00287436	PCDHGC5
MSPI0406S00287460	PCDHGC5
MSPI0406S00287484	PCDHGC5
MSPI0406S00287492	PCDHGB7
MSPI0406S00287812	PCDH1
MSPI0406S00288561	HMHB1
MSPI0406S00288609	KCTD16
MSPI0406S00289451	SH3TC2
MSPI0406S00290637	ZNF300
MSPI0406S00290716	TNIP1
MSPI0406S00291100	GLRA1
MSPI0406S00295286
MSPI0406S00297223	NKX2-5
MSPI0406S00297985	MSX2
MSPI0406S00298213	DRD1
MSPI0406S00298502	CPLX2
MSPI0406S00299959	FLJ10404
MSPI0406S00300233	PROP1
MSPI0406S00301094	ZNF454
MSPI0406S00301145	GRM6
MSPI0406S00303026	BTNL9
MSPI0406S00303987	FOXQ1
MSPI0406S00305301	C6orf145
MSPI0406S00305367	FAM50B
MSPI0406S00306283	NRN1
MSPI0406S00307036	DSP
MSPI0406S00307118	BMP6
MSPI0406S00308144	ELOVL2
MSPI0406S00311624
MSPI0406S00312625	DCDC2
MSPI0406S00312956	CMAH
MSPI0406S00313773	PRSS16
MSPI0406S00314366	ZNF452
MSPI0406S00314367	ZNF452
MSPI0406S00316874	HLA-DQB1
MSPI0406S00317627	C6orf125
MSPI0406S00318837	SCUBE3
MSPI0406S00320627	MDGA1
MSPI0406S00323248	SRF
MSPI0406S00325106	C6orf141
MSPI0406S00326033	FAM83B
MSPI0406S00326173	COL21A1
MSPI0406S00326904	PTP4A1
MSPI0406S00327661	SMAP1
MSPI0406S00327721	B3GAT2
MSPI0406S00327722	B3GAT2
MSPI0406S00328864	HTR1B
MSPI0406S00328865	HTR1B
MSPI0406S00329443	TPBG
MSPI0406S00329444	TPBG
MSPI0406S00329603	ME1
MSPI0406S00329678	C6orf117
MSPI0406S00330223	SLC35A1
MSPI0406S00331431	EPHA7
MSPI0406S00331432	EPHA7
MSPI0406S00331617	FUT9
MSPI0406S00331890	POU3F2
MSPI0406S00331996	C6orf168
MSPI0406S00332081	PRDM13
MSPI0406S00332202	SIM1
MSPI0406S00332203	SIM1
MSPI0406S00332671	LIN28B
MSPI0406S00332672	LIN28B
MSPI0406S00334234
MSPI0406S00334364	GPR6
MSPI0406S00335376	MARCKS
MSPI0406S00335753	C6orf189
MSPI0406S00335804	VGLL2
MSPI0406S00336138	C6orf60
MSPI0406S00336620	PKIB
MSPI0406S00336651	SMPDL3A
MSPI0406S00337388	PTPRK
MSPI0406S00338230	EYA4
MSPI0406S00338337	TCF21
MSPI0406S00339056	MAP7
MSPI0406S00341030	GRM1
MSPI0406S00341031	GRM1
MSPI0406S00342047	LATS1
MSPI0406S00343708	CNKSR3
MSPI0406S00345463	TMEM181
MSPI0406S00348176	PDE10A
MSPI0406S00348529	PRR18
MSPI0406S00349938	DACT2
MSPI0406S00357204	LOC389458
MSPI0406S00357924	FSCN1
MSPI0406S00359596	NXPH1
MSPI0406S00359990	LOC730608
MSPI0406S00359991	LOC730608
MSPI0406S00360027
MSPI0406S00360272	ETV1
MSPI0406S00360458	MEOX2
MSPI0406S00360459	MEOX2
MSPI0406S00360957	TWIST1
MSPI0406S00360967	FERD3L
MSPI0406S00360968	FERD3L
MSPI0406S00361040	MGC42090
MSPI0406S00361218	SP8
MSPI0406S00363085	HOXA2
MSPI0406S00363122	HOXA5
MSPI0406S00363123	HOXA5
MSPI0406S00363232	EVX1
MSPI0406S00364869
MSPI0406S00367622	HECW1
MSPI0406S00369057	ADCY1
MSPI0406S00370105	LOC136288
MSPI0406S00370415	VWC2
MSPI0406S00371490	VSTM2A
MSPI0406S00371491	VSTM2A
MSPI0406S00374177
MSPI0406S00382576	tcag7.1314
MSPI0406S00383363	CACNA2D1
MSPI0406S00383790	GRM3
MSPI0406S00384032	ZNF804B
MSPI0406S00384156	FLJ21062
MSPI0406S00384705	TFPI2
MSPI0406S00384821	PEG10
MSPI0406S00384941	PDK4
MSPI0406S00384942	PDK4
MSPI0406S00385365	TAC1
MSPI0406S00385408	ASNS
MSPI0406S00388592	EMID2
MSPI0406S00390317	SLC26A5
MSPI0406S00390392	RELN
MSPI0406S00391621	LAMB1
MSPI0406S00391704	NRCAM
MSPI0406S00392747	WNT2
MSPI0406S00392748	WNT2
MSPI0406S00393150	WNT16
MSPI0406S00393217	PTPRZ1
MSPI0406S00393337	CADPS2
MSPI0406S00394642	TNPO3
MSPI0406S00394827	FAM40B
MSPI0406S00395522	COPG2
MSPI0406S00398239	TTC26
MSPI0406S00399844	TRBC1
MSPI0406S00402109	LOC643641
MSPI0406S00402708	NOS3
MSPI0406S00402984	ASB10
MSPI0406S00405490
MSPI0406S00405491
MSPI0406S00409191	C8orf42
MSPI0406S00409369	ERICH1
MSPI0406S00409370	C8orf68
MSPI0406S00416381	FGF20
MSPI0406S00417285	LPL
MSPI0406S00418115	FGF17
MSPI0406S00419479	NKX3-1
MSPI0406S00419549	STC1
MSPI0406S00419699	NEFM
MSPI0406S00419704	NEFM
MSPI0406S00419721	NEFL
MSPI0406S00419783	DOCK5
MSPI0406S00421222	ZNF395
MSPI0406S00425084	SFRP1
MSPI0406S00425232	AGPAT6
MSPI0406S00427673	EFCAB1
MSPI0406S00428392	UNQ9433
MSPI0406S00428486	NPBWR1
MSPI0406S00428550	OPRK1
MSPI0406S00428551	OPRK1
MSPI0406S00429517	MOS
MSPI0406S00429598	PENK
MSPI0406S00431009	BHLHB5
MSPI0406S00431010	BHLHB5
MSPI0406S00431037	CYP7B1
MSPI0406S00431189	ARMC1
MSPI0406S00431242	PDE7A
MSPI0406S00432270	PRDM14
MSPI0406S00432743	TERF1
MSPI0406S00433001	UBE2W
MSPI0406S00433160	JPH1
MSPI0406S00433662	STMN2
MSPI0406S00434315	CHMP4C
MSPI0406S00434316	CHMP4C
MSPI0406S00435412	EFCBP1
MSPI0406S00436714	PGCP
MSPI0406S00436981	LAPTM4B
MSPI0406S00437275	KCNS2
MSPI0406S00438210	GRHL2
MSPI0406S00439575	NUDCD1
MSPI0406S00440671	SAMD12
MSPI0406S00441641	WDR67
MSPI0406S00443971	ADCY8
MSPI0406S00444222	KCNQ3
MSPI0406S00452547	DMRT1
MSPI0406S00452637	DMRT3
MSPI0406S00452638	DMRT3
MSPI0406S00452688	DMRT2
MSPI0406S00454968	NFIB
MSPI0406S00456710	CDKN2A
MSPI0406S00456725	CDKN2B
MSPI0406S00456923	ELAVL2
MSPI0406S00456924	ELAVL2
MSPI0406S00458962	C9orf165
MSPI0406S00459077	IL11RA
MSPI0406S00459078	IL11RA
MSPI0406S00459467	SIT1
MSPI0406S00460689	EXOSC3
MSPI0406S00460735	MCART1
MSPI0406S00466266	PRUNE2
MSPI0406S00466605	CEP78
MSPI0406S00466630	PSAT1
MSPI0406S00467691	FRMD3
MSPI0406S00468461	GOLM1
MSPI0406S00468557	ISCA1
MSPI0406S00469058	CTSL1
MSPI0406S00470394	DIRAS2
MSPI0406S00471693	WNK2
MSPI0406S00473700	LOC648060
MSPI0406S00473949
MSPI0406S00474691	GABBR2
MSPI0406S00475397	C9orf125
MSPI0406S00475439	GRIN3A
MSPI0406S00476245	ZNF462
MSPI0406S00476246	ZNF462
MSPI0406S00478310	SLC46A2
MSPI0406S00478311	SLC46A2
MSPI0406S00478974	KIF12
MSPI0406S00478975	KIF12
MSPI0406S00480588	TRAF1
MSPI0406S00484414	SLC2A8
MSPI0406S00488286	EXOSC2
MSPI0406S00493061
MSPI0406S00494391	LHX3
MSPI0406S00496662	CACNA1B
MSPI0406S00496663	CACNA1B
MSPI0406S00500513	IL2RA
MSPI0406S00501433	TAF3
MSPI0406S00505093	ITGA8
MSPI0406S00507415	PTF1A
MSPI0406S00514578	GPRIN2
MSPI0406S00514579	GPRIN2
MSPI0406S00515978	CHAT
MSPI0406S00515979	CHAT
MSPI0406S00516076	OGDHL
MSPI0406S00520388	H2AFY2
MSPI0406S00520797	PRF1
MSPI0406S00526476	PCDH21
MSPI0406S00528396	BTAF1
MSPI0406S00528891	CYP26C1
MSPI0406S00529872	BLNK
MSPI0406S00531336	HPSE2
MSPI0406S00531337	HPSE2
MSPI0406S00532460	LBX1
MSPI0406S00533558	C10orf26
MSPI0406S00534667	SORCS3
MSPI0406S00535145	SORCS1
MSPI0406S00535747	SMC3
MSPI0406S00536187	ZDHHC6
MSPI0406S00537146	ABLIM1
MSPI0406S00537497	GFRA1
MSPI0406S00537618	C10orf82
MSPI0406S00537665	HSPA12A
MSPI0406S00537666	HSPA12A
MSPI0406S00537829	VAX1
MSPI0406S00538214	RAB11FIP2
MSPI0406S00538343	PRLHR
MSPI0406S00540372	HTRA1
MSPI0406S00540894	GPR26
MSPI0406S00542629	ADAM12
MSPI0406S00545699	TCERG1L
MSPI0406S00546393	DPYSL4
MSPI0406S00547384
MSPI0406S00547541	GPR123
MSPI0406S00547720	UTF1
MSPI0406S00548598	RNH1
MSPI0406S00550044	DUSP8
MSPI0406S00550770	IGF2AS
MSPI0406S00550771	IGF2AS
MSPI0406S00550940	ASCL2
MSPI0406S00552260
MSPI0406S00552261
MSPI0406S00553377	NLRP10
MSPI0406S00553378	NLRP10
MSPI0406S00553418	TUB
MSPI0406S00553419	TUB
MSPI0406S00554497	SBF2
MSPI0406S00555061	DKK3
MSPI0406S00556644	MYOD1
MSPI0406S00556963	UEVLD
MSPI0406S00557635	SLC6A5
MSPI0406S00557657	NELL1
MSPI0406S00557658	NELL1
MSPI0406S00558409	CCDC34
MSPI0406S00558499	BDNF
MSPI0406S00558500	BDNF
MSPI0406S00558713	KCNA4
MSPI0406S00560117	EHF
MSPI0406S00560564	FLJ14213
MSPI0406S00561063	LRRC4C
MSPI0406S00561583	ALKBH3
MSPI0406S00562467
MSPI0406S00562783	PEX16
MSPI0406S00564998	OR5T1
MSPI0406S00567221
MSPI0406S00567424	RAB3IL1
MSPI0406S00571763	NPAS4
MSPI0406S00574016	GAL
MSPI0406S00574020	GAL
MSPI0406S00575070	FGF19
MSPI0406S00577268	PHOX2A
MSPI0406S00579046	MAP6
MSPI0406S00579815	MYO7A
MSPI0406S00580227	KCTD14
MSPI0406S00582722	C11orf75
MSPI0406S00583902	PGR
MSPI0406S00585776	BTG4
MSPI0406S00585777	BTG4
MSPI0406S00586869	REXO2
MSPI0406S00588766	CD3D
MSPI0406S00588769	CD3D
MSPI0406S00592000	SIAE
MSPI0406S00592482	FEZ1
MSPI0406S00592590	PUS3
MSPI0406S00592591	PUS3
MSPI0406S00594561	ADAMTS15
MSPI0406S00595082	HNT
MSPI0406S00597567
MSPI0406S00600313	TNFRSF1A
MSPI0406S00600943	ATN1
MSPI0406S00601262	GDF3
MSPI0406S00601448	SLC2A3
MSPI0406S00603789	GRIN2B
MSPI0406S00604091	RERG
MSPI0406S00604100	PTPRO
MSPI0406S00606371
MSPI0406S00606375	PTHLH
MSPI0406S00606629	TMTC1
MSPI0406S00607104	FAM60A
MSPI0406S00608072	SYT10
MSPI0406S00608073	SYT10
MSPI0406S00609140	PRICKLE1
MSPI0406S00609141	PRICKLE1
MSPI0406S00609254	ADAMTS20
MSPI0406S00609466	DBX2
MSPI0406S00610352	H1FNT
MSPI0406S00611557	AQP5
MSPI0406S00613096	KRT81
MSPI0406S00614178	ATP5G2
MSPI0406S00614215	CALCOCO1
MSPI0406S00614304	HOXC12
MSPI0406S00614766	PPP1R1A
MSPI0406S00616476	B4GALNT1
MSPI0406S00616791	LRIG3
MSPI0406S00617589	C12orf56
MSPI0406S00617895	MSRB3
MSPI0406S00618009	HMGA2
MSPI0406S00618014	HMGA2
MSPI0406S00618015	HMGA2
MSPI0406S00618117	IRAK3
MSPI0406S00619189	PTPRR
MSPI0406S00619254	LGR5
MSPI0406S00620459	MYF6
MSPI0406S00620484	LIN7A
MSPI0406S00620884	SLC6A15
MSPI0406S00621954	NUDT4P1
MSPI0406S00624598	C12orf42
MSPI0406S00625770	C12orf23
MSPI0406S00626032	PRDM4
MSPI0406S00626671
MSPI0406S00629505	RASAL1
MSPI0406S00631360	C12orf49
MSPI0406S00632358	TAOK3
MSPI0406S00632674	CCDC60
MSPI0406S00641583	ULK1
MSPI0406S00642073	GALNT9
MSPI0406S00642959	ZNF84
MSPI0406S00643825	GJB6
MSPI0406S00646068	FAM123A
MSPI0406S00646134	NUPL1
MSPI0406S00646456	CDK8
MSPI0406S00647165	GSX1
MSPI0406S00647237	PDX1
MSPI0406S00647292	CDX2
MSPI0406S00649510	MAB21L1
MSPI0406S00649890	FAM48A
MSPI0406S00654088	PCDH8
MSPI0406S00654089	PCDH8
MSPI0406S00654622	PCDH17
MSPI0406S00655080	PCDH20
MSPI0406S00656935	KCTD12
MSPI0406S00659053	SOX21
MSPI0406S00659054	SOX21
MSPI0406S00659435	DZIP1
MSPI0406S00659520	UGCGL2
MSPI0406S00661059	ZIC5
MSPI0406S00661060	ZIC5
MSPI0406S00661619	ITGBL1
MSPI0406S00663554	COL4A1
MSPI0406S00664166	ARHGEF7
MSPI0406S00665139	TUBGCP3
MSPI0406S00667526	OSGEP
MSPI0406S00668987	PABPN1
MSPI0406S00669018	SLC22A17
MSPI0406S00669034	EFS
MSPI0406S00669080	MYH7
MSPI0406S00669167	ZFHX2
MSPI0406S00669205	AP1G2
MSPI0406S00669854	STXBP6
MSPI0406S00670034	NOVA1
MSPI0406S00670225	FOXG1
MSPI0406S00670226	FOXG1
MSPI0406S00670227	FOXG1
MSPI0406S00670532	COCH
MSPI0406S00671096	NPAS3
MSPI0406S00672344	NKX2-1
MSPI0406S00672367	NKX2-8
MSPI0406S00672368	NKX2-8
MSPI0406S00672387	PAX9
MSPI0406S00672388	PAX9
MSPI0406S00672399	PAX9
MSPI0406S00672498	MIPOL1
MSPI0406S00672667	SSTR1
MSPI0406S00672668	SSTR1
MSPI0406S00672684	CLEC14A
MSPI0406S00673146	LRFN5
MSPI0406S00674483	L2HGDH
MSPI0406S00676051	KTN1
MSPI0406S00677080	SIX6
MSPI0406S00677081	SIX6
MSPI0406S00677129	SIX1
MSPI0406S00677666	KCNH5
MSPI0406S00678019	SYNE2
MSPI0406S00679317	C14orf83
MSPI0406S00680432	SLC8A3
MSPI0406S00680945	RGS6
MSPI0406S00685030	GTF2A1
MSPI0406S00685620	FLRT2
MSPI0406S00686729	KCNK13
MSPI0406S00689001	PRIMA1
MSPI0406S00689297	SERPINA10
MSPI0406S00689565	GSC
MSPI0406S00690443	ATG2B
MSPI0406S00692037	EML1
MSPI0406S00693536	DIO3
MSPI0406S00695979	KIF26A
MSPI0406S00696541	TMEM179
MSPI0406S00697068	CDCA4
MSPI0406S00701123	GABRB3
MSPI0406S00701188	GABRG3
MSPI0406S00702676	TJP1
MSPI0406S00702677	TJP1
MSPI0406S00704116	SCG5
MSPI0406S00704151	GREM1
MSPI0406S00704152	GREM1
MSPI0406S00706126	C15orf23
MSPI0406S00709066	DUOXA1
MSPI0406S00710608	SCG3
MSPI0406S00711628	PYGO1
MSPI0406S00712811	FAM81A
MSPI0406S00713621	NLF1
MSPI0406S00714069	TPM1
MSPI0406S00717528	PAQR5
MSPI0406S00718319	UACA
MSPI0406S00719217	HCN4
MSPI0406S00719314	CD276
MSPI0406S00721079	C15orf27
MSPI0406S00722613	MORF4L1
MSPI0406S00722761	RASGRF1
MSPI0406S00722838	KIAA1024
MSPI0406S00723367	KIAA1199
MSPI0406S00724306	AP3B2
MSPI0406S00729141	RGMA
MSPI0406S00730114	NR2F2
MSPI0406S00731997	ALDH1A3
MSPI0406S00731998	ALDH1A3
MSPI0406S00737402	PAQR4
MSPI0406S00741172	C16orf68
MSPI0406S00745502	C16orf45
MSPI0406S00747836	SYT17
MSPI0406S00748233	GPRC5B
MSPI0406S00748318	GPR139
MSPI0406S00749465	CDR2
MSPI0406S00750235	CHP2
MSPI0406S00759209	SALL1
MSPI0406S00759661
MSPI0406S00760454	IRX6
MSPI0406S00760548	SLC6A2
MSPI0406S00760933	MT2A
MSPI0406S00762230	C16orf80
MSPI0406S00762387	NDRG4
MSPI0406S00762508	CNOT1
MSPI0406S00763103	CDH8
