Affy-ID	gene	chromosomal locus	expression with respect to all cases	expression with respect to cases with +13 and normal
219660_s_at	ATP8A2	13q12-13	present at least in one case	present at least in one case
214886_s_at	CG018	13q12-q13	absent in all cases	absent in all cases
215105_at	CG030	13q12-q13	absent in all cases	absent in all cases
214887_at	CG018	13q12-q13	present at least in one case	present at least in one case
213103_at	STARD13	13q12-q13	present at least in one case	present at least in one case
215318_at	CG012	13q12-q13	present at least in one case	present at least in one case
217197_x_at	CG018	13q12-q13	present at least in one case	present at least in one case
214906_x_at	CG018	13q12-q13	present at least in one case	present at least in one case
202259_s_at	CG005	13q12-q13	present at least in one case	present at least in one case
213375_s_at	CG018	13q12-q13	present at least in one case	present at least in one case
221899_at	CG005	13q12-q13	present at least in one case	present at least in one case
201534_s_at	UBL3	13q12-q13	present at least in one case	present at least in one case
201535_at	UBL3	13q12-q13	present at least in one case	present at least in one case
202258_s_at	CG005	13q12-q13	present at least in one case	present at least in one case
223306_at	EBRP	13q12-q13	present at least in one case	present at least in one case
208113_x_at	PABPC3	13q12-q13	present at least in one case	present at least in one case
206320_s_at	MADH9	13q12-q14	absent in all cases	absent in all cases
206566_at	SLC7A1	13q12-q14	present at least in one case	present at least in one case
212292_at	SLC7A1	13q12-q14	present at least in one case	present at least in one case
204190_at	D13S106E	13q12-q14	present at least in one case	present at least in one case
214327_x_at	TPT1	13q12-q14	present at least in one case	present at least in one case
216520_s_at	TPT1	13q12-q14	present at least in one case	present at least in one case
207783_x_at	TPT1	13q12-q14	present at least in one case	present at least in one case
212869_x_at	TPT1	13q12-q14	present at least in one case	present at least in one case
206163_at	MAB21L1	13q13	present at least in one case	present at least in one case
226439_s_at	NBEA	13q13	present at least in one case	present at least in one case
221207_s_at	NBEA	13q13	present at least in one case	present at least in one case
212420_at	ELF1	13q13	present at least in one case	present at least in one case
212418_at	ELF1	13q13	present at least in one case	present at least in one case
216965_x_at	SPG20	13q13.1	absent in all cases	absent in all cases
220129_at	FLJ20449	13q13.1	present at least in one case	present at least in one case
210809_s_at	OSF-2	13q13.1	present at least in one case	present at least in one case
230775_s_at	SPG20	13q13.1	present at least in one case	present at least in one case
236600_at	SPG20	13q13.1	present at least in one case	present at least in one case
222556_at	ALG5	13q13.1	present at least in one case	present at least in one case
221774_x_at	P38IP	13q13.1	present at least in one case	present at least in one case
226330_s_at	P38IP	13q13.1	present at least in one case	present at least in one case
220408_x_at	P38IP	13q13.1	present at least in one case	present at least in one case
212526_at	SPG20	13q13.1	present at least in one case	present at least in one case
215136_s_at	OIP2	13q13.1	present at least in one case	present at least in one case
218203_at	ALG5	13q13.1	present at least in one case	present at least in one case
220817_at	TRPC4	13q13.1-q13.2	absent in all cases	absent in all cases
220818_s_at	TRPC4	13q13.1-q13.2	absent in all cases	absent in all cases
224219_s_at	TRPC4	13q13.1-q13.2	absent in all cases	absent in all cases
224220_x_at	TRPC4	13q13.1-q13.2	absent in all cases	absent in all cases
232786_at	COG6	13q13.2	present at least in one case	present at least in one case
236953_s_at	LOC283506	13q13.2	present at least in one case	present at least in one case
239314_at	LOC283506	13q13.2	present at least in one case	present at least in one case
225769_at	COG6	13q13.2	present at least in one case	present at least in one case
222502_s_at	BM-002	13q13.2	present at least in one case	present at least in one case
218420_s_at	FLJ12661	13q13.2	present at least in one case	present at least in one case
225887_at	FLJ12661	13q13.2	present at least in one case	present at least in one case
218050_at	BM-002	13q13.2	present at least in one case	present at least in one case
220930_s_at	MGC5590	13q13.3	absent in all cases	absent in all cases
232318_s_at	LOC121838	13q13.3	absent in all cases	absent in all cases
236770_at	LOC283507	13q13.3	absent in all cases	absent in all cases
220656_at	PRO2435	13q13.3	present at least in one case	present at least in one case
219501_at	FLJ10094	13q13.3	present at least in one case	present at least in one case
220931_at	MGC5590	13q13.3	present at least in one case	present at least in one case
227415_at	LOC283508	13q13.3	present at least in one case	present at least in one case
229298_at	DKFZP434E2318	13q13.3	present at least in one case	present at least in one case
215336_at	AKAP11	13q13.3	present at least in one case	present at least in one case
223412_at	DKFZP434E2318	13q13.3	present at least in one case	present at least in one case
228193_s_at	RGC32	13q13.3	present at least in one case	present at least in one case
214231_s_at	KIAA0564	13q13.3	present at least in one case	present at least in one case
203598_s_at	WBP4	13q13.3	present at least in one case	present at least in one case
226479_at	DKFZp547E1912	13q13.3	present at least in one case	present at least in one case
235276_at	EPSTI1	13q13.3	present at least in one case	present at least in one case
203597_s_at	WBP4	13q13.3	present at least in one case	present at least in one case
212603_at	MRPS31	13q13.3	present at least in one case	present at least in one case
212604_at	MRPS31	13q13.3	present at least in one case	present at least in one case
203599_s_at	WBP4	13q13.3	present at least in one case	present at least in one case
212946_at	KIAA0564	13q13.3	present at least in one case	present at least in one case
227609_at	EPSTI1	13q13.3	present at least in one case	present at least in one case
203156_at	AKAP11	13q13.3	present at least in one case	present at least in one case
219378_at	FLJ22054	13q13.3	present at least in one case	present at least in one case
218723_s_at	RGC32	13q13.3	present at least in one case	present at least in one case
226429_at	LSR7	13q13-q14	present at least in one case	present at least in one case
220171_x_at	LSR7	13q13-q14	present at least in one case	present at least in one case
229078_s_at	LSR7	13q13-q14	present at least in one case	present at least in one case
223606_x_at	LSR7	13q13-q14	present at least in one case	present at least in one case
229891_x_at	LSR7	13q13-q14	present at least in one case	present at least in one case
205399_at	DCAMKL1	13q13-q14.1	present at least in one case	present at least in one case
208492_at	RFXAP	13q14	absent in all cases	absent in all cases
211153_s_at	TNFSF11	13q14	absent in all cases	absent in all cases
222705_s_at	SLC25A15	13q14	absent in all cases	absent in all cases
229990_at	TSC22	13q14	absent in all cases	absent in all cases
214668_at	C13orf1	13q14	present at least in one case	absent in all cases
243133_at	TSC22	13q14	present at least in one case	present at least in one case
210643_at	TNFSF11	13q14	present at least in one case	present at least in one case
205136_s_at	NUFIP1	13q14	present at least in one case	present at least in one case
237745_at	TSC22	13q14	present at least in one case	present at least in one case
230151_at	C13orf1	13q14	present at least in one case	present at least in one case
235338_s_at	C13orf4	13q14	present at least in one case	present at least in one case
209595_at	GTF2F2	13q14	present at least in one case	present at least in one case
235339_at	C13orf4	13q14	present at least in one case	present at least in one case
229943_at	RFP2	13q14	present at least in one case	present at least in one case
218653_at	SLC25A15	13q14	present at least in one case	present at least in one case
229431_at	RFXAP	13q14	present at least in one case	present at least in one case
205134_s_at	NUFIP1	13q14	present at least in one case	present at least in one case
205135_s_at	NUFIP1	13q14	present at least in one case	present at least in one case
218352_at	FLJ10716	13q14	present at least in one case	present at least in one case
218252_at	CKAP2	13q14	present at least in one case	present at least in one case
218589_at	P2RY5	13q14	present at least in one case	present at least in one case
203659_s_at	RFP2	13q14	present at least in one case	present at least in one case
215111_s_at	TSC22	13q14	present at least in one case	present at least in one case
228484_s_at	FOXO1A	13q14.1	absent in all cases	absent in all cases
202724_s_at	FOXO1A	13q14.1	present at least in one case	present at least in one case
227808_at	MCJ	13q14.1	present at least in one case	present at least in one case
202723_s_at	FOXO1A	13q14.1	present at least in one case	present at least in one case
218435_at	MCJ	13q14.1	present at least in one case	present at least in one case
221003_s_at	FLJ12577	13q14.11	absent in all cases	absent in all cases
241611_s_at	KIAA0970	13q14.11	absent in all cases	absent in all cases
238961_s_at	KIAA0970	13q14.11	present at least in one case	present at least in one case
239098_at	KCNRG	13q14.11	present at least in one case	present at least in one case
230192_at	KCNRG	13q14.11	present at least in one case	present at least in one case
206651_s_at	CPB2	13q14.11	present at least in one case	present at least in one case
214936_at	CHDC1	13q14.11	present at least in one case	present at least in one case
209851_at	KIAA0853	13q14.11	present at least in one case	present at least in one case
221015_s_at	NYD-SP15	13q14.11	present at least in one case	present at least in one case
215910_s_at	KIAA0970	13q14.11	present at least in one case	present at least in one case
242060_x_at	NY-REN-34	13q14.11	present at least in one case	present at least in one case
240288_at	KCNRG	13q14.11	present at least in one case	present at least in one case
44790_s_at	C13orf18	13q14.11	present at least in one case	present at least in one case
222438_at	HSPC126	13q14.11	present at least in one case	present at least in one case
219471_at	C13orf18	13q14.11	present at least in one case	present at least in one case
233564_s_at	NYD-SP15	13q14.11	present at least in one case	present at least in one case
227536_at	KIAA0853	13q14.11	present at least in one case	present at least in one case
225914_s_at	FLJ12577	13q14.11	present at least in one case	present at least in one case
223450_s_at	COG3	13q14.11	present at least in one case	present at least in one case
223527_s_at	NYD-SP15	13q14.11	present at least in one case	present at least in one case
226782_at	LOC253512	13q14.11	present at least in one case	present at least in one case
219347_at	FLJ10956	13q14.11	present at least in one case	present at least in one case
217843_s_at	HSPC126	13q14.11	present at least in one case	present at least in one case
212402_at	KIAA0853	13q14.11	present at least in one case	present at least in one case
202304_at	KIAA0970	13q14.11	present at least in one case	present at least in one case
233647_s_at	NYD-SP15	13q14.11	present at least in one case	present at least in one case
221816_s_at	NY-REN-34	13q14.11	present at least in one case	present at least in one case
244763_at	MTRF1	13q14.1-14.3	present at least in one case	present at least in one case
219822_at	MTRF1	13q14.1-14.3	present at least in one case	present at least in one case
221167_s_at	DKFZP434K1172	13q14.12	absent in all cases	absent in all cases
231345_s_at	FLJ13639	13q14.12	absent in all cases	absent in all cases
204801_s_at	FLJ13639	13q14.12	present at least in one case	present at least in one case
230762_at	FLJ13639	13q14.12	present at least in one case	present at least in one case
230519_at	FLJ30707	13q14.12	present at least in one case	present at least in one case
233156_at	FLJ11712	13q14.12	present at least in one case	present at least in one case
243514_at	WDFY2	13q14.12	present at least in one case	present at least in one case
204800_s_at	FLJ13639	13q14.12	present at least in one case	present at least in one case
229210_at	FLJ11712	13q14.12	present at least in one case	present at least in one case
227490_at	WDFY2	13q14.12	present at least in one case	present at least in one case
219056_at	FLJ11712	13q14.12	present at least in one case	present at least in one case
220813_at	CYSLTR2	13q14.12-21.1	present at least in one case	present at least in one case
222239_s_at	DDX26	13q14.12-q14.2	present at least in one case	present at least in one case
218819_at	DDX26	13q14.12-q14.2	present at least in one case	present at least in one case
219477_s_at	THSD1	13q14.13	present at least in one case	present at least in one case
211089_s_at	NEK3	13q14.13	present at least in one case	present at least in one case
223330_s_at	SUGT1	13q14.13	present at least in one case	present at least in one case
212768_s_at	GW112	13q14.13	present at least in one case	present at least in one case
213116_at	NEK3	13q14.13	present at least in one case	present at least in one case
222478_at	C13orf9	13q14.13	present at least in one case	present at least in one case
224309_s_at	SUGT1	13q14.13	present at least in one case	present at least in one case
223329_x_at	SUGT1	13q14.13	present at least in one case	present at least in one case
215095_at	ESD	13q14.1-q14.2	present at least in one case	present at least in one case
228162_at	ESD	13q14.1-q14.2	present at least in one case	present at least in one case
215096_s_at	ESD	13q14.1-q14.2	present at least in one case	present at least in one case
209009_at	ESD	13q14.1-q14.2	present at least in one case	present at least in one case
211540_s_at	RB1	13q14.2	present at least in one case	present at least in one case
203132_at	RB1	13q14.2	present at least in one case	present at least in one case
220506_at	GUCY1B2	13q14.2-q14.3	absent in all cases	absent in all cases
218520_at	TBK1	13q14.2-q14.3	present at least in one case	present at least in one case
204624_at	ATP7B	13q14.2-q21	present at least in one case	present at least in one case
216856_s_at	DLEU2	13q14.3	absent in all cases	absent in all cases
220997_s_at	DIAPH3	13q14.3	absent in all cases	absent in all cases
232596_at	DIAPH3	13q14.3	present at least in one case	present at least in one case
227289_at	LOC144997	13q14.3	present at least in one case	present at least in one case
239936_at	DLEU2	13q14.3	present at least in one case	present at least in one case
214028_x_at	TDRD3	13q14.3	present at least in one case	present at least in one case
205656_at	PCDH17	13q14.3	present at least in one case	present at least in one case
208089_s_at	TDRD3	13q14.3	present at least in one case	present at least in one case
216870_x_at	DLEU2	13q14.3	present at least in one case	present at least in one case
204759_at	CHC1L	13q14.3	present at least in one case	present at least in one case
205677_s_at	DLEU1	13q14.3	present at least in one case	present at least in one case
221503_s_at	KPNA3	13q14.3	present at least in one case	present at least in one case
221502_at	KPNA3	13q14.3	present at least in one case	present at least in one case
217731_s_at	ITM2B	13q14.3	present at least in one case	present at least in one case
208885_at	LCP1	13q14.3	present at least in one case	present at least in one case
217732_s_at	ITM2B	13q14.3	present at least in one case	present at least in one case
219738_s_at	PCDH9	13q14.3-q21.1	present at least in one case	present at least in one case
206935_at	PCDH8	13q14.3-q21.1	present at least in one case	present at least in one case
219737_s_at	PCDH9	13q14.3-q21.1	present at least in one case	present at least in one case
221365_at	GPR38	13q14-q21	present at least in one case	present at least in one case
211616_s_at	HTR2A	13q14-q21	present at least in one case	present at least in one case
206309_at	LECT1	13q14-q21	present at least in one case	present at least in one case
207135_at	HTR2A	13q14-q21	present at least in one case	present at least in one case
216404_at	SCA8	13q21	absent in all cases	absent in all cases
223810_at	KLHL1	13q21	absent in all cases	absent in all cases
232054_at	PCDH20	13q21	present at least in one case	present at least in one case
216391_s_at	KLHL1	13q21	present at least in one case	present at least in one case
222327_x_at	LOC283491	13q21.1	present at least in one case	present at least in one case
241953_at	FLJ25694	13q21.1	present at least in one case	present at least in one case
239997_at	POU4F1	13q21.1-q22	absent in all cases	absent in all cases
231354_at	POU4F1	13q21.1-q22	present at least in one case	present at least in one case
211341_at	POU4F1	13q21.1-q22	present at least in one case	present at least in one case
206940_s_at	POU4F1	13q21.1-q22	present at least in one case	present at least in one case
204085_s_at	CLN5	13q21.1-q32	present at least in one case	present at least in one case
204084_s_at	CLN5	13q21.1-q32	present at least in one case	present at least in one case
214252_s_at	CLN5	13q21.1-q32	present at least in one case	present at least in one case
214194_at	DIS3	13q21.32	present at least in one case	present at least in one case
209211_at	KLF5	13q21.32	present at least in one case	present at least in one case
218362_s_at	DIS3	13q21.32	present at least in one case	present at least in one case
209212_s_at	KLF5	13q21.32	present at least in one case	present at least in one case
213239_at	PIBF1	13q21.32	present at least in one case	present at least in one case
219544_at	FLJ22624	13q21.32	present at least in one case	present at least in one case
234660_s_at	DIS3	13q21.32	present at least in one case	present at least in one case
222607_s_at	DIS3	13q21.32	present at least in one case	present at least in one case
242722_at	LMO7	13q21.33	absent in all cases	absent in all cases
202674_s_at	LMO7	13q21.33	present at least in one case	present at least in one case
203387_s_at	TBC1D4	13q21.33	present at least in one case	present at least in one case
203386_at	TBC1D4	13q21.33	present at least in one case	present at least in one case
225619_at	FLJ30046	13q21.33	present at least in one case	present at least in one case
212188_at	LOC115207	13q21.33	present at least in one case	present at least in one case
212192_at	LOC115207	13q21.33	present at least in one case	present at least in one case
204616_at	UCHL3	13q21.33	present at least in one case	present at least in one case
206884_s_at	SCEL	13q22	absent in all cases	absent in all cases
208467_at	KLF12	13q22	absent in all cases	absent in all cases
214276_at	KLF12	13q22	absent in all cases	absent in all cases
239019_at	KLF12	13q22	absent in all cases	absent in all cases
238940_at	KLF12	13q22	present at least in one case	present at least in one case
206965_at	KLF12	13q22	present at least in one case	present at least in one case
229881_at	KLF12	13q22	present at least in one case	present at least in one case
208529_at	BTF3L1	13q22	present at least in one case	present at least in one case
232056_at	SCEL	13q22	present at least in one case	present at least in one case
206701_x_at	EDNRB	13q22	present at least in one case	present at least in one case
204273_at	EDNRB	13q22	present at least in one case	present at least in one case
206966_s_at	KLF12	13q22	present at least in one case	present at least in one case
205472_s_at	DACH	13q22	present at least in one case	present at least in one case
204271_s_at	EDNRB	13q22	present at least in one case	present at least in one case
227261_at	KLF12	13q22	present at least in one case	present at least in one case
205471_s_at	DACH	13q22	present at least in one case	present at least in one case
228915_at	DACH	13q22	present at least in one case	present at least in one case
202414_at	ERCC5	13q22	present at least in one case	present at least in one case
201959_s_at	KIAA0916	13q22	present at least in one case	present at least in one case
201960_s_at	KIAA0916	13q22	present at least in one case	present at least in one case
225132_at	FBXL3A	13q22	present at least in one case	present at least in one case
230190_at	NDFIP2	13q22.1	present at least in one case	present at least in one case
220509_at	C13orf10	13q22.1	present at least in one case	present at least in one case
224802_at	NDFIP2	13q22.1	present at least in one case	present at least in one case
224801_at	NDFIP2	13q22.1	present at least in one case	present at least in one case
219303_at	C13orf7	13q22.1	present at least in one case	present at least in one case
222626_at	SE70-2	13q22.1	present at least in one case	present at least in one case
218422_s_at	SE70-2	13q22.1	present at least in one case	present at least in one case
204011_at	SPRY2	13q22.1	present at least in one case	present at least in one case
236734_at	KIAA1910	13q22.3	absent in all cases	absent in all cases
232481_s_at	DKFZp564O1278	13q31.1	present at least in one case	present at least in one case
214930_at	KIAA0918	13q31.1	present at least in one case	present at least in one case
208854_s_at	STK24	13q31.2-q32.3	present at least in one case	present at least in one case
208855_s_at	STK24	13q31.2-q32.3	present at least in one case	present at least in one case
232912_at	LOC160897	13q31.3	present at least in one case	present at least in one case
231871_at	LOC160897	13q31.3	present at least in one case	present at least in one case
208249_s_at	TDPGD	13q31.3	present at least in one case	present at least in one case
208468_at	SOX21	13q31-q32	absent in all cases	absent in all cases
205328_at	CLDN10	13q31-q34	present at least in one case	present at least in one case
207174_at	GPC5	13q32	absent in all cases	absent in all cases
223642_at	ZIC2	13q32	absent in all cases	absent in all cases
223730_at	GPC6	13q32	absent in all cases	absent in all cases
216512_s_at	DCT	13q32	present at least in one case	absent in all cases
205337_at	DCT	13q32	present at least in one case	present at least in one case
216513_at	DCT	13q32	present at least in one case	present at least in one case
205338_s_at	DCT	13q32	present at least in one case	present at least in one case
203860_at	PCCA	13q32	present at least in one case	present at least in one case
208499_s_at	DNAJC3	13q32	present at least in one case	present at least in one case
210279_at	GPR18	13q32	present at least in one case	present at least in one case
203196_at	ABCC4	13q32	present at least in one case	present at least in one case
204556_s_at	DZIP1	13q32.1	absent in all cases	absent in all cases
205017_s_at	MBNL2	13q32.1	absent in all cases	absent in all cases
229714_at	LOC283476	13q32.1	absent in all cases	absent in all cases
232275_s_at	LOC283476	13q32.1	absent in all cases	absent in all cases
233945_at	UGCGL2	13q32.1	absent in all cases	absent in all cases
204557_s_at	DZIP1	13q32.1	present at least in one case	present at least in one case
232276_at	LOC283476	13q32.1	present at least in one case	present at least in one case
218801_at	UGCGL2	13q32.1	present at least in one case	present at least in one case
235749_at	UGCGL2	13q32.1	present at least in one case	present at least in one case
205018_s_at	MBNL2	13q32.1	present at least in one case	present at least in one case
203640_at	MBNL2	13q32.1	present at least in one case	present at least in one case
225284_at	LOC144871	13q32.1	present at least in one case	present at least in one case
215041_s_at	zizimin1	13q32.2	absent in all cases	absent in all cases
201910_at	FARP1	13q32.2	present at least in one case	absent in all cases
215238_s_at	zizimin1	13q32.2	present at least in one case	present at least in one case
201911_s_at	FARP1	13q32.2	present at least in one case	present at least in one case
212538_at	zizimin1	13q32.2	present at least in one case	present at least in one case
211952_at	KPNB3	13q32.2	present at least in one case	present at least in one case
211953_s_at	KPNB3	13q32.2	present at least in one case	present at least in one case
211955_at	KPNB3	13q32.2	present at least in one case	present at least in one case
211954_s_at	KPNB3	13q32.2	present at least in one case	present at least in one case
205419_at	EBI2	13q32.2	present at least in one case	present at least in one case
201078_at	TM9SF2	13q32.2	present at least in one case	present at least in one case
228608_at	VGCNL1	13q32.3	absent in all cases	absent in all cases
237392_at	LOC283480	13q32.3	absent in all cases	absent in all cases
232422_at	LOC87769	13q32.3	present at least in one case	present at least in one case
225666_at	FLJ14624	13q32.3	present at least in one case	present at least in one case
213346_at	LOC93081	13q32.3	present at least in one case	present at least in one case
223502_s_at	TNFSF13B	13q32-34	present at least in one case	present at least in one case
203375_s_at	TPP2	13q32-q33	present at least in one case	present at least in one case
229478_x_at	BIVM	13q32-q33.1	present at least in one case	present at least in one case
229589_x_at	BIVM	13q32-q33.1	present at least in one case	present at least in one case
233255_s_at	BIVM	13q32-q33.1	present at least in one case	present at least in one case
222761_at	BIVM	13q32-q33.1	present at least in one case	present at least in one case
205422_s_at	ITGBL1	13q33	absent in all cases	absent in all cases
