Probe Set ID	Fold Change
138_at	-2.099
37447_at	-2.084
39750_at	-2.06
40240_at	-2.052
32693_at	-2.046
36607_at	-2.035
37272_at	-2.016
33296_at	-2.008
38865_at	-2.007
35859_f_at	-2.004
39824_at	-1.997
36515_at	-1.995
34276_at	-1.983
35345_at	-1.973
755_at	-1.957
2057_g_at	-1.947
32138_at	-1.912
37774_at	-1.911
40077_at	-1.909
40049_at	-1.906
37432_g_at	-1.892
32826_at	-1.871
36209_at	-1.86
2021_s_at	-1.857
41018_at	-1.85
34713_at	-1.848
38034_at	-1.848
39332_at	-1.843
36562_at	-1.833
39040_at	-1.832
35235_at	-1.828
36199_at	-1.828
33197_at	-1.827
41622_r_at	-1.818
33164_at	-1.815
482_at	-1.811
41346_at	-1.803
41039_at	-1.8
1664_at	-1.798
41107_at	-1.789
41671_at	-1.785
35419_g_at	-1.783
36143_at	-1.782
32358_at	-1.779
40678_at	-1.774
35219_at	-1.773
41013_at	-1.772
34318_at	-1.771
36589_at	-1.77
496_s_at	-1.751
33173_g_at	-1.742
35347_at	-1.728
36136_at	-1.72
32874_at	-1.712
1386_at	-1.704
38286_at	-1.703
36592_at	-1.694
36061_at	-1.685
39008_at	-1.683
33413_at	-1.682
31855_at	-1.675
37794_at	-1.663
41720_r_at	-1.655
37550_at	-1.65
33362_at	-1.648
35348_at	-1.647
41174_at	-1.632
38636_at	-1.611
37836_at	-1.607
1385_at	-1.601
32708_g_at	-1.599
40997_at	-1.591
33788_at	-1.579
35992_at	-1.551
37590_g_at	-1.541
37406_at	-1.518
31896_at	-1.515
33168_at	-1.505
32048_at	-1.445
39986_at	-1.445
41003_at	-1.439
37248_at	-1.436
38621_at	-1.42
38918_at	-1.416
39025_at	-1.408
1673_at	-1.385
39601_at	-1.372
38748_at	-1.28
