Affy-ID	gene	chromosomal locus	expression with respect to all cases	expression with respect to cases with -7 and normal
224208_at	FAPP2	7p21-p11.2	absent in all cases	absent in all cases
223883_s_at	STK31	7p21.3-p21.2	absent in all cases	absent in all cases
209173_at	AGR2	7p21.3	present at least in one case	present at least in one case
214920_at	LOC221981	7p21.3	present at least in one case	present at least in one case
213894_at	KIAA0960	7p21.3	present at least in one case	present at least in one case
221910_at	LOC221810	7p21.3	present at least in one case	present at least in one case
204525_at	KIAA0783	7p21.3	present at least in one case	present at least in one case
233666_at	FLJ11273	7p21.3	present at least in one case	present at least in one case
222787_s_at	FLJ11273	7p21.3	present at least in one case	present at least in one case
218930_s_at	FLJ11273	7p21.3	present at least in one case	present at least in one case
228095_at	KIAA0783	7p21.3	present at least in one case	present at least in one case
226529_at	FLJ11273	7p21.3	present at least in one case	present at least in one case
217773_s_at	NDUFA4	7p21.3	present at least in one case	present at least in one case
216307_at	DGKB	7p21.3	absent in all cases	absent in all cases
221911_at	LOC221810	7p21.3	absent in all cases	absent in all cases
222272_x_at	SCIN	7p21.3	absent in all cases	absent in all cases
228969_at	AGR2	7p21.3	absent in all cases	absent in all cases
239365_at	SCIN	7p21.3	absent in all cases	absent in all cases
233043_at	LOC221814	7p21.2	present at least in one case	present at least in one case
213943_at	TWIST	7p21.2	present at least in one case	present at least in one case
215820_x_at	SNX13	7p21.1	present at least in one case	present at least in one case
213456_at	DKFZp564D206	7p21.1	present at least in one case	present at least in one case
215486_at	LOC221823	7p21.1	present at least in one case	present at least in one case
215366_at	SNX13	7p21.1	present at least in one case	present at least in one case
213292_s_at	SNX13	7p21.1	present at least in one case	present at least in one case
217979_at	NET-6	7p21.1	present at least in one case	present at least in one case
217809_at	BZW2	7p21.1	present at least in one case	present at least in one case
228241_at	BCMP11	7p21.1	absent in all cases	absent in all cases
237804_at	DNAH11	7p21	present at least in one case	present at least in one case
205207_at	IL6	7p21	present at least in one case	present at least in one case
212798_s_at	DKFZP564O043	7p21	present at least in one case	present at least in one case
231786_at	HOXA13	7p15-p14	present at least in one case	present at least in one case
231365_at	HOXA9	7p15-p14	present at least in one case	present at least in one case
208493_at	HOXA11	7p15-p14	present at least in one case	present at least in one case
208604_s_at	HOXA3	7p15-p14	present at least in one case	present at least in one case
214457_at	HOXA2	7p15-p14	present at least in one case	present at least in one case
213823_at	HOXA11	7p15-p14	present at least in one case	present at least in one case
221073_s_at	CARD4	7p15-p14	present at least in one case	present at least in one case
204702_s_at	NFE2L3	7p15-p14	present at least in one case	present at least in one case
206848_at	HOXA7	7p15-p14	present at least in one case	present at least in one case
208557_at	HOXA6	7p15-p14	present at least in one case	present at least in one case
206847_s_at	HOXA7	7p15-p14	present at least in one case	present at least in one case
224190_x_at	CARD4	7p15-p14	present at least in one case	present at least in one case
222608_s_at	ANLN	7p15-p14	present at least in one case	present at least in one case
206289_at	HOXA4	7p15-p14	present at least in one case	present at least in one case
213147_at	HOXA10	7p15-p14	present at least in one case	present at least in one case
235521_at	HOXA3	7p15-p14	present at least in one case	present at least in one case
213150_at	HOXA10	7p15-p14	present at least in one case	present at least in one case
208146_s_at	CPVL	7p15-p14	present at least in one case	present at least in one case
209905_at	HOXA9	7p15-p14	present at least in one case	present at least in one case
211144_x_at	TRG	7p15-p14	present at least in one case	present at least in one case
213844_at	HOXA5	7p15-p14	present at least in one case	present at least in one case
214651_s_at	HOXA9	7p15-p14	present at least in one case	present at least in one case
207914_x_at	EVX1	7p15-p14	absent in all cases	absent in all cases
231706_s_at	EVX1	7p15-p14	absent in all cases	absent in all cases
231707_at	EVX1	7p15-p14	absent in all cases	absent in all cases
204926_at	INHBA	7p15-p13	present at least in one case	present at least in one case
210511_s_at	INHBA	7p15-p13	present at least in one case	present at least in one case
213867_x_at	ACTB	7p15-p12	present at least in one case	present at least in one case
224594_x_at	ACTB	7p15-p12	present at least in one case	present at least in one case
200801_x_at	ACTB	7p15-p12	present at least in one case	present at least in one case
224061_at	INMT	7p15.3-p15.2	present at least in one case	present at least in one case
211167_s_at	GCK	7p15.3-p15.1	absent in all cases	absent in all cases
204681_s_at	GFR	7p15.3	present at least in one case	absent in all cases
211419_s_at	CHN2	7p15.3	present at least in one case	present at least in one case
205816_at	ITGB8	7p15.3	present at least in one case	present at least in one case
244641_at	LOC115416	7p15.3	present at least in one case	present at least in one case
244115_at	DRCTNNB1A	7p15.3	present at least in one case	present at least in one case
230516_at	LOC115416	7p15.3	present at least in one case	present at least in one case
212475_at	KIAA0241	7p15.3	present at least in one case	present at least in one case
235559_at	FLJ22374	7p15.3	present at least in one case	present at least in one case
212471_at	KIAA0241	7p15.3	present at least in one case	present at least in one case
211488_s_at	ITGB8	7p15.3	present at least in one case	present at least in one case
214639_s_at	HOXA1	7p15.3	present at least in one case	present at least in one case
231396_s_at	DRCTNNB1A	7p15.3	present at least in one case	present at least in one case
207486_x_at	CHN2	7p15.3	present at least in one case	present at least in one case
220238_s_at	SBBI26	7p15.3	present at least in one case	present at least in one case
214729_at	TWISTNB	7p15.3	present at least in one case	present at least in one case
213385_at	CHN2	7p15.3	present at least in one case	present at least in one case
228087_at	LOC90693	7p15.3	present at least in one case	present at least in one case
228061_at	LOC90693	7p15.3	present at least in one case	present at least in one case
212474_at	KIAA0241	7p15.3	present at least in one case	present at least in one case
227239_at	DRCTNNB1A	7p15.3	present at least in one case	present at least in one case
223250_at	SBBI26	7p15.3	present at least in one case	present at least in one case
220239_at	SBBI26	7p15.3	present at least in one case	present at least in one case
226784_at	TWISTNB	7p15.3	present at least in one case	present at least in one case
204658_at	HSU53209	7p15.3	present at least in one case	present at least in one case
226386_at	LOC115416	7p15.3	present at least in one case	present at least in one case
226385_s_at	LOC115416	7p15.3	present at least in one case	present at least in one case
225081_s_at	DKFZp762L0311	7p15.3	present at least in one case	present at least in one case
201812_s_at	TOM7	7p15.3	present at least in one case	present at least in one case
204680_s_at	GFR	7p15.3	absent in all cases	absent in all cases
223625_at	DRCTNNB1A	7p15.3	absent in all cases	absent in all cases
242982_x_at	ITGB8	7p15.3	absent in all cases	absent in all cases
205194_at	PSPH	7p15.2-p15.1	present at least in one case	present at least in one case
207161_at	KIAA0087	7p15.2	present at least in one case	present at least in one case
244546_at	CYCS	7p15.2	present at least in one case	present at least in one case
229146_at	LOC136895	7p15.2	present at least in one case	present at least in one case
218404_at	SNX10	7p15.2	present at least in one case	present at least in one case
201091_s_at	CBX3	7p15.2	present at least in one case	present at least in one case
200037_s_at - HG-U133A	CBX3	7p15.2	present at least in one case	present at least in one case
200037_s_at - HG-U133B	CBX3	7p15.2	present at least in one case	present at least in one case
208905_at	CYCS	7p15.2	present at least in one case	present at least in one case
206001_at	NPY	7p15.1	present at least in one case	present at least in one case
226961_at	LOC222171	7p15.1	present at least in one case	present at least in one case
231955_s_at	HIBADH	7p15.1	present at least in one case	present at least in one case
205150_s_at	KIAA0644	7p15.1	present at least in one case	present at least in one case
217784_at	YKT6	7p15.1	present at least in one case	present at least in one case
217785_s_at	YKT6	7p15.1	present at least in one case	present at least in one case
219390_at	FKBP14	7p15.1	present at least in one case	present at least in one case
226261_at	LOC223082	7p15.1	present at least in one case	present at least in one case
227000_at	Ells1	7p15.1	present at least in one case	present at least in one case
236125_at	DKFZp586I1420	7p15.1	present at least in one case	present at least in one case
226018_at	Ells1	7p15.1	present at least in one case	present at least in one case
224812_at	HIBADH	7p15.1	present at least in one case	present at least in one case
225800_at	DKFZp761K2222	7p15.1	present at least in one case	present at least in one case
213546_at	DKFZp586I1420	7p15.1	present at least in one case	present at least in one case
217853_at	TEM6	7p15.1	present at least in one case	present at least in one case
225798_at	DKFZp761K2222	7p15.1	present at least in one case	present at least in one case
205151_s_at	KIAA0644	7p15.1	absent in all cases	absent in all cases
229188_s_at	LOC223082	7p15.1	absent in all cases	absent in all cases
234452_at	HIBADH	7p15.1	absent in all cases	absent in all cases
217381_s_at	TRGC2	7p15	present at least in one case	present at least in one case
220231_at	GSBS	7p15	present at least in one case	present at least in one case
203695_s_at	DFNA5	7p15	present at least in one case	present at least in one case
205429_s_at	MPP6	7p15	present at least in one case	present at least in one case
216298_at	TRGC2	7p15	present at least in one case	present at least in one case
206663_at	SP4	7p15	present at least in one case	present at least in one case
205931_s_at		7p15	present at least in one case	present at least in one case
201141_at	GPNMB	7p15	present at least in one case	present at least in one case
209627_s_at	OSBPL3	7p15	present at least in one case	present at least in one case
204003_s_at	NLP_1	7p15	present at least in one case	present at least in one case
209626_s_at	OSBPL3	7p15	present at least in one case	present at least in one case
213786_at	TAX1BP1	7p15	present at least in one case	present at least in one case
202820_at	AHR	7p15	present at least in one case	present at least in one case
225107_at	HNRPA2B1	7p15	present at least in one case	present at least in one case
208693_s_at	GARS	7p15	present at least in one case	present at least in one case
200977_s_at	TAX1BP1	7p15	present at least in one case	present at least in one case
200976_s_at	TAX1BP1	7p15	present at least in one case	present at least in one case
209813_x_at	TRGV9	7p15	present at least in one case	present at least in one case
215806_x_at	TRGC2	7p15	present at least in one case	present at least in one case
216920_s_at	TRGV9	7p15	present at least in one case	present at least in one case
205292_s_at	HNRPA2B1	7p15	present at least in one case	present at least in one case
217374_x_at	TRGC2	7p15	absent in all cases	absent in all cases
231509_at	GSBS	7p15	absent in all cases	absent in all cases
244131_at	HNRPA2B1	7p15	absent in all cases	absent in all cases
220789_s_at	CPR2	7p14-p13	present at least in one case	present at least in one case
205257_s_at	AMPH	7p14-p13	present at least in one case	present at least in one case
220961_s_at	CPR2	7p14-p13	present at least in one case	present at least in one case
235625_at	VPS41	7p14-p13	present at least in one case	present at least in one case
203106_s_at	VPS41	7p14-p13	present at least in one case	present at least in one case
201282_at	OGDH	7p14-p13	present at least in one case	present at least in one case
219439_at	C1GALT1	7p14-p13	present at least in one case	present at least in one case
210849_s_at	VPS41	7p14-p13	present at least in one case	present at least in one case
223065_s_at	STARD3NL	7p14-p13	present at least in one case	present at least in one case
205639_at	AOAH	7p14-p12	present at least in one case	present at least in one case
221573_at	MGC2821	7p14-p11.2	present at least in one case	present at least in one case
53202_at	MGC2821	7p14-p11.2	present at least in one case	present at least in one case
203771_s_at	BLVRA	7p14-cen	present at least in one case	present at least in one case
203773_x_at	BLVRA	7p14-cen	present at least in one case	present at least in one case
211729_x_at	BLVRA	7p14-cen	present at least in one case	present at least in one case
203772_at	BLVRA	7p14-cen	absent in all cases	absent in all cases
229109_s_at	BLVRA	7p14-cen	absent in all cases	absent in all cases
209956_s_at	CAMK2B	7p14.3-p14.1	present at least in one case	present at least in one case
230355_at	CDC10	7p14.3-p14.1	present at least in one case	present at least in one case
217721_at	CDC10	7p14.3-p14.1	present at least in one case	present at least in one case
201462_at	KIAA0193	7p14.3-p14.1	present at least in one case	present at least in one case
34846_at	CAMK2B	7p14.3-p14.1	present at least in one case	present at least in one case
213151_s_at	CDC10	7p14.3-p14.1	present at least in one case	present at least in one case
210404_x_at	CAMK2B	7p14.3-p14.1	absent in all cases	absent in all cases
211483_x_at	CAMK2B	7p14.3-p14.1	absent in all cases	absent in all cases
207897_at	CRHR2	7p14.3	present at least in one case	absent in all cases
207021_at	ZPBP	7p14.3	present at least in one case	present at least in one case
220045_at	NEUROD6	7p14.3	present at least in one case	present at least in one case
215102_at	LOC89231	7p14.3	present at least in one case	present at least in one case
227849_at	LOC222136	7p14.3	present at least in one case	present at least in one case
223585_x_at	DKFZP566C134	7p14.3	present at least in one case	present at least in one case
207303_at	PDE1C	7p14.3	present at least in one case	present at least in one case
202903_at	LSM5	7p14.3	present at least in one case	present at least in one case
202904_s_at	LSM5	7p14.3	present at least in one case	present at least in one case
227852_at	LOC222136	7p14.3	present at least in one case	present at least in one case
227640_s_at	LOC222136	7p14.3	present at least in one case	present at least in one case
223945_x_at	LOC222136	7p14.3	present at least in one case	present at least in one case
212447_at	DKFZP566C134	7p14.3	present at least in one case	present at least in one case
227035_x_at	LOC222136	7p14.3	present at least in one case	present at least in one case
223584_s_at	DKFZP566C134	7p14.3	present at least in one case	present at least in one case
211747_s_at	LSM5	7p14.3	present at least in one case	present at least in one case
223298_s_at	NT5C3	7p14.3	present at least in one case	present at least in one case
211510_s_at	CRHR2	7p14.3	absent in all cases	absent in all cases
216869_at	PDE1C	7p14.3	absent in all cases	absent in all cases
234027_at	LOC223075	7p14.3	absent in all cases	absent in all cases
241986_at	LOC168667	7p14.2	present at least in one case	present at least in one case
220678_at	FLJ20712	7p14.2	absent in all cases	absent in all cases
220384_at	TXNDC3	7p14.1	present at least in one case	present at least in one case
213424_at	KIAA0895	7p14.1	present at least in one case	present at least in one case
204051_s_at	SFRP4	7p14.1	present at least in one case	present at least in one case
212792_at	KIAA0877	7p14.1	present at least in one case	present at least in one case
223253_at	UCC1	7p14.1	present at least in one case	present at least in one case
204513_s_at	ELMO1	7p14.1	present at least in one case	present at least in one case
222751_at	FLJ22313	7p14.1	present at least in one case	present at least in one case
208091_s_at	DKFZP564K0822	7p14.1	present at least in one case	present at least in one case
204052_s_at	SFRP4	7p14.1	absent in all cases	absent in all cases
216239_at	B1	7p14	present at least in one case	present at least in one case
207151_at	ADCYAP1R1	7p14	present at least in one case	present at least in one case
37547_at	B1	7p14	present at least in one case	present at least in one case
241664_x_at	AQP1	7p14	present at least in one case	present at least in one case
225631_at	KIAA1706	7p14	present at least in one case	present at least in one case
225630_at	KIAA1706	7p14	present at least in one case	present at least in one case
37549_g_at	B1	7p14	present at least in one case	present at least in one case
207542_s_at	AQP1	7p14	present at least in one case	present at least in one case
209047_at	AQP1	7p14	present at least in one case	present at least in one case
225260_s_at	MRPL32	7p14	present at least in one case	present at least in one case
224948_at	MRPS24	7p14	present at least in one case	present at least in one case
207825_s_at	GHRHR	7p14	absent in all cases	absent in all cases
209958_s_at	B1	7p14	absent in all cases	absent in all cases
241662_x_at	AQP1	7p14	absent in all cases	absent in all cases
207450_s_at	RPF-1	7p13-p14	absent in all cases	absent in all cases
212143_s_at	IGFBP3	7p13-p12	present at least in one case	present at least in one case
205302_at	IGFBP1	7p13-p12	present at least in one case	present at least in one case
201269_s_at	KIAA1068	7p13-p12	present at least in one case	present at least in one case
204884_s_at	HUS1	7p13-p12	present at least in one case	present at least in one case
210095_s_at	IGFBP3	7p13-p12	present at least in one case	present at least in one case
204883_s_at	HUS1	7p13-p12	present at least in one case	present at least in one case
201270_x_at	KIAA1068	7p13-p12	present at least in one case	present at least in one case
205326_at	RAMP3	7p13-p12	absent in all cases	absent in all cases
205736_at	PGAM2	7p13-p12	absent in all cases	absent in all cases
215340_at	ADCY1	7p13-p12	absent in all cases	absent in all cases
215348_at	ADCY1	7p13-p12	absent in all cases	absent in all cases
217602_at	PPIA	7p13-p11.2	present at least in one case	present at least in one case
244654_at	MYO1G	7p13-p11.2	present at least in one case	present at least in one case
227799_at	MYO1G	7p13-p11.2	present at least in one case	present at least in one case
226336_at	PPIA	7p13-p11.2	present at least in one case	present at least in one case
211765_x_at	PPIA	7p13-p11.2	present at least in one case	present at least in one case
211378_x_at	PPIA	7p13-p11.2	present at least in one case	present at least in one case
201293_x_at	PPIA	7p13-p11.2	present at least in one case	present at least in one case
211978_x_at	PPIA	7p13-p11.2	present at least in one case	present at least in one case
235741_at	PPIA	7p13-p11.2	absent in all cases	absent in all cases
220704_at	ZNFN1A1	7p13-p11.1	present at least in one case	present at least in one case
216901_s_at	ZNFN1A1	7p13-p11.1	present at least in one case	present at least in one case
205038_at	ZNFN1A1	7p13-p11.1	present at least in one case	present at least in one case
227344_at	ZNFN1A1	7p13-p11.1	present at least in one case	present at least in one case
205039_s_at	ZNFN1A1	7p13-p11.1	present at least in one case	present at least in one case
227346_at	ZNFN1A1	7p13-p11.1	present at least in one case	present at least in one case
207944_at	OCM	7p13-p11	absent in all cases	absent in all cases
206497_at	FLJ10803	7p13	present at least in one case	present at least in one case
214287_s_at	CDC2L5	7p13	present at least in one case	present at least in one case
228467_at	PURB	7p13	present at least in one case	present at least in one case
209446_s_at	FLJ10803	7p13	present at least in one case	present at least in one case
210965_x_at	CDC2L5	7p13	present at least in one case	present at least in one case
244046_at	URG4	7p13	present at least in one case	present at least in one case
201792_at	AEBP1	7p13	present at least in one case	present at least in one case
207319_s_at	CDC2L5	7p13	present at least in one case	present at least in one case
210331_at	KIAA0322	7p13	present at least in one case	present at least in one case
221949_at	LOC222070	7p13	present at least in one case	present at least in one case
218837_s_at	LOC51619	7p13	present at least in one case	present at least in one case
218601_at	URG4	7p13	present at least in one case	present at least in one case
232964_at	WBSCR19	7p13	present at least in one case	present at least in one case
215584_at	KIAA0322	7p13	present at least in one case	present at least in one case
213700_s_at	FLJ10803	7p13	present at least in one case	present at least in one case
223433_at	GK003	7p13	present at least in one case	present at least in one case
207318_s_at	CDC2L5	7p13	present at least in one case	present at least in one case
65521_at	LOC51619	7p13	present at least in one case	present at least in one case
209445_x_at	FLJ10803	7p13	present at least in one case	present at least in one case
222429_at	HIP-55	7p13	present at least in one case	present at least in one case
201115_at	POLD2	7p13	present at least in one case	present at least in one case
201316_at	PSMA2	7p13	present at least in one case	present at least in one case
225419_at	C7orf11	7p13	present at least in one case	present at least in one case
227718_at	PURB	7p13	present at least in one case	present at least in one case
227085_at	H2AV	7p13	present at least in one case	present at least in one case
51774_s_at	LOC222070	7p13	present at least in one case	present at least in one case
58900_at	LOC222070	7p13	present at least in one case	present at least in one case
212206_s_at	H2AV	7p13	present at least in one case	present at least in one case
212205_at	H2AV	7p13	present at least in one case	present at least in one case
201317_s_at	PSMA2	7p13	present at least in one case	present at least in one case
202487_s_at	H2AV	7p13	present at least in one case	present at least in one case
205201_at	GLI3	7p13	absent in all cases	absent in all cases
213987_s_at	CDC2L5	7p13	absent in all cases	absent in all cases
219655_at	C7orf10	7p13	absent in all cases	absent in all cases
220106_at	NPC1L1	7p13	absent in all cases	absent in all cases
222238_s_at	POLM	7p13	absent in all cases	absent in all cases
224305_s_at	NPC1L1	7p13	absent in all cases	absent in all cases
