Probe Set ID	Fold Change
1275_at	-1.651
37713_at	-1.621
40782_at	-1.604
1780_at	-1.6
138_at	-1.597
35312_at	-1.597
40275_at	-1.58
1019_g_at	-1.567
40147_at	-1.552
35112_at	-1.544
109_at	-1.531
38630_at	-1.526
41111_at	-1.525
35614_at	-1.517
41812_s_at	-1.498
494_at	-1.489
41715_at	-1.485
36982_at	-1.476
40117_at	-1.47
1788_s_at	-1.466
40954_at	-1.454
34348_at	-1.449
41095_at	-1.442
35435_s_at	-1.44
32743_at	-1.412
37968_at	-1.412
37598_at	-1.41
947_at	-1.408
37764_at	-1.404
38411_at	-1.399
33708_at	-1.392
33136_at	-1.388
32174_at	-1.379
39135_at	-1.379
33977_at	-1.373
40274_at	-1.365
39672_at	-1.361
41804_at	-1.357
1544_at	-1.356
1953_at	-1.356
35630_at	-1.355
38158_at	-1.35
37758_s_at	-1.346
40461_at	-1.341
36591_at	-1.325
32215_i_at	-1.318
37305_at	-1.303
37811_at	-1.3
932_i_at	-1.295
268_at	-1.294
40569_at	-1.292
38421_at	-1.289
828_at	-1.287
34283_at	-1.283
41362_at	-1.265
37506_at	-1.249
32569_at	-1.245
933_f_at	-1.226
527_at	-1.22
41858_at	-1.218
39748_at	-1.215
1004_at	-1.211
38127_at	-1.209
36979_at	-1.193
39059_at	-1.193
32218_at	-1.189
1056_s_at	-1.186
778_s_at	-1.185
38507_at	-1.183
38901_at	-1.183
31722_at	-1.178
32042_at	-1.173
41720_r_at	-1.167
32440_at	-1.162
39872_at	-1.161
34145_at	-1.159
36680_at	-1.158
32831_at	-1.154
