Case	Chromosome	Genes
IL114	7	LOC51142
IL114	7	CCT6A
IL114	7	CRIP1
IL114	7	CYP51
IL114	7	PLOD3
IL114	7	GNB2
IL114	7	PMS2L8
IL114	7	STAG3
IL114	7	VGF
IL114	7	CUTL1
IL114	7	KIAA0632
IL114	7	COL1A2
IL114	7	PSMC2
IL114	7	EBNA-2 co-activator
IL114	7	IMPDH1
IL114	7	DLD
IL114	7	ATP6S14
IL114	7	KIAA1170
IL114	7	AKR1B1
IL114	7	EZH2
IL114	7	RHEB2
IL114	7	FLJ20311
IL114	+9p23p24	NA
IL114	+9q13q31	TXN
IL114	+9q13q31	SEC61B
IL114	+9q13q31	FPGS
IL114	+9q13q31	PRKACG
IL114	+9q13q31	BTEB1
IL114	+9q13q31	CDC20
IL114	+9q13q31	CTSL
IL114	+9q13q31	CKS2
IL114	+9q13q31	C90RF3
IL114	+9q13q31	CKS2
IL114	+9q13q31	SEC61B
IL114	+9q13q31	FLJ20287
IL114	+9q13q31	TXN
IL114	-9q31qter	ORM1
IL114	-9q31qter	TNFSF8
IL114	-9q31qter	HSPA5
IL114	-9q31qter	ASS
IL114	-9q31qter	COL5A1
IL114	10	CHUK
IL114	10	PP
IL114	10	DDX21
IL114	10	ATP5C1
IL114	10	MXI1
IL114	10	VIM
IL114	10	PRDX3
IL114	10	ACF
IL114	10	MGMT
IL114	10	PGAM1
IL114	10	VDAC2
IL114	10	UROS
IL114	10	ERP70
IL114	10	SSH3BP1
IL114	10	TCF8
IL114	10	CREM
IL114	10	COPEB
IL114	10	GDI2
IL114	10	PFKP
IL114	10	PHYH
IL114	10	LOC51008
IL114	10	RET
IL114	10	HNRPF
IL114	10	MBL2
IL114	10	JDP1
IL114	10	CDC2
IL114	10	ANXA7
IL114	10	ZWINT
IL114	10	HK1
IL114	10	PRG1
IL114	10	VCL
IL114	10	PPIF
IL114	10	ANXA11
IL114	10	DLG5
IL114	10	KIAA0261
IL114	10	MPHOSPH1
IL114	10	PLAU
IL114	10	GBF1
IL114	10	ACTR1A
IL114	10	RGS10
IL114	10	ABLIM
IL114	10	MK167
IL114	10	OAT
IL114	10	ECHS1
IL114	10	ADAM8
IL114	-11q11qter	GSTP1
IL114	-11q11qter	POU2AF1
IL114	-11q11qter	MS4A7
IL114	-11q11qter	HTATIP
IL114	-11q11qter	EMK1
IL114	-11q11qter	MS4A2
IL114	-11q11qter	SYT7
IL114	-11q11qter	ZFPL1
IL114	-11q11qter	CD6
IL114	-11q11qter	RASGRP2
IL114	-11q11qter	FOLR1
IL114	-11q11qter	KIAA0102
IL114	-11q11qter	ACTN3
IL114	-11q11qter	FLJ20189
IL114	-11q11qter	SCDGF-B
IL114	-11q11qter	ATM
IL114	-11q11qter	CASP1
IL114	-11q11qter	INPPL1
IL114	-11q11qter	MLL
IL114	-11q11qter	UBE4A
IL114	-11q11qter	CBL
IL114	+12pter-q14	PA2G4
IL114	+12pter-q14	LRMP
IL114	+12pter-q14	REA
IL114	+12pter-q14	TUBA3
IL114	+12pter-q14	K-ALPHA-1
IL114	+12pter-q14	LDHB
IL114	+12pter-q14	GAPD
IL114	+12pter-q14	TPI1
IL114	+12pter-q14	DDX11
IL114	+12pter-q14	CS
IL114	+12pter-q14	FLJ22028
IL114	+12pter-q14	KIAA0528
IL114	+12pter-q14	ARHGD1B
IL114	+12pter-q14	FOXM1
IL114	+12pter-q14	MLF2
IL114	+12pter-q14	C1S
IL114	+12pter-q14	PXR1
IL114	+12pter-q14	GPR92
IL114	+12pter-q14	COPS7A
IL114	+12pter-q14	FKBP4
IL114	+12pter-q14	CD69
IL114	+12pter-q14	ATP5B
IL114	+12pter-q14	CD4
IL114	+12pter-q14	CNTN1
IL114	+12pter-q14	SHMT2
IL114	+12pter-q14	PRKAG1
IL114	+12pter-q14	NR4A1
IL114	+12pter-q14	CDK2
IL114	+12pter-q14	HSU47926
IL114	+12pter-q14	MGC5576
IL114	+12pter-q14	HEM1
IL114	+12pter-q14	HNRPA1
IL114	+12pter-q14	MYL6
IL114	+12pter-q14	ATP5G2
IL114	+12pter-q14	EIF4B
IL114	+12pter-q14	FLJ11773
IL114	+12pter-q14	DDIT3
IL114	+12pter-q14	MARS
IL114	+12pter-q14	HSPD1
IL114	+12pter-q14	HSPC228
IL114	+12pter-q14	SAS
IL114	+12pter-q14	RAP1B
IL114	+12pter-q14	CDK4
IL114	+12pter-q14	NEDD1
IL114	+12pter-q14	NR2C1
IL114	+12pter-q14	FLJ11021
IL114	+12pter-q14	ZNF10
IL114	-13q11qter	GJB2
IL114	-13q11qter	SACS
IL114	-13q11qter	YDD19
IL114	-13q11qter	ALOX5AP
IL114	-13q11qter	HMG1
IL114	-13q11qter	CG005
IL114	-13q11qter	D13S106E
IL114	-13q11qter	ELF1
IL114	-13q11qter	AKAP11
IL114	-13q11qter	SLC25A15
IL114	-13q11qter	RFP2
IL114	-13q11qter	FOXO1A
IL114	-13q11qter	FLJ21562
IL114	-13q11qter	FBXL3A
IL114	-13q11qter	GPR18
IL114	-13q11qter	EFNB2
IL114	-13q11qter	FLJ10154
IL114	-13q11qter	ATP11A
IL114	-15q23	RCN2
IL114	-15q23	FBXO22
IL114	16	GLG1
IL114	16	AARS
IL114	16	ALDOA
IL114	16	EIF3S8
IL114	16	RPL13 KIAA0251
IL114	16	KNSL4
IL114	16	STX4A
IL114	16	SULT1A3
IL114	16	ITGAL
IL114	16	MAX
IL114	16	ITGAX
IL114	16	UQCRC2
IL114	16	SULT1A1
IL114	16	PHKG2
IL114	16	SULT1A2
IL114	16	PLK
IL114	16	PPP4C
IL114	16	ARL6IP
IL114	16	MHC2TA
IL114	16	TNFRSF17
IL114	16	GSPT1
IL114	16	HIRIP3
IL114	16	NK4
IL114	16	PKMYT1
IL114	16	POLR3K
IL114	16	PRSS22
IL114	16	RNPS1
IL114	16	SEPX1
IL114	16	STUB1
IL114	16	CCNF
IL114	16	BOM045
IL114	16	HMOX2
IL114	16	HMT-1
IL114	16	PMM2
IL114	16	DREV1
IL114	16	SIAH1
IL114	16	SCYD1
IL114	16	CPSF5
IL114	16	GOT2
IL114	16	KIAA0095
IL114	16	E2F4
IL114	16	ATP6D
IL114	16	PP15
IL114	16	RCD-8
IL114	16	CBFB
IL114	16	FLJ13725
IL114	16	FLJ10305
IL114	16	LOC51659
IL114	16	MAP1A/1BLC3
IL114	16	PCOLN3
IL114	16	SLC7A5
IL114	16	TUBB4
IL114	16	CDT1
IL114	16	SLC7A5
IL114	-17p12pter	SERPINF1
IL114	-17p12pter	DOC2B
IL114	+18q11qter	FLJ21172
IL114	+18q11qter	PMAIP1
IL114	+18q11qter	PIK3C3
IL114	+18q11qter	MADH2
IL114	+18q11qter	TNFRSF11A
IL114	20	ADA
IL114	20	PCNA
IL114	20	KIAA1219
IL114	20	CDC25B
IL114	20	GNAS1
IL114	20	PSMA7
IL114	20	MYBL2
IL114	20	AHCY
IL114	20	PTPRA
IL114	20	INSM1
IL114	20	FKBP1A
IL114	20	SNRPB
IL114	20	MAPRE1
IL114	20	E2F1
IL114	20	GSS
IL114	20	BCL2L1
IL114	20	RALY
IL114	20	MMP9
IL114	20	ITGB4BP
IL114	20	PLTP
IL114	20	TOP1
IL114	20	TNFRSF5
IL114	20	B4GALT5
IL114	20	STK15
IL114	+Xq21qter	TMSB4X
IL114	+Xq21qter	SLC25A5
IL114	+Xq21qter	HPRT1
IL114	+Xq21qter	PIM2
IL114	+Xq21qter	ZNF41
IL114	+Xq21qter	DSIPI
IL114	+Xq21qter	SAT
IL114	+Xq21qter	FLJ20811
IL114	+Xq21qter	UBE2A
IL114	+Xq21qter	HDGF
IL114	+Xq21qter	CXORF1
IL114	+Xq21qter	CLIC2
IL114	+Xq21qter	ARD1
IL114	+Xq21qter	ARHGAP4
IL114	+Xq21qter	CETN2
IL114	+Xq21qter	DXS1357E
IL116	+2p16	KIAA1048
IL116	+6p11pter	LTB
IL116	+6p11pter	GABBR1
IL116	+6p11pter	HLA-A
IL116	+6p11pter	MDFI
IL116	+6p11pter	PSMB9
IL116	+6p11pter	HLA-DRB1
IL116	+6p11pter	RPA40
IL116	+6p11pter	GLO1
IL120	-1p36	LAP18
IL120	-1p36	RPL11
IL120	-1p36	PABPC4
IL120	-1p36	AKR7A2
IL120	-1p36	HUMHOXY1
IL120	-1p36	CDC42
IL120	-1p36	SMP1
IL120	-1p36	HP1-BP74
IL120	-1p36	EIF4G3
IL120	-1p36	SDHB
IL120	-1p36	NPPA
IL120	-1p36	FGR
IL120	-1p36	NBL1
IL120	-1p36	ENO1
IL120	-1p36	RER1
IL120	-13q14	LCP1
IL120	-13q14	D13S106E
IL120	-13q14	TSC22
IL120	-13q14	CHCIL
IL120	+17q11qter	NA
IL121	+18pter-q21.3	PMAIP1
IL121	+X	ZNF41
IL121	+X	PIM2
IL121	+X	SAT
IL121	+X	IL13RA1
IL123	+21q11qter	HMG14
IL123	+21q11qter	ERG
IL123	+21q11qter	DKFZP434C128
IL124	+4p11pter	TEC
IL124	+4p11pter	ACOX3
IL124	+4p11pter	FLJ20280
IL124	+4p11pter	HMGE
IL124	+4p11pter	SH3BP2
IL124	+4p11pter	WHSC1
IL124	-4q21qter	HNRPDL
IL124	-4q21qter	FLJ20706
IL124	-4q21qter	NFKB1
IL124	-4q21qter	FLJ20647
IL124	-4q21qter	CASP3
IL124	-4q21qter	FLJ11200
IL124	12	NA
IL126	+3q12qter	GYG
IL126	+3q12qter	PXR2b
IL126	-13q21.1	NA
