microRNA	Probe Name	Gene Name	P-value	Coef
hsa-mir-181a-1	215151_at	DOCK10	0	0.17
hsa-mir-181a-1	211280_s_at	NRF1	0.008	0.17
hsa-mir-181a-1	206540_at	GLB1L	0.002	0.17
hsa-mir-181a-1	206753_at	RDH16	0.006	0.17
hsa-mir-181a-1	207849_at	IL2	0.008	0.18
hsa-mir-181a-1	211201_at	FSHR	0.005	0.18
hsa-mir-181a-1	34689_at	TREX1	0.004	0.18
hsa-mir-181a-1	218950_at	CENTD3	0.007	0.18
hsa-mir-181a-1	216128_at	TBCD	0.007	0.19
hsa-mir-181a-1	215710_at	ST3GAL4	0.004	0.19
hsa-mir-181a-1	221095_s_at	KCNE2	0.001	0.19
hsa-mir-181a-1	207019_s_at	AKAP4	0	0.2
hsa-mir-181a-1	216761_at	PDCD8	0.002	0.2
hsa-mir-181a-1	210126_at	PSG9	0	0.2
hsa-mir-181a-1	211590_x_at	TBXA2R	0	0.22
hsa-mir-181a-1	217315_s_at	KLK13	0.002	0.22
hsa-mir-181a-1	220554_at	SLC22A7	0.005	0.23
hsa-mir-181a-1	222359_x_at	FVT1	0	0.24
hsa-mir-181a-1	203601_s_at	ZBTB17	0.003	0.25
hsa-mir-181a-1	205553_s_at	CSRP3	0.003	0.25
hsa-mir-181a-1	202015_x_at	METAP2	0.002	0.28
hsa-mir-191	202798_at	SEC24B	0.002	-0.41
hsa-mir-192	208993_s_at	PPIG	0	-0.38
hsa-mir-193	212434_at	GRPEL1	0.003	-0.37
hsa-mir-194	211703_s_at	TM2D1	0.007	-0.37
hsa-mir-195	210154_at	ME2	0.008	-0.35
hsa-mir-196	212180_at	CRKL	0.005	-0.29
hsa-mir-197	204873_at	PEX1	0.009	-0.22
hsa-mir-198	210153_s_at	ME2	0.006	-0.21
hsa-mir-199	201822_at	TIMM17A	0.001	0.09
hsa-mir-200	214837_at	ALB	0.001	0.1
hsa-mir-201	220850_at	MORC1	0.01	0.12
hsa-mir-202	215790_at	AJAP1	0.009	0.14
hsa-mir-203	207810_at	F13B	0.002	0.14
hsa-mir-204	206333_at	MSI1	0.006	0.14
hsa-mir-205	211349_at	SLC15A1	0.007	0.14
hsa-mir-206	205706_s_at	ANKRD26	0.004	0.14
hsa-mir-207	208513_at	FOXB1	0.006	0.14
hsa-mir-208	213635_s_at	SAFB	0.001	0.15
hsa-mir-209	208492_at	RFXAP	0.003	0.15
hsa-mir-210	211768_at	LAT2	0.001	0.15
hsa-mir-211	211214_s_at	DAPK1	0.002	0.16
hsa-mir-212	207816_at	LALBA	0.007	0.16
hsa-mir-213	213824_at	OLIG2	0	0.16
hsa-mir-214	205125_at	PLCD1	0.007	0.16
hsa-mir-215	216963_s_at	GAP43	0.002	0.17
hsa-mir-216a	214302_x_at	GJA12	0.003	0.17
hsa-mir-217	215042_at	TXNDC5	0.01	0.17
hsa-mir-218	219831_at	CDKL3	0.003	0.17
hsa-mir-219-1	207025_at	GJA12	0.002	0.17
hsa-mir-220	214674_at	USP19	0.001	0.18
hsa-mir-221	216296_at	CLTA	0.003	0.18
hsa-mir-222	214225_at	PIN4	0.006	0.18
hsa-mir-223	222090_at	ADCK2	0.005	0.18
hsa-mir-224	214675_at	NUP188	0	0.18
hsa-mir-225	215201_at	REPS1	0	0.2
hsa-mir-226	215252_at	DNAJC7	0	0.24
hsa-mir-227	215848_at	ZNF291	0.001	0.25
hsa-mir-228	209697_at	PPP3CC	0.006	0.27
hsa-mir-229	221350_at	HOXC8	0.001	0.3
hsa-mir-230	219090_at	SLC24A3	0.01	0.39
hsa-mir-107	205676_at	CYP27B1	0.005	-0.42
hsa-mir-108	212474_at	KIAA0241	0.005	-0.42
hsa-mir-109	218001_at	MRPS2	0.001	-0.33
hsa-mir-110	211662_s_at	VDAC2	0.008	-0.24
hsa-mir-111	203269_at	NSMAF	0.001	-0.22
hsa-mir-112	206977_at	PTH	0	0.06
hsa-mir-113	202287_s_at	TACSTD2	0.008	0.09
hsa-mir-114	209601_at	ACOX1	0.008	0.1
hsa-mir-115	215575_at	PDE4DIP	0	0.11
hsa-mir-116	210924_at	OLFM1	0.009	0.12
hsa-mir-117	214675_at	NUP188	0.006	0.12
hsa-mir-118	217601_at	NUP188	0.007	0.13
hsa-mir-119	213862_at	PNPLA2	0.002	0.13
hsa-mir-120	206139_at	PIK4CB	0.005	0.14
hsa-mir-121	207448_at	POFUT2	0.006	0.14
hsa-mir-122	215377_at	CTBP2	0.002	0.14
hsa-mir-123	219400_at	CNTNAP1	0.001	0.15
hsa-mir-124	215156_at	WDR61	0.001	0.16
hsa-mir-125	216571_at	SMPD1	0.002	0.16
hsa-mir-126	211029_x_at	FGF18	0	0.19
hsa-mir-127	218825_at	EGFL7	0.003	0.22
hsa-mir-103	209036_s_at	MDH2	0.002	-0.4
hsa-mir-104	205676_at	CYP27B1	0.006	-0.37
hsa-mir-105	212605_s_at	NUDT3	0.005	-0.3
hsa-mir-106	213092_x_at	MRPS16	0.008	-0.28
hsa-mir-107	211662_s_at	VDAC2	0.002	-0.27
hsa-mir-108	218046_s_at	MRPS16	0.005	-0.2
hsa-mir-109	218647_s_at	YRDC	0.006	-0.18
hsa-mir-110	206977_at	PTH	0	0.06
hsa-mir-111	215598_at	TTC12	0.009	0.07
hsa-mir-112	216697_at	TRIO	0.007	0.08
hsa-mir-113	215575_at	PDE4DIP	0.006	0.09
hsa-mir-114	209601_at	ACOX1	0.003	0.1
hsa-mir-115	206563_s_at	OPRL1	0.003	0.11
hsa-mir-116	210924_at	OLFM1	0.008	0.12
hsa-mir-117	214675_at	NUP188	0.006	0.12
hsa-mir-118	221603_at	PEX16	0.003	0.12
hsa-mir-119	219400_at	CNTNAP1	0.003	0.13
hsa-mir-120	213968_at	TSPAN5	0.009	0.14
hsa-mir-121	206464_at	BMX	0.009	0.15
hsa-mir-122	218950_at	CENTD3	0.005	0.16
hsa-mir-123	215156_at	WDR61	0	0.17
hsa-mir-124	215350_at	SYNE1	0.007	0.18
hsa-let-7b	220925_at	MAK10	0	-0.29
hsa-let-7b	203594_at	RTCD1	0.004	-0.26
hsa-let-7b	212648_at	DHX29	0.005	-0.21
hsa-let-7b	202306_at	POLR2G	0.006	-0.18
hsa-let-7b	212591_at	RBM34	0.008	-0.17
hsa-let-7b	204873_at	PEX1	0.005	-0.12
hsa-let-7b	206977_at	PTH	0.003	0.03
hsa-let-7b	219907_at	FRS3	0.006	0.07
hsa-let-7b	214197_s_at	SETDB1	0.004	0.07
hsa-let-7b	216787_at	FKBP1B	0.006	0.08
hsa-let-7b	221674_s_at	CHRD	0	0.08
hsa-let-7b	216779_at	CYLC1	0.005	0.08
hsa-let-7b	211545_at	GHRHR	0.008	0.08
hsa-let-7b	220218_at	C9orf68	0.002	0.08
hsa-let-7b	208013_s_at	ACRV1	0.005	0.08
hsa-let-7b	208287_at	HCG9	0.005	0.09
hsa-let-7b	210401_at	P2RX1	0.003	0.09
hsa-let-7b	210670_at	PPY	0.003	0.1
hsa-let-7b	207844_at	IL13	0.009	0.11
hsa-let-7b	220554_at	SLC22A7	0.002	0.12
hsa-let-7b	203702_s_at	TTLL4	0.008	0.13
hsa-let-7b	207354_at	CCL16	0.004	0.14
hsa-let-7b	205824_at	HSPB2	0.001	0.14
hsa-let-7b	220209_at	PYY2	0.006	0.15
hsa-let-7b	211518_s_at	BMP4	0.003	0.15
