LUID	Gene Names	Accession Numbers
160713	Tpd52l2	AV104491
170934	Bcl6	AA152673
169469	Smpdl3a	AV000925
152062	NA	AV065914
175044	Rapgef4	AA388005
174566	Kitl	AA404089
185931	Fabp3	BG071897
158022	NA	AV171739
161569	NA	AV035088
178834	Klhl7	BG065384
157660	Fts	AV141448
175132	Vegfa	AW913188
169590	NA	AV133987
155498	Fn3k	AV058562
172443	Adam15	AI841353
162474	3110050N22Rik	AV002567
180488	Atf6	BG066852
172930	NA	NA
182566	2310032D16Rik	BG068791
154723	Prdx5	AV052763
169218	Fdft1	AV005798
153978	NA	AV043318
186096	Sidt2	BG072050
173817	NA	NA
183961	4833421E05Rik	BG070119
151446	Vegfc	AV089828
167384	NA	AV087293
151870	1700108J01Rik	AV085688
155167	1700064K09Rik	AV056509
162718	NA	AV006637
165303	Gpr108	AV086890
153142	NA	AV040642
160618	Fabp3	AV104116
170253	NA	AV087036
164225	Nbl1	AV078033
171473	Slc24a2	AA038753
151617	Pdrg1	AV084856
165134	Scmh1	AV086174
169232	NA	AV005775
157062	2610014I16Rik	AV112669
187757	Snapap	BG073507
190485	Vps41	BG075793
189379	Atp6v0b	BG074864
174488	Cdh3	AI322275
190574	Dscr1l2	BG075865
183266	Siat4a	BG069374
172720	NA	NA
186268	1200015A19Rik	BG072201
163097	Col4a2	AV010312
190454	Sipa1l1	BG075771
154719	AI413582	AV052959
162928	Marveld1	AV008818
188273	Usp8	BG073925
187790	BC003498	BG073534
174749	Tyro3	AI155344
179292	4632428N05Rik	C76920
180500	Atp6ap1	C80679
177216	Tm9sf2	BG063940
168587	Boc	AV140458
177740	Hmox1	BG064393
185389	Idb2	BG071421
164477	2300002D11Rik	AV082045
159276	NA	AV088107
618788	Sdc4	D89571
176213	Fndc3	BG063110
162904	Mgll	AV008661
151630	Mpn	AV084759
152922	Cdo1	AV106364
188454	Rbl2	BG074085
181132	Pace4	BG067436
186463	Crip2	BG072386
180858	Fbxw4	BG067187
172100	Slc39a7	AI839725
152185	2010106G01Rik	AV066194
154393	Rutbc3	AV050038
175145	Pbx3	AI415655
176863	Rnf6	BG063660
189629	Epb4.1l2	BG075070
151320	Fabp3	AV089019
184698	Nupr1	BG070902
166943	2010315L10Rik	AV006003
179311	Waspip	BG065802
165445	Cdo1	AV017140
160707	Ctsz	AV104473
161453	Ap1g1	AV033623
162282	1110038M16Rik	AV040331
157497	NA	AV134890
186046	C9	BG072003
169184	NA	AV228335
172043	A730024A03Rik	AI838773
170076	B4galt1	AV042892
168551	1700020M16Rik	AV140304
157568	Commd8	AV140902
178350	Aga	BG064929
184730	1810026J23Rik	AU017367
152496	NA	AV071210
170618	Maf	BB567343
168090	NA	AV133780
170550	NA	AV069759
186258	Naglu	BG072192
170869	Bcap31	AA118972
188617	Tex264	BG074225
189691	Rab12	BG075124
167397	NA	AV087438
167473	Avpi1	AV087462
157835	Vps18	AV162166
189609	NA	AW555156
160768	F3	AV030570
160055	Loxl1	AV094998
171309	Gstz1	AA139820
166231	Pla2g4a	AV025177
164884	Fmod	AV084349
161243	BC054438	AV032901
186167	Nupr1	BG072110
155464	NA	AV058161
172620	2310047H23Rik	AI854086
153170	Cd59a	AV040843
176290	Nifun	BG063177
162541	NA	AV003323
190117	Cmkor1	BG075501
172708	NA	NA
169541	C1qb	AV005190
175568	Gpx1	AI526714
185233	Atp11a	BG071292
164812	NA	AV084195
172378	Glb1	AI841241
174365	Tyro3	AI155344
161275	Gprc5b	AV033025
151994	Med19	AV061720
162653	A030009H04Rik	AV005035
186542	2310075G12Rik	BG072461
166733	AI844915	AV029703
164180	Nt5e	AV077865
178963	Atp6v0e	BG065498
162212	Aptx	AV040057
164008	Dnajc4	AV074324
151995	Neto2	AV028738
154320	Leprotl1	AV049002
619135	NA	NA
151269	NA	AV088814
157898	3200001F09Rik	AV170777
155119	Ppox	AV056163
165965	B430320C24Rik	AV024028
187131	A530047J11Rik	BG072954
157694	NA	AV141640
176070	Trim8	BG063064
187134	Etv5	BG072956
167830	NA	AV111423
154502	NA	AV050775
165899	NA	AV023439
187794	Mgat1	BG073537
155651	NA	AV059610
165964	5033406L14Rik	AV024096
176240	P4ha2	BG063134
151856	Srp14	AV085612
164925	Bet1l	AV084514
187247	Ptprf	BG073053
185471	2310032D16Rik	BG071492
163702	NA	AV015561
167541	Il18	AV087765
165322	NA	AV086861
177968	Tcf7	AW545274
151448	Prdx5	AV090015
186744	Lrrfip1	BG072610
190582	2810442O16Rik	BG075873
176558	NA	AW537910
619167	NA	NA
155872	Lyn	AV061059
162665	NA	AV005319
166447	Pdzk3	AV026027
168617	1110012L19Rik	AV140435
172696	NA	NA
151760	Mgst2	AV085155
181717	5031400M07Rik	BG067988
179197	D230025D16Rik	BG065702
155727	BC037708	AV059787
172787	NA	NA
152024	9030221M09Rik	AV030271
189911	Mapk3	BG075319
180499	2610021K21Rik	BG066862
155084	NA	AV055621
188162	Scmh1	BG073830
152013	NA	AV062365
170071	Itgae	AV042310
187322	Idb2	BG073126
162335	Itgb1bp1	AV000874
619207	NA	NA
178181	NA	BG064771
165277	S100a1	AV086775
164000	Ccm2	AV074364
162829	NA	AV007929
187550	Rga	BG073320
188790	Stard3nl	BG074359
174698	Mme	AA763715
186308	NA	BG072241
183775	Psmd8	BG070030
161643	NA	AV035765
151631	Ctsl	AV084842
179476	Vps41	C77520
185377	Acadsb	BG071411
184808	Ak3l1	AU017619
155151	Mgst3	AV056432
189177	Rps6ka2	BG074699
160141	Fabp3	AV095036
619086	NA	NA
171876	Lphn2	AI838622
155662	Ggh	AV059616
161034	Galt	AV032083
162569	NA	AV003810
169006	Wfs1	AV162894
186971	Bmp1	BG072809
155678	Echdc3	AV059731
186382	0610007H07Rik	BG072309
178686	Ppic	BG065249
186125	Rhod	AU041357
174584	Cdh3	AI322275
152693	Ccnd2	AV087918
167335	NA	AV087153
161454	Max	AV033676
186739	Tmed4	BG072607
155132	Klhl7	AV056273
177819	Akp2	BG064457
