ID	Symbol	Name	Synonyms	Chromosome
3493	IGHA1	immunoglobulin heavy constant alpha 1	FLJ14473|FLJ35065|FLJ35500|FLJ36402|FLJ39698|FLJ40001|FLJ41548|FLJ41552|FLJ41789|FLJ43248|FLJ43594|FLJ44293|FLJ46028|FLJ46621|FLJ46724|FLJ46811|FLJ46824|FLJ90170|IgA1|MGC102857	14
3494	IGHA2	immunoglobulin heavy constant alpha 2 (A2m marker)	-	14
3495	IGHD	immunoglobulin heavy constant delta	FLJ00382|FLJ46727|MGC29633	14
50648	IGHD@	immunoglobulin heavy diversity group	IGD1|IGHDY1	14
28510	IGHD1-1	immunoglobulin heavy diversity 1-1	IGHD11	14
28508	IGHD1-14	immunoglobulin heavy diversity 1-14 (non-functional)	DM2|IGHD114	14
28507	IGHD1-20	immunoglobulin heavy diversity 1-20	IGHD120	14
28506	IGHD1-26	immunoglobulin heavy diversity 1-26	IGHD126	14
28509	IGHD1-7	immunoglobulin heavy diversity 1-7	DM1|IGHD17	14
28503	IGHD2-15	immunoglobulin heavy diversity 2-15	D2|IGHD215	14
28505	IGHD2-2	immunoglobulin heavy diversity 2-2	IGHD22	14
28502	IGHD2-21	immunoglobulin heavy diversity 2-21	IGHD221	14
28504	IGHD2-8	immunoglobulin heavy diversity 2-8	DLR1|IGHD28	14
28499	IGHD3-10	immunoglobulin heavy diversity 3-10	DXP1|IGHD310	14
28498	IGHD3-16	immunoglobulin heavy diversity 3-16	IGHD316	14
28497	IGHD3-22	immunoglobulin heavy diversity 3-22	IGHD322	14
28501	IGHD3-3	immunoglobulin heavy diversity 3-3	DXP4|IGHD33	14
28500	IGHD3-9	immunoglobulin heavy diversity 3-9	DXP1|IGHD39	14
28495	IGHD4-11	immunoglobulin heavy diversity 4-11 (non-functional)	DA1|IGHD411	14
28494	IGHD4-17	immunoglobulin heavy diversity 4-17	IGHD417	14
28493	IGHD4-23	immunoglobulin heavy diversity 4-23 (non-functional)	IGHD423	14
28496	IGHD4-4	immunoglobulin heavy diversity 4-4	DA4|IGHD44	14
28491	IGHD5-12	immunoglobulin heavy diversity 5-12	DK1|IGHD512	14
28490	IGHD5-18	immunoglobulin heavy diversity 5-18	IGHD518	14
28489	IGHD5-24	immunoglobulin heavy diversity 5-24 (non-functional)	IGHD524	14
28492	IGHD5-5	immunoglobulin heavy diversity 5-5	DK4|IGHD55	14
28487	IGHD6-13	immunoglobulin heavy diversity 6-13	DN1|IGHD613	14
28486	IGHD6-19	immunoglobulin heavy diversity 6-19	IGHD619	14
28485	IGHD6-25	immunoglobulin heavy diversity 6-25	IGHD625	14
28488	IGHD6-6	immunoglobulin heavy diversity 6-6	D(N4)|IGHD66	14
28484	IGHD7-27	immunoglobulin heavy diversity 7-27	DHQ52|IGHD727	14
3497	IGHE	immunoglobulin heavy constant epsilon	IgE	14
3500	IGHG1	immunoglobulin heavy constant gamma 1 (G1m marker)	-	14
3501	IGHG2	immunoglobulin heavy constant gamma 2 (G2m marker)	DKFZp686I04196	14
3502	IGHG3	immunoglobulin heavy constant gamma 3 (G3m marker)	DKFZp686H11213|FLJ39988|FLJ40036|FLJ40253|FLJ40587|FLJ40789|FLJ40834|IgG3|MGC45809	14
3503	IGHG4	immunoglobulin heavy constant gamma 4 (G4m marker)	MGC117419	14
3506	IGHJ@	immunoglobulin heavy joining group	IGHJ	14
28483	IGHJ1	immunoglobulin heavy joining 1	JH1	14
28481	IGHJ2	immunoglobulin heavy joining 2	JH2	14
28479	IGHJ3	immunoglobulin heavy joining 3	JH3b	14
28477	IGHJ4	immunoglobulin heavy joining 4	JH4b	14
28476	IGHJ5	immunoglobulin heavy joining 5	JH5b	14
28475	IGHJ6	immunoglobulin heavy joining 6	JH6b	14
3507	IGHM	immunoglobulin heavy constant mu	DKFZp686I15196|DKFZp686I15212|FLJ00385|MGC104996|MGC52291|MU|VH	14
3509	IGHV@	immunoglobulin heavy variable group	IGHV	14
28468	IGHV1-18	immunoglobulin heavy variable 1-18	IGHV118	14
28474	IGHV1-2	immunoglobulin heavy variable 1-2	IGHV12	14
28467	IGHV1-24	immunoglobulin heavy variable 1-24	IGHV124|VH	14
28473	IGHV1-3	immunoglobulin heavy variable 1-3	IGHV13	14
28466	IGHV1-45	immunoglobulin heavy variable 1-45	IGHV145|VH	14
28465	IGHV1-46	immunoglobulin heavy variable 1-46	IGHV146	14
28464	IGHV1-58	immunoglobulin heavy variable 1-58	IGHV158|VH	14
28461	IGHV1-69	immunoglobulin heavy variable 1-69	IGHV1-E|IGHV169|IGHV1E	14
28472	IGHV1-8	immunoglobulin heavy variable 1-8	IGHV18	14
28460	IGHV1-C	immunoglobulin heavy variable 1-C (provisional, non-functional)	IGHV1C	14
28458	IGHV1-F	immunoglobulin heavy variable 1-F (provisional)	IGHV1F	14
28455	IGHV2-26	immunoglobulin heavy variable 2-26	IGHV226|VH	14
28457	IGHV2-5	immunoglobulin heavy variable 2-5	IGHV25|VH	14
28454	IGHV2-70	immunoglobulin heavy variable 2-70	IGHV270|VH	14
28450	IGHV3-11	immunoglobulin heavy variable 3-11 (gene/pseudogene)	IGHV311|VH	14
28449	IGHV3-13	immunoglobulin heavy variable 3-13	IGHV313	14
28448	IGHV3-15	immunoglobulin heavy variable 3-15	IGHV315|VH	14
28447	IGHV3-16	immunoglobulin heavy variable 3-16 (non-functional)	IGHV316|VH	14
28445	IGHV3-20	immunoglobulin heavy variable 3-20	IGHV320|VH	14
28444	IGHV3-21	immunoglobulin heavy variable 3-21	IGHV321|VH	14
28442	IGHV3-23	immunoglobulin heavy variable 3-23	DP47|IGHV323|V3-23|VH26	14
28439	IGHV3-30	immunoglobulin heavy variable 3-30	IGHV330|VH	14
57290	IGHV3-30-3	immunoglobulin heavy variable 3-30-3	IGHV3-3|IGHV3303	14
89770	IGHV3-30-5	immunoglobulin heavy variable 3-30-5	IGHV3-3|IGHV3305	14
28434	IGHV3-33	immunoglobulin heavy variable 3-33	IGHV333|VH	14
28432	IGHV3-35	immunoglobulin heavy variable 3-35 (non-functional)	IGHV335|VH	14
28429	IGHV3-38	immunoglobulin heavy variable 3-38 (non-functional)	IGHV338|VH	14
28426	IGHV3-43	immunoglobulin heavy variable 3-43	IGHV343|VH	14
28424	IGHV3-48	immunoglobulin heavy variable 3-48	IGHV348|VH	14
28423	IGHV3-49	immunoglobulin heavy variable 3-49	IGHV349|VH	14
28420	IGHV3-53	immunoglobulin heavy variable 3-53	IGHV353|VH	14
28414	IGHV3-64	immunoglobulin heavy variable 3-64	IGHV364|VH	14
28412	IGHV3-66	immunoglobulin heavy variable 3-66	IGHV366|VH	14
28452	IGHV3-7	immunoglobulin heavy variable 3-7	IGHV37|VH	14
28410	IGHV3-72	immunoglobulin heavy variable 3-72	IGHV372|VH	14
28409	IGHV3-73	immunoglobulin heavy variable 3-73	IGHV373|VH	14
28408	IGHV3-74	immunoglobulin heavy variable 3-74	IGHV374|VH	14
28451	IGHV3-9	immunoglobulin heavy variable 3-9	IGHV39|VH	14
28404	IGHV3-D	immunoglobulin heavy variable 3-D (provisional)	IGHV3D	14
28402	IGHV3-H	immunoglobulin heavy variable 3-H pseudogene (provisional)	IGHV3H	14
28400	IGHV4-28	immunoglobulin heavy variable 4-28	IGHV428|VH	14
28399	IGHV4-30-1	immunoglobulin heavy variable 4-30-1	IGHV4-3	14
28398	IGHV4-30-2	immunoglobulin heavy variable 4-30-2	IGHV4-3|IGHV4302	14
28397	IGHV4-30-4	immunoglobulin heavy variable 4-30-4	IGHV4-3|IGHV4304	14
28396	IGHV4-31	immunoglobulin heavy variable 4-31	FLJ45507|IGHV431	14
28395	IGHV4-34	immunoglobulin heavy variable 4-34	IGHV434|VH	14
28394	IGHV4-39	immunoglobulin heavy variable 4-39	IGHV439|VH	14
28401	IGHV4-4	immunoglobulin heavy variable 4-4	IGHV44|VH	14
28392	IGHV4-59	immunoglobulin heavy variable 4-59	IGHV459|VH	14
28391	IGHV4-61	immunoglobulin heavy variable 4-61	IGHV461|VH	14
28389	IGHV4-B	immunoglobulin heavy variable 4-B (provisional)	IGHV4B	14
28388	IGHV5-51	immunoglobulin heavy variable 5-51	IGHV551|VH	14
28386	IGHV5-A	immunoglobulin heavy variable 5-A (provisional, gene/pseudogene)	IGHV5A	14
28385	IGHV6-1	immunoglobulin heavy variable 6-1	IGHV61|VH	14
57289	IGHV7-4-1	immunoglobulin heavy variable 7-4-1	IGHV7-41|IGHV741	14
28378	IGHV7-81	immunoglobulin heavy variable 7-81 (non-functional)	IGHV781	14
50802	IGK@	immunoglobulin kappa locus	FLJ26296|IGK|IGKC|MGC22645|MGC27376|MGC40426|MGC71990	2
3514	IGKC	immunoglobulin kappa constant	HCAK1|Km|MGC111575|MGC62011|MGC72072|MGC88770|MGC88771|MGC88809	2
3515	IGKDEL	immunoglobulin kappa deleting element or like	IGKDE	2
7842	IGKJ@	immunoglobulin kappa joining group	IGKJ	2
28950	IGKJ1	immunoglobulin kappa joining 1	J1	2
28949	IGKJ2	immunoglobulin kappa joining 2	J2	2
28948	IGKJ3	immunoglobulin kappa joining 3	J3	2
28947	IGKJ4	immunoglobulin kappa joining 4	J4	2
28946	IGKJ5	immunoglobulin kappa joining 5	J5	2
3519	IGKV@	immunoglobulin kappa variable group	IGKV|IGKV1|IGKV1@|IGKV2|IGKV2@|IGKV3|IGKV3@	2
28940	IGKV1-12	immunoglobulin kappa variable 1-12	IGKV112|L19	2
28939	IGKV1-13	immunoglobulin kappa variable 1-13 (gene/pseudogene)	IGKV113|L18	2
28938	IGKV1-16	immunoglobulin kappa variable 1-16	IGKV116|L1	2
28937	IGKV1-17	immunoglobulin kappa variable 1-17	A30|IGKV117	2
28935	IGKV1-27	immunoglobulin kappa variable 1-27	A20|IGKV127	2
28933	IGKV1-33	immunoglobulin kappa variable 1-33	IGKV133|O18	2
28931	IGKV1-37	immunoglobulin kappa variable 1-37 (non-functional)	IGKV137|O14	2
28930	IGKV1-39	immunoglobulin kappa variable 1-39 (gene/pseudogene)	IGKV139|O12|O12a	2
28299	IGKV1-5	immunoglobulin kappa variable 1-5	IGKV|IGKV15|L12|L12a|MGC22745|MGC32715|MGC88810|V1	2
28943	IGKV1-6	immunoglobulin kappa variable 1-6	IGKV16|L11	2
28942	IGKV1-8	immunoglobulin kappa variable 1-8	IGKV18|L9	2
28941	IGKV1-9	immunoglobulin kappa variable 1-9	IGKV19|L8	2
28903	IGKV1D-12	immunoglobulin kappa variable 1D-12	IGKV1D12|L19	2
28902	IGKV1D-13	immunoglobulin kappa variable 1D-13	IGKV1D13|L18	2
28901	IGKV1D-16	immunoglobulin kappa variable 1D-16	IGKV1D16|L15|L15a	2
28900	IGKV1D-17	immunoglobulin kappa variable 1D-17	IGKV1D17|L14	2
28896	IGKV1D-33	immunoglobulin kappa variable 1D-33	IGKV1D33|O8	2
28894	IGKV1D-37	immunoglobulin kappa variable 1D-37 (non-functional)	IGKV1D37|O4	2
28893	IGKV1D-39	immunoglobulin kappa variable 1D-39	IGKV1D39|O2	2
28892	IGKV1D-42	immunoglobulin kappa variable 1D-42 (non-functional)	IGKV1D42|L22	2
28891	IGKV1D-43	immunoglobulin kappa variable 1D-43	IGKV1D43|L23|L23a	2
28904	IGKV1D-8	immunoglobulin kappa variable 1D-8	IGKV1D8|L24|L24a	2
28923	IGKV2-24	immunoglobulin kappa variable 2-24	A23|IGKV224	2
28921	IGKV2-28	immunoglobulin kappa variable 2-28	A19|IGKV228	2
28919	IGKV2-30	immunoglobulin kappa variable 2-30	A17|IGKV230	2
28916	IGKV2-40	immunoglobulin kappa variable 2-40	IGKV240|O11|O11a	2
28885	IGKV2D-24	immunoglobulin kappa variable 2D-24 (non-functional)	A7|IGKV2D24	2
28883	IGKV2D-28	immunoglobulin kappa variable 2D-28	A3|IGKV2D28	2
28882	IGKV2D-29	immunoglobulin kappa variable 2D-29	A2a|A2c|IGKV2D29	2
28881	IGKV2D-30	immunoglobulin kappa variable 2D-30	A1|IGKV2D30	2
28878	IGKV2D-40	immunoglobulin kappa variable 2D-40	IGKV2D40|O1	2
28914	IGKV3-11	immunoglobulin kappa variable 3-11	IGKV311|L6	2
28913	IGKV3-15	immunoglobulin kappa variable 3-15	IGKV315|L2	2
28912	IGKV3-20	immunoglobulin kappa variable 3-20	13K18|A27|IGKV320	2
28915	IGKV3-7	immunoglobulin kappa variable 3-7 (non-functional)	IGKV37|L10|L10a|Vh	2
28876	IGKV3D-11	immunoglobulin kappa variable 3D-11	IGKV3D11|L20	2
28875	IGKV3D-15	immunoglobulin kappa variable 3D-15 (gene/pseudogene)	IGKV3D15|L16|L16a|L16b|L16c	2
28874	IGKV3D-20	immunoglobulin kappa variable 3D-20	A11|A11a|IGKV3D20	2
28877	IGKV3D-7	immunoglobulin kappa variable 3D-7	IGKV3D7|L25	2
28908	IGKV4-1	immunoglobulin kappa variable 4-1	B3|IGKV41	2
28907	IGKV5-2	immunoglobulin kappa variable 5-2	B2|IGKV52	2
28906	IGKV6-21	immunoglobulin kappa variable 6-21 (non-functional)	A26|IGKV621	2
28870	IGKV6D-21	immunoglobulin kappa variable 6D-21 (non-functional)	A10|IGKV6D21	2
28869	IGKV6D-41	immunoglobulin kappa variable 6D-41 (non-functional)	A14	2
3535	IGL@	immunoglobulin lambda locus	IGL|MGC88804	22
3536	IGLC@	immunoglobulin lambda constant group	IGLC	22
3537	IGLC1	immunoglobulin lambda constant 1 (Mcg marker)	IGLC	22
3538	IGLC2	immunoglobulin lambda constant 2 (Kern-Oz- marker)	IGLC|MGC20392|MGC45681	22
3539	IGLC3	immunoglobulin lambda constant 3 (Kern-Oz+ marker)	IGLC	22
3542	IGLC6	immunoglobulin lambda constant 6 (Kern+Oz- marker, gene/pseudogene)	IGLC	22
28834	IGLC7	immunoglobulin lambda constant 7	C7	22
8217	IGLJ@	immunoglobulin lambda joining group	IGLJ	22
28833	IGLJ1	immunoglobulin lambda joining 1	J1	22
28832	IGLJ2	immunoglobulin lambda joining 2	J2	22
28831	IGLJ3	immunoglobulin lambda joining 3	J3	22
28830	IGLJ4	immunoglobulin lambda joining 4 (non-functional)	-	22
28829	IGLJ5	immunoglobulin lambda joining 5 (non-functional)	-	22
28828	IGLJ6	immunoglobulin lambda joining 6	-	22
28827	IGLJ7	immunoglobulin lambda joining 7	J7	22
3546	IGLV@	immunoglobulin lambda variable group	IGLV	22
28826	IGLV1-36	immunoglobulin lambda variable 1-36	IGLV136|V1-11	22
28825	IGLV1-40	immunoglobulin lambda variable 1-40	IGLV140|V1-13	22
28823	IGLV1-44	immunoglobulin lambda variable 1-44	IGLV144|V1-16	22
28822	IGLV1-47	immunoglobulin lambda variable 1-47	IGLV147|V1-17	22
28821	IGLV1-50	immunoglobulin lambda variable 1-50 (non-functional)	IGLV150|V1-18	22
28820	IGLV1-51	immunoglobulin lambda variable 1-51	IGLV151|V1-19	22
28772	IGLV10-54	immunoglobulin lambda variable 10-54	IGLV1054|V1-20	22
28770	IGLV11-55	immunoglobulin lambda variable 11-55 (non-functional)	IGLV1155|V4-6	22
28816	IGLV2-11	immunoglobulin lambda variable 2-11	IGLV211|V1-3	22
28815	IGLV2-14	immunoglobulin lambda variable 2-14	IGLV214|V1-4	22
28814	IGLV2-18	immunoglobulin lambda variable 2-18	IGLV218|V1-5	22
28813	IGLV2-23	immunoglobulin lambda variable 2-23	IGLV223|V1-7	22
28811	IGLV2-33	immunoglobulin lambda variable 2-33 (non-functional)	IGLV233|V1-9	22
28817	IGLV2-8	immunoglobulin lambda variable 2-8	IGLV28|V1-2	22
28809	IGLV3-1	immunoglobulin lambda variable 3-1	IGLV31|V2-1	22
28803	IGLV3-10	immunoglobulin lambda variable 3-10	IGLV310|V2-7	22
28802	IGLV3-12	immunoglobulin lambda variable 3-12	IGLV312|V2-8	22
28799	IGLV3-16	immunoglobulin lambda variable 3-16	IGLV316|V2-11	22
28797	IGLV3-19	immunoglobulin lambda variable 3-19	IGLV319|V2-13|VL3L	22
28796	IGLV3-21	immunoglobulin lambda variable 3-21	IGLV321|V2-14	22
28795	IGLV3-22	immunoglobulin lambda variable 3-22 (gene/pseudogene)	IGLV322|V2-15	22
28793	IGLV3-25	immunoglobulin lambda variable 3-25	IGLV325|MGC105005|V2-17	22
28791	IGLV3-27	immunoglobulin lambda variable 3-27	IGLV327|V2-19	22
28787	IGLV3-32	immunoglobulin lambda variable 3-32 (non-functional)	IGLV332|V2-23P	22
28804	IGLV3-9	immunoglobulin lambda variable 3-9 (gene/pseudogene)	IGLV39|V2-6	22
28786	IGLV4-3	immunoglobulin lambda variable 4-3	IGLV43|V5-1	22
28785	IGLV4-60	immunoglobulin lambda variable 4-60	IGLV460|V5-4	22
28784	IGLV4-69	immunoglobulin lambda variable 4-69	IGLV469|V5-6	22
28783	IGLV5-37	immunoglobulin lambda variable 5-37	IGLV537|V4-1	22
28782	IGLV5-39	immunoglobulin lambda variable 5-39	IGLV539	22
28781	IGLV5-45	immunoglobulin lambda variable 5-45	IGLV545|V4-2	22
28780	IGLV5-48	immunoglobulin lambda variable 5-48 (non-functional)	IGLV548|V4-3	22
28779	IGLV5-52	immunoglobulin lambda variable 5-52	IGLV552|V4-4	22
28778	IGLV6-57	immunoglobulin lambda variable 6-57	IGLV657|MGC34845|V1-22	22
28776	IGLV7-43	immunoglobulin lambda variable 7-43	IGLV743|V3-2	22
28775	IGLV7-46	immunoglobulin lambda variable 7-46 (gene/pseudogene)	IGLV746|V3-3	22
28774	IGLV8-61	immunoglobulin lambda variable 8-61	IGLV861|V3-4	22
28773	IGLV9-49	immunoglobulin lambda variable 9-49	IGLV949|V5-2	22
