Probe Set ID	Gene Symbol	ES exp 1	ES exp 2	NOS targets	NOS TFs	PRC2 targets	Myc targets	proliferation
211080_s_at	NEK2	0	0	0	0	0	0	1
206074_s_at	HMGIY	0	0	0	0	0	0	0
216237_s_at	MCM5	1	0	0	0	0	0	1
205053_at	PRIM1	1	0	0	0	0	0	1
205909_at	POLE2	1	0	0	0	0	0	1
203270_at	DTYMK	0	1	0	0	0	0	0
218512_at	WDR12	1	0	0	0	0	0	0
203362_s_at	MAD2L1	0	0	0	0	0	0	1
218875_s_at	FBXO5	0	0	0	0	0	0	1
222036_s_at	MCM4	1	0	0	0	0	1	1
204822_at	TTK	0	0	0	0	0	0	1
205394_at	CHEK1	1	0	0	0	0	0	1
213523_at	CCNE1	0	0	0	0	0	0	1
204128_s_at	RFC3	1	0	0	0	0	0	1
205733_at	BLM	0	0	0	0	0	0	1
205034_at	CCNE2	0	0	0	0	0	0	1
206205_at	MPHOSPH9	0	0	0	0	0	0	1
204768_s_at	FEN1	1	0	0	0	0	0	1
204695_at	CDC25A	1	1	0	0	0	0	1
205085_at	ORC1L	1	1	1	0	0	0	1
201202_at	PCNA	0	0	0	0	0	0	1
200750_s_at	RAN	0	0	0	0	0	0	1
202309_at	MTHFD1	1	0	0	0	0	0	0
201577_at	NME1	0	0	0	0	0	1	0
200783_s_at	STMN1	0	0	0	0	0	1	1
204766_s_at	NUDT1	1	0	0	0	0	0	0
205167_s_at	CDC25C	0	0	0	0	0	0	1
203432_at	TMPO	1	0	0	0	0	0	0
210983_s_at	MCM7	1	0	0	0	0	1	1
218670_at	PUS1	1	0	0	0	0	0	0
211450_s_at	MSH6	1	0	0	0	0	0	0
206686_at	PDK1	1	0	0	0	0	0	0
201112_s_at	CSE1L	1	0	0	0	0	0	0
203209_at	RFC5	0	0	0	0	0	0	1
213906_at	MYBL1	0	0	0	0	0	0	0
201714_at	TUBG1	0	0	0	0	0	0	1
211949_s_at	NOLC1	1	0	0	0	0	0	1
209421_at	MSH2	1	0	0	0	0	0	0
209709_s_at	HMMR	1	0	0	0	0	0	0
213599_at	OIP5	1	0	0	0	0	0	0
217755_at	HN1	0	0	1	0	0	0	0
210138_at	RGS20	0	0	0	0	1	0	0
208443_x_at	SHOX2	0	0	0	0	1	0	0
219004_s_at	C21orf45	1	0	0	0	0	0	0
200807_s_at	HSPD1	1	0	0	0	0	1	0
204286_s_at	PMAIP1	1	0	0	0	0	0	0
202705_at	CCNB2	0	0	0	0	0	0	1
205758_at	CD8A	0	0	0	0	1	0	0
206067_s_at	WT1	0	0	0	0	1	1	0
207183_at	GPR19	1	1	0	0	0	0	0
204900_x_at	SAP30	0	0	0	0	0	0	0
209507_at	RPA3	0	0	0	0	0	0	1
202726_at	LIG1	0	0	0	0	0	0	1
203588_s_at	TFDP2	0	0	0	0	0	0	0
201770_at	SNRPA	1	0	0	0	0	0	0
200934_at	DEK	1	0	0	0	0	0	0
204281_at	TEAD4	1	0	0	0	0	0	0
214612_x_at	MAGEA6	0	0	0	0	0	1	0
204252_at	CDK2	0	0	0	0	0	0	1
213201_s_at	TNNT1	1	0	0	0	0	0	0
202219_at	SLC6A8	1	0	0	0	0	0	0
209900_s_at	SLC16A1	1	0	0	0	0	0	0
202591_s_at	SSBP1	0	0	0	0	0	0	1
219232_s_at	EGLN3	1	0	0	0	0	0	0
203177_x_at	TFAM	1	0	0	0	0	0	0
213418_at	HSPA6	0	0	0	0	1	0	0
206247_at	MICB	1	0	0	0	0	0	0
204366_s_at	GTF3C2	0	0	0	0	0	0	0
202344_at	HSF1	0	0	0	0	0	0	0
210732_s_at	LGALS8	1	0	0	0	0	0	0
201479_at	DKC1	0	0	0	0	0	1	0
201477_s_at	RRM1	0	0	0	0	0	0	1
209572_s_at	EED	0	0	0	0	0	0	0
217294_s_at	ENO1	0	0	0	0	0	1	0
206052_s_at	SLBP	0	0	0	0	0	1	0
208368_s_at	BRCA2	0	0	0	0	0	1	1
204420_at	FOSL1	0	0	0	0	0	1	0
201139_s_at	SSB	1	0	0	0	0	0	0
202330_s_at	UNG	1	0	0	0	0	0	0
209715_at	CBX5	1	0	0	0	0	0	0
200052_s_at	ILF2	0	0	0	0	0	0	0
203964_at	NMI	0	0	0	0	0	0	0
218538_s_at	MRS2L	1	0	0	0	0	0	0
201532_at	PSMA3	0	0	0	0	0	1	0
201516_at	SRM	0	0	0	0	0	1	0
205229_s_at	COCH	1	0	0	0	0	0	0
204203_at	CEBPG	0	0	0	0	0	0	0
212379_at	GART	1	0	0	0	0	0	0
209188_x_at	DR1	0	0	0	0	0	0	0
204826_at	CCNF	0	0	0	0	0	0	1
202531_at	IRF1	0	0	0	0	0	0	0
211456_x_at	MT1H	0	0	0	0	1	0	0
209974_s_at	BUB3	1	0	1	0	0	0	1
211804_s_at	CDK2	0	0	0	0	0	0	1
212563_at	BOP1	1	0	0	0	0	0	0
201637_s_at	FXR1	1	0	0	0	0	0	0
214141_x_at	SFRS7	1	0	0	0	0	0	0
203422_at	POLD1	0	0	0	0	0	0	1
201555_at	MCM3	1	0	0	0	0	0	1
212540_at	CDC34	0	0	0	0	0	0	1
208152_s_at	DDX21	1	0	0	0	0	0	0
212378_at	GART	1	0	0	0	0	0	0
217881_s_at	CDC27	0	0	0	0	0	0	1
205395_s_at	MRE11A	1	0	0	0	0	0	0
203634_s_at	CPT1A	0	0	1	0	0	0	0
209754_s_at	TMPO	1	0	0	0	0	0	0
215942_s_at	GTSE1	0	0	0	0	0	0	1
210206_s_at	DDX11	0	0	0	0	0	0	1
201833_at	HDAC2	0	0	0	0	0	0	0
214727_at	ATF4	0	0	0	0	0	1	0
213843_x_at	SLC6A8	1	0	0	0	0	0	0
213647_at	DNA2L	1	0	0	0	0	0	1
205123_s_at	TMEFF1	1	0	0	0	0	0	0
201970_s_at	NASP	1	0	0	0	0	0	1
204947_at	E2F1	0	0	0	0	0	1	1
211212_s_at	ORC5L	0	0	0	0	0	0	1
201872_s_at	ABCE1	1	0	0	0	0	0	0
203693_s_at	E2F3	0	0	0	0	0	0	0
203302_at	DCK	0	0	0	0	0	1	0
210376_x_at	ELK1	0	0	0	0	0	1	0
200815_s_at	PAFAH1B1	0	0	0	0	0	0	1
205205_at	RELB	0	0	0	0	0	0	0
201979_s_at	PPP5C	0	0	0	0	0	0	1
217010_s_at	CDC25C	0	0	0	0	0	0	1
210416_s_at	CHEK2	1	1	0	0	0	0	0
200989_at	HIF1A	0	0	0	0	0	1	0
202043_s_at	SMS	1	0	0	0	0	0	0
220684_at	TBX21	0	0	0	0	1	0	0
204858_s_at	ECGF1	0	0	0	0	0	0	1
204318_s_at	GTSE1	0	0	0	0	0	0	1
213756_s_at	HSF1	0	0	0	0	0	0	0
208934_s_at	LGALS8	1	0	0	0	0	0	0
202235_at	SLC16A1	1	0	0	0	0	0	0
217370_x_at	FUS	0	0	1	0	0	0	0
210567_s_at	SKP2	0	0	0	0	0	0	1
205850_s_at	GABRB3	1	0	0	0	0	0	0
203344_s_at	RBBP8	1	0	0	0	0	0	1
221923_s_at	NPM1	1	0	0	0	0	0	0
206023_at	NMU	1	0	0	0	0	0	0
214430_at	GLA	0	0	0	0	0	1	0
205129_at	NPM3	1	0	0	0	0	0	0
209523_at	TAF2	0	0	0	0	0	0	0
211787_s_at	EIF4A1	0	0	0	0	0	1	0
209017_s_at	MTHFD2	1	0	0	0	0	0	0
218559_s_at	MAFB	0	0	0	0	1	0	0
201614_s_at	RUVBL1	1	0	0	0	0	0	1
217805_at	ILF3	1	0	0	0	0	0	0
204186_s_at	PPID	0	0	0	0	0	1	0
218803_at	CHFR	0	0	0	0	0	0	1
200669_s_at	UBE2D3	0	0	1	0	0	0	0
204159_at	CDKN2C	0	0	0	0	1	0	0
208159_x_at	DDX11	0	0	0	0	0	0	1
212816_s_at	CBS	1	0	0	0	0	1	0
218129_s_at	NFYB	1	0	0	0	0	0	0
209945_s_at	GSK3B	0	0	0	0	0	1	0
205526_s_at	KATNA1	0	0	0	0	0	0	1
202610_s_at	CRSP2	0	0	0	0	0	0	0
217878_s_at	CDC27	0	0	0	0	0	0	1
214427_at	NOL1	0	0	0	0	0	1	0
204053_x_at	PTEN	0	0	0	0	0	1	0
206794_at	ERBB4	0	0	0	0	1	0	0
203782_s_at	POLRMT	0	0	0	0	0	0	1
205763_s_at	DDX18	1	0	0	0	0	0	0
206472_s_at	TLE3	0	0	1	1	0	0	0
211533_at	PDGFRA	0	0	0	0	1	0	0
215705_at	PPP5C	0	0	0	0	0	0	1
207348_s_at	LIG3	0	0	0	0	0	0	1
210765_at	CSE1L	1	0	0	0	0	0	0
208828_at	POLE3	0	0	0	0	0	0	1
207307_at	HTR2C	0	0	0	0	1	0	0
211116_at	SLC9A2	0	0	0	0	1	0	0
200957_s_at	SSRP1	0	0	0	0	0	0	1
209143_s_at	CLNS1A	0	0	0	0	0	1	0
206140_at	LHX2	0	0	0	0	1	0	0
204935_at	PTPN2	1	0	1	0	0	0	0
217620_s_at	PIK3CB	1	0	0	0	0	0	0
216384_x_at	PTMA	0	0	0	0	0	1	0
213137_s_at	PTPN2	1	0	1	0	0	0	0
204087_s_at	SLC5A6	0	1	0	0	0	0	0
203589_s_at	TFDP2	0	0	0	0	0	0	0
201115_at	POLD2	0	0	0	0	0	1	1
201436_at	EIF4E	0	0	0	0	0	1	0
216212_s_at	DKC1	0	0	0	0	0	1	0
201049_s_at	RPS18	0	0	1	0	0	0	0
200050_at	ZNF146	0	0	0	0	0	1	0
212330_at	TFDP1	0	0	0	0	0	0	0
203023_at	HSPC111	1	0	0	0	0	0	0
201196_s_at	AMD1	1	0	0	0	0	1	0
205741_s_at	DTNA	0	0	1	0	0	0	0
207050_at	CACNA2D1	0	0	1	0	0	0	0
211016_x_at	HSPA4	1	0	0	0	0	0	0
208677_s_at	BSG	0	0	0	0	0	1	0
202575_at	CRABP2	1	0	0	0	0	0	0
219510_at	POLQ	0	0	0	0	0	0	1
215776_at	INSRR	0	0	0	0	1	0	0
202248_at	E2F4	0	0	0	0	0	0	1
216026_s_at	POLE	0	0	0	0	1	0	1
215167_at	CRSP2	0	0	0	0	0	0	0
204540_at	EEF1A2	0	0	0	0	0	1	0
201480_s_at	SUPT5H	0	0	0	0	0	0	0
219076_s_at	PXMP2	0	0	0	0	1	0	0
205874_at	ITPKA	0	0	0	0	1	0	0
221642_at	TREX1	0	0	0	0	0	0	1
221965_at	MPHOSPH9	0	0	0	0	0	0	1
201635_s_at	FXR1	1	0	0	0	0	0	0
209463_s_at	TAF12	0	0	1	1	0	0	0
200773_x_at	PTMA	0	0	0	0	0	1	0
216515_x_at	PTMA	0	0	0	0	0	1	0
214011_s_at	HSPC111	1	0	0	0	0	0	0
217008_s_at	GRM7	0	0	0	0	1	0	0
205691_at	SYNGR3	1	0	0	0	0	0	0
213047_x_at	SET	0	0	1	0	0	0	1
202431_s_at	MYC	0	0	0	0	0	0	0
203114_at	SSSCA1	0	0	0	0	0	0	1
211756_at	PTHLH	0	0	0	0	1	0	0
208231_at	NRG1	0	0	0	0	1	0	0
220668_s_at	DNMT3B	1	0	0	0	0	0	0
206343_s_at	NRG1	0	0	0	0	1	0	0
212449_s_at	LYPLA1	1	0	0	0	0	0	0
219540_at	ZNF267	1	0	0	0	0	0	0
217166_at	PTMA	0	0	0	0	0	1	0
208721_s_at	ANAPC5	0	0	0	0	0	0	1
211803_at	CDK2	0	0	0	0	0	0	1
213225_at	PPM1B	1	0	0	0	0	0	0
211865_s_at	FZR1	0	0	0	0	0	0	1
204946_s_at	TOP3A	0	0	0	0	0	0	1
200608_s_at	RAD21	0	0	0	0	0	0	1
208433_s_at	LRP8	1	0	0	0	0	0	0
200819_s_at	RPS15	0	0	0	0	0	1	0
221112_at	IL1RAPL2	0	0	0	0	1	0	0
31845_at	ELF4	0	0	0	0	0	0	0
204319_s_at	RGS10	0	0	0	0	1	0	0
202628_s_at	SERPINE1	0	0	0	0	0	1	0
204702_s_at	NFE2L3	1	0	1	1	0	0	0
204025_s_at	PDCD2	1	0	0	0	0	0	0
213414_s_at	RPS19	0	0	0	0	0	1	0
214240_at	GAL	1	0	0	0	0	0	0
202268_s_at	APPBP1	0	0	0	0	0	0	1
204696_s_at	CDC25A	1	1	0	0	0	0	1
208241_at	NRG1	0	0	0	0	1	0	0
214597_at	SSTR2	0	0	0	0	1	0	0
206940_s_at	POU4F1	0	0	0	0	1	0	0
203927_at	NFKBIE	0	0	0	0	0	0	0
205585_at	ETV6	0	0	0	0	0	0	0
203577_at	GTF2H4	0	0	0	0	0	0	0
211502_s_at	PFTK1	0	0	1	0	0	0	0
206589_at	GFI1	0	0	0	0	0	0	1
204853_at	ORC2L	0	1	0	0	0	0	1
204536_s_at	REST	0	0	1	1	0	0	0
212429_s_at	GTF3C2	0	0	0	0	0	0	0
213536_s_at	UBE2I	0	0	0	0	0	0	1
220225_at	IRX4	0	0	0	0	1	0	0
204970_s_at	MAFG	0	0	0	0	0	0	0
214236_at	CDC27	0	0	0	0	0	0	1
201487_at	CTSC	1	0	0	0	0	0	0
215098_at	RXRB	0	0	0	0	0	1	0
201096_s_at	ARF4	0	0	0	0	0	1	0
203652_at	MAP3K11	0	0	0	0	0	0	1
215879_at	ITGB1	0	0	0	0	0	1	1
40189_at	SET	0	0	1	0	0	0	1
200843_s_at	EPRS	1	0	0	0	0	0	0
220198_s_at	EIF5A2	0	0	0	0	0	1	0
206529_x_at	SLC26A4	0	0	0	0	1	0	0
213665_at	SOX4	0	0	0	0	0	0	0
217337_at	ACO2	0	0	0	0	0	1	0
200713_s_at	MAPRE1	0	0	0	0	0	0	1
202886_s_at	PPP2R1B	1	0	1	0	0	0	0
204908_s_at	BCL3	0	0	0	0	0	1	0
208864_s_at	TXN	0	0	0	0	0	1	0
208691_at	TFRC	0	0	0	0	0	1	0
200063_s_at	NPM1	1	0	0	0	0	0	0
214288_s_at	PSMB1	0	0	0	0	0	1	0
203083_at	THBS2	0	0	1	0	0	0	0
207197_at	ZIC3	1	1	1	1	0	0	0
214160_at	CDK6	0	0	0	0	0	0	1
209928_s_at	MSC	0	0	1	1	1	0	0
208474_at	CLDN6	1	1	0	0	0	0	0
215731_s_at	MPHOSPH9	0	0	0	0	0	0	1
212654_at	TPM2	0	0	0	0	0	1	0
204907_s_at	BCL3	0	0	0	0	0	1	0
208398_s_at	TBPL1	0	0	0	0	0	0	0
202534_x_at	DHFR	1	0	0	0	0	0	0
221278_at	HOXB8	0	0	0	0	1	0	0
211449_at	MSH6	1	0	0	0	0	0	0
206670_s_at	GAD1	1	0	0	0	0	0	0
210688_s_at	CPT1A	0	0	1	0	0	0	0
201795_at	LBR	0	0	0	0	0	1	0
215823_x_at	PABPC1	0	0	0	0	0	1	0
210135_s_at	SHOX2	0	0	0	0	1	0	0
204827_s_at	CCNF	0	0	0	0	0	0	1
211213_at	ORC5L	0	0	0	0	0	0	1
209618_at	CTNND2	0	0	0	0	1	0	0
219302_s_at	CNTNAP2	1	0	0	0	0	0	0
213501_at	ACOX1	0	0	0	0	0	1	0
208554_at	POU4F3	0	0	0	0	1	0	0
205060_at	PARG	0	0	1	0	0	0	0
200980_s_at	PDHA1	0	0	0	0	0	1	0
201277_s_at	HNRPAB	1	0	0	0	0	0	0
207212_at	SLC9A3	0	0	0	0	1	0	0
207331_at	CENPF	0	0	0	0	0	0	1
213320_at	PRMT3	1	0	0	0	0	0	0
207035_at	SLC30A3	0	0	0	0	1	0	0
210511_s_at	INHBA	0	0	0	0	0	0	1
206912_at	FOXE1	0	0	0	0	1	0	0
211711_s_at	PTEN	0	0	0	0	0	1	0
220480_at	HAND2	0	0	0	0	1	0	0
206236_at	GPR4	0	0	0	0	0	1	0
202696_at	OSR1	0	0	0	0	1	0	0
214680_at	NTRK2	0	0	0	0	1	0	0
202246_s_at	CDK4	0	0	0	0	0	1	1
221607_x_at	ACTG1	0	0	0	0	0	1	0
219708_at	NT5M	0	0	0	0	0	0	1
209440_at	PRPS1	1	0	0	0	0	0	0
216953_s_at	WT1	0	0	0	0	1	1	0
203744_at	HMG4	0	0	0	0	0	0	0
207397_s_at	HOXD13	0	0	0	0	1	0	0
211909_x_at	PTGER3	0	0	0	0	1	0	0
211951_at	NOLC1	1	0	0	0	0	0	1
219322_s_at	WDR8	0	0	0	0	1	0	0
208910_s_at	C1QBP	1	0	0	0	0	0	0
204261_s_at	PSEN2	0	0	0	0	0	1	0
209601_at	ACOX1	0	0	0	0	0	1	0
203184_at	FBN2	0	0	0	0	1	0	0
203352_at	ORC4L	0	0	0	0	0	0	1
220448_at	KCNK12	0	0	0	0	1	0	0
207923_x_at	PAX8	0	0	0	0	1	0	0
222185_at	PKNOX2	0	0	0	0	1	0	0
206291_at	NTS	1	0	0	0	0	0	0
203574_at	NFIL3	0	0	0	0	0	0	0
205723_at	CNTFR	0	0	0	0	1	0	0
213284_at	ZFP36L1	0	0	1	1	0	0	0
211315_s_at	CACNA1G	0	0	0	0	1	0	0
210574_s_at	NUDC	0	0	0	0	0	0	1
220493_at	DMRT1	0	0	0	0	1	0	0
208460_at	GJA7	0	1	0	0	0	0	0
205385_at	MDM2	0	0	0	0	0	1	1
213787_s_at	EBP	0	0	0	0	0	1	0
200749_at	RAN	0	0	0	0	0	0	1
209328_x_at	HSPC111	1	0	0	0	0	0	0
206631_at	PTGER2	0	0	0	0	1	1	0
220960_x_at	RPL22	0	0	0	0	0	1	0
217404_s_at	COL2A1	0	0	0	0	1	0	0
215781_s_at	TOP3B	0	0	0	0	0	0	1
205350_at	CRABP1	1	0	0	0	0	0	0
203872_at	ACTA1	1	0	0	0	0	0	0
221891_x_at	HSPA8	1	0	0	0	0	1	0
200020_at	TARDBP	0	0	0	0	0	0	1
221918_at	PCTK2	0	0	1	0	0	0	0
214750_at	PAPPA	0	0	0	0	1	0	0
207634_at	PDCD1	0	0	0	0	0	1	0
207398_at	HOXD13	0	0	0	0	1	0	0
209067_s_at	HNRPDL	0	0	0	0	0	1	0
208825_x_at	RPL23A	0	0	0	0	0	1	0
214000_s_at	RGS10	0	0	0	0	1	0	0
212688_at	PIK3CB	1	0	0	0	0	0	0
204707_s_at	MAPK4	0	0	0	0	1	0	0
219415_at	TTYH1	0	0	0	0	1	0	0
217917_s_at	ACTB	0	0	0	0	0	1	0
216656_at	ETV6	0	0	0	0	0	0	0
200631_s_at	SET	0	0	1	0	0	0	1
207570_at	SHOX	0	0	0	0	1	0	0
206838_at	TBX19	0	0	0	0	0	0	0
207428_x_at	CDC2L1	0	0	0	0	0	0	1
211825_s_at	FLI1	0	0	0	0	1	0	0
209664_x_at	NFATC1	0	0	0	0	0	0	1
217757_at	A2M	0	0	0	0	0	0	1
209960_at	HGF	0	0	0	0	0	0	1
208760_at	UBE2I	0	0	0	0	0	0	1
201425_at	ALDH2	0	0	0	0	0	1	0
204682_at	LTBP2	0	0	0	0	1	0	0
213030_s_at	PLXNA2	0	0	0	0	1	0	0
209068_at	HNRPDL	0	0	0	0	0	1	0
201449_at	TIA1	1	0	0	0	0	0	0
209897_s_at	SLIT2	0	0	0	0	1	0	0
200762_at	DPYSL2	0	0	1	0	0	0	0
215543_s_at	LARGE	0	0	1	0	0	0	0
201236_s_at	BTG2	0	0	0	0	1	0	0
218432_at	FBXO3	0	0	0	0	1	0	0
211596_s_at	LIG1	0	0	0	0	0	0	1
207586_at	SHH	0	0	0	0	1	0	0
204984_at	GPC4	1	0	0	0	0	0	0
213693_s_at	MUC1	0	0	0	0	0	1	0
204773_at	IL11RA	0	0	0	0	0	1	0
201675_at	AKAP1	0	0	0	0	0	1	0
212890_at	ITGB1	0	0	0	0	0	1	1
221874_at	KIAA1324	0	0	0	0	1	0	0
215735_s_at	TSC2	0	0	0	0	0	1	0
213791_at	PENK	0	0	0	0	1	0	0
203549_s_at	LPL	0	0	0	0	1	0	0
221127_s_at	RIG	0	0	0	0	0	1	0
205632_s_at	PIP5K1B	0	0	0	0	1	0	0
213110_s_at	COL4A5	0	0	0	0	1	0	0
204039_at	CEBPA	0	0	0	0	0	1	0
206272_at	SPHAR	0	0	0	0	0	0	1
210108_at	CACNA1D	0	0	0	0	1	0	0
215783_s_at	ALPL	1	0	0	0	0	0	0
203848_at	AKAP8	0	0	0	0	0	0	1
200816_s_at	PAFAH1B1	0	0	0	0	0	0	1
200813_s_at	PAFAH1B1	0	0	0	0	0	0	1
210924_at	OLFM1	1	0	0	0	0	0	0
210382_at	SCTR	0	0	0	0	1	0	0
212589_at	RRAS2	1	0	0	0	0	0	0
205968_at	KCNS3	1	0	0	0	0	0	0
201189_s_at	ITPR3	1	0	0	0	0	0	0
216894_x_at	CDKN1C	0	0	0	0	0	0	1
201328_at	ETS2	0	0	0	0	0	1	0
206404_at	FGF9	0	0	0	0	1	0	0
213131_at	OLFM1	1	0	0	0	0	0	0
201802_at	SLC29A1	1	0	0	0	0	0	0
203509_at	SORL1	1	0	0	0	0	0	0
201522_x_at	SNRPN	1	0	1	0	0	0	0
220108_at	GNA14	0	0	0	0	1	0	0
214213_x_at	LMNA	0	0	0	0	0	1	0
219534_x_at	CDKN1C	0	0	0	0	0	0	1
205498_at	GHR	0	0	0	0	1	0	0
206737_at	WNT11	0	0	0	0	1	0	0
221489_s_at	SPRY4	1	0	0	0	0	0	0
200878_at	EPAS1	0	0	0	0	1	0	0
213298_at	NFIC	0	0	0	0	0	0	1
221204_s_at	CRTAC1	0	0	0	0	1	0	0
219682_s_at	TBX3	0	0	0	0	1	0	0
208992_s_at	STAT3	0	0	1	1	0	0	0
36829_at	PER1	0	0	0	0	0	1	0
201556_s_at	VAMP2	0	0	0	0	0	1	0
201365_at	OAZ2	1	0	0	0	0	0	0
221556_at	CDC14B	0	0	1	0	0	0	0
205935_at	FOXF1	0	0	0	0	1	0	0
213182_x_at	CDKN1C	0	0	0	0	0	0	1
205206_at	KAL1	1	0	0	0	0	0	0
212801_at	CIT	0	0	0	0	0	0	1
208022_s_at	CDC14B	0	0	1	0	0	0	0
221019_s_at	COLEC12	0	0	0	0	1	0	0
201332_s_at	STAT6	0	0	0	0	0	1	0
210625_s_at	AKAP1	0	0	0	0	0	1	0
206315_at	CRLF1	0	0	0	0	1	0	0
203296_s_at	ATP1A2	1	0	0	0	0	0	0
202023_at	EFNA1	0	0	0	0	1	0	0
203668_at	MAN2C1	0	0	1	0	0	0	0
209696_at	FBP1	0	0	0	0	1	0	0
205993_s_at	TBX2	0	0	0	0	1	0	0
205726_at	DIAPH2	1	0	0	0	0	0	0
209710_at	GATA2	0	0	0	0	1	0	0
203657_s_at	CTSF	0	0	0	0	0	1	0
207119_at	PRKG1	0	0	0	0	1	0	0
204276_at	TK2	0	0	0	0	0	0	1
203453_at	SCNN1A	1	0	0	0	0	0	0
211320_s_at	PTPRU	0	0	0	0	1	0	0
207937_x_at	FGFR1	1	0	1	0	0	0	0
201370_s_at	CUL3	0	0	0	0	0	0	1
215889_at	SKIL	0	0	1	0	0	0	0
206002_at	GPR64	1	0	0	0	0	0	0
211105_s_at	NFATC1	0	0	0	0	0	0	1
208228_s_at	FGFR2	0	0	1	0	0	0	0
213293_s_at	TRIM22	1	0	1	0	0	0	0
205591_at	OLFM1	1	0	0	0	0	0	0
200747_s_at	NUMA1	0	0	0	0	0	0	1
217232_x_at	HBB	0	0	0	0	0	1	0
203531_at	CUL5	0	0	0	0	0	0	1
202253_s_at	DNM2	0	0	0	0	0	0	1
207954_at	GATA2	0	0	0	0	1	0	0
208891_at	DUSP6	0	0	1	0	0	0	0
215800_at	DUOX1	0	0	0	0	1	0	0
209212_s_at	KLF5	0	0	1	1	0	0	0
209170_s_at	GPM6B	1	0	0	0	1	0	0
221942_s_at	GUCY1A3	0	0	0	0	1	0	0
211745_x_at	HBA1	0	0	0	0	1	0	0
200768_s_at	MAT2A	1	0	0	0	0	0	0
205645_at	REPS2	0	0	0	0	1	0	0
217690_at	TYMS	0	0	0	0	0	0	1
205541_s_at	GSPT2	0	0	0	0	0	0	1
201578_at	PODXL	1	0	0	0	0	0	0
210239_at	IRX5	0	0	0	0	1	0	0
206286_s_at	TDGF1	1	1	1	0	0	0	0
217414_x_at	HBA2	0	0	0	0	1	1	0
200663_at	CD63	0	0	0	0	0	1	0
213622_at	COL9A2	0	0	0	0	1	0	0
205975_s_at	HOXD1	0	0	0	0	1	0	0
213331_s_at	NEK1	0	0	0	0	0	0	1
217940_s_at	FLJ10769	0	0	1	0	0	0	0
207155_at	TBX5	0	0	0	0	1	0	0
210033_s_at	SPAG6	0	0	0	0	1	0	0
210977_s_at	HSF4	0	0	0	0	1	0	0
214620_x_at	PAM	0	0	0	0	0	0	1
213611_at	AQP5	0	0	0	0	1	0	0
202936_s_at	SOX9	0	0	0	0	0	0	0
213645_at	TYMS	0	0	0	0	0	0	1
206932_at	CH25H	0	0	0	0	1	0	0
209543_s_at	CD34	0	0	0	0	1	0	0
218152_at	HMG20A	0	0	1	1	0	0	0
222017_x_at	LRRN1	1	0	1	0	0	0	0
211518_s_at	BMP4	0	0	0	0	0	1	0
201499_s_at	USP7	0	0	1	0	0	0	0
220625_s_at	ELF5	0	0	0	0	0	0	0
201369_s_at	ZFP36L2	0	0	0	0	0	1	0
216836_s_at	ERBB2	1	0	0	0	0	0	0
206255_at	BLK	0	0	0	0	0	1	0
214792_x_at	VAMP2	0	0	0	0	0	1	0
202724_s_at	FOXO1A	0	0	0	0	0	0	0
209290_s_at	NFIB	0	0	0	0	0	0	1
209293_x_at	ID4	0	0	0	0	0	0	0
31637_s_at	NR1D1	0	0	0	0	0	1	0
216925_s_at	TAL1	0	0	1	1	1	0	0
210002_at	GATA6	0	0	0	0	1	0	0
