MEO430Av2	Normal_BaP	Tumor_BaP	fold change	p value_BaP	GO term
1436665_a_at	5668.8	1966.13	-2.88	<0.0001	signal transduction
1416674_at	1219.55	548.16	-2.22	0.0001	signal transduction
1418448_at	5862.23	3430.3	-1.71	0.0001	signal transduction
1449514_at	3543.75	1741.57	-2.03	<0.0001	signal transduction
1422208_a_at	526.6	327.6	-1.61	0.0008	signal transduction
1460674_at	4686.8	2198.77	-2.13	<0.0001	signal transduction
1418634_at	4538.01	3030.41	-1.5	0.0003	signal transduction
1451756_at	1958.88	1117.97	-1.75	<0.0001	signal transduction
1449465_at	720.08	307.57	-2.34	0.0001	signal transduction
1421621_at	467.23	57.97	-8.06	<0.0001	signal transduction
1417850_at	3059.9	2128.98	-1.44	<0.0001	signal transduction
1417694_at	2183.18	1783.95	-1.22	0.0029	signal transduction
1417505_s_at	1601.15	1040.6	-1.54	0.0001	signal transduction
1416953_at	16181.93	9384.3	-1.72	0.0015	signal transduction
1422093_at	526.9	309.95	-1.7	0.0027	signal transduction
1454959_s_at	3866.7	2735.48	-1.41	0.0016	signal transduction
1419616_at	1515.53	571.53	-2.65	0.0001	signal transduction
1423442_a_at	1959.38	1300.8	-1.51	0.0001	signal transduction
1417176_at	3219.35	2366.5	-1.36	0.0002	signal transduction
1417312_at	1421.28	769.53	-1.85	<0.0001	signal transduction
1427510_at	493.33	325.57	-1.52	0.0004	signal transduction
1422738_at	514.3	404.33	-1.27	0.0011	signal transduction
1427992_a_at	4664.73	2529.5	-1.84	<0.0001	signal transduction
1425680_a_at	715.1	437.83	-1.63	0.0001	signal transduction
1451024_at	1185.45	535.1	-2.22	0.0001	signal transduction
1416406_at	4867.3	3056.25	-1.59	0.0002	signal transduction
1419457_at	1852.2	1490.85	-1.24	0.0009	signal transduction
1421239_at	1898.33	774.47	-2.45	0.0009	signal transduction
1452843_at	7664	3912.87	-1.96	<0.0001	signal transduction
1455158_at	4205.75	2972.87	-1.41	0.0023	signal transduction
1452416_at	658.9	355.53	-1.85	<0.0001	signal transduction
1429574_at	9125.45	6446.27	-1.42	0.0003	signal transduction
1416749_at	2223.55	1542.57	-1.44	<0.0001	signal transduction
1448855_at	2980.03	1575.93	-1.89	0.0002	signal transduction
1425680_a_at	715.1	437.83	-1.63	0.0001	signal transduction
1460661_at	539.13	69.93	-7.71	<0.0001	signal transduction
1435272_at	4264.28	2319.23	-1.84	0.0001	signal transduction
1423990_at	3941.23	2772.88	-1.42	<0.0001	signal transduction
1426873_s_at	4421.83	2775.27	-1.59	<0.0001	signal transduction
1424859_at	795.78	481.97	-1.65	<0.0001	signal transduction
1449942_a_at	4883.08	3120.77	-1.56	<0.0001	signal transduction
1422399_a_at	316.6	179.13	-1.77	0.0003	signal transduction
1421729_a_at	697.65	461.03	-1.51	0.0011	signal transduction
1460210_at	1508.88	932.18	-1.62	0.0003	signal transduction
1428954_at	6422.83	4805.08	-1.34	0.0001	signal transduction
1419421_at	505.33	197.38	-2.56	0.0045	signal transduction
1420540_a_at	2066.45	1338.57	-1.54	<0.0001	signal transduction
1452143_at	46738.1	36711.52	-1.27	0.0002	signal transduction
1448765_at	1415.25	1132.45	-1.25	<0.0001	signal transduction
1449144_at	5133.03	3110.68	-1.65	<0.0001	signal transduction
1419554_at	9573.05	6771.25	-1.41	0.0001	signal transduction
1419301_at	1755.98	1019.97	-1.72	0.0001	signal transduction
1423864_at	2142.08	1641.5	-1.3	<0.0001	signal transduction
1449110_at	16982.65	10524.57	-1.61	0.0002	signal transduction
1415849_s_at	7472.93	4988.87	-1.5	<0.0001	signal transduction
1428187_at	8303.6	5889.2	-1.41	0.0003	signal transduction
1454690_at	1398.63	950.07	-1.47	0.0004	signal transduction
1418249_at	881.03	574.8	-1.53	0.0007	signal transduction
1417834_at	2946.05	2087.47	-1.41	0.0009	signal transduction
1460305_at	1219.3	568.1	-2.15	<0.0001	signal transduction
1435444_at	2302.15	1610.9	-1.43	<0.0001	signal transduction
1417291_at	4759.35	3945.3	-1.21	0.0009	signal transduction
1448304_a_at	5620.9	4213.5	-1.33	0.0022	signal transduction
1418406_at	1857.9	941.13	-1.97	0.0002	signal transduction
1433508_at	6208.8	4679.85	-1.33	0.001	signal transduction
1428503_a_at	879.75	652.97	-1.35	0.0003	signal transduction
1417533_a_at	3242.18	2024.25	-1.6	<0.0001	signal transduction
1419259_at	6722.23	4291.37	-1.57	<0.0001	signal transduction
1451783_a_at	2219.93	1483.35	-1.5	<0.0001	signal transduction
1460420_a_at	1055.35	739.07	-1.43	<0.0001	signal transduction
1449544_a_at	213.83	87.87	-2.43	0.0008	signal transduction
1418451_at	511.13	188.03	-2.72	<0.0001	signal transduction
1427918_a_at	5632.93	4600.77	-1.22	0.0001	signal transduction
1418540_a_at	2600.18	1678.77	-1.55	0.0001	signal transduction
1425822_a_at	403.2	210.17	-1.92	0.0016	signal transduction
1419421_at	505.33	197.38	-2.56	0.0045	signal transduction
1421928_at	407.2	272.67	-1.49	0.0014	signal transduction
1451895_a_at	1950.4	828.93	-2.35	<0.0001	signal transduction
1451086_s_at	26881.1	21551.08	-1.25	0.0001	signal transduction
1435652_a_at	14551.33	11435.8	-1.27	0.0001	signal transduction
1416591_at	2122.8	3014.67	1.42	<0.0001	signal transduction
1429707_at	1743.63	2209.35	1.27	0.0004	signal transduction
1417481_at	2105.95	3554.25	1.69	<0.0001	signal transduction
1422440_at	1095.8	1650.43	1.51	0.0016	signal transduction
1450941_at	3066.73	3827.57	1.25	0.0013	signal transduction
1437074_at	256.65	495.2	1.93	0.0001	signal transduction
1426187_a_at	2350.55	3174.2	1.35	0.0002	signal transduction
1420619_a_at	6037.15	7651.6	1.27	0.0013	signal transduction
1427505_a_at	728.28	1184.03	1.63	<0.0001	signal transduction
1450065_at	1214.83	2582.8	2.13	0.0001	signal transduction
1460182_at	4104.75	7559	1.84	<0.0001	signal transduction
1417226_at	1181.63	1947.13	1.65	<0.0001	signal transduction
1425902_a_at	457.03	569.2	1.25	0.0009	signal transduction
1434998_at	12676.38	21239.37	1.68	<0.0001	signal transduction
1422025_at	203.65	337.57	1.66	0.0004	signal transduction
1455168_a_at	25843.58	36545.67	1.41	<0.0001	signal transduction
1425601_a_at	635.35	1119.67	1.76	<0.0001	signal transduction
1419061_at	290.2	535.75	1.85	0.0001	signal transduction
1421385_a_at	419.33	667.47	1.59	0.0004	signal transduction
1423313_at	581.3	622.35	1.07	0.001	signal transduction
1454669_at	1367.9	1917.9	1.4	<0.0001	signal transduction
1420847_a_at	2318.48	5548.35	2.39	<0.0001	signal transduction
1448227_at	1093.63	2101.07	1.92	0.0001	signal transduction
1433569_x_at	8866.5	11768.37	1.33	0.0004	signal transduction
1423137_at	3012.93	3418.47	1.13	0.0023	signal transduction
1419655_at	2058.78	2579.87	1.25	0.0007	signal transduction
1423877_at	204.73	373.33	1.82	0.0007	signal transduction
1421151_a_at	1202.45	1722.68	1.43	<0.0001	signal transduction
1418393_a_at	596.38	1064.95	1.79	0.0002	signal transduction
1448391_at	4299.83	6977.72	1.62	<0.0001	signal transduction
1427418_a_at	5897.9	9223.58	1.56	<0.0001	signal transduction
1423052_at	10944.93	14125.77	1.29	0.0002	signal transduction
1417380_at	13894.33	22239.6	1.6	<0.0001	signal transduction
1427418_a_at	5897.9	9223.58	1.56	<0.0001	signal transduction
1434403_at	2471.83	4077.83	1.65	0.0001	signal transduction
1416202_at	2359.33	4060.7	1.72	<0.0001	signal transduction
1419483_at	380.13	648.77	1.71	0.0008	signal transduction
1449109_at	4585.9	10705.37	2.33	<0.0001	signal transduction
1420894_at	411.93	707.17	1.72	0.0001	signal transduction
1422912_at	4702.4	10176.42	2.16	0.0002	signal transduction
1428131_a_at	3738.03	5561.83	1.49	0.0001	signal transduction
1419513_a_at	326.03	555.25	1.7	0.0001	signal transduction
1449099_at	1844	2505.6	1.36	0.002	signal transduction
1420842_at	7618.05	18744.55	2.46	0.0002	signal transduction
1460224_at	6013.05	7195.28	1.2	<0.0001	signal transduction
1451979_at	6510.48	9670.07	1.49	<0.0001	signal transduction
1425542_a_at	2090.38	2742.83	1.31	0.0012	signal transduction
1450939_at	609.95	1249.97	2.05	0.0001	signal transduction
1438097_at	251.53	656.5	2.61	<0.0001	signal transduction
1424616_s_at	1414.43	1937.33	1.37	0.0002	signal transduction
1419561_at	45.4	342.57	7.55	0.0004	signal transduction
1419080_at	347.53	1106.37	3.18	0.0001	signal transduction
1427313_at	227.3	421.87	1.86	0.0002	signal transduction
1419128_at	2969.28	7270.15	2.45	0.0001	signal transduction
1416882_at	1944.45	2892.5	1.49	0.0008	signal transduction
1421640_a_at	1066.43	1509.83	1.42	0.0004	signal transduction
1416882_at	1944.45	2892.5	1.49	0.0008	signal transduction
1433489_s_at	4063.85	11421.13	2.81	<0.0001	signal transduction
1449158_at	1369	2207.33	1.61	0.0021	signal transduction
1451798_at	522.03	798.05	1.53	0.0015	signal transduction
1426570_a_at	216.73	496.77	2.29	<0.0001	signal transduction
1434312_at	1925.88	4268.77	2.22	0.0001	signal transduction
1424727_at	442.75	550.17	1.24	0.0008	signal transduction
1422854_at	2065.1	2818.2	1.36	0.0003	signal transduction
1424208_at	1068.03	1481.57	1.39	0.0007	signal transduction
1427482_a_at	5639.03	14633.98	2.6	<0.0001	signal transduction
1420653_at	2195.75	3201.87	1.46	<0.0001	signal transduction
1417266_at	12378.55	30062.58	2.43	<0.0001	signal transduction
1422853_at	723.95	957.3	1.32	0.0003	signal transduction
1449027_at	631.33	1285.7	2.04	0.0001	signal transduction
1418099_at	1099.05	1994.57	1.81	0.0039	signal transduction
1418925_at	693.98	1638.2	2.36	0.0001	signal transduction
1448575_at	959.1	1228.2	1.28	0.0037	signal transduction
1433485_x_at	694.53	1662.77	2.39	<0.0001	signal transduction
1449984_at	75.75	332.43	4.39	0.0018	signal transduction
1452014_a_at	393.25	989.3	2.52	0.0003	signal transduction
1419282_at	271.9	493.93	1.82	0.0014	signal transduction
1417489_at	7.23	741.1	102.57	0.0001	signal transduction
1427429_at	266.25	709.35	2.66	0.0001	signal transduction
1449216_at	297.65	650.42	2.19	0.003	signal transduction
1434772_at	194.35	383.52	1.97	0.0002	signal transduction
1448285_at	267.45	722.78	2.7	0.0004	signal transduction
1423122_at	1563.43	3957.95	2.53	0.0004	signal transduction
1419413_at	968.33	2598.35	2.68	0.0031	signal transduction
1450194_a_at	866.63	122.43	-7.08	0.0001	cell cycle
1434777_at	451.95	69.83	-6.47	0.0001	cell cycle
1422243_at	890.98	225.77	-3.95	<0.0001	cell cycle
1449528_at	3326.45	1016.43	-3.27	0.0002	cell cycle
1417649_at	2181.45	527.37	-4.14	0.0002	cell cycle
1417133_at	26146.1	9758.63	-2.68	0.0002	cell cycle
1449773_s_at	2999.55	1379.2	-2.17	<0.0001	cell cycle
1418157_at	359.98	190.97	-1.89	0.0002	cell cycle
1416253_at	2213.35	1273.78	-1.74	0.0008	cell cycle
1448694_at	6864.03	3201.6	-2.14	<0.0001	cell cycle
1417644_at	1840.85	856.51	-2.15	0.0001	cell cycle
1450784_at	4009.33	1489.63	-2.69	<0.0001	cell cycle
1419248_at	4135.15	2503.6	-1.65	0.0014	cell cycle
1454699_at	1663.4	866.72	-1.92	0.0002	cell cycle
1417542_at	1897.55	1068.7	-1.78	<0.0001	cell cycle
1417753_at	4432.28	3013.73	-1.47	0.0002	cell cycle
1418448_at	5862.23	3430.3	-1.71	0.0001	cell cycle
1448428_at	3155.88	1149.67	-2.75	<0.0001	cell cycle
1448830_at	18364.95	8322.27	-2.21	<0.0001	cell cycle
1428847_a_at	12652	8806.83	-1.44	0.0004	cell cycle
1416268_at	8816.7	5596.12	-1.58	<0.0001	cell cycle
1425366_a_at	291.75	111.2	-2.62	0.0002	cell cycle
1422630_at	1119.33	836.93	-1.34	0.0029	cell cycle
1418711_at	2246.65	1333.1	-1.69	0.0018	cell cycle
1419417_at	631.2	298.03	-2.12	0.0003	cell cycle
1425893_a_at	396.25	53.9	-7.35	<0.0001	cell cycle
1460210_at	1508.88	932.18	-1.62	0.0003	cell cycle
1450923_at	741.45	398.97	-1.86	0.0024	cell cycle
1448700_at	2082.15	1197.19	-1.74	0.0037	cell cycle
1417455_at	799.55	429.37	-1.86	0.0037	cell cycle
1417662_at	851.88	528.1	-1.61	<0.0001	cell cycle
1435737_a_at	933.48	595.87	-1.57	<0.0001	cell cycle
1419213_at	1018.98	655.9	-1.55	0.0001	cell cycle
1418579_at	2375.38	1594.33	-1.49	0.0026	cell cycle
1449110_at	16982.65	10524.57	-1.61	0.0002	cell cycle
1415849_s_at	7472.93	4988.87	-1.5	<0.0001	cell cycle
1416206_at	1466.4	918.95	-1.6	0.0002	cell cycle
1432177_a_at	867.65	703.37	-1.23	0.0047	cell cycle
1418616_at	2698.5	1717.87	-1.57	0.0002	cell cycle
1418308_at	1296.9	1051.2	-1.23	0.0034	cell cycle
1460420_a_at	1055.35	739.07	-1.43	<0.0001	cell cycle
1428819_at	690.85	414.92	-1.66	0.0004	cell cycle
1450950_at	2417.23	1645.97	-1.47	0.0015	cell cycle
1433430_s_at	1187.63	960.1	-1.24	<0.0001	cell cycle
1417326_a_at	3577.78	2700.33	-1.32	<0.0001	cell cycle
1428669_at	630.7	384	-1.64	<0.0001	cell cycle
1418109_at	117.88	76.69	-1.54	0.0027	cell cycle
1415680_at	2013.6	1622.23	-1.24	0.0033	cell cycle
1416172_at	1165.03	1729.93	1.48	0.0001	cell cycle
1455653_at	484.75	977.67	2.02	0.0002	cell cycle
1460647_a_at	763.3	1074.27	1.41	0.0001	cell cycle
1422440_at	1095.8	1650.43	1.51	0.0016	cell cycle
1460389_at	1806.48	3840.5	2.13	0.0001	cell cycle
1449839_at	1226.68	1646.6	1.34	0.0007	cell cycle
1427739_a_at	959.3	1251.07	1.3	0.0043	cell cycle
1416873_a_at	952.75	1455.93	1.53	<0.0001	cell cycle
1418281_at	104.43	230.38	2.21	0.0004	cell cycle
1434606_at	3075.55	5591.43	1.82	0.0002	cell cycle
1433569_x_at	8866.5	11768.37	1.33	0.0004	cell cycle
1423092_at	397.13	488.92	1.23	0.0036	cell cycle
1423877_at	204.73	373.33	1.82	0.0007	cell cycle
1452197_at	2161.2	3307.2	1.53	<0.0001	cell cycle
1415899_at	1012.3	1592.3	1.57	0.0014	cell cycle
1419513_a_at	326.03	555.25	1.7	0.0001	cell cycle
1451979_at	6510.48	9670.07	1.49	<0.0001	cell cycle
1427763_a_at	652.68	1061.43	1.63	0.0005	cell cycle
1448698_at	4634.53	9675.6	2.09	0.0001	cell cycle
1421473_at	169.9	214.57	1.26	0.0026	cell cycle
1424629_at	111.65	217.13	1.94	0.0002	cell cycle
1415899_at	1012.3	1592.3	1.57	0.0014	cell cycle
1449519_at	601.38	1962.3	3.26	0.0012	cell cycle
1417458_s_at	655.95	1213.4	1.85	0.0017	cell cycle
1416664_at	481.53	767.1	1.59	0.0005	cell cycle
1424942_a_at	368.83	991.27	2.69	<0.0001	cell cycle
1426570_a_at	216.73	496.77	2.29	<0.0001	cell cycle
1417419_at	2087.44	4511.3	2.16	<0.0001	cell cycle
1420653_at	2195.75	3201.87	1.46	<0.0001	cell cycle
1448314_at	161.78	414.8	2.56	0.0003	cell cycle
1449027_at	631.33	1285.7	2.04	0.0001	cell cycle
1424046_at	121.88	401.4	3.29	0.0002	cell cycle
1425970_a_at	121.53	500.97	4.12	<0.0001	cell cycle
1419209_at	322.63	2166.23	6.71	0.0002	cell cycle
1419209_at	322.63	2166.23	6.71	0.0002	cell cycle
1419431_at	64.65	1313.5	20.32	<0.0001	cell cycle
1425970_a_at	121.53	500.97	4.12	<0.0001	cell cycle
1417867_at	1880.18	71.77	-26.2	0.0018	response to external stimulus
1418190_at	6600.93	385.63	-17.12	<0.0001	response to external stimulus
1417933_at	3898.45	751.83	-5.19	0.0004	response to external stimulus
1417732_at	708.05	121.73	-5.82	0.0001	response to external stimulus
1421471_at	278.3	84.8	-3.28	0.0001	response to external stimulus
1448529_at	19486.13	7339.63	-2.65	<0.0001	response to external stimulus
1419700_a_at	2196.7	547.2	-4.01	0.0001	response to external stimulus
1452264_at	2200.75	1335.47	-1.65	<0.0001	response to external stimulus
1427231_at	290.83	163.67	-1.78	0.0004	response to external stimulus
1418907_at	992.15	166.55	-5.96	0.0005	response to external stimulus
1419700_a_at	2196.7	547.2	-4.01	0.0001	response to external stimulus
1460444_at	3917.45	1865.6	-2.1	0.0003	response to external stimulus
1428538_s_at	5052.9	2193.53	-2.3	<0.0001	response to external stimulus
1452514_a_at	5537.8	2421.6	-2.29	0.0002	response to external stimulus
1424882_a_at	1264.1	559.33	-2.26	0.0002	response to external stimulus
1448881_at	24825.65	9660.67	-2.57	0.0002	response to external stimulus
1417574_at	5831.25	2397.73	-2.43	0.0001	response to external stimulus
1416253_at	2213.35	1273.78	-1.74	0.0008	response to external stimulus
1425468_at	98.05	20.77	-4.72	0.0019	response to external stimulus
1422817_at	674.1	293.35	-2.3	0.0048	response to external stimulus
1427788_at	58.5	33.63	-1.74	0.0017	response to external stimulus
1450876_at	1637.2	593.57	-2.76	0.0001	response to external stimulus
1422438_at	7802.93	5435.07	-1.44	0.0005	response to external stimulus
1417625_s_at	3261.73	1694.17	-1.93	0.0003	response to external stimulus
1435386_at	11482.13	3111.55	-3.69	0.0002	response to external stimulus
1454890_at	703.1	290.6	-2.42	<0.0001	response to external stimulus
1419394_s_at	40002.45	4043.05	-9.89	0.0022	response to external stimulus
1419426_s_at	4269.7	1759.93	-2.43	0.0001	response to external stimulus
1422977_at	1282.3	227.63	-5.63	0.0002	response to external stimulus
1435559_at	959.65	542.67	-1.77	0.0002	response to external stimulus
1417753_at	4432.28	3013.73	-1.47	0.0002	response to external stimulus
1422758_at	646.28	404.98	-1.6	0.001	response to external stimulus
1425366_a_at	291.75	111.2	-2.62	0.0034	response to external stimulus
1417101_at	861.43	384.2	-2.24	<0.0001	response to external stimulus
1416625_at	16599.35	8613.57	-1.93	<0.0001	response to external stimulus
1460661_at	539.13	69.93	-7.71	<0.0001	response to external stimulus
1450199_a_at	1452.73	829.25	-1.75	<0.0001	response to external stimulus
1422563_at	4352.18	3144.07	-1.38	0.0001	response to external stimulus
1421729_a_at	697.65	461.03	-1.51	0.0011	response to external stimulus
1460210_at	1508.88	932.18	-1.62	0.0003	response to external stimulus
1417662_at	851.88	528.1	-1.61	<0.0001	response to external stimulus
1426246_at	3493.33	2737.13	-1.28	0.0001	response to external stimulus
1423047_at	3128.3	2214.4	-1.41	<0.0001	response to external stimulus
1417291_at	4759.35	3945.3	-1.21	0.0009	response to external stimulus
1449181_at	2491.43	1486.72	-1.68	0.0029	response to external stimulus
1418308_at	1296.9	1051.2	-1.23	0.0002	response to external stimulus
1451086_s_at	26881.1	21551.08	-1.25	0.0001	response to external stimulus
1418123_at	1173.3	2182.7	1.86	<0.0001	response to external stimulus
1429707_at	1743.63	2209.35	1.27	0.0004	response to external stimulus
1450851_at	6592.63	8071.4	1.22	0.0003	response to external stimulus
1423547_at	51509.75	66664.73	1.29	0.0001	response to external stimulus
1449839_at	1226.68	1646.6	1.34	0.0007	response to external stimulus
1427739_a_at	959.3	1251.07	1.3	0.0043	response to external stimulus
1422025_at	203.65	337.57	1.66	0.0004	response to external stimulus
1418547_at	232	537.17	2.32	0.0002	response to external stimulus
1421385_a_at	419.33	667.47	1.59	0.0004	response to external stimulus
1418503_at	1672.63	3438.67	2.06	<0.0001	response to external stimulus
1428209_at	1346.53	6861.33	5.1	<0.0001	response to external stimulus
1419483_at	380.13	648.77	1.71	0.0008	response to external stimulus
1423792_a_at	3109.65	3706.63	1.19	0.0008	response to external stimulus
1427964_at	1741.9	3023.25	1.74	0.0001	response to external stimulus
1450939_at	609.95	1249.97	2.05	0.0001	response to external stimulus
1419561_at	45.4	342.57	7.55	0.0004	response to external stimulus
1421473_at	169.9	214.57	1.26	0.0026	response to external stimulus
1423691_x_at	5453.43	9909.92	1.82	<0.0001	response to external stimulus
1419407_at	7662.98	12152.67	1.59	0.0039	response to external stimulus
1425519_a_at	32326.23	51581.57	1.6	0.0001	response to external stimulus
1419764_at	14534.64	30326.33	2.09	0.0049	response to external stimulus
1424942_a_at	368.83	991.27	2.69	<0.0001	response to external stimulus
1420664_s_at	347.73	547	1.57	0.0016	response to external stimulus
1419321_at	1550.03	2550.78	1.65	0.0001	response to external stimulus
1424727_at	442.75	550.17	1.24	0.0008	response to external stimulus
1448550_at	1839.98	7082.67	3.85	<0.0001	response to external stimulus
1420653_at	2195.75	3201.87	1.46	<0.0001	response to external stimulus
1417266_at	12378.55	30062.58	2.43	<0.0001	response to external stimulus
1422527_at	1859.9	3288.12	1.77	0.0009	response to external stimulus
1418099_at	1099.05	1994.57	1.81	0.0039	response to external stimulus
1415983_at	8835.08	19293.73	2.18	0.0003	response to external stimulus
1449984_at	75.75	332.43	4.39	0.0018	response to external stimulus
1417268_at	1839.78	5056.83	2.75	0.0001	response to external stimulus
1417381_at	2846.9	5120.6	1.8	0.0021	response to external stimulus
1419282_at	271.9	493.93	1.82	0.0014	response to external stimulus
1422891_at	1370.35	2939.52	2.15	0.0003	response to external stimulus
1419209_at	322.63	2166.23	6.71	0.0002	response to external stimulus
1419413_at	968.33	2598.35	2.68	0.0031	response to external stimulus
1419209_at	322.63	2166.23	6.71	0.0002	response to external stimulus
1418216_at	238.73	649.9	2.72	0.0001	response to external stimulus
1418799_a_at	190.05	53.17	-3.57	0.0037	cell adhesion
1420798_s_at	2183.51	482.53	-4.53	<0.0001	cell adhesion
1418788_at	13305.25	4461.75	-2.98	0.0002	cell adhesion
1451769_s_at	380.68	104.53	-3.64	<0.0001	cell adhesion
1420798_s_at	2183.51	482.53	-4.53	0.0006	cell adhesion
1417839_at	20588.95	6144.57	-3.35	0.0001	cell adhesion
1448862_at	9607.45	3307.9	-2.9	<0.0001	cell adhesion
1425248_a_at	171.78	46.47	-3.7	0.0006	cell adhesion
1429379_at	14076.98	3601.33	-3.91	<0.0001	cell adhesion
1433956_at	9816.9	3420.88	-2.87	0.0003	cell adhesion
1418907_at	992.15	166.55	-5.96	0.0005	cell adhesion
1417271_a_at	10831.83	4024.03	-2.69	0.0002	cell adhesion
1420484_a_at	804.63	260.8	-3.09	<0.0001	cell adhesion
1418745_at	271.15	78.83	-3.44	0.0007	cell adhesion
1415855_at	16563.75	7141.6	-2.32	<0.0001	cell adhesion
1418758_a_at	11018.05	4458.5	-2.47	<0.0001	cell adhesion
1427256_at	391.65	98	-4	0.0013	cell adhesion
1424882_a_at	1264.1	559.33	-2.26	0.0002	cell adhesion
1422866_at	2335.5	635.2	-3.68	0.0002	cell adhesion
1419329_at	2608.8	1180.4	-2.21	<0.0001	cell adhesion
1422866_at	2335.5	635.2	-3.68	0.0002	cell adhesion
1418511_at	6179.25	2648.13	-2.33	<0.0001	cell adhesion
1422817_at	674.1	293.35	-2.3	0.0048	cell adhesion
