probe	EntrezGene.ID	Basal	Her2	LumA	LumB	Normal
897529	80221	-0.713	-0.232611111	0.374730769	-0.611681818	0.291888889
785293	11145	-0.711	0.078181818	0.518	0.630545455	0.3863
825442	8073	-0.688	-0.32435	0.704277778	0.105318182	-0.069277778
134948	57619	-0.686	-0.158375	0.288074074	-0.091545455	0.150444444
50882	NA	-0.685	0.095454545	0.331076923	-0.214636365	0.8678
141959	11059	-0.685	-0.345363636	0.504607143	0.380545455	-0.071333333
767769	9057	-0.672	0.033909091	0.164607144	0.116545455	-0.1363
210486	27250	-0.666	-0.798555556	0.485461539	0.200181818	0.1945
341641	130916	-0.665	0.3499	0.392653846	-0.3636	0.436888889
784224	2264	-0.662	0.496772727	-0.361821429	0.576590909	-0.168111111
785745	8228	-0.654	-0.702818182	0.39164	0.328545454	-0.1327
510571	NA	-0.647	-0.431727273	0.694481482	-0.3814	-0.0037
361565	NA	-0.636	0.076818182	0.258142857	0.103636364	-0.3236
740457	648	-0.636	-0.1313	0.359666667	0.158545455	-0.423777778
298281	NA	-0.63	0.4063	0.23556	-0.047590909	0.01205
418240	NA	-0.626	1.093888889	0.142958333	-0.506090909	1.062
322148	1114	-0.613	0.273	1.316565217	-0.351000001	0.0575
503214	57496	-0.613	-0.0663	0.491307692	-0.0595	0.18475
795877	10769	-0.599	0.298	0.065537037	-0.710636364	0.1015
363144	7021	-0.598	0.215375	-0.085222222	0.418090909	0.4071
362926	5567	-0.596	0.282999999	0.899961539	-0.466545455	-0.225777778
753897	267	-0.585	0.1805	0.506666667	0.012909091	-0.04115
133114	8322	-0.584	0.207	0.420423077	-0.212	0.208
345525	NA	-0.584	-0.158636364	0.4255	0.087545455	-0.4243
251019	999	-0.571	0.128363636	-0.305285714	-0.0021	-0.406222222
138991	1293	-0.565	0.644090909	-0.201035714	-0.508727273	0.168800002
210687	185	-0.565	-0.0778	0.893692308	-0.3992	0.8969
810671	84179	-0.532	0.397625	0.27875	0.186909091	0.2598
323260	79777	-0.528	-0.279272728	0.857652174	-0.369454546	0.489777778
150702	3215	-0.522	0.146555556	1.038395833	-0.3666	-0.50545
46896	26999	-0.522	-0.361333333	0.669423077	-0.205636364	-0.765555556
144808	55198	-0.518	0.1185	0.412535714	-0.2574	0.3862
291059	NA	-0.504	-0.094	0.321571429	-0.1092	-0.00575
487948	51092	-0.502	-0.222125	0.104	-0.259454546	0.828777778
843046	2872	-0.502	0.030136364	0.191944444	-0.090045455	0.145944444
856519	224	-0.502	-0.2468	0.480846154	0.0542	0.463222222
878835	4693	-0.498	-0.010272727	-0.011925926	0.408727273	-0.2361
796996	3476	-0.49	-0.027454545	0.288964286	-0.408090909	0.0265
789152	7626	-0.484	-0.0183	-0.183740741	-0.288909091	-0.203666667
47475	26999	-0.478	0.013272727	0.39475	0.108727273	-0.6561
52228	NA	-0.476	-0.007727273	0.8073	-0.4543	0.364
292731	51773	-0.476	0.427909091	-0.368857143	0.099772727	-0.70975
562927	9208	-0.469	-0.036833333	0.18812	0.060727273	0.0164
587388	200879	-0.468	0.244	0.20624	-0.420545455	-0.0201
1031076	3216	-0.468	0.380318182	1.2071875	-0.328681818	-0.318555556
261836	6938	-0.466	-0.104399999	-0.391434783	0.0944	-0.702111111
344432	4258	-0.46	0.036272727	0.426538462	-0.041909091	-0.386
814576	678	-0.452	-0.168642857	0.387590909	-0.561181818	0.4563
135431	NA	-0.447	0.022071429	0.61352	-0.0177	0.095444444
49509	2057	-0.441	-0.091136364	0.294708333	-0.103863636	0.26665
773344	6567	-0.439	0.616111111	0.06588	0.228545455	0.345125
377051	91689	-0.439	-0.168	0.161625	0.403409091	-0.0641
128738	6920	-0.43	-0.433222222	1.01256	-0.211	-0.2158
162211	5825	-0.426	-0.172909091	0.492107143	0.055181818	0.015
199180	5446	-0.425	0.099	0.960782609	-0.922363636	0.224444444
741891	5863	-0.425	-0.354727273	0.380214286	-0.2546	-0.1568
259905	64841	-0.417	0.246863636	-0.081576923	0.450545455	-0.2936875
741795	9649	-0.411	-0.452727273	0.46404	-0.923454546	0.012
291363	2909	-0.41	-0.4914	0.408642857	-0.084136364	-0.1509
770983	64769	-0.402	0.02	0.412259259	0.2907	-0.3106
277187	NA	-0.396	-0.199625	0.3784	-0.259	0.328111111
786607	9338	-0.393	-0.129909091	0.94928	0.0606	-0.324222222
23579	203197	-0.388	0.278	0.2724	-0.052727273	-0.24825
341317	NA	-0.387	-0.310454545	0.48388	-0.504363636	0.6715
68049	3488	-0.384	-0.084045453	0.460017857	0.058818182	0.1302
84264	55268	-0.372	-0.7776	0.389214286	-0.921	1.0422
79592	8574	-0.371	-0.4372	0.534111111	0.560727273	0.145
782513	2537	-0.371	-0.199090909	0.060750001	0.621818185	-0.8509
810463	25979	-0.367	0.021444444	-0.090583334	-0.1229	0.312888889
491565	10370	-0.357	0.178272727	-0.07475	0.337818182	-0.0779
754250	57515	-0.345	0.159111111	0.204148148	0.046777778	-0.044333333
298134	8321	-0.344	0.378545455	-0.262037037	-0.6287	0.1018
33045	4886	-0.338	-0.662444444	2.167543478	-0.8739	1.213
488431	NA	-0.337	-0.427818182	0.471222222	-0.234727273	0.0666
82734	2180	-0.337	0.5228	-0.740454546	0.6187	1.0529
362853	5756	-0.336	-0.0154	-0.04628	0.351272727	-0.7377
726147	6416	-0.334	-0.0706	0.542347826	-0.0987	0.317666667
838568	1345	-0.325	-0.233818182	0.902785715	0.553181818	-1.102
161992	26509	-0.323	0.2345	0.334	-0.618363636	0.2599
259996	54947	-0.323	0.573272727	-0.276391304	0.287727273	-0.219
132012	9520	-0.321	-0.210545455	0.516321429	0.073727273	-0.243444444
343744	3005	-0.318	-0.177272727	-0.099222222	0.287363636	-0.595125
50883	65996	-0.315	-0.2772	-0.047814815	0.0196	-0.3116
249755	57542	-0.315	-0.3679	0.06752	0.480363636	-0.320875
592243	6947	-0.308	0.7465	0.132538462	-0.364888889	0.141722222
840990	2948	-0.307	-0.406	0.765692308	-0.719	0.9685
795893	23645	-0.307	0.159375	-0.20548	0.1433	0.115875
49352	310	-0.305	0.1198	-0.1385	0.254818182	-0.4904
68400	NA	-0.305	2.139545455	0.080017857	0.443863636	-0.0199
201288	3171	-0.304	-0.203727273	-0.111923077	0.275363634	-0.183222222
810358	37	-0.296	-0.216625	0.384291667	-0.093	0.6433
108658	23389	-0.288	-0.210454545	0.88675	-0.090454546	0.072
949928	7994	-0.287	-0.217	0.357083334	0.098545455	0.2108
123614	83541	-0.287	-0.010090909	0.012148148	0.452636364	-0.261333333
85541	6778	-0.286	-0.021272727	0.248892857	-0.532181818	0.2095
502428	1203	-0.284	0.0796	-0.011086957	-0.0572	-0.158777778
135221	6286	-0.284	1.1162	-0.09724	0.112636364	-1.464888889
950688	9550	-0.279	0.234636364	0.13137037	-0.018909091	-0.9711
301849	8672	-0.278	0.048714286	0.125814815	0.017181818	-0.2491
429176	7776	-0.269	-0.10575	0.1936875	-0.282272727	-0.032
809981	2879	-0.266	-0.080454545	0.199321429	0.011090909	0.1298
203003	4833	-0.263	-0.0949	0.309407407	0.513545455	-0.3436
66560	NA	-0.26	0.185454545	-0.783	0.906909091	-0.5832
162199	5797	-0.258	0.316545455	0.381711539	-0.811363636	0.2828
809507	54985	-0.257	-0.040272727	0.333178571	0.191363636	-0.2946
713922	NA	-0.243	-0.547181818	0.692285714	-0.918545455	1.1938
771084	NA	-0.24	-0.185454545	0.451107143	-0.092272727	-0.0896
362729	9805	-0.237	0.294772727	-0.42875	0.064818182	-0.62685
375834	NA	-0.236	0.543818182	-0.534285714	0.141	-0.148888889
364141	2891	-0.231	-0.044818182	0.432730769	-0.027181818	-0.616666667
201757	9060	-0.225	0.99875	-0.430107143	0.962	-0.024142857
782756	9519	-0.224	0.9567	0.071520833	-0.042863636	-0.072125
489031	57609	-0.219	0.073318182	-0.502880952	0.512	-0.305722222
356835	83719	-0.214	-0.013136364	0.667589286	-0.398	0.191333333
825451	8615	-0.214	0.300409091	-0.018267857	0.1061	-0.806611111
82874	93974	-0.207	-0.136222222	0.210714286	0.367090909	-0.584444444
71672	2108	-0.206	0.6206	-0.371925926	0.270545455	-0.0098
272951	11113	-0.198	0.1701	0.195653846	-0.239818182	0.2889
511428	5349	-0.198	-0.061227273	-0.135232143	0.1183	-0.03285
305809	55331	-0.195	0.987545455	-0.558038462	0.1355	0.334888889
279152	29035	-0.194	0.3347	0.016884615	0.233727273	-0.279125
364209	288	-0.189	0.377	0.048642857	-0.106363636	-0.0715
288896	3775	-0.182	-0.131636364	-1.434884616	1.025	-0.908
150361	3480	-0.179	-0.065272727	0.432478261	0.544	-0.2188
594517	6431	-0.177	-0.051636364	0.114607143	-0.373363636	-0.0776
788518	5828	-0.172	0.093954545	-0.018232143	0.652681818	-0.4428
767798	475	-0.165	-0.196318182	0.143767857	0.1699	-0.54315
770192	NA	-0.165	-0.031727273	-0.126074075	0.390181818	-0.5463
809488	57178	-0.162	0.153222222	0.169642857	0.281363636	0.0252
270505	4323	-0.154	0.4869	-0.576269231	-1.124545455	0.7876
884641	10139	-0.153	-0.011090909	-0.053285714	0.326181818	0.1115
214068	2625	-0.151	-0.151	-0.151	-0.151	-0.151
455123	9788	-0.151	0.144227273	0.26375	0.683	-0.19005
810560	NA	-0.145	-0.183	0.17	-0.484	0.2496
138936	2040	-0.143	0.20525	-0.25288	0.3124	0.0438
280236	9107	-0.142	0.559909091	-0.16484	0.075318182	-0.368333333
236059	2886	-0.138	2.658727273	-0.285269231	0.378727273	-0.136199998
826459	5537	-0.13	-0.052954545	0.17676087	-0.106227273	-0.0195
950680	1642	-0.13	0.044	0.038571429	0.175363636	-0.1593
324901	7474	-0.122	0.495818182	-0.076153846	-0.432272727	-0.311
245585	NA	-0.122	-0.2925	0.029576923	-0.228090909	0.3026875
272262	222166	-0.116	0.026111111	0.183148148	-0.511363636	1.1444
282587	770	-0.112	-0.3395	1.072090909	-0.049818182	0.5293
843134	5037	-0.112	-0.191909091	0.184321429	0.413545455	-0.1654
784589	4324	-0.111	0.688363636	-0.592035714	0.206363636	-0.019
325062	6574	-0.1	0.194318182	-0.163017857	0.138409091	-0.3736875
291097	51303	-0.0904	0.303181818	-0.030892857	0.324	-0.6612
360079	10956	-0.0893	0.0370625	0.217537037	-0.0251	0.0155
324891	8560	-0.0876	0.244090909	-0.22837037	0.564454546	-0.714444444
156386	2319	-0.0851	0.125727273	0.263777778	-0.001	0.1023
23776	5860	-0.0841	-0.604318182	0.976928571	0.001681818	0.1684
488434	9821	-0.0803	0.205777778	0.032714286	0.8415	-0.6701
31072	5122	-0.0799	-0.0649	0.729916667	-0.056909091	-0.3842
39808	5295	-0.0779	0.29545	-0.062	-0.1465	0.81735
753917	9375	-0.0765	0.095363636	0.010035714	-0.061454546	-0.4226
324664	84679	-0.0759	0.23525	0.01712	-0.976454546	-0.4625625
470061	6478	-0.0749	-0.629444444	1.011961539	-0.0463	-0.264
76362	6709	-0.0735	0.04	0.0915	-0.411090909	0.1534
810891	3911	-0.0733	0.016136364	-0.106642857	0.130318182	0.09
342008	3860	-0.072	-0.131454545	0.137703704	-0.180409091	1.209950005
782147	23295	-0.0638	-0.357454547	0.62792	-0.033636364	0.08175
460487	4057	-0.0629	-0.019	0.426925926	-1.3235	1.1231
71432	4485	-0.0628	-0.764818182	0.6332	-0.4271	0.831777778
841470	1512	-0.0606	0.1692	0.098714286	-0.039636364	-0.2455
52096	5156	-0.0598	0.520727273	-0.241615385	0.181272727	0.88
725630	8682	-0.0581	0.066363636	-0.031857143	-0.226	-0.1806
81129	4627	-0.0546	0.239999999	-0.1716	-0.1195	0.528666667
338519	NA	-0.0518	0.086454545	0.222576923	0.066181818	-0.4352
840158	3098	-0.0506	-0.036454545	0.132222222	0.180909091	-0.091
241874	84129	-0.0504	-0.028090909	0.254407407	-0.134090909	0.5581
66317	3006	-0.0496	-0.952454545	0.430740741	0.454090909	-0.8348
278729	NA	-0.0494	-0.081222222	0.52292	-0.4566	0.040666667
563451	9874	-0.0465	1.32475	0.061217392	-0.109090909	-0.0613
202658	7227	-0.0448	-0.7772	0.32862963	1.055636364	-0.0474
796198	1948	-0.0327	0.594954545	-0.460767857	-0.447818182	0.73715
195138	9926	-0.0267	-0.035454545	0.13504	-0.141636364	-1.038222222
782164	55847	-0.0226	0.330571429	-0.261888889	0.917363636	-0.687428571
128302	5763	-0.0173	-0.186954545	0.113074074	0.527181818	-0.1765
505274	26056	-0.016	0.284909091	0.296416667	-0.33325	0.09825
784744	10200	-0.013	0.666727273	-0.519035714	0.1395	-0.430666667
203008	55270	-0.0101	0.128272727	-0.17768	0.150363636	-0.315222217
745214	11014	-0.00392	0.268409091	-0.368535714	0.225727273	-0.7261
68636	79081	-0.00287	-0.201045455	0.0465	0.532590909	-0.4624
840818	2317	5.00E-05	-0.2858	0.382555556	0.101636364	0.178
773724	8772	0.006	0.1525	0.149365385	0.478833333	-0.317166667
209655	7049	0.0138	0.1788	0.078642857	-0.338090909	0.4778
503639	NA	0.0143	0.2758	-0.066192308	0.3171	-0.0834
795582	51660	0.0173	-0.007636364	-0.16075	0.235090909	-0.164444444
66792	23568	0.0179	0.180363636	0.003821429	0.156454546	-0.4955
755952	5364	0.019	-0.323363636	0.228464286	-0.110363637	0.4632
77728	6575	0.0215	-0.22025	0.005769231	0.0204	0.218888889
66728	2235	0.0257	-0.066	-0.058400001	0.296727273	-0.8121
611443	4151	0.0316	-0.084181818	-0.034071429	0.437909091	-0.5104
753692	3983	0.0401	0.5967	-0.048111111	-0.174363636	0.6418
51582	4008	0.0403	0.551045455	-0.167589286	-0.413363636	-0.43475
141972	3703	0.0412	0.109727273	-0.06325	0.042363636	-0.0831
271899	8476	0.0428	0.338727273	-0.403538462	-0.410909091	-0.338
51865	760	0.0441	-0.198954545	0.3975	-0.408136364	0.8269
344134	NA	0.0456	0.148727273	-0.476142857	0.857545455	-0.2498
898262	7317	0.0457	-0.172090909	-0.099333333	0.139363636	-0.223222222
897271	9365	0.0463	-0.110636364	0.186481482	-0.059909091	-0.1169
124781	6713	0.0525	0.193545455	-0.612555556	1.358818182	-1.6035
810725	533	0.0564	-0.235818182	0.008541667	0.6341	-0.786
781007	NA	0.0566	0.357045455	0.08675	-0.105409091	-0.11195
471498	2799	0.0603	0.4071	-0.512285714	-0.057818182	-0.0079
810367	84707	0.0627	0.01335	0.225537037	-1.18495	0.354214286
787857	6811	0.0629	-0.119454545	-0.099142857	-0.107272727	0.0283
841203	7414	0.0656	0.183909091	-0.379407407	-0.265272727	-0.0437
138775	27018	0.0713	-0.172636364	-0.041074074	-0.8743	-0.0225
823876	5516	0.0744	-0.036409091	0.232232143	-0.1925	0.0514
825335	6687	0.0772	-0.137454545	0.217857143	-0.188454546	0.375
502977	3980	0.0871	-0.200375	0.192	0.16	-0.186714286
245198	9862	0.0887	1.407545455	0.10462963	0.327909091	0.0587
430235	8349	0.0891	-0.8764	0.369	-0.2082	-0.705333334
264162	NA	0.0901	-0.1148	0.14932	-0.075954546	0.03475
196005	360	0.0916	0.084454545	0.766166667	-0.345409091	0.202
591465	9780	0.0926	0.127772727	-0.222642857	-0.148363636	-0.0524
204257	8754	0.101	0.4955	-0.679703704	0.15475	-0.3538
32517	55718	0.103	-0.380636364	0.317777778	0.151363636	-0.196555556
504469	4957	0.106	-0.081545455	-0.252678571	-0.165545455	-0.487
66686	6134	0.109	0.237272727	-0.117821429	0.000909091	0.013
768497	6362	0.109	1.0994	-0.25204	1.026090901	-0.91075
811138	374666	0.111	-0.217090909	0.104821429	-0.180636364	0.0872
839566	26953	0.111	-0.0727	0.198769231	-0.1143	-0.6043
503682	NA	0.113	-0.248375	0.118384615	-0.152090908	-0.598125
268178	821	0.113	0.237363636	0.095555556	0.174636364	-0.2692
809609	54939	0.115	-0.2315	0.164222222	0.147	-0.302111111
202535	4495	0.122	-0.009454545	-0.365821429	0.623636364	0.238
810519	84245	0.126	-0.114388889	0.200846154	-0.259681818	0.116388889
739109	1175	0.126	-0.152909091	0.039339286	0.39365	-0.494944444
768443	4257	0.127	-0.307	-0.715703704	-0.133090909	0.0132
309246	NA	0.128	-0.0777	0.241518519	-0.145727272	0.4186
340558	10092	0.134	0.080636364	-0.23575	0.221090909	-1.2337
247117	189	0.146	0.0154	-0.61152	0.6872	0.3146
109153	1314	0.153	0.209636364	-0.563214286	0.1803	-0.78
753587	10384	0.154	-0.028181818	0.00225	-0.092727275	-0.2974
128506	26168	0.158	-0.189636364	0.518695652	-0.050181818	-0.4765
80915	6389	0.16	-0.0718	-0.185678571	0.380272727	-0.2833
811064	54470	0.162	-0.2406	0.233428571	-0.491363636	-0.1568
262932	NA	0.162	-0.200272727	-0.122857143	0.352090909	-0.087
743114	23640	0.162	-0.3861	-0.200035714	0.455818182	-0.1399
809815	955	0.165	-0.4384	0.083407407	-0.0305	-0.0523
356992	28974	0.168	-0.187181818	-0.00075	0.225454546	-0.3278
250667	9367	0.17	0.2516	-0.188035714	-0.05	-0.0838
503335	55323	0.172	0.35095	-0.127666667	-0.28635	0.5134375
897655	6744	0.174	0.035681818	0.406333333	-0.2307	0.01855
257197	29982	0.184	0.5908	-0.487785714	0.1279	-0.449
110281	8417	0.187	0.623	-0.401074074	0.166	-0.2251
809894	55902	0.191	0.11875	-0.051535714	-0.199636364	0.747666667
842851	81562	0.193	-0.401909091	0.095480769	-0.048090909	-0.017
342211	129642	0.197	0.0963	0.591740741	-0.201045455	-0.609
753285	2992	0.198	0.043954545	0.155730769	-0.109909091	-0.636055556
343607	55829	0.198	0.5670625	0.03332	0.2051	-0.75
194804	5306	0.208	0.0616	-0.162307692	-0.297222222	0.022428571
826166	57215	0.21	0.138727273	-0.048714286	0.283454546	-0.333800001
161998	4862	0.217	0.262111111	-0.060814815	-0.350272727	0.1275
347348	55731	0.221	0.25	0.13328	-0.238090909	-0.0262
299679	NA	0.224	1.264777778	0.45868	0.034727278	-0.5633
148225	2591	0.237	0.051363636	-1.134884615	-0.665727273	0.0297
247925	27340	0.239	-0.077636364	-0.048296296	0.031	-0.36175
78869	11047	0.253	0.179181818	-0.223037037	0.661909091	-0.403666667
32684	6161	0.262	-0.018363636	0.006892857	0.061363636	0.150666667
788421	4089	0.263	-0.139818182	-0.075714286	-0.2908	0.086888889
815534	9270	0.285	0.233909091	-0.114296296	0.007545455	0.025125
815542	4599	0.29	-0.2652	-0.069851852	0.430363636	-1.168222215
68977	5699	0.291	-0.0494	0.07296	0.097727273	-0.2992
302292	2132	0.293	0.207772727	-0.09525	-0.21	0.300388889
1031045	6508	0.308	0.8443	-0.01762963	0.2708	-0.3652
258790	885	0.314	0.1291	-0.59675	-0.004	0.238599999
43884	10105	0.318	-0.029545455	-0.133107143	0.232181818	-0.49325
137581	57153	0.32	0.238272727	-0.18988	-0.148222228	-0.147
840788	9168	0.324	0.47865	-0.59772	0.252318182	-0.4745
147447	50848	0.327	-0.1276	-0.1725625	-0.21645	-0.590944444
220376	NA	0.328	-0.435636364	0.270555556	-0.131454546	-0.291
80221	1359	0.329	-0.279272727	-0.1135	0.89	0.029999998
197888	10399	0.331	-0.344888889	0.198217391	-0.0633	0.2166
486787	1266	0.336	0.349636364	-0.3995	-0.347727273	-0.218
245296	5893	0.338	-0.2343	-0.14544	-0.2343	-0.2099
625234	11015	0.345	0.393909091	-0.449928571	-0.114272727	-1.0101
856454	6520	0.345	0.056590909	-0.097285714	0.312863636	-0.24315
487373	516	0.347	-0.207409091	-0.051839286	0.401863636	-0.5668
810057	8531	0.349	0.3126	-0.870925926	0.101909089	0.4521
234237	8544	0.357	-0.176545455	-0.384821429	0.505090909	-0.145900001
669443	3298	0.361	0.246899999	-0.147592593	-0.064454546	-0.185
162479	1999	0.361	-0.01305	-0.27944	-0.015727273	-0.0211
429148	1797	0.361	-0.317909091	0.070074074	0.121636364	-0.1054
194161	NA	0.366	0.137375	-0.098076923	-0.1423	0.315142857
248256	80727	0.366	0.973454545	-0.788821429	0.415909091	-0.6689
773233	11083	0.368	0.031636364	-0.199814815	-0.024636364	0.055111111
293950	8394	0.373	-0.3252	0.058269231	-0.130045455	-0.5577
460673	10978	0.378	-0.107	-0.153925926	0.116272727	-0.5927
810809	NA	0.379	0.29105	0.455458333	-0.701681818	0.233857143
841338	79033	0.383	0.025909091	-0.243074074	0.510818182	-0.3356
297392	4501	0.386	-0.027454545	-0.52168	0.493	0.6464
773137	8428	0.388	0.048090909	-0.243821429	0.094363634	-0.037555556
770391	5432	0.396	0.062681818	0.087982143	0.133681818	-0.07625
196992	NA	0.397	0.25554546	-0.086407407	-0.568727268	1.6928
148800	7991	0.406	-0.608777778	-0.401391304	-0.876899998	0.1632
841093	8454	0.424	0.210727273	-0.013928571	-0.144545455	-0.344
22918	10969	0.425	0.012363636	-0.056928571	0.678545455	-0.7014
855800	5550	0.432	0.419222222	-0.354767857	0.440909091	-0.1223125
359835	6303	0.434	-0.128833333	-0.25764	-0.036636364	-0.0953
795543	10549	0.435	0.087454545	-0.306	0.633909091	-0.8818
813280	158	0.436	0.341272727	-0.576708333	0.4559	-0.336
45376	10449	0.442	0.230600002	-0.083666667	0.116	0.1268
