Gene ID	Gene Name	Fold Change
210405_x_at	TNFRSF10B	2.08
202719_s_at	TES	1.98
221489_s_at	SPRY4	2.33
221586_s_at	E2F5	1.93
201464_x_at	JUN	2.05
205741_s_at	DTNA	2.12
219006_at	C6orf66	2.00
201250_s_at	SLC2A1	2.18
208361_s_at	POLR3D	1.90
218970_s_at	CUTC	1.98
218199_s_at	NOL6	2.19
204781_s_at	FAS	2.11
221823_at	LOC90355	2.02
209567_at	RRS1	1.93
211924_s_at	PLAUR	1.96
209835_x_at	CD44	2.13
204700_x_at	C1orf107	1.95
201329_s_at	ETS2	2.08
205822_s_at	HMGCS1	2.00
202794_at	INPP1	1.97
203455_s_at	SAT	2.23
200808_s_at	ZYX	1.99
204059_s_at	ME1	1.94
212424_at	PDCD11	1.87
222305_at	HK2	1.99
206877_at	MXD1	2.02
201289_at	CYR61	2.24
219503_s_at	TMEM40	2.57
219677_at	SPSB1	1.88
211686_s_at	RBM13	2.20
219256_s_at	SH3TC1	2.17
218574_s_at	LMCD1	2.09
202551_s_at	CRIM1	1.95
208596_s_at	UGT1A10 /// UGT1A8 /// UGT1A7 /// UGT1A6 /// UGT1A5 /// UGT1A9 /// UGT1A4 /// UGT1A1 /// UGT1A3	1.87
203286_at	RNF44	1.91
218292_s_at	PRKAG2	2.08
205807_s_at	TUFT1	1.87
205192_at	MAP3K14	1.90
203887_s_at	THBD	1.96
212014_x_at	CD44	2.32
214662_at	WDR43	1.99
203910_at	ARHGAP29	1.82
210845_s_at	PLAUR	2.16
203439_s_at	STC2	1.93
218871_x_at	GALNACT-2	2.06
208290_s_at	EIF5	1.87
203712_at	KIAA0020	2.15
214193_s_at	C1orf107	1.97
202021_x_at	EIF1	1.99
205264_at	CD3EAP	1.86
222235_s_at	GALNACT-2	1.95
201693_s_at	EGR1	2.78
210015_s_at	MAP2	2.01
202934_at	HK2	1.84
202804_at	ABCC1	2.06
219207_at	FLJ21128	2.10
203068_at	KLHL21	2.05
218882_s_at	WDR3	2.00
52741_at	C14orf172	1.81
221954_at	C20orf111	1.99
217741_s_at	ZA20D2	1.82
220147_s_at	FAM60A	1.92
205932_s_at	MSX1	2.09
203343_at	UGDH	1.93
38037_at	HBEGF	2.01
204532_x_at	UGT1A10 /// UGT1A8 /// UGT1A7 /// UGT1A6 /// UGT1A5 /// UGT1A9 /// UGT1A4 /// UGT1A1 /// UGT1A3	1.94
204327_s_at	ZNF202	1.79
218850_s_at	LIMD1	2.02
203367_at	DUSP14	1.83
209641_s_at	ABCC3	1.84
218955_at	BRF2	1.85
202831_at	GPX2	2.06
45653_at	KCTD13	2.13
218486_at	KLF11	1.96
209184_s_at	IRS2	2.08
218889_at	NOC3L	1.88
213260_at	FOXC1	2.28
202720_at	TES	1.87
207375_s_at	IL15RA	2.03
204027_s_at	METTL1	1.92
213310_at	EIF2C2	1.92
212037_at	PNN	1.81
201340_s_at	ENC1	1.91
218472_s_at	PELO	1.83
212171_x_at	VEGF	1.90
211676_s_at	IFNGR1	1.83
208322_s_at	ST3GAL1	2.06
205398_s_at	SMAD3	1.95
209578_s_at	POFUT2	1.82
209020_at	C20orf111	1.78
208706_s_at	EIF5	1.81
214443_at	PVR	1.80
203707_at	ZNF263	1.95
201478_s_at	DKC1	1.87
205263_at	BCL10	1.79
205748_s_at	RNF126	1.86
220009_at	LONRF3	2.13
220606_s_at	NBLA03831	1.88
212130_x_at	EIF1	1.95
202695_s_at	STK17A	1.90
219806_s_at	FN5	1.88
209803_s_at	PHLDA2	1.89
204541_at	SEC14L2	2.09
201341_at	ENC1	1.96
219595_at	ZNF26	1.83
217373_x_at	MDM2	1.84
208264_s_at	EIF3S1	1.99
201009_s_at	TXNIP	2.03
213656_s_at	KNS2	1.74
215706_x_at	ZYX	1.77
204977_at	DDX10	1.75
203023_at	HSPC111	1.74
216804_s_at	PDLIM5	1.72
217739_s_at	PBEF1	1.77
218182_s_at	CLDN1	1.85
201063_at	RCN1	1.78
219181_at	LIPG	1.85
215983_s_at	UBXD6	1.73
203867_s_at	NLE1	1.80
201108_s_at	THBS1	2.01
209336_at	PWP2H	1.81
200965_s_at	ABLIM1	1.81
200054_at	ZNF259	1.84
212272_at	LPIN1	1.87
213989_x_at	C21orf18	1.87
204214_s_at	RAB32	1.76
206976_s_at	HSPH1	1.75
219513_s_at	SH2D3A	1.72
209653_at	KPNA4	1.71
218331_s_at	C10orf18	1.76
202842_s_at	DNAJB9	1.86
204254_s_at	VDR	1.72
206566_at	SLC7A1	1.87
201008_s_at	TXNIP	1.88
209295_at	TNFRSF10B	1.80
201506_at	TGFBI	1.81
219959_at	MOCOS	1.81
205397_x_at	SMAD3	1.94
212907_at	SLC30A1	1.77
208178_x_at	TRIO	1.94
213358_at	KIAA0802	1.85
201537_s_at	DUSP3	1.88
221889_at	KCTD13	2.01
202679_at	NPC1	1.85
212360_at	AMPD2	1.70
203710_at	ITPR1	1.90
219474_at	TTMP	1.70
201607_at	PWP1	1.76
204121_at	GADD45G	1.77
219506_at	C1orf54	1.87
221214_s_at	NELF	1.75
203624_at	DXYS155E	1.74
204326_x_at	MT1X	1.79
208708_x_at	EIF5	1.73
201490_s_at	PPIF	1.74
215125_s_at	UGT1A10 /// UGT1A8 /// UGT1A7 /// UGT1A6 /// UGT1A5 /// UGT1A9 /// UGT1A4 /// UGT1A1 /// UGT1A3	1.90
206094_x_at	UGT1A6	1.79
209282_at	PRKD2	1.76
204808_s_at	TMEM5	1.74
202805_s_at	ABCC1	1.79
204141_at	TUBB2	1.70
218605_at	TFB2M	2.00
207604_s_at	SLC4A7	1.72
218932_at	C1orf181	1.72
48106_at	FLJ20489	1.66
201479_at	DKC1	1.70
203701_s_at	TRMT1	1.99
212623_at	TMEM41B	1.73
218758_s_at	D21S2056E	1.69
204346_s_at	RASSF1	1.68
212622_at	TMEM41B	1.76
209735_at	ABCG2	1.80
204363_at	F3	1.65
209238_at	STX3A	1.69
203973_s_at	CEBPD	1.78
206613_s_at	TAF1A	1.95
218238_at	GTPBP4	1.67
203737_s_at	PPRC1	1.72
207624_s_at	RPGR	1.78
202054_s_at	ALDH3A2	1.70
212110_at	SLC39A14	1.79
213425_at	WNT5A	2.20
208705_s_at	EIF5	1.68
220795_s_at	KIAA1446	1.82
211030_s_at	SLC6A6	1.88
218898_at	FAM57A	1.68
205016_at	TGFA	1.79
202540_s_at	HMGCR	1.71
210544_s_at	ALDH3A2	1.73
204653_at	TFAP2A	1.70
218886_at	PAK1IP1	1.81
210286_s_at	SLC4A7	1.80
202097_at	NUP153	1.72
209850_s_at	CDC42EP2	1.80
207515_s_at	POLR1C	1.64
202656_s_at	SERTAD2	1.86
213878_at	RECQL	1.75
208786_s_at	MAP1LC3B	1.63
201489_at	PPIF	1.76
202149_at	NEDD9	1.67
219248_at	THUMPD2	1.67
205135_s_at	NUFIP1	1.67
211197_s_at	ICOSLG	1.64
209186_at	ATP2A2	1.73
209725_at	DRIM	1.73
214185_at	KHDRBS1	1.81
218145_at	TRIB3	1.72
208249_s_at	TGDS	1.67
204255_s_at	VDR	1.98
209516_at	SMYD5	1.77
218712_at	C1orf109	1.67
219178_at	QTRTD1	1.66
202384_s_at	TCOF1	1.66
202539_s_at	HMGCR	1.64
200731_s_at	PTP4A1	1.70
200730_s_at	PTP4A1	1.62
202364_at	MXI1	1.66
214016_s_at	SFPQ	1.83
216212_s_at	DKC1	1.73
212666_at	SMURF1	1.83
218954_s_at	BRF2	1.69
212236_x_at	KRT17	2.41
203389_at	KIF3C	1.76
204699_s_at	C1orf107	1.77
47069_at	PRR5	1.68
212723_at	PTDSR	1.72
204351_at	S100P	1.65
208373_s_at	P2RY6	1.72
204225_at	HDAC4	1.68
212185_x_at	MT2A	1.66
219295_s_at	PCOLCE2	1.94
208581_x_at	MT1X	1.72
205322_s_at	MTF1	1.73
209011_at	TRIO	1.71
201834_at	PRKAB1	1.67
210611_s_at	DTNA	1.66
219631_at	LRP12	1.71
209180_at	RABGGTB	1.71
219928_s_at	CABYR	1.72
201147_s_at	TIMP3	1.86
200907_s_at	KIAA0992	1.77
205965_at	BATF	1.74
213459_at	RPL37A	1.81
219182_at	CHST5	1.82
204507_s_at	PPP3R1	1.63
218732_at	BIT1	1.66
205548_s_at	BTG3	1.64
210260_s_at	TNFAIP8	1.96
205122_at	TMEFF1	1.62
210275_s_at	ZA20D2	1.60
203659_s_at	RFP2	1.73
209288_s_at	CDC42EP3	1.68
219284_at	HSPBAP1	1.66
200868_s_at	ZNF313	1.62
200732_s_at	PTP4A1	1.67
214141_x_at	SFRS7	1.66
219031_s_at	CGI-37	1.65
215034_s_at	TM4SF1	1.65
221931_s_at	SEH1L	1.64
201150_s_at	TIMP3	1.78
209012_at	TRIO	1.78
203574_at	NFIL3	1.63
221516_s_at	FLJ20232	1.69
205474_at	CRLF3	1.71
210916_s_at	CD44	1.80
218653_at	SLC25A15	1.63
212501_at	CEBPB	1.64
202655_at	ARMET	1.70
211456_x_at	RPL35	1.71
38269_at	PRKD2	1.62
205271_s_at	CCRK	1.74
204514_at	DPH2	1.69
212710_at	CAMSAP1	1.58
219657_s_at	KLF3	1.62
205543_at	HSPA4L	1.83
209433_s_at	PPAT	1.57
218929_at	CARF	1.67
65585_at	FAM86B1	1.84
209181_s_at	RABGGTB	1.70
207643_s_at	TNFRSF1A	1.66
204937_s_at	ZNF274	1.69
203438_at	STC2	1.63
206261_at	ZNF239	1.72
208868_s_at	GABARAPL1	1.73
208693_s_at	GARS	1.62
213134_x_at	BTG3	1.64
205138_s_at	UST	1.60
202052_s_at	RAI14	1.62
206115_at	EGR3	1.76
202552_s_at	CRIM1	1.71
202194_at	TMED5	1.58
218368_s_at	TNFRSF12A	1.61
207686_s_at	CASP8	1.76
206600_s_at	SLC16A5	1.78
213034_at	KIAA0999	1.66
205729_at	OSMR	1.72
202968_s_at	DYRK2	1.62
202727_s_at	IFNGR1	1.68
205462_s_at	HPCAL1	1.70
213711_at	KRTHB1	1.73
221648_s_at	C1orf121	1.58
212552_at	HPCAL1	1.69
219437_s_at	ANKRD11	1.80
212019_at	RSL1D1	1.58
204784_s_at	MLF1	1.65
201148_s_at	TIMP3	1.81
203706_s_at	FZD7	1.75
212422_at	PDCD11	1.60
203368_at	CRELD1	1.82
213112_s_at	SQSTM1	1.61
205139_s_at	UST	1.59
208896_at	DDX18	1.65
204175_at	ZNF593	1.58
208963_x_at	FADS1	1.70
207121_s_at	MAPK6	1.62
204133_at	RNU3IP2	1.61
209825_s_at	UCK2	1.60
212276_at	LPIN1	1.62
220617_s_at	ZNF532	1.62
203027_s_at	MVD	1.62
212018_s_at	RSL1D1	1.54
211949_s_at	NOLC1	1.61
201835_s_at	PRKAB1	1.62
200897_s_at	KIAA0992	1.60
204094_s_at	TSC22D2	1.60
203499_at	EPHA2	1.65
205409_at	FOSL2	1.59
212461_at	AZIN1	1.63
219926_at	POPDC3	1.90
206968_s_at	NFRKB	1.72
218168_s_at	CABC1	1.60
216360_x_at	KIAA0690	1.70
219969_at	CXorf15	1.63
208893_s_at	DUSP6	1.81
215498_s_at	MAP2K3	1.73
218244_at	NOL8	1.65
204435_at	NUPL1	1.60
57703_at	SENP5	1.55
214280_x_at	HNRPA1	1.61
220011_at	C1orf135	1.58
221513_s_at	UTP14C /// UTP14A	1.57
216641_s_at	LAD1	1.60
218512_at	WDR12	1.60
209318_x_at	PLAGL1	1.75
219326_s_at	B3GNT1	1.54
209260_at	SFN	1.56
204729_s_at	STX1A	1.65
205921_s_at	SLC6A6	1.76
205995_x_at	IQCB1	1.59
209013_x_at	TRIO	1.56
211681_s_at	PDLIM5	1.67
205136_s_at	NUFIP1	1.64
213268_at	CAMTA1	1.82
219420_s_at	C1orf163	1.69
204005_s_at	PAWR	1.54
64900_at	CHST5 /// MGC15429	1.61
212292_at	SLC7A1	1.72
209868_s_at	RBMS1	1.55
218794_s_at	TXNL4B	1.65
221514_at	UTP14A	1.53
203244_at	PEX5	1.56
219491_at	LRFN4	1.58
208985_s_at	EIF3S1	1.57
221879_at	CALML4	1.53
209305_s_at	GADD45B	1.58
214427_at	NOL1	1.55
203234_at	UPP1	1.93
203211_s_at	MTMR2	1.56
218474_s_at	KCTD5	1.59
218984_at	FLJ20485	1.55
210090_at	ARC	1.53
217173_s_at	LDLR	1.57
206670_s_at	GAD1	1.60
212894_at	SUPV3L1	1.57
218113_at	TMEM2	1.64
212434_at	GRPEL1	1.61
212527_at	D15Wsu75e	1.58
205134_s_at	NUFIP1	1.60
218947_s_at	PAPD1	1.57
31845_at	ELF4	1.55
218594_at	HEATR1	1.58
204795_at	PRR3	1.60
222013_x_at	APP	1.65
209486_at	SAS10	1.58
219037_at	CGI-115	1.52
212980_at	USP34	1.63
209706_at	NKX3-1	1.67
210540_s_at	B4GALT4	1.59
208811_s_at	DNAJB6	1.54
217508_s_at	C18orf25	1.71
215867_x_at	CA12	1.54
206273_at	C18orf43	1.84
221020_s_at	SLC25A32	1.57
213005_s_at	ANKRD15	1.53
209286_at	CDC42EP3	1.67
202332_at	CSNK1E	1.60
209324_s_at	RGS16	1.59
208925_at	C3orf4	1.62
221840_at	PTPRE	1.82
203957_at	E2F6	1.59
212274_at	LPIN1	1.54
203200_s_at	MTRR	1.60
206034_at	SERPINB8	1.61
219348_at	MDS032	1.53
201984_s_at	EGFR	1.62
219029_at	FLJ21657	1.56
219397_at	FLJ13448	1.53
203888_at	THBD	1.57
200906_s_at	KIAA0992	1.66
212170_at	RBM12	1.52
212223_at	IDS	1.63
212945_s_at	MGA	1.55
211951_at	NOLC1	1.52
214444_s_at	PVR	1.62
209015_s_at	DNAJB6	1.60
215005_at	EFCBP2	1.59
210664_s_at	TFPI	1.58
201018_at	EIF1AX	1.58
212971_at	CARS	1.52
221571_at	TRAF3	1.57
218644_at	PLEK2	1.52
205100_at	GFPT2	1.76
212340_at	YIPF6	1.53
201387_s_at	UCHL1	1.58
212116_at	RFP	1.56
212662_at	PVR	1.78
205004_at	NKRF	1.53
218214_at	FLJ11773	1.52
221536_s_at	FLJ11301	1.55
209099_x_at	JAG1	1.58
211965_at	ZFP36L1	1.67
201471_s_at	SQSTM1	1.61
210091_s_at	DTNA	1.69
208083_s_at	ITGB6	1.67
203429_s_at	C1orf9	1.51
823_at	CX3CL1	1.77
201700_at	CCND3	1.51
221654_s_at	USP3	1.54
52164_at	C11orf24	1.54
204506_at	PPP3R1	1.59
217185_s_at	ZNF259	1.61
213338_at	RIS1	1.55
205873_at	PIGL	1.66
219596_at	THAP10	1.55
210541_s_at	RFP	1.55
213923_at	RAP2B	1.52
220311_at	C21orf127	1.51
37226_at	BNIP1	1.52
211297_s_at	CDK7	1.51
212048_s_at	YARS	1.51
201976_s_at	MYO10	1.61
204897_at	PTGER4	1.53
213097_s_at	ZRF1	1.60
209325_s_at	RGS16	1.61
203390_s_at	KIF3C	1.60
204024_at	C8orf1	1.58
203628_at	IGF1R	1.50
212174_at	AK2	1.56
202340_x_at	NR4A1	1.63
218417_s_at	FLJ20489	1.53
201948_at	GNL2	1.52
213146_at	JMJD3	1.68
204234_s_at	ZNF195	1.52
213684_s_at	PDLIM5	1.70
203748_x_at	RBMS1	1.60
207266_x_at	RBMS1	1.59
203242_s_at	PDLIM5	1.53
201300_s_at	PRNP	1.58
213373_s_at	CASP8	1.52
218650_at	DGCR8	1.55
204079_at	TPST2	1.52
221535_at	FLJ11301	1.60
212783_at	RBBP6	1.54
202723_s_at	FOXO1A	1.52
209317_at	POLR1C	1.50
216268_s_at	JAG1	1.61
202557_at	STCH	1.54
202937_x_at	CGI-96	1.51
209042_s_at	UBE2G2	1.58
201146_at	NFE2L2	1.54
212430_at	RNPC1	1.56
205178_s_at	RBBP6	1.59
212714_at	LARP4	1.56
212511_at	PICALM	1.52
219581_at	TSEN2	1.61
205130_at	RAGE	1.51
221580_s_at	MGC5306	1.52
218568_at	MULK	1.59
219177_at	BXDC2	1.58
221657_s_at	ASB6	1.52
204157_s_at	KIAA0999	1.62
217165_x_at	MT1F	1.50
219361_s_at	ISG20L1	1.64
217841_s_at	PME-1	1.52
209380_s_at	ABCC5	1.56
221432_s_at	SLC25A28	1.51
219720_s_at	C14orf118	1.66
210510_s_at	NRP1	1.51
210357_s_at	SMOX	1.57
201017_at	EIF1AX	1.51
218750_at	MGC5306	1.83
203866_at	NLE1	1.56
216305_s_at	C2orf3	1.53
209838_at	COPS2	1.53
200898_s_at	MGEA5	1.52
212221_x_at	IDS	1.53
202130_at	RIOK3	1.50
218426_s_at	TRIAD3	1.53
201324_at	EMP1	1.51
205899_at	CCNA1	1.64
215458_s_at	SMURF1	1.56
218513_at	FLJ11184	1.55
218944_at	PYCRL	1.51
212711_at	CAMSAP1	1.51
211168_s_at	RENT1	1.50
206683_at	ZNF165	1.57
219826_at	ZNF419	1.62
209304_x_at	GADD45B	1.58
212849_at	AXIN1	1.58
203115_at	FECH	1.62
205427_at	ZNF354A	1.52
222163_s_at	SPATA5L1	1.62
214210_at	SLC25A17	1.54
204508_s_at	CA12	1.53
214088_s_at	FUT3	1.61
203349_s_at	ETV5	1.68
201761_at	MTHFD2	1.51
201012_at	ANXA1	1.60
202140_s_at	CLK3	1.50
203518_at	LYST	1.52
212722_s_at	PTDSR	1.51
203108_at	GPRC5A	1.51
205583_s_at	CXorf45	1.54
205658_s_at	SNAPC4	1.54
202971_s_at	DYRK2	1.65
214052_x_at	XTP2	1.52
204330_s_at	MRPS12	1.64
212563_at	BOP1	1.55
205284_at	KIAA0133	1.54
202756_s_at	GPC1	1.54
205396_at	SMAD3	1.66
201572_x_at	DCTD	1.50
209676_at	TFPI	1.51
206917_at	GNA13	1.52
203287_at	LAD1	1.58
219049_at	ChGn	1.72
218177_at	CHMP1B	1.55
219340_s_at	CLN8	1.51
205891_at	ADORA2B	1.55
219131_at	UBIAD1	1.62
204807_at	TMEM5	1.53
209246_at	ABCF2	1.64
33304_at	ISG20	1.57
207574_s_at	GADD45B	1.50
204656_at	SHB	1.51
211026_s_at	MGLL	1.51
202134_s_at	WWTR1	1.54
206919_at	ELK4	1.56
202969_at	DYRK2	1.53
205547_s_at	TAGLN	1.57
214014_at	CDC42EP2	1.50
208094_s_at	MGC10471	1.52
204698_at	ISG20	1.53
217767_at	C3	1.55
202102_s_at	BRD4	1.51
219480_at	SNAI1	1.57
218851_s_at	WDR33	1.51
202438_x_at	IDS	1.52
208810_at	DNAJB6	1.51
212844_at	KIAA0179	1.56
213934_s_at	ZNF19 /// ZNF23	1.52
210871_x_at	SSX2IP	1.52
210240_s_at	CDKN2D	1.56
200688_at	SF3B3	1.51
202501_at	MAPRE2	1.57
212190_at	SERPINE2	1.54
219127_at	MGC11242	0.21
201280_s_at	DAB2	0.17
213413_at	SBLF	0.22
219850_s_at	EHF	0.13
202973_x_at	FAM13A1	0.17
204424_s_at	LMO3	0.20
217047_s_at	FAM13A1	0.23
203637_s_at	MID1	0.24
204284_at	PPP1R3C	0.22
204159_at	CDKN2C	0.29
210387_at	HIST1H2BG	0.23
210640_s_at	GPR30	0.31
209782_s_at	DBP	0.25
213555_at	RWDD2	0.26
201278_at	DAB2	0.19
209988_s_at	ASCL1	0.27
210757_x_at	DAB2	0.33
203636_at	MID1	0.30
204067_at	SUOX	0.32
201279_s_at	DAB2	0.32
218807_at	VAV3	0.33
220624_s_at	ELF5	0.34
202731_at	PDCD4	0.39
205319_at	PSCA	0.32
213721_at	SOX2	0.36
214858_at	GPC1	0.32
219562_at	RAB26	0.40
207800_at	AKAP5	0.26
212594_at	PDCD4	0.38
207761_s_at	DKFZP586A0522	0.35
203372_s_at	SOCS2	0.35
205413_at	MPPED2	0.38
205225_at	ESR1	0.41
212798_s_at	ANKMY2	0.40
219033_at	PARP8	0.41
218694_at	ARMCX1	0.41
215321_at	RPIB9	0.30
220625_s_at	ELF5	0.36
205934_at	PLCL1	0.42
203373_at	SOCS2	0.36
204567_s_at	ABCG1	0.40
206858_s_at	HOXC6	0.37
218700_s_at	RAB7L1	0.34
210139_s_at	PMP22	0.42
201310_s_at	C5orf13	0.36
210567_s_at	SKP2	0.44
203124_s_at	SLC11A2	0.41
218755_at	KIF20A	0.41
209987_s_at	ASCL1	0.30
217908_s_at	IQWD1	0.41
215073_s_at	NR2F2	0.42
218806_s_at	VAV3	0.28
203638_s_at	FGFR2	0.40
218559_s_at	MAFB	0.46
221897_at	TRIM52	0.43
35148_at	TJP3	0.40
203123_s_at	SLC11A2	0.43
212262_at	QKI	0.43
220029_at	ELOVL2	0.44
202730_s_at	PDCD4	0.43
205780_at	BIK	0.45
215779_s_at	HIST1H2BG	0.43
