Probeset	Official Symbol
36830_at	MIPEP
224823_at	MYLK
226490_at	NHSL1
212298_at	NRP1
210510_s_at	NRP1
225005_at	PHF13
217943_s_at	RPRC1
203753_at	TCF4
222146_s_at	TCF4
206649_s_at	TFE3
212457_at	TFE3
202368_s_at	TRAM2
202369_s_at	TRAM2
1554383_a_at	TRAM2
202341_s_at	TRIM2
202342_s_at	TRIM2
215945_s_at	TRIM2
204094_s_at	TSC22D2
222478_at	VPS36
222623_s_at	ZNF639
225131_at	ZRANB1
225138_at	ZRANB1
207980_s_at	CITED2
209357_at	CITED2
201931_at	ETFA
211535_s_at	FGFR1
221577_x_at	GDF15
204465_s_at	INA
226968_at	KIF1B
225878_at	KIF1B
202729_s_at	LTBP1
211063_s_at	NCK1
202983_at	SMARCA3
201331_s_at	STAT6
212204_at	TMEM87A
209191_at	TUBB6
201954_at	ARPC1B
204995_at	CDK5R1
204203_at	CEBPG
223457_at	COPG2
209774_x_at	CXCL2
216060_s_at	DAAM1
226666_at	DAAM1
204602_at	DKK1
212838_at	DNMBP
209457_at	DUSP5
204271_s_at	EDNRB
204273_at	EDNRB
206701_x_at	EDNRB
218881_s_at	FOSL2
225262_at	FOSL2
228188_at	FOSL2
218880_at	FOSL2
219013_at	GALNT11
1554018_at	GPNMB
201141_at	GPNMB
218468_s_at	GREM1
218469_at	GREM1
203259_s_at	HDDC2
235944_at	HMCN1
39402_at	IL1B
205067_at	IL1B
205945_at	IL6R
226333_at	IL6R
231779_at	IRAK2
226038_at	LONRF1
202670_at	MAP2K1
205192_at	MAP3K14
226046_at	MAPK8
226048_at	MAPK8
203774_at	MTR
229963_at	NGFRAP1L1
225688_s_at	PHLDB2
204484_at	PIK3C2B
209193_at	PIM1
214866_at	PLAUR
210845_s_at	PLAUR
211924_s_at	PLAUR
203885_at	RAB21
227167_s_at	RASSF3
211515_s_at	RIPK5
214663_at	RIPK5
229017_s_at	RIPK5
221524_s_at	RRAGD
221523_s_at	RRAGD
235338_s_at	SETDB2
204928_s_at	SLC10A3
202752_x_at	SLC7A8
216092_s_at	SLC7A8
202935_s_at	SOX9
202936_s_at	SOX9
202260_s_at	STXBP1
221012_s_at	TRIM8
223132_s_at	TRIM8
208178_x_at	TRIO
209011_at	TRIO
205458_at	TUBB3|MC1R
206630_at	TYR
1555505_a_at	TYR
210512_s_at	VEGF
210513_s_at	VEGF
211527_x_at	VEGF
212171_x_at	VEGF
217234_s_at	VIL2
208621_s_at	VIL2
208622_s_at	VIL2
208623_s_at	VIL2
223098_s_at	WDR51B
223099_s_at	WDR51B
219635_at	ZNF606
225076_s_at	ZNFX1
209993_at	ABCB1
200045_at	ABCF1
209735_at	ABCG2
63825_at	ABHD2
225337_at	ABHD2
205566_at	ABHD2
228969_at	AGR2
239196_at	ANKRD22
207606_s_at	ARHGAP12
203055_s_at	ARHGEF1
201518_at	CBX1
204159_at	CDKN2C
201884_at	CEACAM5
219150_s_at	CENTA1
90265_at	CENTA1
205043_at	CFTR
202329_at	CSK
219404_at	EPS8L3
203184_at	FBN2
214505_s_at	FHL1
210298_x_at	FHL1
201540_at	FHL1
210103_s_at	FOXA2
40284_at	FOXA2
214088_s_at	FUT3
1552474_a_at	GAMT
219508_at	GCNT3
202831_at	GPX2
202794_at	INPP1
201189_s_at	ITPR3
203402_at	KCNAB2
205470_s_at	KLK11
228762_at	LFNG
200923_at	LGALS3BP
204272_at	LGALS4
242931_at	LONRF3
213975_s_at	LYZ
226979_at	MAP3K2
210059_s_at	MAPK13
210058_at	MAPK13
218687_s_at	MUC13
222712_s_at	MUC13
221690_s_at	NALP2
218543_s_at	PARP12
200787_s_at	PEA15
200788_s_at	PEA15
202732_at	PKIG
209529_at	PPAP2C
225165_at	PPP1R1B
212561_at	RAB6IP1
212398_at	RDX
212397_at	RDX
234973_at	SLC38A5
212290_at	SLC7A1
212295_s_at	SLC7A1
226438_at	SNTB1
202864_s_at	SP100
204623_at	TFF3
216623_x_at	TNRC9
214774_x_at	TNRC9
202241_at	TRIB1
209118_s_at	TUBA1
208959_s_at	TXNDC4
218022_at	VRK3
202049_s_at	ZMYM4
