Oligo probe	microRNA	Chromosome location	FRA associated	P value	Type
hsa-mir-196-2-precNo1	hsa-mir-196-2	12q13	FRA12A	4.94E-08	Up
hsa-mir-196-2-precNo2	hsa-mir-196-2	12q13	FRA12A	0.04	Up
hsa-mir-197-prec	hsa-mir-197	01p13		0.003	Down
hsa-mir-200a-prec	hsa-mir-200a	01p36.3		9.14E-05	Up
hsa-mir-204-precNo2	hsa-mir-204	09q21.1		8.55E-04	Up
hsa-mir-206-precNo1	hsa-mir-206	06p12		0.003	Down
hsa-mir-210-prec	hsa-mir-210	11p15		0.009	Down
hsa-mir-212-precNo1	hsa-mir-212	17p13.3		0.045	Down
hsa-mir-213-precNo1	hsa-mir-213	01q31.3-q32.1		1.47E-33	Down
hsa-mir-217-precNo2	hsa-mir-217	02p16		3.85E-09	Up
hsa-mir-220-prec	hsa-mir-220	Xq25		2.14E-09	Down
hsa-mir-220-prec	hsa-mir-220	Xq25		3.16E-05	Down
hsa-mir-221-prec	hsa-mir-221	Xp11.3		1.39E-05	Down
hsa-mir-223-prec	hsa-mir-223	Xq12-13.3		9.04E-04	Down
