Network id	Genes	Top functions
4	DAG1	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	DDC	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	ELA1	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	ELN	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	ENO3	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	FDPS	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	FGF19(includes EG:9965)	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	FLOT2	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	FOXP3	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	FYN	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	ITM2A	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	KRAS	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	MBP	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	MCAM	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	MMP10	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	NRK	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	PAK3	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	PLP1	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	SCN1B	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	SGCA	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	SGCB	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	SGCD	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	SIM1	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	SREBF1	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	SYT9	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	THRB	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	UGT8	Cell Morphology, Nervous System Development and Function, Developmental Disorder
5	AURKB	Cancer, Cell Death, Neurological Disease
5	BAG1	Cancer, Cell Death, Neurological Disease
5	BIRC5	Cancer, Cell Death, Neurological Disease
5	CASP3	Cancer, Cell Death, Neurological Disease
5	CASP4	Cancer, Cell Death, Neurological Disease
5	CAV1	Cancer, Cell Death, Neurological Disease
5	CCND3	Cancer, Cell Death, Neurological Disease
5	CD82	Cancer, Cell Death, Neurological Disease
5	CDC42	Cancer, Cell Death, Neurological Disease
5	CDKN1A	Cancer, Cell Death, Neurological Disease
5	CYFIP2	Cancer, Cell Death, Neurological Disease
5	DOCK9	Cancer, Cell Death, Neurological Disease
5	ELL	Cancer, Cell Death, Neurological Disease
5	FBLN1	Cancer, Cell Death, Neurological Disease
5	FMOD	Cancer, Cell Death, Neurological Disease
5	FOXM1	Cancer, Cell Death, Neurological Disease
5	HS3ST1	Cancer, Cell Death, Neurological Disease
5	LAMA4	Cancer, Cell Death, Neurological Disease
5	MET	Cancer, Cell Death, Neurological Disease
5	P2RX4	Cancer, Cell Death, Neurological Disease
5	PHLDA3	Cancer, Cell Death, Neurological Disease
5	PKN1	Cancer, Cell Death, Neurological Disease
5	PLXNB3	Cancer, Cell Death, Neurological Disease
5	POU4F1	Cancer, Cell Death, Neurological Disease
5	RACGAP1	Cancer, Cell Death, Neurological Disease
5	ROBO1	Cancer, Cell Death, Neurological Disease
5	SLIT2	Cancer, Cell Death, Neurological Disease
5	SNCA	Cancer, Cell Death, Neurological Disease
5	SNCB	Cancer, Cell Death, Neurological Disease
5	SREBF1	Cancer, Cell Death, Neurological Disease
5	TP53	Cancer, Cell Death, Neurological Disease
5	UBE2C	Cancer, Cell Death, Neurological Disease
5	UNC5C	Cancer, Cell Death, Neurological Disease
5	WASL	Cancer, Cell Death, Neurological Disease
5	WASPIP	Cancer, Cell Death, Neurological Disease
6	ABCG1	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	ACVRL1	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	AGC1	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	AXL	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	BYSL	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	CAV1	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	CDKN1A	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	COL2A1	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	COL4A2	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	CRK	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	CTSK	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	CXCL12	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	EFNA1	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	EPHA4	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	HOXA2	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	HSPG2(includes EG:3339)	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	IRF6	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	KRT8	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	KRT18	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	KRT19	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	MMP11	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	NR1H2	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	NR4A1	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	PGCP	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	PKD1	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	PKN1	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	PRELP	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	RHOA	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	ROCK1	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	STARD13	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	TGFB1	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	TGM2	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	TRO	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	TROAP	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
6	UGDH	Cell Morphology, Connective Tissue Development and Function, Cellular Assembly and Organization
7	ADRA2A	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	ADRB3	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	AKT1	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	ARRB1	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	ATP1A2	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	CAV1	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	CAV2	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	CCND3	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	CEBPA	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	CFD	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	CYP3A4	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	CYP3A5	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	CYP3A7	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	FOXA3	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	FOXC2	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	FXYD5	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	INS1	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	MBTPS1	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	MICAL1	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	MYO5A	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	MYRIP	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	PDGFRA	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	PLIN	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	PSCD3	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	PTGER4	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	RAB27A	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	RAB27B	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	SEPT5 (includes EG:5413)	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	SNCA	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	SRC	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	SREBF1	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	STAT5A	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	STX4	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	SYT4	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
7	SYTL2	Lipid Metabolism, Small Molecule Biochemistry, Cellular Development
8	ADIPOQ	Cancer, Cellular Growth and Proliferation, Tissue Development
8	AFP	Cancer, Cellular Growth and Proliferation, Tissue Development
8	ATBF1 (includes EG:463)	Cancer, Cellular Growth and Proliferation, Tissue Development
8	CAPN3	Cancer, Cellular Growth and Proliferation, Tissue Development
8	CAPN6	Cancer, Cellular Growth and Proliferation, Tissue Development
8	CAV1	Cancer, Cellular Growth and Proliferation, Tissue Development
8	EGF	Cancer, Cellular Growth and Proliferation, Tissue Development
8	EMB	Cancer, Cellular Growth and Proliferation, Tissue Development
8	FOS	Cancer, Cellular Growth and Proliferation, Tissue Development
8	FOXD1	Cancer, Cellular Growth and Proliferation, Tissue Development
8	GDF2	Cancer, Cellular Growth and Proliferation, Tissue Development
8	GIT1	Cancer, Cellular Growth and Proliferation, Tissue Development
8	GLI1	Cancer, Cellular Growth and Proliferation, Tissue Development
8	HAS2	Cancer, Cellular Growth and Proliferation, Tissue Development
8	HHIP	Cancer, Cellular Growth and Proliferation, Tissue Development
8	MYH10	Cancer, Cellular Growth and Proliferation, Tissue Development
8	NANOG	Cancer, Cellular Growth and Proliferation, Tissue Development
8	NDRG2	Cancer, Cellular Growth and Proliferation, Tissue Development
8	PALM2-AKAP2	Cancer, Cellular Growth and Proliferation, Tissue Development
8	POU5F1	Cancer, Cellular Growth and Proliferation, Tissue Development
8	PRKACA	Cancer, Cellular Growth and Proliferation, Tissue Development
8	PRKAR1A	Cancer, Cellular Growth and Proliferation, Tissue Development
8	PRKG2	Cancer, Cellular Growth and Proliferation, Tissue Development
8	RARG	Cancer, Cellular Growth and Proliferation, Tissue Development
8	RIMS1	Cancer, Cellular Growth and Proliferation, Tissue Development
8	SLC8A1	Cancer, Cellular Growth and Proliferation, Tissue Development
8	SNAP25	Cancer, Cellular Growth and Proliferation, Tissue Development
8	SNIP	Cancer, Cellular Growth and Proliferation, Tissue Development
8	SOX9	Cancer, Cellular Growth and Proliferation, Tissue Development
8	STAT5A	Cancer, Cellular Growth and Proliferation, Tissue Development
8	TIMP3	Cancer, Cellular Growth and Proliferation, Tissue Development
8	VIL2	Cancer, Cellular Growth and Proliferation, Tissue Development
8	WASF1	Cancer, Cellular Growth and Proliferation, Tissue Development
8	WIF1	Cancer, Cellular Growth and Proliferation, Tissue Development
8	WWP2	Cancer, Cellular Growth and Proliferation, Tissue Development
9	ANKH	Organismal Development, Cancer, Cell Death
9	CAV1	Organismal Development, Cancer, Cell Death
9	CCND3	Organismal Development, Cancer, Cell Death
9	CDH11	Organismal Development, Cancer, Cell Death
9	CRABP2	Organismal Development, Cancer, Cell Death
9	CRYL1	Organismal Development, Cancer, Cell Death
9	CSNK1E	Organismal Development, Cancer, Cell Death
9	CTNNB1	Organismal Development, Cancer, Cell Death
9	DKK3	Organismal Development, Cancer, Cell Death
9	FGF1	Organismal Development, Cancer, Cell Death
9	FREM2	Organismal Development, Cancer, Cell Death
9	GRIA4	Organismal Development, Cancer, Cell Death
9	GRIP1	Organismal Development, Cancer, Cell Death
9	GRIP2	Organismal Development, Cancer, Cell Death
9	HAPLN1	Organismal Development, Cancer, Cell Death
9	HOXA3 (includes EG:3200)	Organismal Development, Cancer, Cell Death
9	JARID1A	Organismal Development, Cancer, Cell Death
9	MGP	Organismal Development, Cancer, Cell Death
9	NCOA5	Organismal Development, Cancer, Cell Death
9	PPP2CA	Organismal Development, Cancer, Cell Death
9	PPP2CB	Organismal Development, Cancer, Cell Death
9	PPP2CBP	Organismal Development, Cancer, Cell Death
9	PPP2R4	Organismal Development, Cancer, Cell Death
9	PPP2R1A	Organismal Development, Cancer, Cell Death
9	PPP2R1B (includes EG:5519)	Organismal Development, Cancer, Cell Death
9	PPP2R2A	Organismal Development, Cancer, Cell Death
9	PPP2R2B	Organismal Development, Cancer, Cell Death
9	PPP2R2C	Organismal Development, Cancer, Cell Death
9	PPP2R3A (includes EG:5523)	Organismal Development, Cancer, Cell Death
9	PPP2R5B	Organismal Development, Cancer, Cell Death
9	RARA	Organismal Development, Cancer, Cell Death
9	S100A13	Organismal Development, Cancer, Cell Death
9	SPP1	Organismal Development, Cancer, Cell Death
9	VDR	Organismal Development, Cancer, Cell Death
9	WISP1	Organismal Development, Cancer, Cell Death
10	ADAM9	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	ADAM10	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	ADAM12	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	ADAM17	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	ALDOA	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	ANKS1B	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	APP	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	CDKN1A	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	CLDN1	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	CLDN2	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	CYP2J2	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	ENPP2	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	EPHB1	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	EYA2	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	G6PD	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	HERPUD1	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	HSPG2 (includes EG:3339)	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	IFI35	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	IL15	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	IL7R	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	JUN	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	M6PR	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	MST1	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	MSX1	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	MYOD1	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	PAX3	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	PTPN3 (includes EG:5774)	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	S100B	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	SH3D19	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	SH3GL3	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	SIX1	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	SLC12A2	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	SNCA	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	TIMP3	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
10	WNK4	Cell Death, Cellular Movement, Skeletal and Muscular System Development and Function
11	ARNT	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	C1QL1	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	CAV1	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	CCNA1	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	CCND3	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	CDKN1A	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	COL9A1	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	COL9A2	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	COL9A3	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	DGKA	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	E2F1	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	ETV4	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	F2R	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
11	FLT1	Tissue Development, Cardiovascular System Development and Function, Cellular Movement
