AffyID	AverageRatio Contr/SCARKO	Gene Symbol
1451490_at	1.22	BC027340
1430889_a_at	1.22	Tpmt
1425403_at	1.22	9630020E24Rik
1424289_at	1.22	BC010311
1424286_at	1.22	Mup1
1427332_at	1.22	Zdhhc5
1450555_at	1.22	Tex13
1417366_s_at	1.22	Calm1
1431059_x_at	1.22	2600017A12Rik
1417101_at	1.22	Hspa2
1424243_at	1.22	Icam1
1434549_at	1.22	Rab11a
1417902_at	1.22	Slc19a2
1420904_at	1.22	Il17r
1438578_a_at	1.22	1110056N09Rik
1417674_s_at	1.22	Golga4
1424613_at	1.22	Gprc5b
1433527_at	1.22	Ireb2
1415928_a_at	1.22	Map1lc3
1449862_a_at	1.22	Pi4k2b-pending
1423038_at	1.22	Stx6
1454677_at	1.22	Timp2
1431530_a_at	1.22	Tm4sf9
1427131_s_at	1.21	1810012N18Rik
1433756_at	1.21	4930429A08Rik
1451383_a_at	1.21	Chuk
1416183_a_at	1.21	Ldh2
1426669_at	1.21	C530044N13Rik
1449010_at	1.21	Osp94
1455605_at	1.21	D5Bwg0860e
1434773_a_at	1.20	Slc2a1
1417073_a_at	1.20	Qk
1418963_at	1.20	2310047O13Rik
1426752_at	1.20	D530048A03Rik
1419550_a_at	1.20	Stk39
1426903_at	1.20	F730017H24Rik
1455180_at	1.20	---
1434612_s_at	1.20	9330180L10Rik
1448894_at	1.20	Akr1b8
1434628_a_at	1.20	C230052I12Rik
1417384_at	1.20	Entpd5
1451543_at	1.20	Fbxo21
1417981_at	1.20	Insig2
1415929_at	1.20	Map1lc3
1418305_s_at	1.20	Nola1
1419471_a_at	1.20	Nudc
1435458_at	1.20	Pim1
1449079_s_at	1.20	Siat10
1452661_at	1.20	Trfr
1436917_s_at	1.20	1810037C22Rik
1416253_at	1.20	Cdkn2d
1434440_at	1.20	Gnai1
1424308_at	1.20	Slc24a3
1436027_at	1.20	Osbpl11
1426924_at	1.20	2900024N03Rik
1428137_at	1.20	3100002J04Rik
1416060_at	1.20	4432405K22Rik
1416094_at	1.20	Adam9
1418299_at	1.20	Dpysl4
1423690_s_at	1.19	1810037C22Rik
1434062_at	1.19	8430421H08Rik
1428572_at	1.19	Basp1
1460667_at	1.19	U90926
1454607_s_at	1.19	Psat1
1427983_at	1.19	BC028839
1433496_at	1.19	2810024B22Rik
1448599_s_at	1.19	D4Wsu114e
1424616_s_at	1.19	Frag1-pending
1430289_a_at	1.19	2610312E17Rik
1426362_at	1.19	5730537D05Rik
1455873_a_at	1.19	9930024E13Rik
1452180_at	1.19	D530048A03Rik
1421833_at	1.19	Pip5k1a
1432159_a_at	1.19	Tex13
1416125_at	1.18	Fkbp5
1452473_at	1.18	E130201N16Rik
1424443_at	1.18	Tm6sf1
1426435_at	1.18	2810439K08Rik
1460541_at	1.18	AI643885
1418298_s_at	1.18	Dpysl4
1450208_a_at	1.18	Elmo1
1436952_at	1.18	Bteb1
1451151_s_at	1.18	D12Ertd748e
1428104_at	1.18	2610005B21Rik
1416840_at	1.18	3110038L01Rik
1423948_at	1.18	Bag2
1452286_at	1.18	5033405K12Rik
1456071_a_at	1.18	Cycs
1455235_x_at	1.18	Ldh2
1416703_at	1.18	Mapk14
1424477_at	1.18	MGC30809
1455534_s_at	1.18	Osbpl11
1455285_at	1.18	Slc31a1
1415906_at	1.18	Tmsb4x
1418250_at	1.18	1110036H21Rik
1416757_at	1.18	2310031L18Rik
1439036_a_at	1.18	Atp1b1
1419252_at	1.18	Eps15
1424572_a_at	1.18	H2afy
