Refseq	Gene id	Gene symbol	Gene.Name	Fold Change	q-value (%)
NM_176805	64963	MRPS11	mitochondrial ribosomal protein S11	1.88585243	3.9508566
NM_022839	64963	MRPS11	mitochondrial ribosomal protein S11	1.88585243	3.9508566
NM_033362	6183	MRPS12	mitochondrial ribosomal protein S12	3.48835931	0.637618
NM_022100	63931	MRPS14	mitochondrial ribosomal protein S14	2.13899458	5.7639809
NM_031280	64960	MRPS15	mitochondrial ribosomal protein S15	1.8144247	4.3199052
NM_016065	51021	MRPS16	mitochondrial ribosomal protein S16	2.78133991	0.637618
NM_015969	51373	MRPS17	mitochondrial ribosomal protein S17	1.80787943	8.593663
NM_018135	55168	MRPS18A	mitochondrial ribosomal protein S18A	1.88312677	4.6110465
NM_016034	51116	MRPS2	mitochondrial ribosomal protein S2	1.5262183	8.7274414
NM_018997	54460	MRPS21	mitochondrial ribosomal protein S21	1.90353072	4.9341886
NM_031901	54460	MRPS21	mitochondrial ribosomal protein S21	1.92001738	4.6110465
NM_016070	51649	MRPS23	mitochondrial ribosomal protein S23	1.54302047	9.4283268
NM_032014	64951	MRPS24	mitochondrial ribosomal protein S24	1.65109339	6.5999626
NM_053035	51650	MRPS33	mitochondrial ribosomal protein S33	2.07128729	2.0161834
NM_016071	51650	MRPS33	mitochondrial ribosomal protein S33	2.07128729	2.0161834
NM_023936	65993	MRPS34	mitochondrial ribosomal protein S34	1.9393702	6.3497914
NM_015971	51081	MRPS7	mitochondrial ribosomal protein S7	2.2622182	2.1038158
NM_199176	92399	MRRF	mitochondrial ribosome recycling factor	2.0356999	4.6110465
NM_138777	92399	MRRF	mitochondrial ribosome recycling factor	2.0356999	4.6110465
NM_199177	92399	MRRF	mitochondrial ribosome recycling factor	2.0356999	4.6110465
NM_016093	51121	RPL26L1	ribosomal protein L26-like 1	1.83577876	3.9508566
NM_015414	25873	RPL36	ribosomal protein L36	1.94921238	3.797649
NM_033643	25873	RPL36	ribosomal protein L36	1.94921238	3.797649
NM_021029	6173	RPL36A	ribosomal protein L36a	1.69511875	6.8159167
NM_000973	6132	RPL8	ribosomal protein L8	1.50723982	9.8653909
NM_033301	6132	RPL8	ribosomal protein L8	1.50723982	9.8653909
NM_001003	6176	RPLP1	ribosomal protein, large, P1	1.49435249	9.6306887
NM_001015	6205	RPS11	ribosomal protein S11	1.55061454	8.27025
NM_194326	91582	RPS19BP1	ribosomal protein S19 binding protein 1	2.13070137	2.1038158
NM_001009	6193	RPS5	ribosomal protein S5	1.72602685	5.7639809
NM_030811	64949	MRPS26	mitochondrial ribosomal protein S26	1.98308796	3.2351467
NM_033363	6183	MRPS12	mitochondrial ribosomal protein S12	3.04559283	0.637618
