Unique id	Gene symbol	GeneBank accession	P-value (BRCA1 pools vs BRCA2 vs BRCAX pools)	P-value (Treated vs non-treated BRCA1/2/X pools)	P-value (Treated vs non-treated healthy control pools)
2510070	CASK	NM_003688.1	0.0187303	NS	0.0312852
2260594	NOLA1	NM_032993.1	0.0191952	NS	0.0125956
3840113	GABRP	NM_014211.1	0.0200135	NS	0.006702
2640672	CCDC17	NM_152500.1	0.0212594	NS	0.0427032
620470	GOLGA5	NM_005113.2	0.0224517	NS	0.0497551
1660504	C14orf4	NM_024496.2	0.0231552	NS	0.0226271
160634	MRPS17	NM_015969.2	0.0232045	NS	0.0494151
7560630	NENF	NM_013349.3	0.0249023	NS	0.0318764
3400390	FLJ20186	NM_017702.2	0.0249214	NS	0.0286682
70414	BDP1	NM_018429.1	0.0259487	NS	0.0116206
1340709	WDR77	NM_024102.2	0.0289066	NS	0.0078543
2900148	MRPL21	NM_181512.1	0.0299224	NS	0.0383969
5310121	KBTBD5	NM_152393.2	0.0300683	NS	0.0254203
70592	EIF4EBP1	NM_004095.2	0.0306567	NS	0.0249998
1430441	CRNKL1	NM_016652.3	0.0321385	NS	0.0499093
7050241	H1F0	NM_005318.2	0.032753	NS	0.0409052
2000431	FAM48A	NM_001014286.1	0.0327617	NS	0.0261788
1580278	RNF25	NM_022453.2	0.0346621	NS	0.0366656
6350403	LOC391356	NM_001013663.1	0.0363383	NS	0.0429236
650075	NUBP1	NM_002484.1	0.0366483	NS	0.0344334
1780348	IMP3	NM_018285.2	0.0369972	NS	0.0408847
110494	C14orf153	NM_032374.2	0.0387721	NS	0.015023
4830435	MRPS26	NM_030811.3	0.0391564	NS	0.0489934
2320647	NEURL2	NM_080749.2	0.0408522	NS	0.0054412
5700113	IHH	NM_002181.1	0.0422936	NS	0.0209278
1090041	TMEM99	NM_145274.1	0.0428157	NS	0.0258739
1300019	DUSP16	NM_030640.1	0.0441613	NS	0.0441726
6940551	RAB37	NM_001006638.1	0.0473516	NS	0.0058659
4570630	ANKRD35	NM_144698.2	0.0000039	NS	NS
830528	BCL3	NM_005178.2	0.0000367	NS	NS
3830538	GPX7	NM_015696.2	0.0001899	NS	NS
2750431	PRR6	NM_181716.2	0.0002974	NS	NS
360367	AOC2	NM_009590.2	0.0003451	NS	NS
5900228	BRAF	NM_004333.2	0.0004913	NS	NS
5220240	HRASLS3	NM_007069.1	0.0007502	NS	NS
7560072	PRMT2	NM_206962.1	0.000889	NS	NS
3170300	NR2F6	NM_005234.3	0.0009421	NS	NS
5870475	C1QTNF6	NM_031910.3	0.001403	NS	NS
10487	FBXL21	NM_012159.1	0.0016749	NS	NS
5390280	C20orf23	NM_024704.3	0.0020923	NS	NS
4610221	DND1	NM_194249.1	0.0022257	NS	NS
3400228	SH2D3A	NM_005490.1	0.0023128	NS	NS
4900474	ATG5	NM_004849.1	0.0023157	NS	NS
5810152	AGBL4	NM_032785.1	0.0025792	NS	NS
510092	TMPRSS3	NM_032405.1	0.0026521	NS	NS
4860431	THSD3	NM_199296.1	0.0027143	NS	NS
1400079	AHRR	NM_020731.2	0.0029284	NS	NS
4040142	ZNF596	NM_173539.1	0.0029504	NS	NS
3840072	GNPDA1	NM_005471.3	0.0030147	NS	NS
3610551	LST1	NM_205837.1	0.0030681	NS	NS
5340286	ASB13	NM_024701.2	0.0030744	NS	NS
4560274	ZNF11B	NM_006955.1	0.0031957	NS	NS
6510100	ZCCHC12	NM_173798.2	0.0032703	NS	NS
3460037	UNQ1940	NM_205855.1	0.0035261	NS	NS
620619	LRRC48	NM_031294.2	0.0035574	NS	NS
2370524	TNFAIP6	NM_007115.2	0.0035884	NS	NS
4860246	GPR120	NM_181745.2	0.0036291	NS	NS
4060477	KIAA0701	NM_001006947.1	0.0036327	NS	NS
430128	LOC57228	NM_001031628.1	0.003691	NS	NS
1940064	HIST1H2AG	NM_021064.3	0.0039148	NS	NS
4060019	LOC389429	NM_001010905.1	0.0039691	NS	NS
6130019	MAB21L1	NM_005584.2	0.0041338	NS	NS
3140274	LPPR2	NM_022737.1	0.0042692	NS	NS
830259	ZNF429	NM_001001415.1	0.0045706	NS	NS
4590605	HDAC9	NM_058177.1	0.0046881	NS	NS
4760110	DUSP14	NM_007026.1	0.0047346	NS	NS
1070360	STX18	NM_016930.2	0.0049385	NS	NS
3780750	ARHGDIG	NM_001176.1	0.0049764	NS	NS
610039	EMR1	NM_001974.3	0.0050221	NS	NS
3130019	HSD17B8	NM_014234.3	0.0050717	NS	NS
6900491	C11orf47	NM_173589.2	0.005084	NS	NS
6520521	CACNB4	NM_000726.2	0.0051899	NS	NS
70189	CUL5	NM_003478.3	0.0053246	NS	NS
1090500	KRT1	NM_006121.2	0.0053684	NS	NS
6590437	CNFN	NM_032488.2	0.0053702	NS	NS
1740056	LOC143188	NM_001025447.1	0.0054023	NS	NS
1780707	PCDHGA9	NM_032089.1	0.0054905	NS	NS
3400176	MIZF	NM_015517.3	0.0055191	NS	NS
4610047	CD52	NM_001803.2	0.0055887	NS	NS
7100370	PGDS	NM_014485.2	0.0056472	NS	NS
1440390	DLL4	NM_019074.2	0.0056699	NS	NS
2070703	ZNF92	NM_007139.2	0.0056918	NS	NS
4880189	PFKL	NM_002626.4	0.005831	NS	NS
6960670	CTSC	NM_148170.2	0.0061838	NS	NS
7100452	PTN	NM_002825.5	0.0061887	NS	NS
4230187	C6orf89	NM_152734.2	0.0062078	NS	NS
4120082	PCBD1	NM_000281.2	0.0062147	NS	NS
6350615	TCF7	NM_003202.2	0.0063021	NS	NS
20202	FAM64A	NM_019013.1	0.0064265	NS	NS
4760196	UEV3	NM_018314.2	0.006535	NS	NS
7330088	REEP1	NM_022912.1	0.0066135	NS	NS
2100471	ZBTB41	NM_194314.2	0.006621	NS	NS
4860601	ZNF366	NM_152625.1	0.0068564	NS	NS
60433	LOC129285	NM_152994.2	0.0069084	NS	NS
4290372	MGC3123	NM_024107.1	0.0070701	NS	NS
3120296	RALGPS2	NM_018037.1	0.007272	NS	NS
7210301	FAM55C	NM_145037.1	0.0075437	NS	NS
990437	SETD3	NM_032233.2	0.0076317	NS	NS
7560482	SCTR	NM_002980.1	0.0077899	NS	NS
2140451	SPACA3	NM_173847.2	0.0078291	NS	NS
5960592	ADRA2B	NM_000682.4	0.0078802	NS	NS
7650008	EEA1	NM_003566.2	0.0079022	NS	NS
1780537	NRGN	NM_006176.1	0.0079124	NS	NS
2340195	ATE1	NM_001001976.1	0.0079146	NS	NS
4850128	GZMH	NM_033423.2	0.008386	NS	NS
1850221	FLJ38723	NM_173805.2	0.0084336	NS	NS
3520768	ATP6AP2	NM_005765.2	0.0084648	NS	NS
6480170	MAGED1	NM_001005333.1	0.0085813	NS	NS
4180128	PSD3	NM_206909.1	0.0086566	NS	NS
3780100	C2orf16	NM_032266.2	0.0086631	NS	NS
3710719	UNQ6411	NM_213608.1	0.0086721	NS	NS
1940072	CCDC4	NM_207406.1	0.008705	NS	NS
6480014	APXL	NM_001649.2	0.0087059	NS	NS
4010110	MAN1A1	NM_005907.2	0.008856	NS	NS
5490402	OR5H6	NM_001005479.1	0.0088615	NS	NS
6860037	CARD8	NM_014959.1	0.0089264	NS	NS
70491	ZHX2	NM_014943.3	0.0089414	NS	NS
730154	SS18L1	NM_198935.1	0.0091329	NS	NS
6270368	PNMA1	NM_006029.4	0.0091462	NS	NS
4590300	PFAAP5	NM_014887.1	0.0091626	NS	NS
2450253	HIP1R	NM_003959.1	0.009211	NS	NS
1820348	KIF13A	NM_022113.3	0.0093854	NS	NS
3420187	CCDC60	NM_178499.2	0.0093887	NS	NS
6550553	ZNF132	NM_003433.2	0.009419	NS	NS
3360193	PHOSPHO2	NM_001008489.2	0.0094583	NS	NS
1450131	CSF3	NM_000759.2	0.009485	NS	NS
5360520	LOC129530	NM_174898.1	0.0095709	NS	NS
4290554	SLC39A13	NM_152264.2	0.0097978	NS	NS
1440452	CCDC4	NM_207406.1	0.0098505	NS	NS
1110048	CHFR	NM_018223.1	0.0098509	NS	NS
430368	POLK	NM_016218.1	0.0099912	NS	NS
2710475	C6orf75	NM_001031712.1	0.0100157	NS	NS
4050328	PACSIN3	NM_016223.3	0.0100465	NS	NS
2260040	GNGT2	NM_031498.1	0.0102454	NS	NS
2000458	MGC41945	NM_203299.1	0.0102704	NS	NS
630333	LYPLA3	NM_012320.3	0.0103077	NS	NS
6290669	DYNLL2	NM_080677.1	0.0104133	NS	NS
5310360	ARID1B	NM_020732.2	0.0104496	NS	NS
5810754	SLC26A5	NM_206885.1	0.0104954	NS	NS
510731	SYNPO	NM_007286.3	0.0106993	NS	NS
6420184	TIMM9	NM_012460.2	0.010726	NS	NS
1260162	C1QTNF3	NM_181435.4	0.0107752	NS	NS
1400315	DNAJC12	NM_201262.1	0.0108971	NS	NS
7320465	PLA2G2E	NM_014589.1	0.0111169	NS	NS
4920021	C20orf179	NM_178477.2	0.0111205	NS	NS
3870010	CCR8	NM_005201.2	0.011154	NS	NS
940358	RECK	NM_021111.1	0.0113532	NS	NS
5860563	C18orf37	NM_194281.2	0.0114091	NS	NS
450138	CREB1	NM_004379.2	0.0114175	NS	NS
5810017	TTC16	NM_144965.1	0.0116095	NS	NS
3940113	FMOD	NM_002023.3	0.0118138	NS	NS
110091	THAP2	NM_031435.1	0.0118422	NS	NS
6130521	CAPN1	NM_005186.2	0.0121188	NS	NS
4670180	SLC6A9	NM_001024845.1	0.0121537	NS	NS
4290376	RHOB	NM_004040.2	0.0122038	NS	NS
7000592	HOXB6	NM_156036.1	0.0124096	NS	NS
780408	REL	NM_002908.2	0.0124686	NS	NS
3060022	CRTC2	NM_181715.1	0.0125128	NS	NS
4480202	ARL5B	NM_178815.3	0.0125466	NS	NS
6580348	NALP4	NM_134444.3	0.0127648	NS	NS
2370047	LIN10	NM_025187.3	0.0127943	NS	NS
7200367	GNG11	NM_004126.2	0.012812	NS	NS
6350097	TMEM34	NM_018241.1	0.0128898	NS	NS
4200689	EIF5A2	NM_020390.5	0.0131306	NS	NS
240433	ART1	NM_004314.1	0.0133186	NS	NS
2100746	ATP13A2	NM_022089.1	0.0133236	NS	NS
6620634	KCNK5	NM_003740.2	0.0133602	NS	NS
1660411	OR2L13	NM_175911.2	0.0134546	NS	NS
5700349	LOXL3	NM_032603.2	0.0137152	NS	NS
2480132	SPRY1	NM_199327.1	0.0139393	NS	NS
1980470	SRP54	NM_003136.2	0.0139782	NS	NS
4050528	HOXC6	NM_153693.1	0.0140298	NS	NS
2100730	C14orf79	NM_174891.2	0.0141116	NS	NS
7400553	DPF2	NM_006268.3	0.0141377	NS	NS
5860086	DNASE1L1	NM_001009932.1	0.0141945	NS	NS
4250767	C20orf129	NM_030919.1	0.0145121	NS	NS
60468	CDK9	NM_001261.2	0.0145314	NS	NS
4220181	NDUFS8	NM_002496.1	0.014598	NS	NS
6450672	IGJ	NM_144646.2	0.0147921	NS	NS
2750356	TSGA10	NM_025244.1	0.0149393	NS	NS
2260039	AMACR	NM_203382.1	0.0150661	NS	NS
2370121	C10orf9	NM_145012.3	0.0151083	NS	NS
2940017	BBOX1	NM_003986.1	0.0151256	NS	NS
4230161	TARSL2	NM_152334.2	0.015216	NS	NS
20575	VTI1B	NM_006370.1	0.0153002	NS	NS
2570338	MCTP2	NM_018349.2	0.0153617	NS	NS
6350360	ATP5G2	NM_005176.4	0.0154752	NS	NS
4830048	SAP18	NM_005870.3	0.0156062	NS	NS
4730095	ZNF45	NM_003425.2	0.01561	NS	NS
6370392	C19orf18	NM_152474.2	0.0156557	NS	NS
4730114	MYL9	NM_006097.3	0.0157044	NS	NS
5960368	LOC116236	NM_198147.1	0.0161961	NS	NS
1030327	IL2RA	NM_000417.1	0.0162757	NS	NS
7380255	VCX-C	NM_001001888.1	0.0162932	NS	NS
6510471	ERCC3	NM_000122.1	0.0163131	NS	NS
4540167	CSMD1	NM_033225.3	0.0164765	NS	NS
1300634	NDUFS6	NM_004553.2	0.0164968	NS	NS
150414	SYNE2	NM_015180.3	0.0167362	NS	NS
3610619	ST6GALNAC1	NM_018414.2	0.0168123	NS	NS
540187	SUPT3H	NM_181356.1	0.0168422	NS	NS
5260026	ASS	NM_000050.3	0.0168543	NS	NS
4210040	ARF4	NM_001660.2	0.0168704	NS	NS
4850255	MEF2D	NM_005920.2	0.0168982	NS	NS
3830487	MYL2	NM_000432.1	0.01715	NS	NS
6770450	NFS1	NM_021100.3	0.0171716	NS	NS
3450128	ZNF580	NM_016202.2	0.0173283	NS	NS
6450370	PLG	NM_000301.1	0.0173633	NS	NS
620128	DRCTNNB1A	NM_032581.2	0.0174151	NS	NS
2260605	ZNF681	NM_138286.1	0.0175231	NS	NS
6290452	GPD1	NM_005276.2	0.0175803	NS	NS
5130672	FLT4	NM_002020.1	0.0176073	NS	NS
870347	RFX3	NM_134428.1	0.0176191	NS	NS
5570709	MLL4	NM_014727.1	0.0176406	NS	NS
4390673	GUCY1A3	NM_000856.2	0.0178233	NS	NS
7050037	FUNDC1	NM_173794.2	0.0178296	NS	NS
620603	ZNF687	NM_020832.1	0.0178333	NS	NS
6200358	TULP2	NM_003323.1	0.0178544	NS	NS
380471	MGC39900	NM_194324.1	0.017925	NS	NS
5260300	CT45-6	NM_001017438.1	0.0180124	NS	NS
4760138	OR12D2	NM_013936.2	0.0180744	NS	NS
6220168	OR5F1	NM_003697.1	0.0181453	NS	NS
2760470	SNRPB2	NM_003092.3	0.0182618	NS	NS
7040543	ZP2	NM_003460.1	0.0183059	NS	NS
5870148	PIB5PA	NM_014422.2	0.0183426	NS	NS
2120291	PIGT	NM_015937.2	0.0184385	NS	NS
3450609	NDUFC1	NM_002494.2	0.0185558	NS	NS
2140047	MTCH2	NM_014342.2	0.0187806	NS	NS
1440450	MGC13096	NM_032346.1	0.018812	NS	NS
7160452	CDC14A	NM_033313.1	0.0188678	NS	NS
7320239	SR-A1	NM_021228.1	0.0188692	NS	NS
870113	CYP19A1	NM_031226.1	0.0189235	NS	NS
830445	ANKRD39	NM_016466.4	0.0190506	NS	NS
6510180	JOSD1	NM_014876.3	0.0190628	NS	NS
7040521	ZNF473	NM_015428.1	0.0191324	NS	NS
5490259	SH3TC1	NM_018986.2	0.0192427	NS	NS
3450452	TH1L	NM_198976.1	0.0194846	NS	NS
160523	LSM5	NM_012322.1	0.0195898	NS	NS
2320519	RIMS2	NM_014677.2	0.0196504	NS	NS
4390255	FBXW7	NM_018315.3	0.0197619	NS	NS
3310575	GDPD1	NM_182569.1	0.0198141	NS	NS
3450121	CARD6	NM_032587.2	0.0200049	NS	NS
580594	UPK2	NM_006760.1	0.0200843	NS	NS
5260022	INSL4	NM_002195.1	0.0201885	NS	NS
1580619	RAB27A	NM_183234.1	0.0202548	NS	NS
4890070	PARP6	NM_020213.1	0.0203118	NS	NS
1500091	FLT4	NM_002020.1	0.0203698	NS	NS
1500553	S100A6	NM_014624.3	0.0204092	NS	NS
360309	SLC7A8	NM_012244.2	0.0204145	NS	NS
5090392	LYSMD4	NM_152449.2	0.0204743	NS	NS
7100162	ZBED3	NM_032367.1	0.0204945	NS	NS
4290017	TMEM16A	NM_018043.4	0.0205287	NS	NS
1190669	GBA3	NM_020973.2	0.0205881	NS	NS
670438	VPS26	NM_004896.2	0.0206713	NS	NS
4150397	PRX	NM_020956.1	0.0207066	NS	NS
6450605	CWF19L1	NM_018294.3	0.0211244	NS	NS
7570440	E2F2	NM_004091.2	0.021149	NS	NS
870402	MTMR10	NM_017762.1	0.021171	NS	NS
4490349	KLHDC8A	NM_018203.1	0.0212764	NS	NS
20026	HOXB9	NM_024017.3	0.0214049	NS	NS
7320014	MLC1SA	NM_002475.2	0.0214161	NS	NS
5130184	MRPL10	NM_145255.2	0.0215135	NS	NS
2070215	DNAJC12	NM_021800.2	0.0215716	NS	NS
5090487	ACADVL	NM_000018.2	0.0216765	NS	NS
2810255	HIP1	NM_005338.4	0.021795	NS	NS
4830593	C6orf211	NM_024573.1	0.0218124	NS	NS
4590551	EDA	NM_001005615.1	0.0218168	NS	NS
160270	HRASLS2	NM_017878.1	0.0218201	NS	NS
5910537	C1orf57	NM_032324.1	0.021843	NS	NS
60707	ADD1	NM_001119.3	0.0218544	NS	NS
7150114	FLJ35779	NM_152408.1	0.0221004	NS	NS
110014	PSD3	NM_015310.2	0.0221091	NS	NS
5290408	DYNC1I2	NM_001378.1	0.0223361	NS	NS
6520647	ANKS4B	NM_145865.1	0.022345	NS	NS
1500451	JAG2	NM_002226.3	0.0223552	NS	NS
5260546	FLJ13848	NM_024771.1	0.0224217	NS	NS
3360541	KIAA1632	NM_020964.1	0.02244	NS	NS
1070528	G1P2	NM_005101.1	0.0225549	NS	NS
4220161	KIAA1128	NM_018999.1	0.0226036	NS	NS
2710402	FANCA	NM_000135.2	0.0226128	NS	NS
130463	B4GALT6	NM_004775.2	0.0226229	NS	NS
7380411	TSEN54	NM_207346.1	0.0226362	NS	NS
1030347	TBR1	NM_006593.2	0.0227379	NS	NS
2680100	PHLDB1	NM_015157.1	0.0228276	NS	NS
5960612	C4orf13	NM_032128.2	0.0228369	NS	NS
670593	LOH11CR2A	NM_014622.4	0.0228833	NS	NS
5050706	C10orf4	NM_203440.2	0.0229906	NS	NS
2760068	SH2D3C	NM_005489.1	0.0229945	NS	NS
3870039	RASA2	NM_006506.2	0.0229973	NS	NS
4560154	UNQ739	NM_198570.1	0.0231244	NS	NS
4210746	CEP250	NM_007186.2	0.0231313	NS	NS
6980221	RAP1GDS1	NM_021159.3	0.0232818	NS	NS
2900156	TXNDC5	NM_030810.2	0.0232931	NS	NS
2230474	MGC11332	NM_032718.2	0.0233002	NS	NS
3400301	FBXO3	NM_033406.2	0.0234018	NS	NS
990112	USP48	NM_032236.5	0.0235009	NS	NS
3520328	LOC130502	NM_001008237.1	0.0235686	NS	NS
4920706	CACNG2	NM_006078.2	0.0235737	NS	NS
5390452	TIAM1	NM_003253.1	0.0237056	NS	NS
7380243	RIN3	NM_024832.3	0.0239947	NS	NS
3420348	HOXA7	NM_006896.2	0.0241496	NS	NS
4040435	SLC25A35	NM_201520.1	0.0241944	NS	NS
4810379	INPP5F	NM_198331.1	0.0242056	NS	NS
6130333	MYCL1	NM_005376.3	0.0243789	NS	NS
630243	FAM33A	NM_182620.1	0.0244736	NS	NS
1400070	VNN2	NM_004665.2	0.0244869	NS	NS
6250047	ZNF416	NM_017879.1	0.0245479	NS	NS
7200446	RFX4	NM_213594.1	0.024643	NS	NS
6420615	LOC114984	NM_138439.1	0.0246817	NS	NS
1570661	ECHDC1	NM_018479.2	0.0247975	NS	NS
3180327	CHCHD6	NM_032343.1	0.0248077	NS	NS
5670343	SKIL	NM_005414.2	0.0249167	NS	NS
1660754	LOC90580	NM_138358.2	0.0250084	NS	NS
50195	C1orf142	NM_053052.2	0.0251095	NS	NS
5490017	COASY	NM_025233.4	0.0252117	NS	NS
2940431	GARNL4	NM_015085.3	0.0252214	NS	NS
1980605	DOCK10	NM_014689.1	0.0252694	NS	NS
6280484	UBE3A	NM_130839.1	0.0253549	NS	NS
3930035	TOP3A	NM_004618.3	0.0253808	NS	NS
6370703	PLEKHH1	NM_020715.1	0.025381	NS	NS
1850139	LST1	NM_007161.2	0.0254526	NS	NS
2140605	OMA1	NM_145243.3	0.0255347	NS	NS
430021	IFIT3	NM_001549.2	0.0255726	NS	NS
150202	GPR114	NM_153837.1	0.0255731	NS	NS
2690224	IGHMBP2	NM_002180.1	0.0260163	NS	NS
6980458	SNCAIP	NM_005460.2	0.0260276	NS	NS
1500707	ADAM21	NM_003813.2	0.0261834	NS	NS
1820373	TRAM1	NM_014294.3	0.0265418	NS	NS
940288	LYZL1	NM_032517.4	0.0265455	NS	NS
160242	PKHD1L1	NM_177531.3	0.0266593	NS	NS
4010048	ACOX1	NM_004035.4	0.0267948	NS	NS
4480093	S100A11	NM_005620.1	0.0268138	NS	NS
3420746	SH3BGRL	NM_003022.1	0.026926	NS	NS
6980491	ADAM23	NM_003812.2	0.0269743	NS	NS
160201	CUL2	NM_003591.2	0.0270225	NS	NS
1070424	VBP1	NM_003372.4	0.0271043	NS	NS
4610537	MGC33648	NM_153706.2	0.0271324	NS	NS
5900196	KNG1	NM_000893.2	0.0271958	NS	NS
730184	C14orf150	NM_001008726.1	0.0273122	NS	NS
2640575	TNFSF12-TNFSF13	NM_172089.2	0.0273864	NS	NS
4860670	ZDHHC9	NM_016032.2	0.0274323	NS	NS
2030022	SUV420H1	NM_017635.3	0.0275048	NS	NS
2120767	BAG2	NM_004282.2	0.0278221	NS	NS
7330170	KIF9	NM_182903.2	0.0278967	NS	NS
840356	MVP	NM_005115.3	0.0279306	NS	NS
6660619	TMPRSS3	NM_032405.1	0.0280703	NS	NS
650372	TBX4	NM_018488.2	0.0280769	NS	NS
6380709	PVRL3	NM_015480.1	0.0281122	NS	NS
2060687	NDUFV2	NM_021074.1	0.0282054	NS	NS
3140326	TRIM9	NM_052978.3	0.0282511	NS	NS
5340243	RAB35	NM_006861.4	0.0285091	NS	NS
2570592	PEX7	NM_000288.1	0.0285535	NS	NS
6350017	CNTNAP1	NM_003632.1	0.0285615	NS	NS
6560162	PTGES	NM_004878.3	0.0288317	NS	NS
2600681	H2AFJ	NM_018267.2	0.0288565	NS	NS
540600	CXorf53	NM_024332.2	0.0289324	NS	NS
4230709	THEM2	NM_018473.2	0.028978	NS	NS
2630541	SH3KBP1	NM_001024666.1	0.02899	NS	NS
3850433	C2orf13	NM_173545.1	0.0290509	NS	NS
4010102	FLJ21908	NM_024604.1	0.029084	NS	NS
5720767	KCND2	NM_012281.2	0.0290886	NS	NS
730685	MKKS	NM_018848.2	0.0291916	NS	NS
160079	SIGLEC12	NM_053003.2	0.0292082	NS	NS
830440	Magmas	NM_016069.8	0.0292375	NS	NS
2970475	C17orf79	NM_018405.2	0.029405	NS	NS
1660053	GPR12	NM_005288.1	0.0294537	NS	NS
270053	SULT4A1	NM_176874.1	0.0295002	NS	NS
3120519	PML	NM_033240.2	0.0295647	NS	NS
6860358	NDUFAB1	NM_005003.2	0.0295857	NS	NS
770736	DNAH3	NM_017539.1	0.0296932	NS	NS
510128	DUSP5	NM_004419.3	0.0297184	NS	NS
1110152	CYP24A1	NM_000782.3	0.0298923	NS	NS
840161	ASAH1	NM_177924.1	0.0299024	NS	NS
4250685	GYS1	NM_002103.3	0.030056	NS	NS
5860689	POP7	NM_005837.1	0.0300861	NS	NS
10402	TGM5	NM_201631.1	0.0301794	NS	NS
6060681	C2orf33	NM_020194.4	0.0303017	NS	NS
4250463	BCR	NM_004327.2	0.0303684	NS	NS
2970661	LOC201164	NM_178836.2	0.0304003	NS	NS
620669	TBX10	NM_005995.2	0.0304782	NS	NS
290451	FIGN	NM_018086.2	0.0305626	NS	NS
6180121	CGB7	NM_033142.1	0.0306897	NS	NS
6100048	EID3	NM_001008394.1	0.0307106	NS	NS
5340392	MAN2A1	NM_002372.2	0.0307324	NS	NS
4150133	NCK1	NM_006153.3	0.0307629	NS	NS
