ProbeSet	Symbol	SAMSCORE
1555852_at	NA	6.56
224820_at	FAM36A	6.2
205383_s_at	ZBTB20	6.18
221875_x_at	HLA-F	5.92
213158_at	NA	5.65
227527_at	MLL2	5.41
209398_at	HIST1H1C	5.39
232304_at	PELI1	5.36
213720_s_at	SMARCA4	5.27
217436_x_at	HLA-G///HLA-H	5.26
202081_at	IER2	5.21
228465_at	NA	5.19
232431_at	NR3C1	5.11
225256_at	NA	5.08
201531_at	ZFP36	5.05
216321_s_at	NR3C1	5
212137_at	LARP1	4.99
228053_s_at	C9orf105	4.97
230003_at	NA	4.9
201074_at	SMARCC1	4.85
227749_at	NA	4.84
225917_at	NA	4.82
1553704_x_at	FLJ90396	4.81
212130_x_at	SUI1	4.79
225547_at	NA	4.78
214143_x_at	RPL24///SLC36A2	4.76
201788_at	DDX42	4.75
204806_x_at	HLA-F	4.73
200840_at	KARS	4.71
201263_at	TARS	4.7
210110_x_at	HNRPH3	4.67
203080_s_at	BAZ2B	4.66
200830_at	PSMD2	4.61
208956_x_at	DUT	4.6
226981_at	MLL	4.6
214317_x_at	RPS9	4.6
202284_s_at	CDKN1A	4.58
214356_s_at	KIAA0368	4.56
225431_x_at	ACY1L2	4.55
1558956_s_at	WDR56	4.54
1553703_at	FLJ90396	4.53
225390_s_at	KLF13	4.53
212665_at	TIPARP	4.48
200085_s_at	TCEB2	4.48
218797_s_at	SIRT7	4.48
200072_s_at	HNRPM	4.46
224610_at	RNU22	4.45
224579_at	SLC38A1	4.44
235308_at	ZBTB20	4.43
225190_x_at	RPL35A	4.43
200019_s_at	FAU	4.42
218319_at	PELI1	4.42
201498_at	USP7	4.41
227121_at	NA	4.41
202946_s_at	BTBD3	4.4
202649_x_at	RPS19	4.4
209806_at	HIST1H2BK	4.4
219762_s_at	RPL36	4.39
225097_at	HIPK2	4.38
201405_s_at	COPS6	4.38
227878_s_at	SPATA11	4.38
203038_at	PTPRK	4.37
203538_at	CAMLG	4.35
228690_s_at	NDUFA11	4.34
218263_s_at	LOC58486	4.34
224604_at	LOC401152	4.33
213801_x_at	RPSA///LOC388524///LOC388654	4.31
221791_s_at	HSPC016	4.31
218557_at	NIT2	4.3
201226_at	NDUFB8	4.28
201119_s_at	COX8A	4.28
212971_at	CARS	4.27
204918_s_at	MLLT3	4.27
226620_x_at	DAZAP1	4.27
213857_s_at	CD47	4.27
220966_x_at	ARPC5L	4.26
219863_at	HERC5	4.26
218286_s_at	RNF7	4.25
218280_x_at	HIST2H2AA	4.24
203525_s_at	APC	4.23
202309_at	MTHFD1	4.23
222735_at	TMEM38B	4.22
225814_at	XRN1	4.22
211698_at	CRI1	4.21
201258_at	RPS16	4.18
212428_at	KIAA0368	4.18
224702_at	MGC23909	4.18
203190_at	NDUFS8	4.18
201892_s_at	IMPDH2	4.18
211799_x_at	HLA-C	4.18
205659_at	HDAC9	4.18
205569_at	LAMP3	4.17
226225_at	MCC	4.17
214988_s_at	SON	4.15
212450_at	KIAA0256	4.14
212826_s_at	SLC25A6	4.12
200843_s_at	EPRS	4.11
212276_at	LPIN1	4.11
212959_s_at	MGC4170	4.09
224439_x_at	RNF7	4.09
200899_s_at	MGEA5	4.08
201030_x_at	LDHB	4.08
202243_s_at	PSMB4	4.07
211730_s_at	POLR2L	4.07
202839_s_at	NDUFB7	4.07
202818_s_at	TCEB3	4.06
202779_s_at	UBE2S	4.06
200691_s_at	HSPA9B	4.05
225434_at	DEDD2	4.05
218205_s_at	MKNK2	4.05
224741_x_at	GAS5	4.05
209685_s_at	PRKCB1	4.05
200089_s_at	RPL4	4.04
224719_s_at	GRCC10	4.04
200632_s_at	NDRG1	4.04
201306_s_at	ANP32B	4.03
201086_x_at	SON	4.03
213041_s_at	ATP5D	4.03
203113_s_at	EEF1D	4.02
200786_at	PSMB7	4.01
221290_s_at	MUM1	4.01
203725_at	GADD45A	4
209058_at	EDF1	3.99
225321_s_at	PILRB	3.99
217853_at	TENS1	3.99
226370_at	KLHL15	3.99
226873_at	NA	3.99
203449_s_at	TERF1	3.99
214290_s_at	HIST2H2AA	3.98
202244_at	PSMB4	3.98
222389_s_at	WAC	3.98
213510_x_at	LOC220594	3.96
212254_s_at	DST	3.96
200631_s_at	SET	3.95
226252_at	NA	3.94
232889_at	LOC153561	3.94
228702_at	FLJ43663	3.94
226385_s_at	C7orf30	3.94
226447_at	ASH1L	3.93
200055_at	TAF10	3.93
217810_x_at	LARS	3.92
202110_at	COX7B	3.91
217828_at	FLJ13213	3.91
211752_s_at	NDUFS7	3.91
204093_at	CCNH	3.9
201952_at	ALCAM	3.9
204254_s_at	VDR	3.9
218306_s_at	HERC1	3.9
203529_at	PPP6C	3.9
226465_s_at	SON	3.89
228046_at	LOC152485	3.89
213309_at	PLCL2	3.88
212048_s_at	YARS	3.88
200807_s_at	HSPD1	3.87
200002_at	RPL35	3.87
225421_at	ACY1L2	3.87
215696_s_at	KIAA0310	3.86
218882_s_at	WDR3	3.85
226720_at	KIAA1935	3.85
202396_at	TCERG1	3.85
213025_at	THUMPD1	3.84
211623_s_at	FBL	3.83
225028_at	LOC550643	3.83
201164_s_at	PUM1	3.83
203752_s_at	JUND	3.82
225429_at	PPP6C	3.81
202682_s_at	USP4	3.81
219371_s_at	KLF2	3.81
202657_s_at	SERTAD2	3.8
212066_s_at	USP34	3.79
218533_s_at	UCKL1	3.79
40189_at	SET	3.78
201967_at	RBM6	3.78
225956_at	LOC153222	3.78
226505_x_at	USP32	3.78
200999_s_at	CKAP4	3.78
211075_s_at	CD47	3.77
225153_at	GFM1	3.77
223193_x_at	E2IG5	3.77
225951_s_at	NA	3.76
212716_s_at	EIF3S12	3.76
39729_at	PRDX2	3.76
241775_at	SCFD1	3.75
212733_at	KIAA0226	3.73
222427_s_at	LARS	3.73
213414_s_at	RPS19	3.73
200014_s_at	HNRPC	3.72
226116_at	NA	3.72
206158_s_at	ZNF9	3.72
217491_x_at	COX7C	3.72
226915_s_at	ARPC5L	3.71
221847_at	LOC440123	3.7
225477_s_at	MRPS25	3.7
1555945_s_at	C9orf10	3.69
239893_at	MCTP2	3.69
217726_at	COPZ1	3.69
213737_x_at	LOC283768///LOC388080///LOC388189///LOC390535///LOC400304///LOC440234///DKFZp434P162	3.69
208729_x_at	HLA-B	3.69
208873_s_at	C5orf18	3.68
221267_s_at	C19orf27	3.68
222200_s_at	BSDC1	3.68
202021_x_at	SUI1	3.67
226109_at	C21orf91	3.67
225698_at	TIGA1	3.66
200995_at	IPO7	3.66
1553979_at	NA	3.66
208623_s_at	VIL2	3.66
208691_at	TFRC	3.66
222589_at	NLK	3.66
212205_at	H2AFV	3.65
235381_at	HBXAP	3.65
200094_s_at	EEF2	3.64
222992_s_at	NDUFB9	3.64
207769_s_at	PQBP1	3.64
203880_at	COX17	3.64
222428_s_at	LARS	3.64
212132_at	FAM61A	3.63
224841_x_at	GAS5	3.63
212640_at	PTPLB	3.63
217707_x_at	SMARCA2	3.62
207996_s_at	C18orf1	3.62
203832_at	SNRPF	3.62
200022_at	RPL18	3.62
214280_x_at	HNRPA1	3.62
226453_at	AYP1	3.61
223008_s_at	C9orf5	3.61
218239_s_at	GTPBP4	3.59
223003_at	MGC2803	3.59
208101_s_at	C9orf74	3.59
218149_s_at	ZNF395	3.59
213864_s_at	NAP1L1	3.59
203133_at	SEC61B	3.58
203556_at	ZHX2	3.58
221692_s_at	MRPL34	3.58
225517_at	FLJ20582	3.58
206055_s_at	SNRPA1	3.58
201577_at	NME1	3.57
228341_at	FLJ31265	3.57
226340_x_at	LOC349338///FLJ25222///MGC52000	3.57
212301_at	RTF1	3.57
202090_s_at	UQCR	3.56
214351_x_at	RPL13	3.55
207957_s_at	PRKCB1	3.55
214687_x_at	ALDOA	3.55
226352_at	JMY	3.55
225229_at	AFF4	3.55
215359_x_at	ZNF44	3.54
208988_at	FBXL11	3.54
223480_s_at	MRPL47	3.54
200774_at	C9orf10	3.54
201153_s_at	MBNL1	3.54
221475_s_at	RPL15	3.53
209059_s_at	EDF1	3.53
200013_at	RPL24	3.53
217936_at	ARHGAP5	3.53
201611_s_at	ICMT	3.53
201460_at	MAPKAPK2	3.52
224722_at	MIB1	3.51
213891_s_at	TCF4	3.51
200797_s_at	MCL1	3.51
230261_at	ST8SIA4	3.51
202314_at	CYP51A1	3.51
228988_at	ZNF6	3.5
210942_s_at	ST3GAL6	3.5
201676_x_at	PSMA1	3.5
208827_at	PSMB6	3.5
225610_at	UHRF2	3.5
1552519_at	ACVR1C	3.5
210347_s_at	BCL11A	3.48
207573_x_at	ATP5L	3.48
228345_at	CHIC1	3.48
226191_at	GSK3B	3.48
204917_s_at	MLLT3	3.48
229813_x_at	DAZAP1	3.48
226052_at	BRD4	3.47
215071_s_at	HIST1H2AC	3.47
213331_s_at	NEK1	3.47
1555837_s_at	POLR2B	3.47
226939_at	CPEB2	3.47
226941_at	ATF6	3.46
204571_x_at	PIN4	3.46
204020_at	PURA	3.46
213726_x_at	TUBB2	3.46
207761_s_at	DKFZP586A0522	3.45
200770_s_at	LAMC1	3.45
211800_s_at	USP4	3.45
208634_s_at	MACF1	3.45
217969_at	C11orf2	3.45
218194_at	DKFZP566E144	3.45
235005_at	MGC4562	3.45
209911_x_at	HIST1H2BD	3.45
202646_s_at	CSDE1	3.45
213360_s_at	POM121///LOC340318///LOC441253	3.45
218381_s_at	U2AF2	3.44
200823_x_at	RPL29	3.44
214394_x_at	NA	3.44
221773_at	ELK3	3.44
211946_s_at	BAT2D1	3.43
211784_s_at	SFRS1	3.43
225361_x_at	LOC159090	3.43
230836_at	ST8SIA4	3.43
214800_x_at	BTF3///LOC345829	3.43
238761_at	MED28	3.43
232213_at	PELI1	3.43
209903_s_at	ATR	3.43
210346_s_at	CLK4	3.43
221207_s_at	NBEA	3.42
212227_x_at	SUI1	3.42
229353_s_at	NUCKS1	3.42
209267_s_at	SLC39A8	3.41
211671_s_at	NR3C1	3.41
214894_x_at	MACF1	3.41
226312_at	AVO3	3.41
208113_x_at	PABPC3	3.41
1555844_s_at	HNRPM	3.4
200715_x_at	RPL13A	3.39
222978_at	SURF4	3.39
200772_x_at	PTMA	3.39
208692_at	RPS3	3.39
1557820_at	AFG3L2	3.39
226283_at	WDR51B	3.38
211746_x_at	PSMA1	3.38
208659_at	CLIC1	3.38
228956_at	UGT8	3.38
218265_at	SECISBP2	3.38
202941_at	NDUFV2	3.37
227370_at	KIAA1946	3.37
209503_s_at	PSMC5	3.37
211911_x_at	HLA-B	3.37
209329_x_at	MGC2198	3.36
209143_s_at	CLNS1A///C3orf4	3.36
202983_at	SMARCA3	3.36
213077_at	YTHDC2	3.36
222415_at	MLL3	3.36
201397_at	PHGDH	3.36
202824_s_at	TCEB1	3.36
200877_at	CCT4	3.35
203688_at	PKD2	3.35
200000_s_at	PRPF8	3.35
226344_at	ZMAT1	3.35
201134_x_at	COX7C	3.34
212967_x_at	NAP1L1	3.34
214853_s_at	SHC1	3.34
201031_s_at	HNRPH1	3.34
208771_s_at	LTA4H	3.33
36553_at	ASMTL	3.33
226808_at	KIAA0543	3.33
211036_x_at	ANAPC5	3.33
218134_s_at	RBM22	3.33
211445_x_at	FKSG17///LOC389240	3.33
201865_x_at	NR3C1	3.32
205644_s_at	SNRPG	3.32
213588_x_at	RPL14	3.32
200990_at	TRIM28	3.31
213893_x_at	PMS2L5	3.31
201678_s_at	DC12	3.31
1558142_at	TNRC6B	3.31
210453_x_at	ATP5L	3.3
208746_x_at	ATP5L	3.3
226496_at	ZCCHC7	3.3
217798_at	CNOT2	3.3
223245_at	STRBP	3.29
225368_at	HIPK2	3.29
218236_s_at	PRKD3	3.29
213846_at	COX7C	3.29
238436_s_at	LOC390980	3.29
201473_at	JUNB	3.28
200662_s_at	TOMM20	3.28
204172_at	CPOX	3.28
208916_at	SLC1A5	3.28
201754_at	COX6C	3.27
203753_at	TCF4	3.27
221700_s_at	UBA52	3.27
229394_s_at	GRLF1	3.27
201876_at	PON2	3.26
218772_x_at	TMEM38B	3.26
204244_s_at	ASK	3.25
223101_s_at	ARPC5L	3.25
209606_at	PSCDBP	3.25
223705_s_at	GPBP1	3.25
202265_at	PCGF4	3.24
224679_at	MESDC2	3.24
242691_at	NA	3.24
201637_s_at	FXR1	3.24
222669_s_at	SBDS	3.24
218281_at	MRPL48	3.24
227189_at	CPNE5	3.24
225093_at	UTRN	3.23
205934_at	PLCL1	3.23
211921_x_at	PTMA	3.23
212773_s_at	TOMM20	3.23
221829_s_at	TNPO1	3.23
201803_at	POLR2B	3.23
225065_x_at	MGC40157	3.23
215016_x_at	DST	3.23
212155_at	RNF187	3.23
209703_x_at	DKFZP586A0522	3.22
210231_x_at	SET	3.22
225526_at	MKLN1	3.22
218200_s_at	NDUFB2	3.22
226449_at	FLJ36090	3.22
200810_s_at	CIRBP	3.22
226392_at	NA	3.22
201517_at	NCBP2	3.22
225973_at	TAP2	3.21
226626_at	THOC2	3.21
229686_at	P2RY8	3.21
229742_at	LOC145853	3.21
203366_at	POLG	3.21
202737_s_at	LSM4	3.21
211969_at	HSPCA	3.2
217747_s_at	RPS9	3.2
226914_at	ARPC5L	3.2
213005_s_at	ANKRD15	3.2
217773_s_at	NDUFA4	3.2
218459_at	TOR3A	3.2
201281_at	ADRM1	3.2
208713_at	HNRPUL1	3.19
222673_x_at	TMEM57///LOC159090	3.19
222891_s_at	BCL11A	3.19
208887_at	EIF3S4	3.19
225290_at	NA	3.19
202887_s_at	DDIT4	3.19
204976_s_at	AMMECR1	3.18
211961_s_at	RAB7	3.18
203189_s_at	NDUFS8	3.18
213564_x_at	LDHB	3.18
227284_at	LOC90321	3.18
209654_at	KIAA0947	3.18
212247_at	NUP205	3.17
221434_s_at	C14orf156	3.17
212018_s_at	RSL1D1	3.17
229460_at	NA	3.17
201268_at	NME2	3.17
223084_s_at	CCNDBP1	3.17
225304_s_at	NDUFA11	3.17
210776_x_at	TCF3	3.17
213485_s_at	ABCC10	3.17
204461_x_at	RAD1	3.17
